"행정구역","2020년09월_계_총인구수","2020년09월_계_연령구간인구수","2020년09월_계_0~9세","2020년09월_계_10~19세","2020년09월_계_20~29세","2020년09월_계_30~39세","2020년09월_계_40~49세","2020년09월_계_50~59세","2020년09월_계_60~69세","2020년09월_계_70~79세","2020년09월_계_80~89세","2020년09월_계_90~99세","2020년09월_계_100세 이상","2020년09월_남_총인구수","2020년09월_남_연령구간인구수","2020년09월_남_0~9세","2020년09월_남_10~19세","2020년09월_남_20~29세","2020년09월_남_30~39세","2020년09월_남_40~49세","2020년09월_남_50~59세","2020년09월_남_60~69세","2020년09월_남_70~79세","2020년09월_남_80~89세","2020년09월_남_90~99세","2020년09월_남_100세 이상","2020년09월_여_총인구수","2020년09월_여_연령구간인구수","2020년09월_여_0~9세","2020년09월_여_10~19세","2020년09월_여_20~29세","2020년09월_여_30~39세","2020년09월_여_40~49세","2020년09월_여_50~59세","2020년09월_여_60~69세","2020년09월_여_70~79세","2020년09월_여_80~89세","2020년09월_여_90~99세","2020년09월_여_100세 이상"
"강원도 홍천군 (4272000000)","69,164","69,164","3,819","5,248","6,916","6,162","8,296","12,881","13,534","7,309","4,330","628","41","35,605","35,605","1,926","2,717","4,189","3,361","4,454","6,808","7,006","3,449","1,516","172","7","33,559","33,559","1,893","2,531","2,727","2,801","3,842","6,073","6,528","3,860","2,814","456","34"
"강원도 홍천군 홍천읍(4272025000)","34,845","34,845","2,674","3,616","4,172","3,948","5,327","6,063","4,931","2,536","1,357","203","18","17,598","17,598","1,332","1,874","2,400","2,083","2,690","3,152","2,462","1,090","460","54","1","17,247","17,247","1,342","1,742","1,772","1,865","2,637","2,911","2,469","1,446","897","149","17"
"강원도 홍천군 화촌면(4272031000)","4,663","4,663","123","166","392","314","388","837","1,220","704","429","86","4","2,462","2,462","59","92","262","190","245","460","637","354","139","23","1","2,201","2,201","64","74","130","124","143","377","583","350","290","63","3"
"강원도 홍천군 두촌면(4272032000)","2,418","2,418","43","113","143","107","152","465","669","417","260","49","0","1,213","1,213","27","65","84","53","90","244","348","190","100","12","0","1,205","1,205","16","48","59","54","62","221","321","227","160","37","0"
"강원도 홍천군 내촌면(4272033000)","2,399","2,399","51","108","118","99","194","501","689","376","237","26","0","1,257","1,257","33","63","65","64","125","257","362","201","78","9","0","1,142","1,142","18","45","53","35","69","244","327","175","159","17","0"
"강원도 홍천군 서석면(4272034000)","3,755","3,755","129","204","268","205","319","828","945","482","333","38","4","1,905","1,905","68","103","168","102","179","426","491","242","115","10","1","1,850","1,850","61","101","100","103","140","402","454","240","218","28","3"
"강원도 홍천군 동면(4272035000)","3,943","3,943","101","159","255","203","347","780","1,077","604","372","39","6","2,038","2,038","47","92","152","118","210","415","555","306","132","10","1","1,905","1,905","54","67","103","85","137","365","522","298","240","29","5"
"강원도 홍천군 남면(4272036000)","6,208","6,208","367","408","837","595","562","1,028","1,184","699","467","60","1","3,370","3,370","192","178","629","345","321","555","639","332","163","16","0","2,838","2,838","175","230","208","250","241","473","545","367","304","44","1"
"강원도 홍천군 서면(4272037000)","3,784","3,784","97","133","245","247","358","748","1,047","553","297","56","3","1,986","1,986","48","68","142","159","215","389","565","266","114","20","0","1,798","1,798","49","65","103","88","143","359","482","287","183","36","3"
"강원도 홍천군 북방면(4272038000)","3,912","3,912","118","192","289","249","353","854","946","518","352","37","4","2,061","2,061","59","105","172","141","212","469","514","249","129","9","2","1,851","1,851","59","87","117","108","141","385","432","269","223","28","2"
"강원도 홍천군 내면(4272039000)","3,237","3,237","116","149","197","195","296","777","826","420","226","34","1","1,715","1,715","61","77","115","106","167","441","433","219","86","9","1","1,522","1,522","55","72","82","89","129","336","393","201","140","25","0"
