"ÇàÁ¤±¸¿ª","2021³â11¿ù_°è_ÃÑÀÎ±¸¼ö","2021³â11¿ù_°è_¿¬·É±¸°£ÀÎ±¸¼ö","2021³â11¿ù_°è_0~9¼¼","2021³â11¿ù_°è_10~19¼¼","2021³â11¿ù_°è_20~29¼¼","2021³â11¿ù_°è_30~39¼¼","2021³â11¿ù_°è_40~49¼¼","2021³â11¿ù_°è_50~59¼¼","2021³â11¿ù_°è_60~69¼¼","2021³â11¿ù_°è_70~79¼¼","2021³â11¿ù_°è_80~89¼¼","2021³â11¿ù_°è_90~99¼¼","2021³â11¿ù_°è_100¼¼ ÀÌ»ó","2021³â11¿ù_³²_ÃÑÀÎ±¸¼ö","2021³â11¿ù_³²_¿¬·É±¸°£ÀÎ±¸¼ö","2021³â11¿ù_³²_0~9¼¼","2021³â11¿ù_³²_10~19¼¼","2021³â11¿ù_³²_20~29¼¼","2021³â11¿ù_³²_30~39¼¼","2021³â11¿ù_³²_40~49¼¼","2021³â11¿ù_³²_50~59¼¼","2021³â11¿ù_³²_60~69¼¼","2021³â11¿ù_³²_70~79¼¼","2021³â11¿ù_³²_80~89¼¼","2021³â11¿ù_³²_90~99¼¼","2021³â11¿ù_³²_100¼¼ ÀÌ»ó","2021³â11¿ù_¿©_ÃÑÀÎ±¸¼ö","2021³â11¿ù_¿©_¿¬·É±¸°£ÀÎ±¸¼ö","2021³â11¿ù_¿©_0~9¼¼","2021³â11¿ù_¿©_10~19¼¼","2021³â11¿ù_¿©_20~29¼¼","2021³â11¿ù_¿©_30~39¼¼","2021³â11¿ù_¿©_40~49¼¼","2021³â11¿ù_¿©_50~59¼¼","2021³â11¿ù_¿©_60~69¼¼","2021³â11¿ù_¿©_70~79¼¼","2021³â11¿ù_¿©_80~89¼¼","2021³â11¿ù_¿©_90~99¼¼","2021³â11¿ù_¿©_100¼¼ ÀÌ»ó"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ (2917000000)","427,463","427,463","32,078","41,495","61,406","54,691","65,841","71,317","55,854","29,985","12,922","1,808","66","212,180","212,180","16,397","21,840","32,310","28,514","33,113","34,961","26,568","13,441","4,648","380","8","215,283","215,283","15,681","19,655","29,096","26,177","32,728","36,356","29,286","16,544","8,274","1,428","58"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï1µ¿(2917051000)","4,783","4,783","223","158","852","951","627","638","671","449","196","16","2","2,474","2,474","103","88","373","502","390","363","359","209","81","5","1","2,309","2,309","120","70","479","449","237","275","312","240","115","11","1"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï2µ¿(2917052000)","6,867","6,867","265","460","1,406","788","853","981","967","775","332","40","0","3,505","3,505","139","229","721","464","451","518","474","345","149","15","0","3,362","3,362","126","231","685","324","402","463","493","430","183","25","0"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï3µ¿(2917053000)","4,804","4,804","244","294","891","711","720","641","625","463","194","19","2","2,541","2,541","130","157","460","430","414","366","300","196","81","7","0","2,263","2,263","114","137","431","281","306","275","325","267","113","12","2"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ Áß¾Óµ¿(2917055500)","3,116","3,116","71","111","478","406","376","520","575","368","166","39","6","1,676","1,676","43","53","228","244","236","306","310","180","65","10","1","1,440","1,440","28","58","250","162","140","214","265","188","101","29","5"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÀÓµ¿(2917057000)","9,135","9,135","692","591","1,221","1,406","1,293","1,352","1,321","883","326","48","2","4,506","4,506","362","306","600","726","691","678","590","400","146","7","0","4,629","4,629","330","285","621","680","602","674","731","483","180","41","2"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ½Å¾Èµ¿(2917058000)","12,381","12,381","489","683","2,343","1,974","1,582","1,947","1,755","1,073","491","42","2","6,513","6,513","249","360","1,205","1,142","935","1,059","868","486","198","11","0","5,868","5,868","240","323","1,138","832","647","888","887","587","293","31","2"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿ëºÀµ¿(2917059000)","38,548","38,548","2,585","3,630","7,268","4,790","5,451","6,654","4,718","2,400","936","113","3","19,213","19,213","1,291","1,912","3,862","2,567","2,727","3,144","2,241","1,088","351","30","0","19,335","19,335","1,294","1,718","3,406","2,223","2,724","3,510","2,477","1,312","585","83","3"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï1µ¿(2917060100)","19,359","19,359","1,674","2,243","2,464","2,200","3,102","3,067","2,779","1,334","437","58","1","9,359","9,359","856","1,152","1,267","1,059","1,427","1,441","1,295","665","184","13","0","10,000","10,000","818","1,091","1,197","1,141","1,675","1,626","1,484","669","253","45","1"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï2µ¿(2917060200)","12,031","12,031","502","873","1,680","1,306","1,614","2,063","2,113","1,287","527","62","4","6,061","6,061","233","435","887","745","847","1,076","992","606","224","16","0","5,970","5,970","269","438","793","561","767","987","1,121","681","303","46","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï3µ¿(2917060300)","12,684","12,684","878","1,359","1,778","1,425","1,809","2,210","1,917","861","373","74","0","6,078","6,078","444","726","972","717","833","974","892","380","126","14","0","6,606","6,606","434","633","806","708","976","1,236","1,025","481","247","60","0"
