"ÇàÁ¤±¸¿ª","2020³â03¿ù_°è_ÃÑÀÎ±¸¼ö","2020³â03¿ù_°è_¿¬·É±¸°£ÀÎ±¸¼ö","2020³â03¿ù_°è_0~9¼¼","2020³â03¿ù_°è_10~19¼¼","2020³â03¿ù_°è_20~29¼¼","2020³â03¿ù_°è_30~39¼¼","2020³â03¿ù_°è_40~49¼¼","2020³â03¿ù_°è_50~59¼¼","2020³â03¿ù_°è_60~69¼¼","2020³â03¿ù_°è_70~79¼¼","2020³â03¿ù_°è_80~89¼¼","2020³â03¿ù_°è_90~99¼¼","2020³â03¿ù_°è_100¼¼ ÀÌ»ó","2020³â03¿ù_³²_ÃÑÀÎ±¸¼ö","2020³â03¿ù_³²_¿¬·É±¸°£ÀÎ±¸¼ö","2020³â03¿ù_³²_0~9¼¼","2020³â03¿ù_³²_10~19¼¼","2020³â03¿ù_³²_20~29¼¼","2020³â03¿ù_³²_30~39¼¼","2020³â03¿ù_³²_40~49¼¼","2020³â03¿ù_³²_50~59¼¼","2020³â03¿ù_³²_60~69¼¼","2020³â03¿ù_³²_70~79¼¼","2020³â03¿ù_³²_80~89¼¼","2020³â03¿ù_³²_90~99¼¼","2020³â03¿ù_³²_100¼¼ ÀÌ»ó","2020³â03¿ù_¿©_ÃÑÀÎ±¸¼ö","2020³â03¿ù_¿©_¿¬·É±¸°£ÀÎ±¸¼ö","2020³â03¿ù_¿©_0~9¼¼","2020³â03¿ù_¿©_10~19¼¼","2020³â03¿ù_¿©_20~29¼¼","2020³â03¿ù_¿©_30~39¼¼","2020³â03¿ù_¿©_40~49¼¼","2020³â03¿ù_¿©_50~59¼¼","2020³â03¿ù_¿©_60~69¼¼","2020³â03¿ù_¿©_70~79¼¼","2020³â03¿ù_¿©_80~89¼¼","2020³â03¿ù_¿©_90~99¼¼","2020³â03¿ù_¿©_100¼¼ ÀÌ»ó"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ (2917000000)","433,006","433,006","34,807","44,526","62,642","56,985","68,636","72,643","50,900","28,534","11,591","1,626","116","215,039","215,039","17,765","23,601","32,998","29,542","34,338","35,448","24,279","12,683","4,037","335","13","217,967","217,967","17,042","20,925","29,644","27,443","34,298","37,195","26,621","15,851","7,554","1,291","103"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï1µ¿(2917051000)","5,052","5,052","220","200","1,016","964","616","727","673","435","173","22","6","2,593","2,593","102","107","450","531","374","399","358","196","67","7","2","2,459","2,459","118","93","566","433","242","328","315","239","106","15","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï2µ¿(2917052000)","6,964","6,964","296","511","1,320","802","932","1,001","998","738","322","39","5","3,554","3,554","152","259","690","467","501","512","484","318","155","15","1","3,410","3,410","144","252","630","335","431","489","514","420","167","24","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï3µ¿(2917053000)","5,013","5,013","280","320","858","732","699","764","667","493","180","15","5","2,635","2,635","141","179","458","432","401","419","313","210","78","4","0","2,378","2,378","139","141","400","300","298","345","354","283","102","11","5"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ Áß¾Óµ¿(2917055500)","3,319","3,319","94","128","498","417","423","589","584","383","162","37","4","1,774","1,774","51","68","226","261","268","332","313","181","63","10","1","1,545","1,545","43","60","272","156","155","257","271","202","99","27","3"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÀÓµ¿(2917057000)","8,192","8,192","617","572","957","1,218","1,174","1,297","1,178","870","260","45","4","4,050","4,050","315","307","506","611","617","636","532","407","107","12","0","4,142","4,142","302","265","451","607","557","661","646","463","153","33","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ½Å¾Èµ¿(2917058000)","11,494","11,494","441","730","2,101","1,664","1,573","1,881","1,570","1,052","418","58","6","6,018","6,018","230","370","1,098","955","935","1,001","769","486","165","9","0","5,476","5,476","211","360","1,003","709","638","880","801","566","253","49","6"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿ëºÀµ¿(2917059000)","38,356","38,356","2,720","3,973","6,990","4,753","5,725","6,729","4,263","2,272","823","103","5","19,115","19,115","1,394","2,106","3,669","2,526","2,826","3,197","2,013","1,052","308","24","0","19,241","19,241","1,326","1,867","3,321","2,227","2,899","3,532","2,250","1,220","515","79","5"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï1µ¿(2917060100)","19,885","19,885","1,869","2,318","2,683","2,464","3,137","3,208","2,567","1,186","385","65","3","9,575","9,575","943","1,188","1,365","1,177","1,433","1,521","1,193","587","157","11","0","10,310","10,310","926","1,130","1,318","1,287","1,704","1,687","1,374","599","228","54","3"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï2µ¿(2917060200)","12,778","12,778","643","1,027","1,846","1,466","1,799","2,251","2,003","1,232","457","51","3","6,466","6,466","306","529","978","822","950","1,147","946","580","196","12","0","6,312","6,312","337","498","868","644","849","1,104","1,057","652","261","39","3"
