"ÇàÁ¤±¸¿ª","2020³â08¿ù_°è_ÃÑÀÎ±¸¼ö","2020³â08¿ù_°è_¿¬·É±¸°£ÀÎ±¸¼ö","2020³â08¿ù_°è_0~9¼¼","2020³â08¿ù_°è_10~19¼¼","2020³â08¿ù_°è_20~29¼¼","2020³â08¿ù_°è_30~39¼¼","2020³â08¿ù_°è_40~49¼¼","2020³â08¿ù_°è_50~59¼¼","2020³â08¿ù_°è_60~69¼¼","2020³â08¿ù_°è_70~79¼¼","2020³â08¿ù_°è_80~89¼¼","2020³â08¿ù_°è_90~99¼¼","2020³â08¿ù_°è_100¼¼ ÀÌ»ó","2020³â08¿ù_³²_ÃÑÀÎ±¸¼ö","2020³â08¿ù_³²_¿¬·É±¸°£ÀÎ±¸¼ö","2020³â08¿ù_³²_0~9¼¼","2020³â08¿ù_³²_10~19¼¼","2020³â08¿ù_³²_20~29¼¼","2020³â08¿ù_³²_30~39¼¼","2020³â08¿ù_³²_40~49¼¼","2020³â08¿ù_³²_50~59¼¼","2020³â08¿ù_³²_60~69¼¼","2020³â08¿ù_³²_70~79¼¼","2020³â08¿ù_³²_80~89¼¼","2020³â08¿ù_³²_90~99¼¼","2020³â08¿ù_³²_100¼¼ ÀÌ»ó","2020³â08¿ù_¿©_ÃÑÀÎ±¸¼ö","2020³â08¿ù_¿©_¿¬·É±¸°£ÀÎ±¸¼ö","2020³â08¿ù_¿©_0~9¼¼","2020³â08¿ù_¿©_10~19¼¼","2020³â08¿ù_¿©_20~29¼¼","2020³â08¿ù_¿©_30~39¼¼","2020³â08¿ù_¿©_40~49¼¼","2020³â08¿ù_¿©_50~59¼¼","2020³â08¿ù_¿©_60~69¼¼","2020³â08¿ù_¿©_70~79¼¼","2020³â08¿ù_¿©_80~89¼¼","2020³â08¿ù_¿©_90~99¼¼","2020³â08¿ù_¿©_100¼¼ ÀÌ»ó"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ (2917000000)","433,279","433,279","34,380","43,616","62,944","56,557","68,297","72,344","52,363","29,104","11,874","1,682","118","215,168","215,168","17,524","23,045","33,156","29,393","34,207","35,365","24,954","13,022","4,151","339","12","218,111","218,111","16,856","20,571","29,788","27,164","34,090","36,979","27,409","16,082","7,723","1,343","106"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï1µ¿(2917051000)","5,031","5,031","227","190","993","965","611","705","688","448","174","24","6","2,591","2,591","105","105","438","529","372","393","363","205","73","6","2","2,440","2,440","122","85","555","436","239","312","325","243","101","18","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï2µ¿(2917052000)","6,933","6,933","283","481","1,364","777","913","979","1,028","734","333","37","4","3,546","3,546","144","245","707","462","487","502","506","324","154","14","1","3,387","3,387","139","236","657","315","426","477","522","410","179","23","3"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï3µ¿(2917053000)","5,009","5,009","269","322","902","727","726","733","649","478","181","16","6","2,627","2,627","140","178","474","417","426","404","304","203","77","4","0","2,382","2,382","129","144","428","310","300","329","345","275","104","12","6"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ Áß¾Óµ¿(2917055500)","3,314","3,314","89","127","513","403","422","587","583","387","160","39","4","1,769","1,769","47","62","239","249","266","343","306","180","67","9","1","1,545","1,545","42","65","274","154","156","244","277","207","93","30","3"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÀÓµ¿(2917057000)","8,125","8,125","591","574","942","1,177","1,190","1,268","1,198","871","267","42","5","4,009","4,009","308","299","484","586","632","633","538","407","113","9","0","4,116","4,116","283","275","458","591","558","635","660","464","154","33","5"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ½Å¾Èµ¿(2917058000)","11,834","11,834","454","726","2,193","1,703","1,618","1,918","1,627","1,084","443","60","8","6,207","6,207","231","376","1,126","991","952","1,042","803","496","178","12","0","5,627","5,627","223","350","1,067","712","666","876","824","588","265","48","8"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿ëºÀµ¿(2917059000)","38,145","38,145","2,658","3,835","7,065","4,677","5,635","6,651","4,375","2,303","837","105","4","19,047","19,047","1,367","2,044","3,734","2,500","2,770","3,161","2,071","1,072","303","25","0","19,098","19,098","1,291","1,791","3,331","2,177","2,865","3,490","2,304","1,231","534","80","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï1µ¿(2917060100)","19,628","19,628","1,822","2,271","2,587","2,369","3,146","3,146","2,604","1,215","404","60","4","9,450","9,450","918","1,163","1,335","1,116","1,440","1,487","1,213","603","166","9","0","10,178","10,178","904","1,108","1,252","1,253","1,706","1,659","1,391","612","238","51","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï2µ¿(2917060200)","12,658","12,658","603","972","1,856","1,413","1,740","2,221","2,070","1,255","471","54","3","6,385","6,385","277","498","993","805","915","1,136","962","588","202","9","0","6,273","6,273","326","474","863","608","825","1,085","1,108","667","269","45","3"
