"ÇàÁ¤±¸¿ª","2021³â02¿ù_°è_ÃÑÀÎ±¸¼ö","2021³â02¿ù_°è_¿¬·É±¸°£ÀÎ±¸¼ö","2021³â02¿ù_°è_0~9¼¼","2021³â02¿ù_°è_10~19¼¼","2021³â02¿ù_°è_20~29¼¼","2021³â02¿ù_°è_30~39¼¼","2021³â02¿ù_°è_40~49¼¼","2021³â02¿ù_°è_50~59¼¼","2021³â02¿ù_°è_60~69¼¼","2021³â02¿ù_°è_70~79¼¼","2021³â02¿ù_°è_80~89¼¼","2021³â02¿ù_°è_90~99¼¼","2021³â02¿ù_°è_100¼¼ ÀÌ»ó","2021³â02¿ù_³²_ÃÑÀÎ±¸¼ö","2021³â02¿ù_³²_¿¬·É±¸°£ÀÎ±¸¼ö","2021³â02¿ù_³²_0~9¼¼","2021³â02¿ù_³²_10~19¼¼","2021³â02¿ù_³²_20~29¼¼","2021³â02¿ù_³²_30~39¼¼","2021³â02¿ù_³²_40~49¼¼","2021³â02¿ù_³²_50~59¼¼","2021³â02¿ù_³²_60~69¼¼","2021³â02¿ù_³²_70~79¼¼","2021³â02¿ù_³²_80~89¼¼","2021³â02¿ù_³²_90~99¼¼","2021³â02¿ù_³²_100¼¼ ÀÌ»ó","2021³â02¿ù_¿©_ÃÑÀÎ±¸¼ö","2021³â02¿ù_¿©_¿¬·É±¸°£ÀÎ±¸¼ö","2021³â02¿ù_¿©_0~9¼¼","2021³â02¿ù_¿©_10~19¼¼","2021³â02¿ù_¿©_20~29¼¼","2021³â02¿ù_¿©_30~39¼¼","2021³â02¿ù_¿©_40~49¼¼","2021³â02¿ù_¿©_50~59¼¼","2021³â02¿ù_¿©_60~69¼¼","2021³â02¿ù_¿©_70~79¼¼","2021³â02¿ù_¿©_80~89¼¼","2021³â02¿ù_¿©_90~99¼¼","2021³â02¿ù_¿©_100¼¼ ÀÌ»ó"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ (2917000000)","430,209","430,209","33,213","42,674","62,074","55,497","67,451","71,778","53,863","29,539","12,243","1,752","125","213,621","213,621","16,976","22,479","32,753","28,863","33,812","35,139","25,670","13,239","4,332","347","11","216,588","216,588","16,237","20,195","29,321","26,634","33,639","36,639","28,193","16,300","7,911","1,405","114"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï1µ¿(2917051000)","5,002","5,002","219","195","955","967","617","689","696","458","178","22","6","2,592","2,592","104","109","419","525","376","386","378","213","73","7","2","2,410","2,410","115","86","536","442","241","303","318","245","105","15","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï2µ¿(2917052000)","6,826","6,826","265","462","1,341","781","884","975","1,001","740","332","42","3","3,478","3,478","136","228","696","450","469","513","491","328","150","16","1","3,348","3,348","129","234","645","331","415","462","510","412","182","26","2"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï3µ¿(2917053000)","4,917","4,917","265","302","928","709","733","675","639","462","183","15","6","2,581","2,581","141","164","481","416","430","370","306","195","74","4","0","2,336","2,336","124","138","447","293","303","305","333","267","109","11","6"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ Áß¾Óµ¿(2917055500)","3,250","3,250","80","116","498","414","393","567","581","389","165","42","5","1,727","1,727","43","53","235","251","244","333","308","184","65","10","1","1,523","1,523","37","63","263","163","149","234","273","205","100","32","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÀÓµ¿(2917057000)","7,932","7,932","534","561","974","1,114","1,149","1,222","1,175","868","284","44","7","3,928","3,928","283","291","489","561","620","623","522","403","127","9","0","4,004","4,004","251","270","485","553","529","599","653","465","157","35","7"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ½Å¾Èµ¿(2917058000)","12,022","12,022","464","685","2,288","1,773","1,598","1,911","1,681","1,102","455","56","9","6,280","6,280","231","350","1,162","1,027","942","1,032","835","503","187","11","0","5,742","5,742","233","335","1,126","746","656","879","846","599","268","45","9"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿ëºÀµ¿(2917059000)","38,415","38,415","2,648","3,783","7,141","4,710","5,605","6,652","4,518","2,371","875","108","4","19,189","19,189","1,343","2,033","3,777","2,522","2,789","3,151","2,142","1,085","322","25","0","19,226","19,226","1,305","1,750","3,364","2,188","2,816","3,501","2,376","1,286","553","83","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï1µ¿(2917060100)","19,433","19,433","1,732","2,279","2,497","2,258","3,117","3,110","2,683","1,273","414","66","4","9,366","9,366","877","1,162","1,293","1,070","1,423","1,463","1,256","637","172","13","0","10,067","10,067","855","1,117","1,204","1,188","1,694","1,647","1,427","636","242","53","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï2µ¿(2917060200)","12,323","12,323","554","930","1,751","1,355","1,656","2,176","2,091","1,246","512","49","3","6,214","6,214","251","472","934","779","871","1,121","975","588","214","9","0","6,109","6,109","303","458","817","576","785","1,055","1,116","658","298","40","3"
