"행정구역","2021년06월_계_총인구수","2021년06월_계_연령구간인구수","2021년06월_계_0~9세","2021년06월_계_10~19세","2021년06월_계_20~29세","2021년06월_계_30~39세","2021년06월_계_40~49세","2021년06월_계_50~59세","2021년06월_계_60~69세","2021년06월_계_70~79세","2021년06월_계_80~89세","2021년06월_계_90~99세","2021년06월_계_100세 이상","2021년06월_남_총인구수","2021년06월_남_연령구간인구수","2021년06월_남_0~9세","2021년06월_남_10~19세","2021년06월_남_20~29세","2021년06월_남_30~39세","2021년06월_남_40~49세","2021년06월_남_50~59세","2021년06월_남_60~69세","2021년06월_남_70~79세","2021년06월_남_80~89세","2021년06월_남_90~99세","2021년06월_남_100세 이상","2021년06월_여_총인구수","2021년06월_여_연령구간인구수","2021년06월_여_0~9세","2021년06월_여_10~19세","2021년06월_여_20~29세","2021년06월_여_30~39세","2021년06월_여_40~49세","2021년06월_여_50~59세","2021년06월_여_60~69세","2021년06월_여_70~79세","2021년06월_여_80~89세","2021년06월_여_90~99세","2021년06월_여_100세 이상"
"경상남도 거제시 (4831000000)","243,200","243,200","25,335","27,837","23,629","34,684","47,446","39,362","27,882","11,084","5,099","813","29","127,510","127,510","13,130","14,554","13,355","18,189","25,735","21,227","14,308","5,300","1,573","131","8","115,690","115,690","12,205","13,283","10,274","16,495","21,711","18,135","13,574","5,784","3,526","682","21"
"경상남도 거제시 일운면(4831031000)","8,014","8,014","549","627","657","830","1,243","1,602","1,479","630","339","57","1","4,097","4,097","279","331","382","424","657","849","767","295","105","7","1","3,917","3,917","270","296","275","406","586","753","712","335","234","50","0"
"경상남도 거제시 동부면(4831032000)","3,114","3,114","84","116","220","212","341","612","736","498","257","37","1","1,618","1,618","50","64","122","137","210","329","367","239","93","6","1","1,496","1,496","34","52","98","75","131","283","369","259","164","31","0"
"경상남도 거제시 남부면(4831033000)","1,602","1,602","27","60","84","89","153","333","394","283","158","21","0","805","805","13","33","50","50","92","195","209","112","48","3","0","797","797","14","27","34","39","61","138","185","171","110","18","0"
"경상남도 거제시 거제면(4831034000)","7,168","7,168","378","568","542","582","957","1,292","1,413","826","508","97","5","3,547","3,547","202","279","306","303","528","655","734","374","156","9","1","3,621","3,621","176","289","236","279","429","637","679","452","352","88","4"
"경상남도 거제시 둔덕면(4831035000)","2,900","2,900","64","151","202","149","304","543","733","456","254","42","2","1,506","1,506","37","84","132","89","180","288","387","219","80","10","0","1,394","1,394","27","67","70","60","124","255","346","237","174","32","2"
"경상남도 거제시 사등면(4831036000)","11,997","11,997","1,363","1,135","924","1,703","2,204","1,880","1,551","812","368","55","2","6,237","6,237","683","598","530","852","1,237","1,031","791","399","103","13","0","5,760","5,760","680","537","394","851","967","849","760","413","265","42","2"
"경상남도 거제시 사등면가조출장소(4831036600)","1,106","1,106","34","51","64","79","108","228","299","163","68","12","0","564","564","17","31","36","53","60","118","157","71","17","4","0","542","542","17","20","28","26","48","110","142","92","51","8","0"
"경상남도 거제시 연초면(4831037000)","8,150","8,150","463","656","743","835","1,346","1,686","1,399","617","345","59","1","4,502","4,502","261","353","447","488","797","980","749","306","110","11","0","3,648","3,648","202","303","296","347","549","706","650","311","235","48","1"
"경상남도 거제시 하청면(4831038000)","3,573","3,573","178","267","279","291","448","656","723","433","250","47","1","1,850","1,850","94","147","138","168","272","355","360","224","88","4","0","1,723","1,723","84","120","141","123","176","301","363","209","162","43","1"
