"ÇàÁ¤±¸¿ª","2021³â04¿ù_°è_ÃÑÀÎ±¸¼ö","2021³â04¿ù_°è_¿¬·É±¸°£ÀÎ±¸¼ö","2021³â04¿ù_°è_0~9¼¼","2021³â04¿ù_°è_10~19¼¼","2021³â04¿ù_°è_20~29¼¼","2021³â04¿ù_°è_30~39¼¼","2021³â04¿ù_°è_40~49¼¼","2021³â04¿ù_°è_50~59¼¼","2021³â04¿ù_°è_60~69¼¼","2021³â04¿ù_°è_70~79¼¼","2021³â04¿ù_°è_80~89¼¼","2021³â04¿ù_°è_90~99¼¼","2021³â04¿ù_°è_100¼¼ ÀÌ»ó","2021³â04¿ù_³²_ÃÑÀÎ±¸¼ö","2021³â04¿ù_³²_¿¬·É±¸°£ÀÎ±¸¼ö","2021³â04¿ù_³²_0~9¼¼","2021³â04¿ù_³²_10~19¼¼","2021³â04¿ù_³²_20~29¼¼","2021³â04¿ù_³²_30~39¼¼","2021³â04¿ù_³²_40~49¼¼","2021³â04¿ù_³²_50~59¼¼","2021³â04¿ù_³²_60~69¼¼","2021³â04¿ù_³²_70~79¼¼","2021³â04¿ù_³²_80~89¼¼","2021³â04¿ù_³²_90~99¼¼","2021³â04¿ù_³²_100¼¼ ÀÌ»ó","2021³â04¿ù_¿©_ÃÑÀÎ±¸¼ö","2021³â04¿ù_¿©_¿¬·É±¸°£ÀÎ±¸¼ö","2021³â04¿ù_¿©_0~9¼¼","2021³â04¿ù_¿©_10~19¼¼","2021³â04¿ù_¿©_20~29¼¼","2021³â04¿ù_¿©_30~39¼¼","2021³â04¿ù_¿©_40~49¼¼","2021³â04¿ù_¿©_50~59¼¼","2021³â04¿ù_¿©_60~69¼¼","2021³â04¿ù_¿©_70~79¼¼","2021³â04¿ù_¿©_80~89¼¼","2021³â04¿ù_¿©_90~99¼¼","2021³â04¿ù_¿©_100¼¼ ÀÌ»ó"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ (2917000000)","429,159","429,159","32,880","42,288","61,955","55,205","67,113","71,512","54,368","29,557","12,394","1,782","105","213,032","213,032","16,836","22,278","32,653","28,718","33,662","35,048","25,843","13,261","4,372","353","8","216,127","216,127","16,044","20,010","29,302","26,487","33,451","36,464","28,525","16,296","8,022","1,429","97"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï1µ¿(2917051000)","4,966","4,966","226","188","958","959","617","673","682","455","183","22","3","2,561","2,561","109","106","417","509","376","382","366","213","73","8","2","2,405","2,405","117","82","541","450","241","291","316","242","110","14","1"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï2µ¿(2917052000)","6,800","6,800","265","458","1,326","786","864","983","984","757","332","43","2","3,473","3,473","136","230","684","464","459","520","482","334","146","18","0","3,327","3,327","129","228","642","322","405","463","502","423","186","25","2"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï3µ¿(2917053000)","4,877","4,877","264","305","916","704","721","658","647","457","184","17","4","2,560","2,560","142","165","473","413","416","365","313","195","73","5","0","2,317","2,317","122","140","443","291","305","293","334","262","111","12","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ Áß¾Óµ¿(2917055500)","3,205","3,205","79","111","494","418","385","559","568","381","165","40","5","1,693","1,693","44","48","236","245","239","328","300","179","64","9","1","1,512","1,512","35","63","258","173","146","231","268","202","101","31","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÀÓµ¿(2917057000)","7,902","7,902","528","552","987","1,104","1,148","1,206","1,179","851","299","45","3","3,899","3,899","280","292","494","551","617","612","521","389","135","8","0","4,003","4,003","248","260","493","553","531","594","658","462","164","37","3"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ½Å¾Èµ¿(2917058000)","12,048","12,048","451","687","2,304","1,773","1,599","1,903","1,710","1,101","461","52","7","6,317","6,317","225","353","1,182","1,025","944","1,034","850","504","188","12","0","5,731","5,731","226","334","1,122","748","655","869","860","597","273","40","7"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿ëºÀµ¿(2917059000)","38,439","38,439","2,619","3,767","7,167","4,730","5,611","6,631","4,554","2,358","883","117","2","19,170","19,170","1,312","2,007","3,783","2,532","2,817","3,146","2,146","1,075","325","27","0","19,269","19,269","1,307","1,760","3,384","2,198","2,794","3,485","2,408","1,283","558","90","2"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï1µ¿(2917060100)","19,440","19,440","1,717","2,286","2,499","2,254","3,112","3,102","2,695","1,283","425","64","3","9,361","9,361","874","1,158","1,291","1,073","1,420","1,458","1,259","643","171","14","0","10,079","10,079","843","1,128","1,208","1,181","1,692","1,644","1,436","640","254","50","3"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï2µ¿(2917060200)","12,189","12,189","548","884","1,736","1,333","1,634","2,135","2,108","1,248","510","50","3","6,137","6,137","255","452","919","767","851","1,108","971","589","215","10","0","6,052","6,052","293","432","817","566","783","1,027","1,137","659","295","40","3"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï3µ¿(2917060300)","13,014","13,014","914","1,413","1,878","1,470","1,880","2,292","1,884","847","367","68","1","6,257","6,257","469","757","1,024","730","879","1,012","871","381","124","10","0","6,757","6,757","445","656","854","740","1,001","1,280","1,013","466","243","58","1"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ µ¿¸²µ¿(2917061500)","23,651","23,651","2,159","2,313","3,069","3,568","3,891","3,892","2,811","1,378","488","79","3","11,672","11,672","1,106","1,242","1,613","1,814","1,981","1,827","1,253","647","168","20","1","11,979","11,979","1,053","1,071","1,456","1,754","1,910","2,065","1,558","731","320","59","2"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿ì»êµ¿(2917062000)","10,606","10,606","396","657","1,324","979","1,272","1,836","2,085","1,387","578","83","9","5,164","5,164","203","355","691","534","687","929","951","602","197","14","1","5,442","5,442","193","302","633","445","585","907","1,134","785","381","69","8"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ Ç³Çâµ¿(2917063500)","5,890","5,890","524","521","710","798","929","914","749","505","206","32","2","2,941","2,941","262","257","395","402","499","483","334","237","69","3","0","2,949","2,949","262","264","315","396","430","431","415","268","137","29","2"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¹®È­µ¿(2917065000)","21,033","21,033","1,662","1,660","2,598","3,018","3,018","3,480","3,036","1,696","748","104","13","10,339","10,339","827","889","1,368","1,577","1,581","1,653","1,419","754","247","22","2","10,694","10,694","835","771","1,230","1,441","1,437","1,827","1,617","942","501","82","11"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¹®Èï1µ¿(2917065600)","16,202","16,202","1,095","1,884","2,396","1,594","2,460","3,001","2,206","1,067","444","54","1","7,878","7,878","520","980","1,278","819","1,135","1,408","1,086","486","156","10","0","8,324","8,324","575","904","1,118","775","1,325","1,593","1,120","581","288","44","1"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¹®Èï2µ¿(2917065700)","15,930","15,930","1,064","1,432","2,577","1,995","2,350","2,591","2,113","1,190","540","75","3","7,591","7,591","541","740","1,320","1,061","1,160","1,162","921","473","193","19","1","8,339","8,339","523","692","1,257","934","1,190","1,429","1,192","717","347","56","2"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ µÎ¾Ï1µ¿(2917066100)","7,870","7,870","280","629","1,140","751","1,026","1,383","1,320","931","352","55","3","3,929","3,929","162","333","608","408","543","681","595","442","144","13","0","3,941","3,941","118","296","532","343","483","702","725","489","208","42","3"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ µÎ¾Ï2µ¿(2917066200)","16,199","16,199","867","1,339","2,321","1,758","2,199","2,900","2,659","1,517","554","82","3","8,024","8,024","436","699","1,226","965","1,117","1,430","1,210","712","216","13","0","8,175","8,175","431","640","1,095","793","1,082","1,470","1,449","805","338","69","3"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ µÎ¾Ï3µ¿(2917066300)","13,682","13,682","449","812","1,581","1,279","1,586","2,606","2,808","1,626","819","108","8","6,572","6,572","226","420","812","696","839","1,296","1,368","661","235","19","0","7,110","7,110","223","392","769","583","747","1,310","1,440","965","584","89","8"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ »ï°¢µ¿(2917066600)","14,236","14,236","968","1,655","2,281","1,683","2,415","2,650","1,519","734","280","51","0","7,372","7,372","525","925","1,290","892","1,168","1,368","763","336","97","8","0","6,864","6,864","443","730","991","791","1,247","1,282","756","398","183","43","0"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÀÏ°îµ¿(2917066900)","30,216","30,216","2,381","4,599","4,716","2,955","5,640","5,625","2,410","1,168","632","85","5","14,778","14,778","1,240","2,504","2,553","1,391","2,448","2,761","1,189","467","204","21","0","15,438","15,438","1,141","2,095","2,163","1,564","3,192","2,864","1,221","701","428","64","5"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¸Å°îµ¿(2917067300)","14,060","14,060","1,159","1,744","1,968","1,695","2,282","2,447","1,601","754","349","59","2","6,902","6,902","597","956","1,072","834","1,054","1,119","795","342","124","9","0","7,158","7,158","562","788","896","861","1,228","1,328","806","412","225","50","2"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿ÀÄ¡1µ¿(2917067600)","11,171","11,171","642","1,027","1,766","1,266","1,635","2,139","1,569","791","284","47","5","5,658","5,658","322","542","942","677","849","1,084","774","366","94","8","0","5,513","5,513","320","485","824","589","786","1,055","795","425","190","39","5"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿ÀÄ¡2µ¿(2917067700)","12,681","12,681","520","796","1,900","1,477","1,576","2,431","2,194","1,135","573","79","0","6,206","6,206","247","441","994","807","822","1,142","1,080","500","163","10","0","6,475","6,475","273","355","906","670","754","1,289","1,114","635","410","69","0"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¼®°îµ¿(2917068500)","2,616","2,616","67","127","248","219","230","523","578","370","214","36","4","1,367","1,367","30","81","147","130","133","293","312","159","75","7","0","1,249","1,249","37","46","101","89","97","230","266","211","139","29","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ °Ç±¹µ¿(2917069500)","22,568","22,568","2,675","2,525","2,750","3,530","4,095","3,344","2,041","1,003","523","76","6","11,382","11,382","1,390","1,288","1,476","1,781","2,072","1,737","1,024","452","154","8","0","11,186","11,186","1,285","1,237","1,274","1,749","2,023","1,607","1,017","551","369","68","6"
