"행정구역","2020년10월_계_총인구수","2020년10월_계_연령구간인구수","2020년10월_계_0~9세","2020년10월_계_10~19세","2020년10월_계_20~29세","2020년10월_계_30~39세","2020년10월_계_40~49세","2020년10월_계_50~59세","2020년10월_계_60~69세","2020년10월_계_70~79세","2020년10월_계_80~89세","2020년10월_계_90~99세","2020년10월_계_100세 이상","2020년10월_남_총인구수","2020년10월_남_연령구간인구수","2020년10월_남_0~9세","2020년10월_남_10~19세","2020년10월_남_20~29세","2020년10월_남_30~39세","2020년10월_남_40~49세","2020년10월_남_50~59세","2020년10월_남_60~69세","2020년10월_남_70~79세","2020년10월_남_80~89세","2020년10월_남_90~99세","2020년10월_남_100세 이상","2020년10월_여_총인구수","2020년10월_여_연령구간인구수","2020년10월_여_0~9세","2020년10월_여_10~19세","2020년10월_여_20~29세","2020년10월_여_30~39세","2020년10월_여_40~49세","2020년10월_여_50~59세","2020년10월_여_60~69세","2020년10월_여_70~79세","2020년10월_여_80~89세","2020년10월_여_90~99세","2020년10월_여_100세 이상"
"전국  (0000000000)","51,838,016","51,838,016","4,005,030","4,818,481","6,802,784","6,900,752","8,312,221","8,655,292","6,669,780","3,687,451","1,714,191","250,335","21,699","25,847,719","25,847,719","2,053,757","2,492,660","3,572,849","3,554,522","4,222,636","4,367,890","3,262,004","1,658,170","601,436","56,511","5,284","25,990,297","25,990,297","1,951,273","2,325,821","3,229,935","3,346,230","4,089,585","4,287,402","3,407,776","2,029,281","1,112,755","193,824","16,415"
"서울특별시  (1100000000)","9,689,159","9,689,159","631,458","788,199","1,462,526","1,482,049","1,534,932","1,528,085","1,235,472","702,248","275,146","42,352","6,692","4,713,716","4,713,716","324,310","404,407","709,822","741,388","760,281","750,451","583,531","319,781","106,866","11,116","1,763","4,975,443","4,975,443","307,148","383,792","752,704","740,661","774,651","777,634","651,941","382,467","168,280","31,236","4,929"
"부산광역시  (2600000000)","3,397,598","3,397,598","234,617","273,478","432,419","422,148","512,482","571,573","527,531","292,328","114,187","14,959","1,876","1,664,277","1,664,277","120,276","141,427","225,503","215,859","257,763","277,278","249,794","131,736","40,954","3,272","415","1,733,321","1,733,321","114,341","132,051","206,916","206,289","254,719","294,295","277,737","160,592","73,233","11,687","1,461"
"대구광역시  (2700000000)","2,424,171","2,424,171","180,003","227,586","322,910","296,728","385,501","426,784","322,968","174,764","76,914","9,289","724","1,196,446","1,196,446","92,225","118,877","172,890","154,141","190,148","208,878","153,832","76,315","26,928","2,041","171","1,227,725","1,227,725","87,778","108,709","150,020","142,587","195,353","217,906","169,136","98,449","49,986","7,248","553"
"인천광역시  (2800000000)","2,942,233","2,942,233","230,733","275,120","401,806","407,042","484,692","513,053","362,963","176,800","76,819","12,256","949","1,473,834","1,473,834","118,446","141,458","209,569","210,479","247,655","256,576","179,874","80,533","26,344","2,650","250","1,468,399","1,468,399","112,287","133,662","192,237","196,563","237,037","256,477","183,089","96,267","50,475","9,606","699"
"광주광역시  (2900000000)","1,452,994","1,452,994","120,817","158,158","209,839","187,088","242,147","233,829","162,498","92,935","39,465","5,797","421","718,912","718,912","62,065","82,004","109,569","95,488","120,124","115,928","77,439","41,161","13,850","1,229","55","734,082","734,082","58,752","76,154","100,270","91,600","122,023","117,901","85,059","51,774","25,615","4,568","366"
"대전광역시  (3000000000)","1,467,556","1,467,556","116,012","147,489","212,830","195,531","238,518","242,641","177,135","90,995","40,209","5,834","362","732,552","732,552","59,554","76,337","111,640","101,876","118,869","121,052","86,131","41,301","14,362","1,342","88","735,004","735,004","56,458","71,152","101,190","93,655","119,649","121,589","91,004","49,694","25,847","4,492","274"
"울산광역시  (3100000000)","1,138,581","1,138,581","99,560","112,789","145,618","153,160","188,439","210,132","143,512","59,609","22,514","3,077","171","584,963","584,963","51,129","59,378","81,724","81,298","95,852","107,021","72,373","28,235","7,402","517","34","553,618","553,618","48,431","53,411","63,894","71,862","92,587","103,111","71,139","31,374","15,112","2,560","137"
"세종특별자치시  (3600000000)","351,007","351,007","47,042","41,968","36,742","60,994","67,761","44,596","29,409","14,219","7,045","1,177","54","175,135","175,135","24,095","21,040","18,658","29,744","34,640","23,211","14,571","6,513","2,395","257","11","175,872","175,872","22,947","20,928","18,084","31,250","33,121","21,385","14,838","7,706","4,650","920","43"
"경기도  (4100000000)","13,400,615","13,400,615","1,152,827","1,335,101","1,800,950","1,908,030","2,298,367","2,231,904","1,510,133","762,765","344,435","51,806","4,297","6,741,849","6,741,849","590,278","687,009","948,109","982,705","1,167,816","1,131,227","750,482","345,864","124,854","12,348","1,157","6,658,766","6,658,766","562,549","648,092","852,841","925,325","1,130,551","1,100,677","759,651","416,901","219,581","39,458","3,140"
