"행정구역","2021년03월_계_총인구수","2021년03월_계_연령구간인구수","2021년03월_계_0~9세","2021년03월_계_10~19세","2021년03월_계_20~29세","2021년03월_계_30~39세","2021년03월_계_40~49세","2021년03월_계_50~59세","2021년03월_계_60~69세","2021년03월_계_70~79세","2021년03월_계_80~89세","2021년03월_계_90~99세","2021년03월_계_100세 이상","2021년03월_남_총인구수","2021년03월_남_연령구간인구수","2021년03월_남_0~9세","2021년03월_남_10~19세","2021년03월_남_20~29세","2021년03월_남_30~39세","2021년03월_남_40~49세","2021년03월_남_50~59세","2021년03월_남_60~69세","2021년03월_남_70~79세","2021년03월_남_80~89세","2021년03월_남_90~99세","2021년03월_남_100세 이상","2021년03월_여_총인구수","2021년03월_여_연령구간인구수","2021년03월_여_0~9세","2021년03월_여_10~19세","2021년03월_여_20~29세","2021년03월_여_30~39세","2021년03월_여_40~49세","2021년03월_여_50~59세","2021년03월_여_60~69세","2021년03월_여_70~79세","2021년03월_여_80~89세","2021년03월_여_90~99세","2021년03월_여_100세 이상"
"울산광역시 북구 (3120000000)","218,481","218,481","24,880","23,473","27,324","33,801","38,693","38,621","20,662","7,511","3,067","432","17","113,172","113,172","12,784","12,220","15,547","17,594","19,848","19,822","10,865","3,509","917","62","4","105,309","105,309","12,096","11,253","11,777","16,207","18,845","18,799","9,797","4,002","2,150","370","13"
"울산광역시 북구 농소1동(3120051000)","37,173","37,173","4,586","3,917","4,156","5,746","6,718","6,182","3,733","1,513","541","77","4","18,996","18,996","2,340","2,006","2,308","2,908","3,505","3,116","1,953","689","158","13","0","18,177","18,177","2,246","1,911","1,848","2,838","3,213","3,066","1,780","824","383","64","4"
"울산광역시 북구 농소2동(3120052000)","40,158","40,158","5,371","4,681","4,428","6,678","7,495","6,307","3,412","1,202","516","67","1","20,467","20,467","2,784","2,410","2,408","3,357","3,883","3,161","1,730","564","159","11","0","19,691","19,691","2,587","2,271","2,020","3,321","3,612","3,146","1,682","638","357","56","1"
"울산광역시 북구 농소3동(3120053000)","38,865","38,865","3,697","6,192","4,904","3,860","8,437","7,176","2,736","1,258","527","75","3","19,781","19,781","1,900","3,260","2,745","1,871","3,953","3,878","1,450","552","159","12","1","19,084","19,084","1,797","2,932","2,159","1,989","4,484","3,298","1,286","706","368","63","2"
"울산광역시 북구 강동동(3120054000)","16,527","16,527","2,661","1,350","1,192","3,410","2,819","2,167","1,827","682","361","55","3","8,462","8,462","1,318","687","670","1,697","1,590","1,089","963","331","108","9","0","8,065","8,065","1,343","663","522","1,713","1,229","1,078","864","351","253","46","3"
"울산광역시 북구 효문동(3120056000)","29,800","29,800","2,704","2,182","4,621","4,940","4,313","6,331","3,279","972","393","64","1","15,968","15,968","1,427","1,154","2,666","2,826","2,313","3,227","1,761","469","116","8","1","13,832","13,832","1,277","1,028","1,955","2,114","2,000","3,104","1,518","503","277","56","0"
"울산광역시 북구 송정동(3120057000)","35,968","35,968","4,390","3,618","4,983","6,163","5,938","6,584","2,889","948","395","60","0","18,361","18,361","2,275","1,875","2,738","3,136","2,904","3,291","1,559","473","104","6","0","17,607","17,607","2,115","1,743","2,245","3,027","3,034","3,293","1,330","475","291","54","0"
"울산광역시 북구 양정동(3120058000)","9,972","9,972","719","758","1,743","1,585","1,449","1,975","1,199","390","134","20","0","5,767","5,767","365","401","1,210","983","828","1,111","631","201","35","2","0","4,205","4,205","354","357","533","602","621","864","568","189","99","18","0"
"울산광역시 북구 염포동(3120059000)","10,018","10,018","752","775","1,297","1,419","1,524","1,899","1,587","546","200","14","5","5,370","5,370","375","427","802","816","872","949","818","230","78","1","2","4,648","4,648","377","348","495","603","652","950","769","316","122","13","3"
