"ÇàÁ¤±¸¿ª","2021³â08¿ù_°è_ÃÑÀÎ±¸¼ö","2021³â08¿ù_°è_¿¬·É±¸°£ÀÎ±¸¼ö","2021³â08¿ù_°è_0~9¼¼","2021³â08¿ù_°è_10~19¼¼","2021³â08¿ù_°è_20~29¼¼","2021³â08¿ù_°è_30~39¼¼","2021³â08¿ù_°è_40~49¼¼","2021³â08¿ù_°è_50~59¼¼","2021³â08¿ù_°è_60~69¼¼","2021³â08¿ù_°è_70~79¼¼","2021³â08¿ù_°è_80~89¼¼","2021³â08¿ù_°è_90~99¼¼","2021³â08¿ù_°è_100¼¼ ÀÌ»ó","2021³â08¿ù_³²_ÃÑÀÎ±¸¼ö","2021³â08¿ù_³²_¿¬·É±¸°£ÀÎ±¸¼ö","2021³â08¿ù_³²_0~9¼¼","2021³â08¿ù_³²_10~19¼¼","2021³â08¿ù_³²_20~29¼¼","2021³â08¿ù_³²_30~39¼¼","2021³â08¿ù_³²_40~49¼¼","2021³â08¿ù_³²_50~59¼¼","2021³â08¿ù_³²_60~69¼¼","2021³â08¿ù_³²_70~79¼¼","2021³â08¿ù_³²_80~89¼¼","2021³â08¿ù_³²_90~99¼¼","2021³â08¿ù_³²_100¼¼ ÀÌ»ó","2021³â08¿ù_¿©_ÃÑÀÎ±¸¼ö","2021³â08¿ù_¿©_¿¬·É±¸°£ÀÎ±¸¼ö","2021³â08¿ù_¿©_0~9¼¼","2021³â08¿ù_¿©_10~19¼¼","2021³â08¿ù_¿©_20~29¼¼","2021³â08¿ù_¿©_30~39¼¼","2021³â08¿ù_¿©_40~49¼¼","2021³â08¿ù_¿©_50~59¼¼","2021³â08¿ù_¿©_60~69¼¼","2021³â08¿ù_¿©_70~79¼¼","2021³â08¿ù_¿©_80~89¼¼","2021³â08¿ù_¿©_90~99¼¼","2021³â08¿ù_¿©_100¼¼ ÀÌ»ó"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ (2917000000)","427,773","427,773","32,460","41,839","61,536","54,871","66,208","71,189","55,326","29,837","12,665","1,777","65","212,410","212,410","16,585","22,056","32,378","28,600","33,243","34,938","26,331","13,365","4,545","364","5","215,363","215,363","15,875","19,783","29,158","26,271","32,965","36,251","28,995","16,472","8,120","1,413","60"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï1µ¿(2917051000)","4,861","4,861","233","173","901","956","618","650","676","447","187","18","2","2,510","2,510","112","97","391","506","376","375","365","204","76","7","1","2,351","2,351","121","76","510","450","242","275","311","243","111","11","1"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï2µ¿(2917052000)","6,814","6,814","257","455","1,379","773","846","980","978","772","330","43","1","3,464","3,464","132","224","701","459","449","515","476","342","150","16","0","3,350","3,350","125","231","678","314","397","465","502","430","180","27","1"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï3µ¿(2917053000)","4,807","4,807","252","289","911","701","704","655","623","461","190","19","2","2,543","2,543","135","158","471","419","407","370","303","199","75","6","0","2,264","2,264","117","131","440","282","297","285","320","262","115","13","2"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ Áß¾Óµ¿(2917055500)","3,110","3,110","80","109","465","399","377","543","560","369","164","39","5","1,664","1,664","45","49","221","242","237","321","298","177","65","8","1","1,446","1,446","35","60","244","157","140","222","262","192","99","31","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÀÓµ¿(2917057000)","8,878","8,878","661","599","1,140","1,360","1,266","1,313","1,285","880","321","51","2","4,396","4,396","345","316","574","699","673","660","569","403","150","7","0","4,482","4,482","316","283","566","661","593","653","716","477","171","44","2"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ½Å¾Èµ¿(2917058000)","11,916","11,916","443","694","2,227","1,787","1,557","1,870","1,728","1,090","476","41","3","6,276","6,276","220","366","1,154","1,038","927","1,015","858","493","194","11","0","5,640","5,640","223","328","1,073","749","630","855","870","597","282","30","3"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿ëºÀµ¿(2917059000)","38,476","38,476","2,572","3,725","7,194","4,754","5,505","6,657","4,661","2,374","916","115","3","19,175","19,175","1,275","1,973","3,813","2,566","2,742","3,153","2,212","1,074","340","27","0","19,301","19,301","1,297","1,752","3,381","2,188","2,763","3,504","2,449","1,300","576","88","3"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï1µ¿(2917060100)","19,369","19,369","1,702","2,259","2,463","2,241","3,094","3,063","2,756","1,300","430","60","1","9,356","9,356","875","1,154","1,269","1,069","1,420","1,439","1,287","652","177","14","0","10,013","10,013","827","1,105","1,194","1,172","1,674","1,624","1,469","648","253","46","1"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï2µ¿(2917060200)","12,045","12,045","514","864","1,707","1,300","1,612","2,077","2,108","1,278","524","58","3","6,069","6,069","238","433","899","751","838","1,080","993","602","220","15","0","5,976","5,976","276","431","808","549","774","997","1,115","676","304","43","3"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï3µ¿(2917060300)","12,784","12,784","906","1,371","1,806","1,443","1,820","2,239","1,909","854","372","64","0","6,129","6,129","459","732","985","711","847","991","889","378","124","13","0","6,655","6,655","447","639","821","732","973","1,248","1,020","476","248","51","0"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ µ¿¸²µ¿(2917061500)","23,524","23,524","2,150","2,268","3,033","3,506","3,849","3,867","2,869","1,392","514","71","5","11,611","11,611","1,107","1,218","1,589","1,775","1,959","1,834","1,280","646","185","17","1","11,913","11,913","1,043","1,050","1,444","1,731","1,890","2,033","1,589","746","329","54","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿ì»êµ¿(2917062000)","10,456","10,456","391","649","1,321","967","1,238","1,773","2,066","1,380","586","84","1","5,091","5,091","200","347","682","535","672","902","940","602","197","14","0","5,365","5,365","191","302","639","432","566","871","1,126","778","389","70","1"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ Ç³Çâµ¿(2917063500)","5,802","5,802","518","517","706","777","911","879","754","496","215","27","2","2,901","2,901","257","255","385","399","485","469","347","228","74","2","0","2,901","2,901","261","262","321","378","426","410","407","268","141","25","2"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¹®È­µ¿(2917065000)","20,980","20,980","1,669","1,633","2,567","3,020","2,974","3,427","3,095","1,727","755","106","7","10,333","10,333","829","893","1,355","1,563","1,568","1,634","1,445","760","262","23","1","10,647","10,647","840","740","1,212","1,457","1,406","1,793","1,650","967","493","83","6"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¹®Èï1µ¿(2917065600)","16,069","16,069","1,075","1,856","2,310","1,594","2,401","2,980","2,247","1,089","459","56","2","7,805","7,805","501","968","1,242","812","1,107","1,398","1,104","501","160","12","0","8,264","8,264","574","888","1,068","782","1,294","1,582","1,143","588","299","44","2"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¹®Èï2µ¿(2917065700)","15,746","15,746","1,022","1,413","2,507","1,951","2,321","2,538","2,154","1,207","546","84","3","7,500","7,500","526","733","1,272","1,040","1,143","1,146","936","477","205","21","1","8,246","8,246","496","680","1,235","911","1,178","1,392","1,218","730","341","63","2"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ µÎ¾Ï1µ¿(2917066100)","7,807","7,807","265","619","1,153","749","983","1,368","1,325","937","357","50","1","3,890","3,890","150","328","605","401","530","676","598","440","148","14","0","3,917","3,917","115","291","548","348","453","692","727","497","209","36","1"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ µÎ¾Ï2µ¿(2917066200)","16,117","16,117","843","1,324","2,285","1,717","2,181","2,885","2,694","1,533","568","86","1","7,976","7,976","424","692","1,202","935","1,114","1,429","1,219","716","230","15","0","8,141","8,141","419","632","1,083","782","1,067","1,456","1,475","817","338","71","1"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ µÎ¾Ï3µ¿(2917066300)","13,534","13,534","434","782","1,558","1,275","1,520","2,556","2,831","1,639","822","112","5","6,500","6,500","221","415","795","695","795","1,267","1,385","668","236","23","0","7,034","7,034","213","367","763","580","725","1,289","1,446","971","586","89","5"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ »ï°¢µ¿(2917066600)","14,174","14,174","966","1,648","2,247","1,667","2,367","2,649","1,559","730","295","46","0","7,305","7,305","518","916","1,273","864","1,142","1,359","789","334","102","8","0","6,869","6,869","448","732","974","803","1,225","1,290","770","396","193","38","0"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÀÏ°îµ¿(2917066900)","29,947","29,947","2,317","4,475","4,658","2,882","5,511","5,679","2,506","1,181","648","86","4","14,684","14,684","1,200","2,432","2,545","1,374","2,401","2,792","1,220","480","216","24","0","15,263","15,263","1,117","2,043","2,113","1,508","3,110","2,887","1,286","701","432","62","4"
