"행정구역","2021년02월_계_총인구수","2021년02월_계_연령구간인구수","2021년02월_계_0~9세","2021년02월_계_10~19세","2021년02월_계_20~29세","2021년02월_계_30~39세","2021년02월_계_40~49세","2021년02월_계_50~59세","2021년02월_계_60~69세","2021년02월_계_70~79세","2021년02월_계_80~89세","2021년02월_계_90~99세","2021년02월_계_100세 이상","2021년02월_남_총인구수","2021년02월_남_연령구간인구수","2021년02월_남_0~9세","2021년02월_남_10~19세","2021년02월_남_20~29세","2021년02월_남_30~39세","2021년02월_남_40~49세","2021년02월_남_50~59세","2021년02월_남_60~69세","2021년02월_남_70~79세","2021년02월_남_80~89세","2021년02월_남_90~99세","2021년02월_남_100세 이상","2021년02월_여_총인구수","2021년02월_여_연령구간인구수","2021년02월_여_0~9세","2021년02월_여_10~19세","2021년02월_여_20~29세","2021년02월_여_30~39세","2021년02월_여_40~49세","2021년02월_여_50~59세","2021년02월_여_60~69세","2021년02월_여_70~79세","2021년02월_여_80~89세","2021년02월_여_90~99세","2021년02월_여_100세 이상"
"전라남도 장성군 (4688000000)","44,432","44,432","2,745","3,274","4,199","3,650","5,513","7,475","7,342","5,911","3,766","519","38","22,774","22,774","1,392","1,725","2,482","1,957","3,136","4,266","3,870","2,612","1,206","124","4","21,658","21,658","1,353","1,549","1,717","1,693","2,377","3,209","3,472","3,299","2,560","395","34"
"전라남도 장성군 장성읍(4688025000)","13,617","13,617","1,019","1,224","1,296","1,190","1,944","2,172","2,054","1,651","925","131","11","6,731","6,731","532","637","695","594","1,043","1,196","1,001","729","279","24","1","6,886","6,886","487","587","601","596","901","976","1,053","922","646","107","10"
"전라남도 장성군 진원면(4688031000)","3,725","3,725","332","303","308","286","469","626","622","439","298","36","6","1,889","1,889","183","160","169","130","250","383","309","201","93","10","1","1,836","1,836","149","143","139","156","219","243","313","238","205","26","5"
"전라남도 장성군 남면(4688032000)","3,720","3,720","159","180","360","328","417","700","714","499","316","46","1","2,001","2,001","79","95","209","209","274","394","398","227","102","14","0","1,719","1,719","80","85","151","119","143","306","316","272","214","32","1"
"전라남도 장성군 동화면(4688033000)","1,855","1,855","50","72","152","128","180","357","378","275","223","39","1","982","982","20","37","98","80","115","207","222","115","77","11","0","873","873","30","35","54","48","65","150","156","160","146","28","1"
"전라남도 장성군 삼서면(4688034000)","3,289","3,289","148","194","333","184","380","582","591","491","353","32","1","1,802","1,802","80","110","276","97","241","335","314","215","126","8","0","1,487","1,487","68","84","57","87","139","247","277","276","227","24","1"
"전라남도 장성군 삼계면(4688035000)","6,091","6,091","646","624","793","781","878","828","637","537","327","40","0","3,186","3,186","307","325","483","434","474","487","353","215","95","13","0","2,905","2,905","339","299","310","347","404","341","284","322","232","27","0"
"전라남도 장성군 황룡면(4688036000)","4,092","4,092","167","252","403","280","513","791","752","535","337","58","4","2,073","2,073","77","119","240","152","301","438","412","227","94","13","0","2,019","2,019","90","133","163","128","212","353","340","308","243","45","4"
"전라남도 장성군 서삼면(4688037000)","1,554","1,554","58","89","132","106","162","278","296","253","153","25","2","817","817","30","50","71","63","102","165","161","116","52","6","1","737","737","28","39","61","43","60","113","135","137","101","19","1"
"전라남도 장성군 북일면(4688038000)","1,395","1,395","32","60","115","76","108","230","287","275","185","26","1","698","698","11","35","71","41","58","133","151","122","70","6","0","697","697","21","25","44","35","50","97","136","153","115","20","1"
"전라남도 장성군 북이면(4688039000)","2,885","2,885","79","176","181","156","261","483","526","551","426","44","2","1,455","1,455","44","104","101","84","160","276","283","248","145","10","0","1,430","1,430","35","72","80","72","101","207","243","303","281","34","2"
"전라남도 장성군 북하면(4688040000)","2,209","2,209","55","100","126","135","201","428","485","405","223","42","9","1,140","1,140","29","53","69","73","118","252","266","197","73","9","1","1,069","1,069","26","47","57","62","83","176","219","208","150","33","8"
