"ÇàÁ¤±¸¿ª","2020³â05¿ù_°è_ÃÑÀÎ±¸¼ö","2020³â05¿ù_°è_¿¬·É±¸°£ÀÎ±¸¼ö","2020³â05¿ù_°è_0~9¼¼","2020³â05¿ù_°è_10~19¼¼","2020³â05¿ù_°è_20~29¼¼","2020³â05¿ù_°è_30~39¼¼","2020³â05¿ù_°è_40~49¼¼","2020³â05¿ù_°è_50~59¼¼","2020³â05¿ù_°è_60~69¼¼","2020³â05¿ù_°è_70~79¼¼","2020³â05¿ù_°è_80~89¼¼","2020³â05¿ù_°è_90~99¼¼","2020³â05¿ù_°è_100¼¼ ÀÌ»ó","2020³â05¿ù_³²_ÃÑÀÎ±¸¼ö","2020³â05¿ù_³²_¿¬·É±¸°£ÀÎ±¸¼ö","2020³â05¿ù_³²_0~9¼¼","2020³â05¿ù_³²_10~19¼¼","2020³â05¿ù_³²_20~29¼¼","2020³â05¿ù_³²_30~39¼¼","2020³â05¿ù_³²_40~49¼¼","2020³â05¿ù_³²_50~59¼¼","2020³â05¿ù_³²_60~69¼¼","2020³â05¿ù_³²_70~79¼¼","2020³â05¿ù_³²_80~89¼¼","2020³â05¿ù_³²_90~99¼¼","2020³â05¿ù_³²_100¼¼ ÀÌ»ó","2020³â05¿ù_¿©_ÃÑÀÎ±¸¼ö","2020³â05¿ù_¿©_¿¬·É±¸°£ÀÎ±¸¼ö","2020³â05¿ù_¿©_0~9¼¼","2020³â05¿ù_¿©_10~19¼¼","2020³â05¿ù_¿©_20~29¼¼","2020³â05¿ù_¿©_30~39¼¼","2020³â05¿ù_¿©_40~49¼¼","2020³â05¿ù_¿©_50~59¼¼","2020³â05¿ù_¿©_60~69¼¼","2020³â05¿ù_¿©_70~79¼¼","2020³â05¿ù_¿©_80~89¼¼","2020³â05¿ù_¿©_90~99¼¼","2020³â05¿ù_¿©_100¼¼ ÀÌ»ó"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ (2917000000)","432,731","432,731","34,511","44,145","62,857","56,609","68,416","72,688","51,266","28,736","11,727","1,657","119","214,894","214,894","17,606","23,371","33,093","29,359","34,265","35,522","24,427","12,807","4,095","336","13","217,837","217,837","16,905","20,774","29,764","27,250","34,151","37,166","26,839","15,929","7,632","1,321","106"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï1µ¿(2917051000)","5,030","5,030","220","187","1,010","960","620","714","677","438","176","22","6","2,589","2,589","103","102","446","528","382","393","360","197","70","6","2","2,441","2,441","117","85","564","432","238","321","317","241","106","16","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï2µ¿(2917052000)","6,990","6,990","294","488","1,353","790","928","1,019","1,008","737","329","40","4","3,569","3,569","151","246","699","469","496","526","489","320","157","15","1","3,421","3,421","143","242","654","321","432","493","519","417","172","25","3"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï3µ¿(2917053000)","5,021","5,021","278","326","888","723","721","739","659","485","182","15","5","2,634","2,634","141","184","471","421","419","401","305","210","78","4","0","2,387","2,387","137","142","417","302","302","338","354","275","104","11","5"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ Áß¾Óµ¿(2917055500)","3,331","3,331","92","130","510","419","424","587","580","385","162","38","4","1,784","1,784","49","66","239","261","269","336","308","181","64","10","1","1,547","1,547","43","64","271","158","155","251","272","204","98","28","3"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÀÓµ¿(2917057000)","8,171","8,171","606","579","945","1,204","1,182","1,288","1,180","872","265","45","5","4,031","4,031","314","306","493","600","625","634","533","403","112","11","0","4,140","4,140","292","273","452","604","557","654","647","469","153","34","5"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ½Å¾Èµ¿(2917058000)","11,536","11,536","428","733","2,126","1,660","1,569","1,893","1,576","1,061","428","56","6","6,058","6,058","218","378","1,103","962","932","1,021","779","483","173","9","0","5,478","5,478","210","355","1,023","698","637","872","797","578","255","47","6"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿ëºÀµ¿(2917059000)","38,443","38,443","2,731","3,899","7,104","4,738","5,704","6,749","4,280","2,283","846","103","6","19,167","19,167","1,402","2,079","3,731","2,520","2,814","3,205","2,014","1,067","312","23","0","19,276","19,276","1,329","1,820","3,373","2,218","2,890","3,544","2,266","1,216","534","80","6"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï1µ¿(2917060100)","19,731","19,731","1,834","2,319","2,627","2,431","3,143","3,172","2,563","1,186","388","64","4","9,505","9,505","930","1,187","1,334","1,161","1,437","1,500","1,195","589","160","12","0","10,226","10,226","904","1,132","1,293","1,270","1,706","1,672","1,368","597","228","52","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï2µ¿(2917060200)","12,690","12,690","619","990","1,831","1,439","1,765","2,241","2,035","1,243","468","56","3","6,412","6,412","285","516","981","816","930","1,137","948","589","199","11","0","6,278","6,278","334","474","850","623","835","1,104","1,087","654","269","45","3"
