"행정구역","2021년08월_계_총인구수","2021년08월_계_연령구간인구수","2021년08월_계_0~9세","2021년08월_계_10~19세","2021년08월_계_20~29세","2021년08월_계_30~39세","2021년08월_계_40~49세","2021년08월_계_50~59세","2021년08월_계_60~69세","2021년08월_계_70~79세","2021년08월_계_80~89세","2021년08월_계_90~99세","2021년08월_계_100세 이상","2021년08월_남_총인구수","2021년08월_남_연령구간인구수","2021년08월_남_0~9세","2021년08월_남_10~19세","2021년08월_남_20~29세","2021년08월_남_30~39세","2021년08월_남_40~49세","2021년08월_남_50~59세","2021년08월_남_60~69세","2021년08월_남_70~79세","2021년08월_남_80~89세","2021년08월_남_90~99세","2021년08월_남_100세 이상","2021년08월_여_총인구수","2021년08월_여_연령구간인구수","2021년08월_여_0~9세","2021년08월_여_10~19세","2021년08월_여_20~29세","2021년08월_여_30~39세","2021년08월_여_40~49세","2021년08월_여_50~59세","2021년08월_여_60~69세","2021년08월_여_70~79세","2021년08월_여_80~89세","2021년08월_여_90~99세","2021년08월_여_100세 이상"
"부산광역시  (2600000000)","3,359,527","3,359,527","223,790","267,212","421,122","408,986","504,235","556,023","546,088","295,340","120,959","15,020","752","1,644,378","1,644,378","114,820","137,684","218,711","209,593","254,352","270,752","257,879","133,407","43,847","3,186","147","1,715,149","1,715,149","108,970","129,528","202,411","199,393","249,883","285,271","288,209","161,933","77,112","11,834","605"
"부산광역시 중구 (2611000000)","40,713","40,713","1,184","1,929","5,792","4,504","5,214","6,813","7,878","4,942","2,113","326","18","19,862","19,862","624","959","2,831","2,449","2,861","3,441","3,717","2,134","765","78","3","20,851","20,851","560","970","2,961","2,055","2,353","3,372","4,161","2,808","1,348","248","15"
"부산광역시 서구 (2614000000)","105,996","105,996","5,422","7,175","13,243","10,759","14,311","17,229","19,331","12,220","5,589","689","28","51,308","51,308","2,843","3,651","6,457","5,523","7,425","8,868","9,017","5,336","2,047","135","6","54,688","54,688","2,579","3,524","6,786","5,236","6,886","8,361","10,314","6,884","3,542","554","22"
"부산광역시 동구 (2617000000)","87,585","87,585","4,004","4,897","10,258","10,371","11,539","14,270","16,146","10,635","4,815","583","67","42,817","42,817","2,119","2,535","5,148","5,484","6,196","7,337","7,620","4,578","1,646","135","19","44,768","44,768","1,885","2,362","5,110","4,887","5,343","6,933","8,526","6,057","3,169","448","48"
"부산광역시 영도구 (2620000000)","111,386","111,386","4,969","7,162","11,648","10,340","14,785","18,733","22,391","14,518","6,084","703","53","54,888","54,888","2,528","3,661","6,403","5,583","7,716","9,651","10,718","6,340","2,139","144","5","56,498","56,498","2,441","3,501","5,245","4,757","7,069","9,082","11,673","8,178","3,945","559","48"
"부산광역시 부산진구 (2623000000)","355,138","355,138","20,487","24,296","51,877","47,354","50,542","56,939","57,161","31,502","13,432","1,486","62","171,257","171,257","10,371","12,298","25,175","24,163","25,611","27,650","26,787","13,991","4,897","302","12","183,881","183,881","10,116","11,998","26,702","23,191","24,931","29,289","30,374","17,511","8,535","1,184","50"
"부산광역시 동래구 (2626000000)","267,672","267,672","18,917","24,633","31,752","31,989","42,545","43,509","41,892","22,570","8,719","1,077","69","130,155","130,155","9,760","12,807","16,587","16,052","20,863","20,724","19,403","10,371","3,338","236","14","137,517","137,517","9,157","11,826","15,165","15,937","21,682","22,785","22,489","12,199","5,381","841","55"
"부산광역시 남구 (2629000000)","263,333","263,333","17,043","22,623","34,447","28,694","40,883","42,190","41,335","24,997","9,910","1,145","66","128,710","128,710","8,671","11,651","18,197","14,720","20,521","20,655","19,036","11,185","3,819","241","14","134,623","134,623","8,372","10,972","16,250","13,974","20,362","21,535","22,299","13,812","6,091","904","52"
"부산광역시 북구 (2632000000)","283,901","283,901","18,651","22,679","36,404","33,776","40,047","52,677","47,994","21,902","8,648","1,089","34","140,302","140,302","9,612","11,812","19,491","17,630","19,917","24,971","23,599","10,111","2,943","213","3","143,599","143,599","9,039","10,867","16,913","16,146","20,130","27,706","24,395","11,791","5,705","876","31"
"부산광역시 해운대구 (2635000000)","398,117","398,117","27,610","37,127","47,516","45,738","64,614","69,448","59,702","30,981","13,525","1,782","74","191,483","191,483","14,265","19,145","24,768","22,360","30,764","33,043","28,159","13,738","4,825","394","22","206,634","206,634","13,345","17,982","22,748","23,378","33,850","36,405","31,543","17,243","8,700","1,388","52"
"부산광역시 사하구 (2638000000)","306,885","306,885","18,786","24,665","38,701","35,347","45,001","53,383","52,879","26,631","10,120","1,332","40","152,766","152,766","9,655","12,750","20,743","18,820","23,081","26,235","25,385","12,261","3,574","252","10","154,119","154,119","9,131","11,915","17,958","16,527","21,920","27,148","27,494","14,370","6,546","1,080","30"
"부산광역시 금정구 (2641000000)","229,240","229,240","12,486","17,230","32,425","24,494","31,482","39,210","39,744","21,745","9,174","1,185","65","112,060","112,060","6,392","8,879","17,511","12,801","15,694","18,698","18,512","9,920","3,376","268","9","117,180","117,180","6,094","8,351","14,914","11,693","15,788","20,512","21,232","11,825","5,798","917","56"
"부산광역시 강서구 (2644000000)","141,688","141,688","19,896","12,575","12,704","27,087","25,253","17,040","16,813","7,052","2,784","459","25","73,380","73,380","10,297","6,398","6,931","13,818","14,043","8,810","8,512","3,527","957","81","6","68,308","68,308","9,599","6,177","5,773","13,269","11,210","8,230","8,301","3,525","1,827","378","19"
"부산광역시 연제구 (2647000000)","205,700","205,700","13,951","16,188","25,073","26,001","31,335","33,345","33,265","18,314","7,335","852","41","99,010","99,010","7,022","8,328","12,745","13,067","15,359","15,822","15,251","8,362","2,843","199","12","106,690","106,690","6,929","7,860","12,328","12,934","15,976","17,523","18,014","9,952","4,492","653","29"
"부산광역시 수영구 (2650000000)","175,815","175,815","10,087","11,534","24,055","23,606","25,135","27,146","29,062","17,162","7,081","913","34","83,040","83,040","5,184","5,928","11,655","11,759","12,401","12,590","12,883","7,677","2,715","241","7","92,775","92,775","4,903","5,606","12,400","11,847","12,734","14,556","16,179","9,485","4,366","672","27"
"부산광역시 사상구 (2653000000)","209,547","209,547","11,623","14,619","28,157","24,466","28,707","39,428","38,179","17,469","6,203","651","45","105,794","105,794","5,948","7,618","15,019","13,207","15,102","19,682","18,919","8,074","2,107","114","4","103,753","103,753","5,675","7,001","13,138","11,259","13,605","19,746","19,260","9,395","4,096","537","41"
"부산광역시 기장군 (2671000000)","176,811","176,811","18,674","17,880","17,070","24,460","32,842","24,663","22,316","12,700","5,427","748","31","87,546","87,546","9,529","9,264","9,050","12,157","16,798","12,575","10,361","5,802","1,856","153","1","89,265","89,265","9,145","8,616","8,020","12,303","16,044","12,088","11,955","6,898","3,571","595","30"
