"행정구역","2020년05월_계_총인구수","2020년05월_계_연령구간인구수","2020년05월_계_0~9세","2020년05월_계_10~19세","2020년05월_계_20~29세","2020년05월_계_30~39세","2020년05월_계_40~49세","2020년05월_계_50~59세","2020년05월_계_60~69세","2020년05월_계_70~79세","2020년05월_계_80~89세","2020년05월_계_90~99세","2020년05월_계_100세 이상","2020년05월_남_총인구수","2020년05월_남_연령구간인구수","2020년05월_남_0~9세","2020년05월_남_10~19세","2020년05월_남_20~29세","2020년05월_남_30~39세","2020년05월_남_40~49세","2020년05월_남_50~59세","2020년05월_남_60~69세","2020년05월_남_70~79세","2020년05월_남_80~89세","2020년05월_남_90~99세","2020년05월_남_100세 이상","2020년05월_여_총인구수","2020년05월_여_연령구간인구수","2020년05월_여_0~9세","2020년05월_여_10~19세","2020년05월_여_20~29세","2020년05월_여_30~39세","2020년05월_여_40~49세","2020년05월_여_50~59세","2020년05월_여_60~69세","2020년05월_여_70~79세","2020년05월_여_80~89세","2020년05월_여_90~99세","2020년05월_여_100세 이상"
"울산광역시 남구 (3114000000)","323,192","323,192","24,670","31,447","46,535","43,228","52,592","62,529","39,975","16,054","5,462","668","32","164,865","164,865","12,717","16,581","25,972","22,929","25,667","31,498","19,884","7,655","1,838","114","10","158,327","158,327","11,953","14,866","20,563","20,299","26,925","31,031","20,091","8,399","3,624","554","22"
"울산광역시 남구 신정1동(3114051000)","19,149","19,149","877","1,138","2,666","2,311","2,534","3,883","3,511","1,645","524","54","6","9,772","9,772","448","581","1,531","1,333","1,346","1,928","1,665","752","180","7","1","9,377","9,377","429","557","1,135","978","1,188","1,955","1,846","893","344","47","5"
"울산광역시 남구 신정2동(3114052000)","25,168","25,168","2,067","3,186","3,399","2,957","4,456","4,823","2,681","1,188","349","60","2","12,931","12,931","1,093","1,736","1,934","1,528","2,068","2,509","1,337","597","120","8","1","12,237","12,237","974","1,450","1,465","1,429","2,388","2,314","1,344","591","229","52","1"
"울산광역시 남구 신정3동(3114053000)","16,318","16,318","1,322","1,220","2,142","2,065","2,531","3,282","2,343","1,013","344","53","3","8,306","8,306","699","652","1,169","1,072","1,288","1,662","1,132","486","134","10","2","8,012","8,012","623","568","973","993","1,243","1,620","1,211","527","210","43","1"
"울산광역시 남구 신정4동(3114054000)","22,668","22,668","1,909","2,428","3,148","2,972","3,822","4,022","2,757","1,173","381","53","3","11,427","11,427","983","1,254","1,735","1,540","1,852","2,033","1,336","543","137","13","1","11,241","11,241","926","1,174","1,413","1,432","1,970","1,989","1,421","630","244","40","2"
"울산광역시 남구 신정5동(3114055000)","8,859","8,859","485","606","1,408","1,258","1,369","1,769","1,216","559","167","22","0","4,707","4,707","256","314","814","718","742","911","615","275","59","3","0","4,152","4,152","229","292","594","540","627","858","601","284","108","19","0"
"울산광역시 남구 달동(3114056000)","27,616","27,616","1,715","2,210","4,177","4,003","4,232","5,458","3,741","1,430","582","64","4","13,931","13,931","894","1,175","2,322","2,167","2,104","2,606","1,814","655","181","12","1","13,685","13,685","821","1,035","1,855","1,836","2,128","2,852","1,927","775","401","52","3"
"울산광역시 남구 삼산동(3114057000)","48,890","48,890","3,690","4,542","7,802","7,854","8,532","9,285","5,085","1,538","492","67","3","25,230","25,230","1,864","2,352","4,274","4,259","4,157","4,723","2,626","801","161","12","1","23,660","23,660","1,826","2,190","3,528","3,595","4,375","4,562","2,459","737","331","55","2"
"울산광역시 남구 삼호동(3114058500)","21,624","21,624","1,289","1,860","3,383","2,371","3,242","4,817","2,915","1,219","475","53","0","11,042","11,042","735","976","1,899","1,302","1,568","2,425","1,439","540","147","11","0","10,582","10,582","554","884","1,484","1,069","1,674","2,392","1,476","679","328","42","0"
"울산광역시 남구 무거동(3114059500)","32,678","32,678","2,289","3,699","5,866","3,688","5,449","6,699","3,183","1,268","472","64","1","16,734","16,734","1,179","1,914","3,358","1,989","2,502","3,390","1,633","601","158","10","0","15,944","15,944","1,110","1,785","2,508","1,699","2,947","3,309","1,550","667","314","54","1"
"울산광역시 남구 옥동(3114060000)","26,723","26,723","2,082","3,371","3,773","3,127","4,363","5,471","3,093","1,050","350","43","0","13,419","13,419","1,057","1,853","2,168","1,566","1,899","2,664","1,587","509","108","8","0","13,304","13,304","1,025","1,518","1,605","1,561","2,464","2,807","1,506","541","242","35","0"
"울산광역시 남구 대현동(3114062500)","30,865","30,865","3,602","3,327","3,502","4,889","5,481","4,937","3,281","1,375","428","40","3","15,456","15,456","1,802","1,726","1,879","2,396","2,748","2,489","1,601","653","154","8","0","15,409","15,409","1,800","1,601","1,623","2,493","2,733","2,448","1,680","722","274","32","3"
"울산광역시 남구 수암동(3114063500)","16,967","16,967","1,589","1,881","2,325","2,385","2,688","3,273","1,964","619","217","26","0","8,529","8,529","806","999","1,261","1,193","1,254","1,632","1,012","299","70","3","0","8,438","8,438","783","882","1,064","1,192","1,434","1,641","952","320","147","23","0"
"울산광역시 남구 선암동(3114064000)","14,883","14,883","1,267","1,358","1,886","2,087","2,435","2,752","2,022","757","287","29","3","7,635","7,635","650","710","1,017","1,117","1,257","1,380","1,030","374","95","2","3","7,248","7,248","617","648","869","970","1,178","1,372","992","383","192","27","0"
"울산광역시 남구 야음장생포동(3114067000)","10,784","10,784","487","621","1,058","1,261","1,458","2,058","2,183","1,220","394","40","4","5,746","5,746","251","339","611","749","882","1,146","1,057","570","134","7","0","5,038","5,038","236","282","447","512","576","912","1,126","650","260","33","4"
