"행정구역","2021년03월_계_총인구수","2021년03월_계_연령구간인구수","2021년03월_계_0~9세","2021년03월_계_10~19세","2021년03월_계_20~29세","2021년03월_계_30~39세","2021년03월_계_40~49세","2021년03월_계_50~59세","2021년03월_계_60~69세","2021년03월_계_70~79세","2021년03월_계_80~89세","2021년03월_계_90~99세","2021년03월_계_100세 이상","2021년03월_남_총인구수","2021년03월_남_연령구간인구수","2021년03월_남_0~9세","2021년03월_남_10~19세","2021년03월_남_20~29세","2021년03월_남_30~39세","2021년03월_남_40~49세","2021년03월_남_50~59세","2021년03월_남_60~69세","2021년03월_남_70~79세","2021년03월_남_80~89세","2021년03월_남_90~99세","2021년03월_남_100세 이상","2021년03월_여_총인구수","2021년03월_여_연령구간인구수","2021년03월_여_0~9세","2021년03월_여_10~19세","2021년03월_여_20~29세","2021년03월_여_30~39세","2021년03월_여_40~49세","2021년03월_여_50~59세","2021년03월_여_60~69세","2021년03월_여_70~79세","2021년03월_여_80~89세","2021년03월_여_90~99세","2021년03월_여_100세 이상"
"경기도 양주시 (4163000000)","234,181","234,181","20,241","24,407","27,678","28,594","40,017","38,658","29,732","16,375","7,362","1,070","47","118,821","118,821","10,322","12,428","14,848","14,749","20,613","20,297","14,923","7,608","2,793","230","10","115,360","115,360","9,919","11,979","12,830","13,845","19,404","18,361","14,809","8,767","4,569","840","37"
"경기도 양주시 백석읍(4163025000)","26,270","26,270","1,337","2,529","3,247","2,276","3,887","5,167","4,291","2,256","1,125","149","6","13,283","13,283","654","1,299","1,780","1,230","1,978","2,697","2,181","1,038","400","26","0","12,987","12,987","683","1,230","1,467","1,046","1,909","2,470","2,110","1,218","725","123","6"
"경기도 양주시 은현면(4163031000)","5,883","5,883","144","316","651","461","658","1,247","1,371","658","319","58","0","3,352","3,352","71","176","394","293","415","764","771","340","115","13","0","2,531","2,531","73","140","257","168","243","483","600","318","204","45","0"
"경기도 양주시 남면(4163032000)","6,880","6,880","369","375","814","769","786","1,222","1,409","693","368","73","2","3,846","3,846","175","192","520","469","474","727","796","342","137","14","0","3,034","3,034","194","183","294","300","312","495","613","351","231","59","2"
"경기도 양주시 광적면(4163033000)","11,884","11,884","613","848","1,264","1,132","1,685","2,455","2,209","1,071","532","74","1","6,423","6,423","308","458","744","635","959","1,373","1,202","520","206","18","0","5,461","5,461","305","390","520","497","726","1,082","1,007","551","326","56","1"
"경기도 양주시 장흥면(4163034000)","10,416","10,416","484","518","1,090","1,079","1,121","1,801","2,222","1,299","649","148","5","5,346","5,346","256","288","658","601","605","898","1,097","650","257","33","3","5,070","5,070","228","230","432","478","516","903","1,125","649","392","115","2"
"경기도 양주시 양주1동(4163051000)","5,312","5,312","202","266","582","441","621","1,045","1,102","672","332","47","2","2,805","2,805","103","146","325","251","355","551","619","313","135","7","0","2,507","2,507","99","120","257","190","266","494","483","359","197","40","2"
"경기도 양주시 양주2동(4163052000)","49,984","49,984","4,736","6,958","5,406","5,344","10,103","7,454","5,155","3,365","1,287","170","6","24,434","24,434","2,395","3,498","2,739","2,588","4,970","3,888","2,282","1,526","506","42","0","25,550","25,550","2,341","3,460","2,667","2,756","5,133","3,566","2,873","1,839","781","128","6"
"경기도 양주시 회천1동(4163053000)","9,710","9,710","623","751","1,536","1,173","1,342","1,794","1,364","730","338","47","12","5,114","5,114","306","391","885","633","731","977","706","337","134","12","2","4,596","4,596","317","360","651","540","611","817","658","393","204","35","10"
"경기도 양주시 회천2동(4163054000)","27,083","27,083","1,907","2,644","3,456","2,891","4,317","5,409","3,733","1,859","774","91","2","13,759","13,759","990","1,377","1,825","1,536","2,235","2,782","1,897","817","282","18","0","13,324","13,324","917","1,267","1,631","1,355","2,082","2,627","1,836","1,042","492","73","2"
"경기도 양주시 회천3동(4163055000)","27,408","27,408","2,234","3,452","3,873","2,998","4,984","4,647","2,549","1,656","906","103","6","13,592","13,592","1,158","1,770","2,031","1,492","2,457","2,388","1,240","666","355","30","5","13,816","13,816","1,076","1,682","1,842","1,506","2,527","2,259","1,309","990","551","73","1"
"경기도 양주시 회천4동(4163056000)","53,351","53,351","7,592","5,750","5,759","10,030","10,513","6,417","4,327","2,116","732","110","5","26,867","26,867","3,906","2,833","2,947","5,021","5,434","3,252","2,132","1,059","266","17","0","26,484","26,484","3,686","2,917","2,812","5,009","5,079","3,165","2,195","1,057","466","93","5"
