"행정구역","2020년11월_계_총인구수","2020년11월_계_연령구간인구수","2020년11월_계_0~9세","2020년11월_계_10~19세","2020년11월_계_20~29세","2020년11월_계_30~39세","2020년11월_계_40~49세","2020년11월_계_50~59세","2020년11월_계_60~69세","2020년11월_계_70~79세","2020년11월_계_80~89세","2020년11월_계_90~99세","2020년11월_계_100세 이상","2020년11월_남_총인구수","2020년11월_남_연령구간인구수","2020년11월_남_0~9세","2020년11월_남_10~19세","2020년11월_남_20~29세","2020년11월_남_30~39세","2020년11월_남_40~49세","2020년11월_남_50~59세","2020년11월_남_60~69세","2020년11월_남_70~79세","2020년11월_남_80~89세","2020년11월_남_90~99세","2020년11월_남_100세 이상","2020년11월_여_총인구수","2020년11월_여_연령구간인구수","2020년11월_여_0~9세","2020년11월_여_10~19세","2020년11월_여_20~29세","2020년11월_여_30~39세","2020년11월_여_40~49세","2020년11월_여_50~59세","2020년11월_여_60~69세","2020년11월_여_70~79세","2020년11월_여_80~89세","2020년11월_여_90~99세","2020년11월_여_100세 이상"
"경기도 동두천시 (4125000000)","94,199","94,199","6,355","8,625","11,234","10,210","14,337","16,439","13,124","8,812","4,362","617","84","46,959","46,959","3,286","4,358","6,106","5,265","7,397","8,667","6,404","3,672","1,613","172","19","47,240","47,240","3,069","4,267","5,128","4,945","6,940","7,772","6,720","5,140","2,749","445","65"
"경기도 동두천시 생연1동(4125051000)","7,007","7,007","495","576","763","776","957","1,261","1,103","670","364","39","3","3,482","3,482","261","273","427","394","511","651","537","281","136","11","0","3,525","3,525","234","303","336","382","446","610","566","389","228","28","3"
"경기도 동두천시 생연2동(4125052000)","11,468","11,468","735","1,181","1,274","1,103","1,821","1,947","1,565","1,151","623","61","7","5,644","5,644","398","607","709","540","928","1,023","735","445","242","15","2","5,824","5,824","337","574","565","563","893","924","830","706","381","46","5"
"경기도 동두천시 중앙동(4125053500)","5,143","5,143","146","203","500","448","586","1,060","1,082","660","350","83","25","2,676","2,676","83","107","268","267","344","615","566","281","108","31","6","2,467","2,467","63","96","232","181","242","445","516","379","242","52","19"
"경기도 동두천시 보산동(4125055000)","3,104","3,104","158","205","335","297","391","586","526","393","186","25","2","1,462","1,462","71","94","198","154","201","287","257","140","54","6","0","1,642","1,642","87","111","137","143","190","299","269","253","132","19","2"
"경기도 동두천시 불현동(4125056500)","27,660","27,660","1,972","2,665","3,519","3,058","4,214","4,925","3,713","2,325","1,107","149","13","13,671","13,671","993","1,357","1,878","1,563","2,102","2,525","1,839","958","412","40","4","13,989","13,989","979","1,308","1,641","1,495","2,112","2,400","1,874","1,367","695","109","9"
"경기도 동두천시 송내동(4125056600)","25,616","25,616","2,220","2,994","3,317","3,132","4,578","4,031","2,515","1,852","852","121","4","12,618","12,618","1,147","1,501","1,751","1,567","2,283","2,117","1,131","746","346","28","1","12,998","12,998","1,073","1,493","1,566","1,565","2,295","1,914","1,384","1,106","506","93","3"
"경기도 동두천시 소요동(4125058000)","8,768","8,768","385","516","927","772","1,153","1,610","1,643","1,107","556","78","21","4,536","4,536","194","280","530","420","663","874","822","525","201","24","3","4,232","4,232","191","236","397","352","490","736","821","582","355","54","18"
"경기도 동두천시 상패동(4125060000)","5,433","5,433","244","285","599","624","637","1,019","977","654","324","61","9","2,870","2,870","139","139","345","360","365","575","517","296","114","17","3","2,563","2,563","105","146","254","264","272","444","460","358","210","44","6"
