"행정구역","2020년06월_계_총인구수","2020년06월_계_연령구간인구수","2020년06월_계_0~9세","2020년06월_계_10~19세","2020년06월_계_20~29세","2020년06월_계_30~39세","2020년06월_계_40~49세","2020년06월_계_50~59세","2020년06월_계_60~69세","2020년06월_계_70~79세","2020년06월_계_80~89세","2020년06월_계_90~99세","2020년06월_계_100세 이상","2020년06월_남_총인구수","2020년06월_남_연령구간인구수","2020년06월_남_0~9세","2020년06월_남_10~19세","2020년06월_남_20~29세","2020년06월_남_30~39세","2020년06월_남_40~49세","2020년06월_남_50~59세","2020년06월_남_60~69세","2020년06월_남_70~79세","2020년06월_남_80~89세","2020년06월_남_90~99세","2020년06월_남_100세 이상","2020년06월_여_총인구수","2020년06월_여_연령구간인구수","2020년06월_여_0~9세","2020년06월_여_10~19세","2020년06월_여_20~29세","2020년06월_여_30~39세","2020년06월_여_40~49세","2020년06월_여_50~59세","2020년06월_여_60~69세","2020년06월_여_70~79세","2020년06월_여_80~89세","2020년06월_여_90~99세","2020년06월_여_100세 이상"
"대구광역시 남구 (2720000000)","147,482","147,482","7,052","9,705","20,370","17,462","20,672","25,328","23,649","15,112","7,151","897","84","70,945","70,945","3,657","5,115","10,267","9,162","10,391","12,298","10,806","6,430","2,578","223","18","76,537","76,537","3,395","4,590","10,103","8,300","10,281","13,030","12,843","8,682","4,573","674","66"
"대구광역시 남구 이천동(2720051500)","12,547","12,547","846","1,060","1,260","1,350","2,052","1,971","1,755","1,390","735","120","8","5,941","5,941","466","570","648","674","997","968","771","543","273","31","0","6,606","6,606","380","490","612","676","1,055","1,003","984","847","462","89","8"
"대구광역시 남구 봉덕1동(2720053000)","9,258","9,258","403","533","1,125","1,159","1,369","1,664","1,472","925","548","53","7","4,449","4,449","201","292","540","618","703","827","677","377","201","11","2","4,809","4,809","202","241","585","541","666","837","795","548","347","42","5"
"대구광역시 남구 봉덕2동(2720054000)","10,921","10,921","692","897","1,120","1,141","1,512","1,830","1,853","1,151","621","98","6","5,250","5,250","360","463","600","589","713","867","864","517","243","32","2","5,671","5,671","332","434","520","552","799","963","989","634","378","66","4"
"대구광역시 남구 봉덕3동(2720055000)","17,304","17,304","886","1,410","2,068","1,943","2,615","2,964","2,758","1,671","881","97","11","8,200","8,200","474","716","1,046","990","1,219","1,465","1,227","696","340","25","2","9,104","9,104","412","694","1,022","953","1,396","1,499","1,531","975","541","72","9"
"대구광역시 남구 대명1동(2720056000)","11,629","11,629","559","790","1,750","1,446","1,613","2,053","1,808","1,100","434","73","3","5,657","5,657","284","436","876","748","831","970","837","500","157","18","0","5,972","5,972","275","354","874","698","782","1,083","971","600","277","55","3"
"대구광역시 남구 대명2동(2720057100)","11,541","11,541","417","699","2,086","1,415","1,496","1,874","1,718","1,214","553","63","6","5,488","5,488","206","335","998","752","778","915","800","500","183","18","3","6,053","6,053","211","364","1,088","663","718","959","918","714","370","45","3"
"대구광역시 남구 대명3동(2720058600)","11,167","11,167","388","656","1,511","1,172","1,538","2,053","1,955","1,277","540","67","10","5,565","5,565","210","350","799","660","847","1,063","890","545","188","12","1","5,602","5,602","178","306","712","512","691","990","1,065","732","352","55","9"
"대구광역시 남구 대명4동(2720059000)","11,286","11,286","487","645","1,669","1,220","1,417","2,078","2,015","1,211","490","46","8","5,514","5,514","243","360","868","680","740","1,014","914","530","153","9","3","5,772","5,772","244","285","801","540","677","1,064","1,101","681","337","37","5"
"대구광역시 남구 대명5동(2720060000)","8,218","8,218","299","468","1,579","973","1,028","1,336","1,231","853","403","43","5","3,909","3,909","170","244","710","511","550","653","561","353","146","10","1","4,309","4,309","129","224","869","462","478","683","670","500","257","33","4"
"대구광역시 남구 대명6동(2720061000)","9,712","9,712","573","641","1,402","1,372","1,425","1,574","1,416","851","403","51","4","4,657","4,657","282","332","708","682","695","775","668","369","137","9","0","5,055","5,055","291","309","694","690","730","799","748","482","266","42","4"
"대구광역시 남구 대명9동(2720064000)","15,990","15,990","824","941","2,408","2,176","2,331","2,730","2,358","1,492","634","85","11","7,791","7,791","423","501","1,239","1,120","1,182","1,296","1,103","653","248","24","2","8,199","8,199","401","440","1,169","1,056","1,149","1,434","1,255","839","386","61","9"
"대구광역시 남구 대명10동(2720065000)","9,410","9,410","353","518","1,394","1,159","1,205","1,639","1,623","991","473","53","2","4,464","4,464","182","275","695","605","605","766","732","433","156","14","1","4,946","4,946","171","243","699","554","600","873","891","558","317","39","1"
"대구광역시 남구 대명11동(2720066000)","8,499","8,499","325","447","998","936","1,071","1,562","1,687","986","436","48","3","4,060","4,060","156","241","540","533","531","719","762","414","153","10","1","4,439","4,439","169","206","458","403","540","843","925","572","283","38","2"
