"ÇàÁ¤±¸¿ª","2021³â03¿ù_°è_ÃÑÀÎ±¸¼ö","2021³â03¿ù_°è_¿¬·É±¸°£ÀÎ±¸¼ö","2021³â03¿ù_°è_0~9¼¼","2021³â03¿ù_°è_10~19¼¼","2021³â03¿ù_°è_20~29¼¼","2021³â03¿ù_°è_30~39¼¼","2021³â03¿ù_°è_40~49¼¼","2021³â03¿ù_°è_50~59¼¼","2021³â03¿ù_°è_60~69¼¼","2021³â03¿ù_°è_70~79¼¼","2021³â03¿ù_°è_80~89¼¼","2021³â03¿ù_°è_90~99¼¼","2021³â03¿ù_°è_100¼¼ ÀÌ»ó","2021³â03¿ù_³²_ÃÑÀÎ±¸¼ö","2021³â03¿ù_³²_¿¬·É±¸°£ÀÎ±¸¼ö","2021³â03¿ù_³²_0~9¼¼","2021³â03¿ù_³²_10~19¼¼","2021³â03¿ù_³²_20~29¼¼","2021³â03¿ù_³²_30~39¼¼","2021³â03¿ù_³²_40~49¼¼","2021³â03¿ù_³²_50~59¼¼","2021³â03¿ù_³²_60~69¼¼","2021³â03¿ù_³²_70~79¼¼","2021³â03¿ù_³²_80~89¼¼","2021³â03¿ù_³²_90~99¼¼","2021³â03¿ù_³²_100¼¼ ÀÌ»ó","2021³â03¿ù_¿©_ÃÑÀÎ±¸¼ö","2021³â03¿ù_¿©_¿¬·É±¸°£ÀÎ±¸¼ö","2021³â03¿ù_¿©_0~9¼¼","2021³â03¿ù_¿©_10~19¼¼","2021³â03¿ù_¿©_20~29¼¼","2021³â03¿ù_¿©_30~39¼¼","2021³â03¿ù_¿©_40~49¼¼","2021³â03¿ù_¿©_50~59¼¼","2021³â03¿ù_¿©_60~69¼¼","2021³â03¿ù_¿©_70~79¼¼","2021³â03¿ù_¿©_80~89¼¼","2021³â03¿ù_¿©_90~99¼¼","2021³â03¿ù_¿©_100¼¼ ÀÌ»ó"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ (2917000000)","429,600","429,600","33,089","42,434","62,000","55,320","67,267","71,631","54,129","29,535","12,326","1,766","103","213,257","213,257","16,935","22,366","32,704","28,735","33,729","35,063","25,783","13,237","4,348","349","8","216,343","216,343","16,154","20,068","29,296","26,585","33,538","36,568","28,346","16,298","7,978","1,417","95"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï1µ¿(2917051000)","4,976","4,976","222","190","945","972","615","677","692","459","179","22","3","2,571","2,571","107","109","409","520","374","382","374","214","72","8","2","2,405","2,405","115","81","536","452","241","295","318","245","107","14","1"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï2µ¿(2917052000)","6,820","6,820","265","462","1,337","772","885","987","993","745","330","42","2","3,486","3,486","136","232","695","451","466","524","489","327","149","17","0","3,334","3,334","129","230","642","321","419","463","504","418","181","25","2"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï3µ¿(2917053000)","4,900","4,900","266","306","923","713","725","663","643","461","179","17","4","2,579","2,579","143","166","482","419","421","365","312","195","71","5","0","2,321","2,321","123","140","441","294","304","298","331","266","108","12","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ Áß¾Óµ¿(2917055500)","3,228","3,228","82","112","503","407","392","561","576","385","163","42","5","1,704","1,704","45","50","234","244","242","328","305","182","63","10","1","1,524","1,524","37","62","269","163","150","233","271","203","100","32","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÀÓµ¿(2917057000)","7,945","7,945","533","564","978","1,113","1,160","1,217","1,180","857","296","44","3","3,926","3,926","283","296","486","556","628","616","524","396","133","8","0","4,019","4,019","250","268","492","557","532","601","656","461","163","36","3"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ½Å¾Èµ¿(2917058000)","12,048","12,048","457","682","2,317","1,768","1,603","1,900","1,696","1,107","455","56","7","6,299","6,299","231","350","1,182","1,024","942","1,029","841","505","183","12","0","5,749","5,749","226","332","1,135","744","661","871","855","602","272","44","7"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿ëºÀµ¿(2917059000)","38,443","38,443","2,621","3,781","7,162","4,724","5,608","6,651","4,540","2,357","885","112","2","19,181","19,181","1,319","2,020","3,774","2,532","2,805","3,154","2,146","1,080","324","27","0","19,262","19,262","1,302","1,761","3,388","2,192","2,803","3,497","2,394","1,277","561","85","2"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï1µ¿(2917060100)","19,400","19,400","1,729","2,276","2,487","2,247","3,109","3,102","2,692","1,273","420","62","3","9,345","9,345","877","1,161","1,284","1,065","1,418","1,456","1,263","636","172","13","0","10,055","10,055","852","1,115","1,203","1,182","1,691","1,646","1,429","637","248","49","3"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï2µ¿(2917060200)","12,246","12,246","548","914","1,738","1,346","1,637","2,157","2,101","1,242","510","50","3","6,170","6,170","250","465","925","769","858","1,116","978","585","215","9","0","6,076","6,076","298","449","813","577","779","1,041","1,123","657","295","41","3"
