"행정구역","2020년10월_계_총인구수","2020년10월_계_연령구간인구수","2020년10월_계_0~9세","2020년10월_계_10~19세","2020년10월_계_20~29세","2020년10월_계_30~39세","2020년10월_계_40~49세","2020년10월_계_50~59세","2020년10월_계_60~69세","2020년10월_계_70~79세","2020년10월_계_80~89세","2020년10월_계_90~99세","2020년10월_계_100세 이상","2020년10월_남_총인구수","2020년10월_남_연령구간인구수","2020년10월_남_0~9세","2020년10월_남_10~19세","2020년10월_남_20~29세","2020년10월_남_30~39세","2020년10월_남_40~49세","2020년10월_남_50~59세","2020년10월_남_60~69세","2020년10월_남_70~79세","2020년10월_남_80~89세","2020년10월_남_90~99세","2020년10월_남_100세 이상","2020년10월_여_총인구수","2020년10월_여_연령구간인구수","2020년10월_여_0~9세","2020년10월_여_10~19세","2020년10월_여_20~29세","2020년10월_여_30~39세","2020년10월_여_40~49세","2020년10월_여_50~59세","2020년10월_여_60~69세","2020년10월_여_70~79세","2020년10월_여_80~89세","2020년10월_여_90~99세","2020년10월_여_100세 이상"
"전라북도 완주군 (4571000000)","91,553","91,553","6,991","8,352","8,933","9,428","13,563","15,282","13,729","9,196","5,248","787","44","47,023","47,023","3,520","4,352","4,983","4,862","7,515","8,510","7,106","4,234","1,760","171","10","44,530","44,530","3,471","4,000","3,950","4,566","6,048","6,772","6,623","4,962","3,488","616","34"
"전라북도 완주군 삼례읍(4571025000)","14,210","14,210","718","1,210","1,697","1,189","2,074","2,443","2,294","1,514","941","125","5","7,290","7,290","345","609","945","670","1,151","1,401","1,156","673","310","28","2","6,920","6,920","373","601","752","519","923","1,042","1,138","841","631","97","3"
"전라북도 완주군 봉동읍(4571025300)","25,937","25,937","2,975","3,358","2,637","3,436","4,727","3,616","2,527","1,642","866","147","6","13,508","13,508","1,541","1,768","1,514","1,705","2,585","2,034","1,286","760","282","31","2","12,429","12,429","1,434","1,590","1,123","1,731","2,142","1,582","1,241","882","584","116","4"
"전라북도 완주군 용진읍(4571025600)","7,135","7,135","386","522","713","586","944","1,304","1,282","868","458","65","7","3,703","3,703","182","287","428","315","530","742","651","392","154","21","1","3,432","3,432","204","235","285","271","414","562","631","476","304","44","6"
"전라북도 완주군 상관면(4571032000)","4,427","4,427","283","395","404","348","645","807","738","512","243","46","6","2,270","2,270","145","200","237","182","335","455","370","251","88","7","0","2,157","2,157","138","195","167","166","310","352","368","261","155","39","6"
"전라북도 완주군 이서면(4571033000)","14,391","14,391","1,693","1,359","1,420","2,276","2,520","2,154","1,544","911","449","62","3","7,241","7,241","848","672","706","1,122","1,371","1,142","791","419","151","19","0","7,150","7,150","845","687","714","1,154","1,149","1,012","753","492","298","43","3"
"전라북도 완주군 소양면(4571034000)","6,191","6,191","238","344","558","443","609","1,251","1,329","859","491","62","7","3,195","3,195","117","192","307","251","361","672","699","413","171","10","2","2,996","2,996","121","152","251","192","248","579","630","446","320","52","5"
"전라북도 완주군 구이면(4571035000)","5,858","5,858","199","386","564","378","604","1,214","1,239","763","442","65","4","2,945","2,945","90","195","299","188","327","657","672","360","144","13","0","2,913","2,913","109","191","265","190","277","557","567","403","298","52","4"
"전라북도 완주군 고산면(4571036000)","4,725","4,725","239","294","381","342","560","872","859","689","420","68","1","2,417","2,417","121","173","225","192","324","476","449","303","138","15","1","2,308","2,308","118","121","156","150","236","396","410","386","282","53","0"
"전라북도 완주군 비봉면(4571037000)","1,925","1,925","66","118","127","109","197","339","393","325","201","47","3","977","977","35","59","74","52","110","198","211","159","68","9","2","948","948","31","59","53","57","87","141","182","166","133","38","1"
"전라북도 완주군 운주면(4571038000)","1,948","1,948","56","61","104","88","188","384","460","364","217","26","0","974","974","25","39","55","61","111","211","239","154","74","5","0","974","974","31","22","49","27","77","173","221","210","143","21","0"
"전라북도 완주군 화산면(4571039000)","2,741","2,741","77","220","207","129","321","462","553","420","299","52","1","1,442","1,442","40","117","116","72","198","288","297","201","105","8","0","1,299","1,299","37","103","91","57","123","174","256","219","194","44","1"
"전라북도 완주군 동상면(4571040000)","1,092","1,092","39","42","81","55","94","261","274","141","93","12","0","564","564","22","17","47","26","59","138","158","69","26","2","0","528","528","17","25","34","29","35","123","116","72","67","10","0"
"전라북도 완주군 경천면(4571041000)","973","973","22","43","40","49","80","175","237","188","128","10","1","497","497","9","24","30","26","53","96","127","80","49","3","0","476","476","13","19","10","23","27","79","110","108","79","7","1"
