"ÇàÁ¤±¸¿ª","2020³â07¿ù_°è_ÃÑÀÎ±¸¼ö","2020³â07¿ù_°è_¿¬·É±¸°£ÀÎ±¸¼ö","2020³â07¿ù_°è_0~9¼¼","2020³â07¿ù_°è_10~19¼¼","2020³â07¿ù_°è_20~29¼¼","2020³â07¿ù_°è_30~39¼¼","2020³â07¿ù_°è_40~49¼¼","2020³â07¿ù_°è_50~59¼¼","2020³â07¿ù_°è_60~69¼¼","2020³â07¿ù_°è_70~79¼¼","2020³â07¿ù_°è_80~89¼¼","2020³â07¿ù_°è_90~99¼¼","2020³â07¿ù_°è_100¼¼ ÀÌ»ó","2020³â07¿ù_³²_ÃÑÀÎ±¸¼ö","2020³â07¿ù_³²_¿¬·É±¸°£ÀÎ±¸¼ö","2020³â07¿ù_³²_0~9¼¼","2020³â07¿ù_³²_10~19¼¼","2020³â07¿ù_³²_20~29¼¼","2020³â07¿ù_³²_30~39¼¼","2020³â07¿ù_³²_40~49¼¼","2020³â07¿ù_³²_50~59¼¼","2020³â07¿ù_³²_60~69¼¼","2020³â07¿ù_³²_70~79¼¼","2020³â07¿ù_³²_80~89¼¼","2020³â07¿ù_³²_90~99¼¼","2020³â07¿ù_³²_100¼¼ ÀÌ»ó","2020³â07¿ù_¿©_ÃÑÀÎ±¸¼ö","2020³â07¿ù_¿©_¿¬·É±¸°£ÀÎ±¸¼ö","2020³â07¿ù_¿©_0~9¼¼","2020³â07¿ù_¿©_10~19¼¼","2020³â07¿ù_¿©_20~29¼¼","2020³â07¿ù_¿©_30~39¼¼","2020³â07¿ù_¿©_40~49¼¼","2020³â07¿ù_¿©_50~59¼¼","2020³â07¿ù_¿©_60~69¼¼","2020³â07¿ù_¿©_70~79¼¼","2020³â07¿ù_¿©_80~89¼¼","2020³â07¿ù_¿©_90~99¼¼","2020³â07¿ù_¿©_100¼¼ ÀÌ»ó"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ (2917000000)","433,463","433,463","34,488","43,828","62,986","56,713","68,441","72,358","52,015","29,025","11,819","1,672","118","215,251","215,251","17,603","23,188","33,129","29,454","34,295","35,370","24,763","12,968","4,133","336","12","218,212","218,212","16,885","20,640","29,857","27,259","34,146","36,988","27,252","16,057","7,686","1,336","106"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï1µ¿(2917051000)","5,024","5,024","224","187","1,001","966","611","700","690","443","173","23","6","2,587","2,587","103","103","449","526","373","389","364","200","72","6","2","2,437","2,437","121","84","552","440","238","311","326","243","101","17","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï2µ¿(2917052000)","6,960","6,960","286","484","1,370","780","922","984","1,029","729","332","40","4","3,558","3,558","146","249","703","465","491","508","506","318","156","15","1","3,402","3,402","140","235","667","315","431","476","523","411","176","25","3"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï3µ¿(2917053000)","5,032","5,032","270","327","904","723","731","731","660","483","182","15","6","2,640","2,640","138","182","477","419","429","399","309","206","77","4","0","2,392","2,392","132","145","427","304","302","332","351","277","105","11","6"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ Áß¾Óµ¿(2917055500)","3,319","3,319","90","125","513","413","419","589","580","387","159","40","4","1,774","1,774","49","62","239","256","264","343","305","181","65","9","1","1,545","1,545","41","63","274","157","155","246","275","206","94","31","3"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÀÓµ¿(2917057000)","8,106","8,106","593","575","941","1,184","1,182","1,276","1,176","864","269","41","5","4,006","4,006","312","299","485","590","632","635","527","404","112","10","0","4,100","4,100","281","276","456","594","550","641","649","460","157","31","5"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ½Å¾Èµ¿(2917058000)","11,701","11,701","452","729","2,142","1,686","1,604","1,894","1,610","1,084","435","57","8","6,141","6,141","231","384","1,100","981","942","1,032","793","496","172","10","0","5,560","5,560","221","345","1,042","705","662","862","817","588","263","47","8"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿ëºÀµ¿(2917059000)","38,215","38,215","2,672","3,843","7,087","4,688","5,657","6,670","4,348","2,300","843","103","4","19,066","19,066","1,374","2,057","3,726","2,506","2,777","3,172","2,054","1,070","307","23","0","19,149","19,149","1,298","1,786","3,361","2,182","2,880","3,498","2,294","1,230","536","80","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï1µ¿(2917060100)","19,655","19,655","1,836","2,288","2,602","2,392","3,139","3,146","2,582","1,207","399","60","4","9,473","9,473","930","1,173","1,331","1,132","1,436","1,489","1,206","600","166","10","0","10,182","10,182","906","1,115","1,271","1,260","1,703","1,657","1,376","607","233","50","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï2µ¿(2917060200)","12,706","12,706","609","980","1,852","1,436","1,747","2,232","2,068","1,258","468","53","3","6,429","6,429","280","509","993","818","924","1,140","962","591","203","9","0","6,277","6,277","329","471","859","618","823","1,092","1,106","667","265","44","3"
