"행정구역","2021년04월_계_총인구수","2021년04월_계_연령구간인구수","2021년04월_계_0~9세","2021년04월_계_10~19세","2021년04월_계_20~29세","2021년04월_계_30~39세","2021년04월_계_40~49세","2021년04월_계_50~59세","2021년04월_계_60~69세","2021년04월_계_70~79세","2021년04월_계_80~89세","2021년04월_계_90~99세","2021년04월_계_100세 이상","2021년04월_남_총인구수","2021년04월_남_연령구간인구수","2021년04월_남_0~9세","2021년04월_남_10~19세","2021년04월_남_20~29세","2021년04월_남_30~39세","2021년04월_남_40~49세","2021년04월_남_50~59세","2021년04월_남_60~69세","2021년04월_남_70~79세","2021년04월_남_80~89세","2021년04월_남_90~99세","2021년04월_남_100세 이상","2021년04월_여_총인구수","2021년04월_여_연령구간인구수","2021년04월_여_0~9세","2021년04월_여_10~19세","2021년04월_여_20~29세","2021년04월_여_30~39세","2021년04월_여_40~49세","2021년04월_여_50~59세","2021년04월_여_60~69세","2021년04월_여_70~79세","2021년04월_여_80~89세","2021년04월_여_90~99세","2021년04월_여_100세 이상"
"경기도 과천시 (4129000000)","68,955","68,955","5,934","6,736","9,278","9,691","10,388","12,021","8,464","3,967","2,044","395","37","33,846","33,846","3,088","3,477","4,865","4,855","5,022","5,790","4,117","1,777","749","97","9","35,109","35,109","2,846","3,259","4,413","4,836","5,366","6,231","4,347","2,190","1,295","298","28"
"경기도 과천시 중앙동(4129051000)","10,999","10,999","807","993","1,577","1,433","1,450","2,057","1,552","661","378","78","13","5,339","5,339","419","498","840","697","669","964","787","309","138","16","2","5,660","5,660","388","495","737","736","781","1,093","765","352","240","62","11"
"경기도 과천시 갈현동(4129052000)","14,962","14,962","1,762","1,801","1,704","2,009","2,696","2,398","1,506","699","330","53","4","7,264","7,264","916","901","865","910","1,312","1,183","742","288","130","17","0","7,698","7,698","846","900","839","1,099","1,384","1,215","764","411","200","36","4"
"경기도 과천시 별양동(4129053000)","10,866","10,866","713","1,123","1,679","1,308","1,441","2,076","1,389","621","421","89","6","5,185","5,185","370","574","851","644","655","981","664","269","149","25","3","5,681","5,681","343","549","828","664","786","1,095","725","352","272","64","3"
"경기도 과천시 부림동(4129054000)","15,032","15,032","1,494","1,403","2,010","2,408","2,182","2,622","1,684","739","399","88","3","7,382","7,382","786","732","1,052","1,192","1,045","1,242","833","333","147","19","1","7,650","7,650","708","671","958","1,216","1,137","1,380","851","406","252","69","2"
"경기도 과천시 과천동(4129055000)","9,404","9,404","621","579","1,290","1,598","1,395","1,528","1,398","677","277","41","0","4,921","4,921","316","318","717","915","759","755","686","334","108","13","0","4,483","4,483","305","261","573","683","636","773","712","343","169","28","0"
"경기도 과천시 문원동(4129056000)","7,692","7,692","537","837","1,018","935","1,224","1,340","935","570","239","46","11","3,755","3,755","281","454","540","497","582","665","405","244","77","7","3","3,937","3,937","256","383","478","438","642","675","530","326","162","39","8"
