"ÇàÁ¤±¸¿ª","2020³â11¿ù_°è_ÃÑÀÎ±¸¼ö","2020³â11¿ù_°è_¿¬·É±¸°£ÀÎ±¸¼ö","2020³â11¿ù_°è_0~9¼¼","2020³â11¿ù_°è_10~19¼¼","2020³â11¿ù_°è_20~29¼¼","2020³â11¿ù_°è_30~39¼¼","2020³â11¿ù_°è_40~49¼¼","2020³â11¿ù_°è_50~59¼¼","2020³â11¿ù_°è_60~69¼¼","2020³â11¿ù_°è_70~79¼¼","2020³â11¿ù_°è_80~89¼¼","2020³â11¿ù_°è_90~99¼¼","2020³â11¿ù_°è_100¼¼ ÀÌ»ó","2020³â11¿ù_³²_ÃÑÀÎ±¸¼ö","2020³â11¿ù_³²_¿¬·É±¸°£ÀÎ±¸¼ö","2020³â11¿ù_³²_0~9¼¼","2020³â11¿ù_³²_10~19¼¼","2020³â11¿ù_³²_20~29¼¼","2020³â11¿ù_³²_30~39¼¼","2020³â11¿ù_³²_40~49¼¼","2020³â11¿ù_³²_50~59¼¼","2020³â11¿ù_³²_60~69¼¼","2020³â11¿ù_³²_70~79¼¼","2020³â11¿ù_³²_80~89¼¼","2020³â11¿ù_³²_90~99¼¼","2020³â11¿ù_³²_100¼¼ ÀÌ»ó","2020³â11¿ù_¿©_ÃÑÀÎ±¸¼ö","2020³â11¿ù_¿©_¿¬·É±¸°£ÀÎ±¸¼ö","2020³â11¿ù_¿©_0~9¼¼","2020³â11¿ù_¿©_10~19¼¼","2020³â11¿ù_¿©_20~29¼¼","2020³â11¿ù_¿©_30~39¼¼","2020³â11¿ù_¿©_40~49¼¼","2020³â11¿ù_¿©_50~59¼¼","2020³â11¿ù_¿©_60~69¼¼","2020³â11¿ù_¿©_70~79¼¼","2020³â11¿ù_¿©_80~89¼¼","2020³â11¿ù_¿©_90~99¼¼","2020³â11¿ù_¿©_100¼¼ ÀÌ»ó"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ (2917000000)","431,256","431,256","33,700","43,152","62,718","55,688","67,685","71,943","53,220","29,337","11,993","1,701","119","214,023","214,023","17,199","22,762","33,006","28,920","33,926","35,168","25,350","13,132","4,202","347","11","217,233","217,233","16,501","20,390","29,712","26,768","33,759","36,775","27,870","16,205","7,791","1,354","108"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï1µ¿(2917051000)","5,037","5,037","231","199","979","972","617","686","694","457","174","22","6","2,608","2,608","108","110","433","538","371","387","372","210","72","5","2","2,429","2,429","123","89","546","434","246","299","322","247","102","17","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï2µ¿(2917052000)","6,886","6,886","272","483","1,349","774","907","960","1,020","739","340","39","3","3,503","3,503","138","238","691","460","483","493","498","328","157","16","1","3,383","3,383","134","245","658","314","424","467","522","411","183","23","2"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï3µ¿(2917053000)","4,935","4,935","266","316","887","713","717","714","649","472","180","15","6","2,577","2,577","144","172","459","404","422","389","313","195","76","3","0","2,358","2,358","122","144","428","309","295","325","336","277","104","12","6"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ Áß¾Óµ¿(2917055500)","3,291","3,291","87","123","511","411","418","573","572","390","162","39","5","1,753","1,753","47","55","241","255","263","335","300","178","69","9","1","1,538","1,538","40","68","270","156","155","238","272","212","93","30","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÀÓµ¿(2917057000)","7,997","7,997","563","561","950","1,127","1,166","1,240","1,191","879","272","43","5","3,967","3,967","295","293","491","566","620","635","530","410","118","9","0","4,030","4,030","268","268","459","561","546","605","661","469","154","34","5"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ½Å¾Èµ¿(2917058000)","11,855","11,855","451","712","2,235","1,687","1,604","1,900","1,651","1,105","441","61","8","6,212","6,212","224","368","1,146","988","935","1,032","818","507","181","13","0","5,643","5,643","227","344","1,089","699","669","868","833","598","260","48","8"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿ëºÀµ¿(2917059000)","38,664","38,664","2,660","3,853","7,215","4,733","5,674","6,722","4,480","2,364","850","109","4","19,290","19,290","1,350","2,068","3,803","2,533","2,808","3,187","2,117","1,088","312","24","0","19,374","19,374","1,310","1,785","3,412","2,200","2,866","3,535","2,363","1,276","538","85","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï1µ¿(2917060100)","19,564","19,564","1,778","2,260","2,592","2,309","3,114","3,143","2,641","1,256","399","68","4","9,419","9,419","901","1,149","1,338","1,081","1,428","1,478","1,239","625","168","12","0","10,145","10,145","877","1,111","1,254","1,228","1,686","1,665","1,402","631","231","56","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï2µ¿(2917060200)","12,483","12,483","578","946","1,815","1,383","1,695","2,189","2,098","1,236","490","50","3","6,277","6,277","259","482","967","781","892","1,119","977","584","206","10","0","6,206","6,206","319","464","848","602","803","1,070","1,121","652","284","40","3"
