"행정구역","2020년12월_계_총인구수","2020년12월_계_연령구간인구수","2020년12월_계_0~9세","2020년12월_계_10~19세","2020년12월_계_20~29세","2020년12월_계_30~39세","2020년12월_계_40~49세","2020년12월_계_50~59세","2020년12월_계_60~69세","2020년12월_계_70~79세","2020년12월_계_80~89세","2020년12월_계_90~99세","2020년12월_계_100세 이상","2020년12월_남_총인구수","2020년12월_남_연령구간인구수","2020년12월_남_0~9세","2020년12월_남_10~19세","2020년12월_남_20~29세","2020년12월_남_30~39세","2020년12월_남_40~49세","2020년12월_남_50~59세","2020년12월_남_60~69세","2020년12월_남_70~79세","2020년12월_남_80~89세","2020년12월_남_90~99세","2020년12월_남_100세 이상","2020년12월_여_총인구수","2020년12월_여_연령구간인구수","2020년12월_여_0~9세","2020년12월_여_10~19세","2020년12월_여_20~29세","2020년12월_여_30~39세","2020년12월_여_40~49세","2020년12월_여_50~59세","2020년12월_여_60~69세","2020년12월_여_70~79세","2020년12월_여_80~89세","2020년12월_여_90~99세","2020년12월_여_100세 이상"
"경상남도  (4800000000)","3,340,216","3,340,216","268,766","324,214","378,436","399,558","536,223","582,448","462,731","245,191","124,648","17,174","827","1,681,423","1,681,423","138,139","169,631","210,511","208,912","276,112","297,249","230,016","108,436","38,987","3,253","177","1,658,793","1,658,793","130,627","154,583","167,925","190,646","260,111","285,199","232,715","136,755","85,661","13,921","650"
"경상남도 창원시 (4812000000)","1,036,738","1,036,738","83,470","99,727","130,040","134,008","167,792","186,508","141,873","63,369","26,327","3,436","188","525,278","525,278","43,093","52,239","72,430","70,891","85,182","92,635","70,363","29,069","8,682","651","43","511,460","511,460","40,377","47,488","57,610","63,117","82,610","93,873","71,510","34,300","17,645","2,785","145"
"경상남도 창원시 의창구 (4812100000)","262,408","262,408","21,491","23,649","35,899","35,336","41,056","50,585","34,530","13,338","5,713","775","36","133,544","133,544","11,042","12,470","19,970","18,688","20,696","24,862","17,576","6,337","1,762","135","6","128,864","128,864","10,449","11,179","15,929","16,648","20,360","25,723","16,954","7,001","3,951","640","30"
"경상남도 창원시 성산구 (4812300000)","214,570","214,570","16,557","23,111","32,346","29,336","35,739","43,432","23,776","6,877","2,938","438","20","109,642","109,642","8,491","12,184","18,024","15,661","17,160","21,155","12,752","3,282","848","79","6","104,928","104,928","8,066","10,927","14,322","13,675","18,579","22,277","11,024","3,595","2,090","359","14"
"경상남도 창원시 마산합포구 (4812500000)","175,716","175,716","12,639","13,764","18,922","20,485","25,651","29,526","30,028","16,569","7,057","1,006","69","87,418","87,418","6,578","7,142","10,502","10,859","13,458","14,688","14,239","7,405","2,331","199","17","88,298","88,298","6,061","6,622","8,420","9,626","12,193","14,838","15,789","9,164","4,726","807","52"
"경상남도 창원시 마산회원구 (4812700000)","191,289","191,289","13,406","18,250","22,353","21,819","30,228","34,527","29,961","14,786","5,331","583","45","95,938","95,938","6,921","9,564","12,338","11,521","15,337","17,217","14,302","6,726","1,891","112","9","95,351","95,351","6,485","8,686","10,015","10,298","14,891","17,310","15,659","8,060","3,440","471","36"
"경상남도 창원시 진해구 (4812900000)","192,755","192,755","19,377","20,953","20,520","27,032","35,118","28,438","23,578","11,799","5,288","634","18","98,736","98,736","10,061","10,879","11,596","14,162","18,531","14,713","11,494","5,319","1,850","126","5","94,019","94,019","9,316","10,074","8,924","12,870","16,587","13,725","12,084","6,480","3,438","508","13"
"경상남도 진주시 (4817000000)","348,096","348,096","28,396","35,225","45,143","41,648","54,298","57,791","45,768","25,565","12,414","1,754","94","172,107","172,107","14,731","18,597","24,825","21,267","27,057","28,467","21,861","11,166","3,817","299","20","175,989","175,989","13,665","16,628","20,318","20,381","27,241","29,324","23,907","14,399","8,597","1,455","74"
"경상남도 통영시 (4822000000)","128,293","128,293","9,660","12,848","11,223","13,820","21,331","22,474","20,489","11,068","4,736","616","28","64,502","64,502","4,854","6,661","6,228","7,121","11,506","11,528","9,999","5,007","1,472","118","8","63,791","63,791","4,806","6,187","4,995","6,699","9,825","10,946","10,490","6,061","3,264","498","20"
"경상남도 사천시 (4824000000)","111,105","111,105","8,130","10,281","10,769","11,891","17,752","18,502","16,534","10,642","5,766","806","32","56,010","56,010","4,231","5,300","6,423","6,389","9,454","9,786","7,965","4,544","1,781","128","9","55,095","55,095","3,899","4,981","4,346","5,502","8,298","8,716","8,569","6,098","3,985","678","23"
