"ÇàÁ¤±¸¿ª","2020³â06¿ù_°è_ÃÑÀÎ±¸¼ö","2020³â06¿ù_°è_¿¬·É±¸°£ÀÎ±¸¼ö","2020³â06¿ù_°è_0~9¼¼","2020³â06¿ù_°è_10~19¼¼","2020³â06¿ù_°è_20~29¼¼","2020³â06¿ù_°è_30~39¼¼","2020³â06¿ù_°è_40~49¼¼","2020³â06¿ù_°è_50~59¼¼","2020³â06¿ù_°è_60~69¼¼","2020³â06¿ù_°è_70~79¼¼","2020³â06¿ù_°è_80~89¼¼","2020³â06¿ù_°è_90~99¼¼","2020³â06¿ù_°è_100¼¼ ÀÌ»ó","2020³â06¿ù_³²_ÃÑÀÎ±¸¼ö","2020³â06¿ù_³²_¿¬·É±¸°£ÀÎ±¸¼ö","2020³â06¿ù_³²_0~9¼¼","2020³â06¿ù_³²_10~19¼¼","2020³â06¿ù_³²_20~29¼¼","2020³â06¿ù_³²_30~39¼¼","2020³â06¿ù_³²_40~49¼¼","2020³â06¿ù_³²_50~59¼¼","2020³â06¿ù_³²_60~69¼¼","2020³â06¿ù_³²_70~79¼¼","2020³â06¿ù_³²_80~89¼¼","2020³â06¿ù_³²_90~99¼¼","2020³â06¿ù_³²_100¼¼ ÀÌ»ó","2020³â06¿ù_¿©_ÃÑÀÎ±¸¼ö","2020³â06¿ù_¿©_¿¬·É±¸°£ÀÎ±¸¼ö","2020³â06¿ù_¿©_0~9¼¼","2020³â06¿ù_¿©_10~19¼¼","2020³â06¿ù_¿©_20~29¼¼","2020³â06¿ù_¿©_30~39¼¼","2020³â06¿ù_¿©_40~49¼¼","2020³â06¿ù_¿©_50~59¼¼","2020³â06¿ù_¿©_60~69¼¼","2020³â06¿ù_¿©_70~79¼¼","2020³â06¿ù_¿©_80~89¼¼","2020³â06¿ù_¿©_90~99¼¼","2020³â06¿ù_¿©_100¼¼ ÀÌ»ó"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ (2917000000)","433,444","433,444","34,575","44,026","62,926","56,762","68,541","72,442","51,763","28,867","11,760","1,665","117","215,259","215,259","17,650","23,304","33,123","29,453","34,333","35,409","24,649","12,882","4,113","330","13","218,185","218,185","16,925","20,722","29,803","27,309","34,208","37,033","27,114","15,985","7,647","1,335","104"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï1µ¿(2917051000)","5,032","5,032","222","191","1,003","962","620","708","685","440","173","22","6","2,593","2,593","104","105","443","526","382","393","364","198","70","6","2","2,439","2,439","118","86","560","436","238","315","321","242","103","16","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï2µ¿(2917052000)","6,965","6,965","288","486","1,360","788","916","994","1,024","731","334","40","4","3,558","3,558","147","249","704","466","485","514","502","317","158","15","1","3,407","3,407","141","237","656","322","431","480","522","414","176","25","3"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï3µ¿(2917053000)","5,041","5,041","283","323","889","733","733","733","663","481","182","15","6","2,643","2,643","143","180","470","421","431","401","308","207","78","4","0","2,398","2,398","140","143","419","312","302","332","355","274","104","11","6"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ Áß¾Óµ¿(2917055500)","3,321","3,321","92","127","510","416","421","585","582","384","161","39","4","1,778","1,778","50","64","240","259","267","336","305","182","65","9","1","1,543","1,543","42","63","270","157","154","249","277","202","96","30","3"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÀÓµ¿(2917057000)","8,135","8,135","606","580","940","1,189","1,184","1,275","1,178","867","267","44","5","4,017","4,017","316","307","486","591","629","629","533","405","111","10","0","4,118","4,118","290","273","454","598","555","646","645","462","156","34","5"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ½Å¾Èµ¿(2917058000)","11,531","11,531","432","725","2,110","1,658","1,572","1,863","1,600","1,073","434","58","6","6,058","6,058","222","377","1,090","959","939","1,010","788","491","173","9","0","5,473","5,473","210","348","1,020","699","633","853","812","582","261","49","6"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿ëºÀµ¿(2917059000)","38,298","38,298","2,691","3,870","7,085","4,689","5,690","6,713","4,315","2,292","843","105","5","19,113","19,113","1,382","2,064","3,739","2,496","2,804","3,190","2,035","1,071","310","22","0","19,185","19,185","1,309","1,806","3,346","2,193","2,886","3,523","2,280","1,221","533","83","5"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï1µ¿(2917060100)","19,668","19,668","1,826","2,304","2,609","2,410","3,139","3,161","2,564","1,196","391","64","4","9,470","9,470","927","1,175","1,330","1,152","1,429","1,499","1,191","594","163","10","0","10,198","10,198","899","1,129","1,279","1,258","1,710","1,662","1,373","602","228","54","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï2µ¿(2917060200)","12,693","12,693","610","980","1,847","1,433","1,759","2,231","2,055","1,251","468","56","3","6,419","6,419","279","510","992","814","929","1,140","954","588","202","11","0","6,274","6,274","331","470","855","619","830","1,091","1,101","663","266","45","3"
