"ÇàÁ¤±¸¿ª","2020³â04¿ù_°è_ÃÑÀÎ±¸¼ö","2020³â04¿ù_°è_¿¬·É±¸°£ÀÎ±¸¼ö","2020³â04¿ù_°è_0~9¼¼","2020³â04¿ù_°è_10~19¼¼","2020³â04¿ù_°è_20~29¼¼","2020³â04¿ù_°è_30~39¼¼","2020³â04¿ù_°è_40~49¼¼","2020³â04¿ù_°è_50~59¼¼","2020³â04¿ù_°è_60~69¼¼","2020³â04¿ù_°è_70~79¼¼","2020³â04¿ù_°è_80~89¼¼","2020³â04¿ù_°è_90~99¼¼","2020³â04¿ù_°è_100¼¼ ÀÌ»ó","2020³â04¿ù_³²_ÃÑÀÎ±¸¼ö","2020³â04¿ù_³²_¿¬·É±¸°£ÀÎ±¸¼ö","2020³â04¿ù_³²_0~9¼¼","2020³â04¿ù_³²_10~19¼¼","2020³â04¿ù_³²_20~29¼¼","2020³â04¿ù_³²_30~39¼¼","2020³â04¿ù_³²_40~49¼¼","2020³â04¿ù_³²_50~59¼¼","2020³â04¿ù_³²_60~69¼¼","2020³â04¿ù_³²_70~79¼¼","2020³â04¿ù_³²_80~89¼¼","2020³â04¿ù_³²_90~99¼¼","2020³â04¿ù_³²_100¼¼ ÀÌ»ó","2020³â04¿ù_¿©_ÃÑÀÎ±¸¼ö","2020³â04¿ù_¿©_¿¬·É±¸°£ÀÎ±¸¼ö","2020³â04¿ù_¿©_0~9¼¼","2020³â04¿ù_¿©_10~19¼¼","2020³â04¿ù_¿©_20~29¼¼","2020³â04¿ù_¿©_30~39¼¼","2020³â04¿ù_¿©_40~49¼¼","2020³â04¿ù_¿©_50~59¼¼","2020³â04¿ù_¿©_60~69¼¼","2020³â04¿ù_¿©_70~79¼¼","2020³â04¿ù_¿©_80~89¼¼","2020³â04¿ù_¿©_90~99¼¼","2020³â04¿ù_¿©_100¼¼ ÀÌ»ó"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ (2917000000)","433,057","433,057","34,658","44,382","62,843","56,790","68,565","72,674","51,133","28,583","11,667","1,645","117","215,038","215,038","17,671","23,516","33,082","29,456","34,310","35,486","24,377","12,731","4,063","333","13","218,019","218,019","16,987","20,866","29,761","27,334","34,255","37,188","26,756","15,852","7,604","1,312","104"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï1µ¿(2917051000)","5,053","5,053","222","195","1,016","967","617","724","676","436","171","23","6","2,592","2,592","104","106","448","530","375","396","360","197","68","6","2","2,461","2,461","118","89","568","437","242","328","316","239","103","17","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï2µ¿(2917052000)","6,976","6,976","294","496","1,335","796","938","1,013","999","734","326","40","5","3,561","3,561","151","252","691","472","504","520","483","316","156","15","1","3,415","3,415","143","244","644","324","434","493","516","418","170","25","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï3µ¿(2917053000)","5,034","5,034","282","328","881","728","708","749","665","497","176","15","5","2,646","2,646","144","183","471","430","408","407","312","211","76","4","0","2,388","2,388","138","145","410","298","300","342","353","286","100","11","5"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ Áß¾Óµ¿(2917055500)","3,318","3,318","97","130","497","420","419","589","580","383","162","37","4","1,780","1,780","53","69","228","266","265","334","311","180","63","10","1","1,538","1,538","44","61","269","154","154","255","269","203","99","27","3"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÀÓµ¿(2917057000)","8,167","8,167","607","581","956","1,205","1,171","1,287","1,185","866","260","45","4","4,038","4,038","313","311","502","602","617","636","533","404","109","11","0","4,129","4,129","294","270","454","603","554","651","652","462","151","34","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ½Å¾Èµ¿(2917058000)","11,510","11,510","438","731","2,111","1,661","1,570","1,881","1,582","1,055","419","56","6","6,044","6,044","228","374","1,107","957","933","1,008","776","484","168","9","0","5,466","5,466","210","357","1,004","704","637","873","806","571","251","47","6"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿ëºÀµ¿(2917059000)","38,358","38,358","2,718","3,927","7,056","4,750","5,711","6,722","4,263","2,267","836","103","5","19,110","19,110","1,393","2,092","3,696","2,521","2,816","3,190","2,009","1,058","312","23","0","19,248","19,248","1,325","1,835","3,360","2,229","2,895","3,532","2,254","1,209","524","80","5"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï1µ¿(2917060100)","19,818","19,818","1,857","2,320","2,650","2,452","3,148","3,191","2,564","1,187","383","62","4","9,540","9,540","936","1,187","1,344","1,173","1,440","1,513","1,194","584","158","11","0","10,278","10,278","921","1,133","1,306","1,279","1,708","1,678","1,370","603","225","51","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï2µ¿(2917060200)","12,717","12,717","631","1,003","1,827","1,451","1,783","2,246","2,017","1,237","463","56","3","6,435","6,435","295","520","975","822","939","1,144","947","583","199","11","0","6,282","6,282","336","483","852","629","844","1,102","1,070","654","264","45","3"
