"행정구역","2021년07월_계_총인구수","2021년07월_계_연령구간인구수","2021년07월_계_0~9세","2021년07월_계_10~19세","2021년07월_계_20~29세","2021년07월_계_30~39세","2021년07월_계_40~49세","2021년07월_계_50~59세","2021년07월_계_60~69세","2021년07월_계_70~79세","2021년07월_계_80~89세","2021년07월_계_90~99세","2021년07월_계_100세 이상","2021년07월_남_총인구수","2021년07월_남_연령구간인구수","2021년07월_남_0~9세","2021년07월_남_10~19세","2021년07월_남_20~29세","2021년07월_남_30~39세","2021년07월_남_40~49세","2021년07월_남_50~59세","2021년07월_남_60~69세","2021년07월_남_70~79세","2021년07월_남_80~89세","2021년07월_남_90~99세","2021년07월_남_100세 이상","2021년07월_여_총인구수","2021년07월_여_연령구간인구수","2021년07월_여_0~9세","2021년07월_여_10~19세","2021년07월_여_20~29세","2021년07월_여_30~39세","2021년07월_여_40~49세","2021년07월_여_50~59세","2021년07월_여_60~69세","2021년07월_여_70~79세","2021년07월_여_80~89세","2021년07월_여_90~99세","2021년07월_여_100세 이상"
"부산광역시 수영구 (2650000000)","175,722","175,722","10,118","11,554","23,998","23,618","25,164","27,155","29,021","17,120","7,033","906","35","83,010","83,010","5,202","5,937","11,630","11,766","12,434","12,577","12,859","7,657","2,701","239","8","92,712","92,712","4,916","5,617","12,368","11,852","12,730","14,578","16,162","9,463","4,332","667","27"
"부산광역시 수영구 남천제1동(2650066000)","13,888","13,888","705","1,172","1,823","1,588","2,003","2,451","2,151","1,259","630","104","2","6,406","6,406","334","593","901","779","931","1,132","947","519","235","34","1","7,482","7,482","371","579","922","809","1,072","1,319","1,204","740","395","70","1"
"부산광역시 수영구 남천제2동(2650067000)","12,204","12,204","860","1,167","1,301","1,235","1,942","2,153","1,956","1,097","412","73","8","5,677","5,677","430","594","663","583","870","954","894","510","166","11","2","6,527","6,527","430","573","638","652","1,072","1,199","1,062","587","246","62","6"
"부산광역시 수영구 수영동(2650073000)","14,812","14,812","579","659","1,789","1,728","1,885","2,261","2,989","1,968","848","101","5","7,109","7,109","308","347","892","906","1,018","1,080","1,310","895","330","23","0","7,703","7,703","271","312","897","822","867","1,181","1,679","1,073","518","78","5"
"부산광역시 수영구 망미제1동(2650074000)","27,520","27,520","1,664","1,904","3,008","3,288","3,771","4,227","5,193","3,002","1,290","172","1","13,150","13,150","878","978","1,567","1,627","1,888","1,946","2,310","1,397","504","55","0","14,370","14,370","786","926","1,441","1,661","1,883","2,281","2,883","1,605","786","117","1"
"부산광역시 수영구 망미제2동(2650075000)","11,168","11,168","646","788","1,194","1,360","1,660","1,844","2,000","1,195","429","51","1","5,512","5,512","338","424","669","731","856","895","896","518","179","6","0","5,656","5,656","308","364","525","629","804","949","1,104","677","250","45","1"
"부산광역시 수영구 광안제1동(2650076000)","25,818","25,818","1,184","1,546","5,113","4,121","3,485","3,528","3,676","2,181","860","118","6","12,035","12,035","621","830","2,223","2,059","1,724","1,608","1,612","996","324","36","2","13,783","13,783","563","716","2,890","2,062","1,761","1,920","2,064","1,185","536","82","4"
"부산광역시 수영구 광안제2동(2650077000)","18,724","18,724","1,062","1,245","2,876","2,776","2,833","2,711","2,677","1,757","706","73","8","8,694","8,694","533","626","1,317","1,362","1,394","1,253","1,165","739","280","22","3","10,030","10,030","529","619","1,559","1,414","1,439","1,458","1,512","1,018","426","51","5"
"부산광역시 수영구 광안제3동(2650078000)","9,419","9,419","265","392","1,858","1,394","1,157","1,311","1,610","1,000","393","38","1","4,481","4,481","135","198","832","726","597","657","752","427","147","10","0","4,938","4,938","130","194","1,026","668","560","654","858","573","246","28","1"
"부산광역시 수영구 광안제4동(2650079000)","13,699","13,699","913","917","1,745","2,042","2,113","2,086","2,057","1,207","566","51","2","6,219","6,219","485","454","815","970","956","930","858","531","208","12","0","7,480","7,480","428","463","930","1,072","1,157","1,156","1,199","676","358","39","2"
"부산광역시 수영구 민락동(2650080000)","28,470","28,470","2,240","1,764","3,291","4,086","4,315","4,583","4,712","2,454","899","125","1","13,727","13,727","1,140","893","1,751","2,023","2,200","2,122","2,115","1,125","328","30","0","14,743","14,743","1,100","871","1,540","2,063","2,115","2,461","2,597","1,329","571","95","1"
