"행정구역","2020년04월_계_총인구수","2020년04월_계_연령구간인구수","2020년04월_계_0~9세","2020년04월_계_10~19세","2020년04월_계_20~29세","2020년04월_계_30~39세","2020년04월_계_40~49세","2020년04월_계_50~59세","2020년04월_계_60~69세","2020년04월_계_70~79세","2020년04월_계_80~89세","2020년04월_계_90~99세","2020년04월_계_100세 이상","2020년04월_남_총인구수","2020년04월_남_연령구간인구수","2020년04월_남_0~9세","2020년04월_남_10~19세","2020년04월_남_20~29세","2020년04월_남_30~39세","2020년04월_남_40~49세","2020년04월_남_50~59세","2020년04월_남_60~69세","2020년04월_남_70~79세","2020년04월_남_80~89세","2020년04월_남_90~99세","2020년04월_남_100세 이상","2020년04월_여_총인구수","2020년04월_여_연령구간인구수","2020년04월_여_0~9세","2020년04월_여_10~19세","2020년04월_여_20~29세","2020년04월_여_30~39세","2020년04월_여_40~49세","2020년04월_여_50~59세","2020년04월_여_60~69세","2020년04월_여_70~79세","2020년04월_여_80~89세","2020년04월_여_90~99세","2020년04월_여_100세 이상"
"전라남도 구례군 (4673000000)","25,895","25,895","1,197","1,926","2,051","1,777","3,066","4,695","4,484","3,883","2,450","346","20","12,587","12,587","596","1,025","1,081","958","1,690","2,583","2,181","1,585","808","77","3","13,308","13,308","601","901","970","819","1,376","2,112","2,303","2,298","1,642","269","17"
"전라남도 구례군 구례읍(4673025000)","10,980","10,980","697","1,106","1,090","936","1,512","1,946","1,634","1,249","697","107","6","5,329","5,329","333","596","571","466","770","1,007","792","528","239","26","1","5,651","5,651","364","510","519","470","742","939","842","721","458","81","5"
"전라남도 구례군 문척면(4673031000)","1,298","1,298","43","76","82","60","155","245","261","205","150","21","0","648","648","23","41","45","30","90","147","133","83","53","3","0","650","650","20","35","37","30","65","98","128","122","97","18","0"
"전라남도 구례군 간전면(4673032000)","1,526","1,526","54","73","85","76","160","280","284","310","182","20","2","750","750","28","33","40","41","106","171","139","122","65","5","0","776","776","26","40","45","35","54","109","145","188","117","15","2"
"전라남도 구례군 토지면(4673033000)","2,571","2,571","53","160","160","123","245","588","514","389","287","49","3","1,253","1,253","30","79","94","74","141","321","252","150","98","14","0","1,318","1,318","23","81","66","49","104","267","262","239","189","35","3"
"전라남도 구례군 마산면(4673034000)","2,740","2,740","127","180","200","188","346","455","493","418","287","42","4","1,365","1,365","65","102","105","114","198","268","239","172","92","9","1","1,375","1,375","62","78","95","74","148","187","254","246","195","33","3"
"전라남도 구례군 광의면(4673035000)","2,305","2,305","70","116","120","146","186","384","439","471","325","46","2","1,081","1,081","36","64","56","85","110","226","206","193","96","9","0","1,224","1,224","34","52","64","61","76","158","233","278","229","37","2"
"전라남도 구례군 용방면(4673036000)","1,501","1,501","58","64","108","101","167","227","274","291","182","29","0","723","723","30","39","55","62","97","126","133","114","61","6","0","778","778","28","25","53","39","70","101","141","177","121","23","0"
"전라남도 구례군 산동면(4673037000)","2,974","2,974","95","151","206","147","295","570","585","550","340","32","3","1,438","1,438","51","71","115","86","178","317","287","223","104","5","1","1,536","1,536","44","80","91","61","117","253","298","327","236","27","2"
