카테고리,경기도 군포시,경기도 군포시 군포1동,경기도 군포시 군포2동,경기도 군포시 산본1동,경기도 군포시 산본2동,경기도 군포시 금정동,경기도 군포시 재궁동,경기도 군포시 오금동,경기도 군포시 수리동,경기도 군포시 궁내동,경기도 군포시 대야동,경기도 군포시 광정동,경기도 군포시 송부동
2020년01월_계_총인구수,"275,989","32,949","54,112","16,443","27,932","17,563","19,724","22,724","17,330","21,394","20,135","25,683",
2020년01월_계_연령구간인구수,"275,989","32,949","54,112","16,443","27,932","17,563","19,724","22,724","17,330","21,394","20,135","25,683",
2020년01월_계_0~9세,"22,392","2,128","5,142",799,"2,484",907,"1,357","2,183","1,219","1,972","2,287","1,914",
2020년01월_계_10~19세,"27,965","2,813","6,333",974,"2,928","1,259","1,588","2,337","1,753","3,307","1,757","2,916",
2020년01월_계_20~29세,"38,280","5,078","7,364","2,482","3,950","2,701","2,823","2,840","2,174","2,602","2,664","3,602",
2020년01월_계_30~39세,"39,832","4,600","7,538","2,288","3,789","2,405","3,440","3,976","2,368","2,265","3,747","3,416",
2020년01월_계_40~49세,"45,729","5,089","9,375","2,204","4,544","2,669","2,971","4,013","2,833","4,365","3,189","4,477",
2020년01월_계_50~59세,"48,346","6,448","9,423","3,227","4,923","3,566","3,219","3,433","3,015","3,532","3,221","4,339",
2020년01월_계_60~69세,"30,536","4,148","5,367","2,524","3,185","2,525","2,369","2,114","1,962","1,781","1,988","2,573",
2020년01월_계_70~79세,"14,590","1,800","2,385","1,305","1,353","1,069","1,225","1,116","1,176",921,875,"1,365",
2020년01월_계_80~89세,"7,135",717,995,557,656,403,633,637,736,563,335,903,
2020년01월_계_90~99세,"1,114",118,176,75,118,52,93,75,90,83,67,167,
2020년01월_계_100세 이상,70,10,14,8,2,7,6,0,4,3,5,11,
2020년01월_남_총인구수,"136,990","17,330","26,907","8,193","13,572","9,108","9,408","11,079","8,292","10,442","10,150","12,509",
2020년01월_남_연령구간인구수,"136,990","17,330","26,907","8,193","13,572","9,108","9,408","11,079","8,292","10,442","10,150","12,509",
2020년01월_남_0~9세,"11,507","1,110","2,649",414,"1,269",489,692,"1,087",567,"1,055","1,159","1,016",
2020년01월_남_10~19세,"14,382","1,469","3,235",507,"1,514",654,815,"1,224",914,"1,654",891,"1,505",
2020년01월_남_20~29세,"19,975","2,823","3,799","1,317","2,067","1,418","1,422","1,463","1,108","1,392","1,354","1,812",
2020년01월_남_30~39세,"20,560","2,619","3,802","1,311","1,811","1,351","1,776","1,989","1,193","1,054","1,958","1,696",
2020년01월_남_40~49세,"22,441","2,667","4,576","1,157","2,147","1,441","1,416","1,915","1,357","2,012","1,636","2,117",
2020년01월_남_50~59세,"23,656","3,351","4,597","1,516","2,303","1,820","1,474","1,649","1,462","1,750","1,552","2,182",
2020년01월_남_60~69세,"15,162","2,137","2,725","1,201","1,594","1,288","1,095","1,006",911,906,"1,027","1,272",
2020년01월_남_70~79세,"6,470",844,"1,137",584,600,500,475,468,464,383,435,580,
2020년01월_남_80~89세,"2,516",273,335,171,239,132,218,254,282,206,120,286,
2020년01월_남_90~99세,298,33,47,14,28,12,23,24,32,29,16,40,
2020년01월_남_100세 이상,23,4,5,1,0,3,2,0,2,1,2,3,
2020년01월_여_총인구수,"138,999","15,619","27,205","8,250","14,360","8,455","10,316","11,645","9,038","10,952","9,985","13,174",
2020년01월_여_연령구간인구수,"138,999","15,619","27,205","8,250","14,360","8,455","10,316","11,645","9,038","10,952","9,985","13,174",
2020년01월_여_0~9세,"10,885","1,018","2,493",385,"1,215",418,665,"1,096",652,917,"1,128",898,
2020년01월_여_10~19세,"13,583","1,344","3,098",467,"1,414",605,773,"1,113",839,"1,653",866,"1,411",
2020년01월_여_20~29세,"18,305","2,255","3,565","1,165","1,883","1,283","1,401","1,377","1,066","1,210","1,310","1,790",
2020년01월_여_30~39세,"19,272","1,981","3,736",977,"1,978","1,054","1,664","1,987","1,175","1,211","1,789","1,720",
2020년01월_여_40~49세,"23,288","2,422","4,799","1,047","2,397","1,228","1,555","2,098","1,476","2,353","1,553","2,360",
2020년01월_여_50~59세,"24,690","3,097","4,826","1,711","2,620","1,746","1,745","1,784","1,553","1,782","1,669","2,157",
2020년01월_여_60~69세,"15,374","2,011","2,642","1,323","1,591","1,237","1,274","1,108","1,051",875,961,"1,301",
2020년01월_여_70~79세,"8,120",956,"1,248",721,753,569,750,648,712,538,440,785,
2020년01월_여_80~89세,"4,619",444,660,386,417,271,415,383,454,357,215,617,
2020년01월_여_90~99세,816,85,129,61,90,40,70,51,58,54,51,127,
2020년01월_여_100세 이상,47,6,9,7,2,4,4,0,2,2,3,8,
2020년02월_계_총인구수,"275,857","33,032","54,091","16,418","27,893","17,530","19,696","22,701","17,246","21,386","20,256","25,608",
2020년02월_계_연령구간인구수,"275,857","33,032","54,091","16,418","27,893","17,530","19,696","22,701","17,246","21,386","20,256","25,608",
2020년02월_계_0~9세,"22,252","2,104","5,106",802,"2,476",893,"1,334","2,164","1,200","1,977","2,293","1,903",
2020년02월_계_10~19세,"27,779","2,790","6,319",953,"2,909","1,252","1,581","2,320","1,731","3,291","1,753","2,880",
2020년02월_계_20~29세,"38,183","5,107","7,335","2,484","3,886","2,702","2,832","2,837","2,159","2,579","2,662","3,600",
2020년02월_계_30~39세,"39,703","4,635","7,481","2,272","3,781","2,407","3,406","3,960","2,321","2,257","3,787","3,396",
2020년02월_계_40~49세,"45,728","5,093","9,400","2,190","4,567","2,646","2,945","4,017","2,845","4,351","3,221","4,453",
2020년02월_계_50~59세,"48,374","6,458","9,436","3,226","4,902","3,562","3,228","3,431","3,014","3,549","3,226","4,342",
2020년02월_계_60~69세,"30,836","4,184","5,426","2,533","3,233","2,535","2,409","2,142","1,966","1,794","2,028","2,586",
2020년02월_계_70~79세,"14,614","1,812","2,386","1,310","1,353","1,073","1,219","1,111","1,169",932,882,"1,367",
2020년02월_계_80~89세,"7,201",722,"1,014",564,669,400,641,641,749,568,333,900,
