카테고리,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 덕양구 주교동,경기도 고양시 덕양구 원신동,경기도 고양시 덕양구 흥도동,경기도 고양시 덕양구 성사1동,경기도 고양시 덕양구 성사2동,경기도 고양시 덕양구 효자동,경기도 고양시 덕양구 삼송동,경기도 고양시 덕양구 창릉동,경기도 고양시 덕양구 고양동,경기도 고양시 덕양구 관산동,경기도 고양시 덕양구 능곡동,경기도 고양시 덕양구 화정1동,경기도 고양시 덕양구 화정2동,경기도 고양시 덕양구 행주동,경기도 고양시 덕양구 행신1동,경기도 고양시 덕양구 행신2동,경기도 고양시 덕양구 행신3동,경기도 고양시 덕양구 화전동,경기도 고양시 덕양구 대덕동,경기도 고양시 일산동구,경기도 고양시 일산동구 식사동,경기도 고양시 일산동구 중산동,경기도 고양시 일산동구 정발산동,경기도 고양시 일산동구 풍산동,경기도 고양시 일산동구 백석1동,경기도 고양시 일산동구 백석2동,경기도 고양시 일산동구 마두1동,경기도 고양시 일산동구 마두2동,경기도 고양시 일산동구 장항1동,경기도 고양시 일산동구 장항2동,경기도 고양시 일산동구 고봉동,경기도 고양시 일산서구,경기도 고양시 일산서구 일산1동,경기도 고양시 일산서구 일산2동,경기도 고양시 일산서구 일산3동,경기도 고양시 일산서구 탄현동,경기도 고양시 일산서구 주엽1동,경기도 고양시 일산서구 주엽2동,경기도 고양시 일산서구 대화동,경기도 고양시 일산서구 송포동,경기도 고양시 일산서구 송산동
2020년02월_남_80~89세,"11,256","5,078",210,178,340,270,186,66,216,142,395,453,201,593,342,257,246,321,464,160,38,"3,018",229,531,253,385,284,198,245,234,60,311,288,"3,160",318,238,294,445,428,472,319,230,416
2020년02월_남_90~99세,"1,150",491,18,21,24,23,13,18,14,20,41,43,16,54,31,16,21,34,60,20,4,320,28,66,32,41,16,24,27,34,3,31,18,339,32,24,39,48,54,63,31,17,31
2020년02월_남_100세 이상,83,51,2,1,0,1,1,9,5,1,5,10,2,4,1,1,1,0,0,5,2,19,1,4,3,0,2,0,3,1,1,2,2,13,1,0,1,0,1,3,3,1,3
2020년02월_여_총인구수,"546,119","237,186","7,558","12,362","22,871","11,100","6,004","4,545","11,350","9,946","15,416","17,933","7,788","19,812","17,452","9,490","11,563","16,743","24,136","10,014","1,103","153,082","17,629","24,640","12,483","20,441","16,314","10,791","12,821","8,833","5,029","13,375","10,726","155,851","14,489","9,628","18,816","26,960","15,070","15,786","18,065","10,938","26,099"
2020년02월_여_연령구간인구수,"546,119","237,186","7,558","12,362","22,871","11,100","6,004","4,545","11,350","9,946","15,416","17,933","7,788","19,812","17,452","9,490","11,563","16,743","24,136","10,014","1,103","153,082","17,629","24,640","12,483","20,441","16,314","10,791","12,821","8,833","5,029","13,375","10,726","155,851","14,489","9,628","18,816","26,960","15,070","15,786","18,065","10,938","26,099"
2020년02월_여_0~9세,"41,571","19,192",299,"1,620","2,835",675,351,637,"1,128","1,154","1,224","1,113",448,"1,081","1,439",391,760,"1,207","1,475","1,310",45,"10,611","1,705","1,757",641,"1,712","1,053",484,743,621,622,587,686,"11,768","1,102",549,"1,359","2,397","1,044","1,017","1,102",819,"2,379"
2020년02월_여_10~19세,"52,763","20,694",589,949,"1,849",930,547,349,691,732,"1,589","1,397",603,"1,865","1,950",638,"1,125","1,508","2,574",727,82,"14,831","2,254","2,264","1,128","2,289","1,449",685,"1,645","1,139",447,783,748,"17,238","1,414",755,"2,917","2,881","1,692","1,713","1,448","1,160","3,258"
2020년02월_여_20~29세,"73,138","30,149",997,"1,200","2,547","1,422",677,674,"1,382","1,191","1,642","1,973",975,"3,162","2,274","1,360","1,581","2,422","3,408","1,102",160,"22,053","2,363","3,357","1,983","2,653","2,538","1,729","1,972","1,125",522,"2,529","1,282","20,936","1,946","1,378","2,417","3,736","1,813","1,925","3,224","1,441","3,056"
2020년02월_여_30~39세,"71,895","33,073",683,"2,284","4,222","1,257",671,958,"2,128","2,218","1,744","2,038",883,"2,129","2,215","1,015","1,349","2,422","2,645","2,104",108,"19,886","2,150","2,915","1,484","2,521","2,358","1,821","1,234",908,889,"2,307","1,299","18,936","1,689","1,012","1,840","3,739","1,751","1,785","2,499","1,483","3,138"
2020년02월_여_40~49세,"95,850","39,213","1,112","2,063","3,901","1,784",975,678,"1,718","1,644","2,712","2,673","1,179","3,343","3,502","1,360","1,952","2,739","4,249","1,508",121,"27,735","3,729","4,077","2,020","3,828","2,931","1,973","2,411","1,730",888,"2,560","1,588","28,902","2,460","1,391","4,192","5,001","2,778","2,800","2,970","2,075","5,235"
