카테고리,경기도 안산시,경기도 안산시 상록구,경기도 안산시 상록구 일동,경기도 안산시 상록구 이동,경기도 안산시 상록구 사동,경기도 안산시 상록구 사이동,경기도 안산시 상록구 해양동,경기도 안산시 상록구 본오1동,경기도 안산시 상록구 본오2동,경기도 안산시 상록구 본오3동,경기도 안산시 상록구 부곡동,경기도 안산시 상록구 월피동,경기도 안산시 상록구 성포동,경기도 안산시 상록구 반월동,경기도 안산시 상록구 안산동,경기도 안산시 단원구,경기도 안산시 단원구 와동,경기도 안산시 단원구 고잔동,경기도 안산시 단원구 중앙동,경기도 안산시 단원구 호수동,경기도 안산시 단원구 원곡동,경기도 안산시 단원구 백운동,경기도 안산시 단원구 신길동,경기도 안산시 단원구 초지동,경기도 안산시 단원구 선부1동,경기도 안산시 단원구 선부2동,경기도 안산시 단원구 선부3동,경기도 안산시 단원구 대부동
2020년01월_계_총인구수,"650,559","344,245","25,945","25,141","34,580","33,176","18,447","39,553","27,846","20,989","22,672","40,158","27,956","18,491","9,291","306,314","39,625","22,512","26,150","46,076","6,626","19,111","23,107","48,119","11,429","18,309","36,709","8,541"
2020년01월_계_연령구간인구수,"650,559","344,245","25,945","25,141","34,580","33,176","18,447","39,553","27,846","20,989","22,672","40,158","27,956","18,491","9,291","306,314","39,625","22,512","26,150","46,076","6,626","19,111","23,107","48,119","11,429","18,309","36,709","8,541"
2020년01월_계_0~9세,"46,175","23,793","1,988","1,350","2,198","2,752","1,526","3,006","1,814","1,173","1,684","2,550","1,938","1,267",547,"22,382","2,857","1,365","1,797","3,723",308,"1,446","1,842","4,149",733,"1,069","2,782",311
2020년01월_계_10~19세,"67,575","35,391","2,693","1,794","3,253","3,916","2,357","4,438","3,208","1,942","2,318","4,311","2,920","1,421",820,"32,184","4,252","2,109","2,491","5,777",330,"1,967","2,666","5,379",918,"1,884","4,012",399
2020년01월_계_20~29세,"105,142","56,682","3,887","4,590","6,157","5,267","3,241","6,166","4,467","3,611","3,656","7,238","4,956","2,236","1,210","48,460","6,100","4,315","5,047","7,926",533,"2,926","3,138","7,510","1,619","2,699","5,929",718
2020년01월_계_30~39세,"85,672","43,673","3,426","4,069","5,029","4,165","2,061","5,112","3,158","2,662","2,602","4,644","3,374","2,367","1,004","41,999","5,437","3,232","4,185","5,473",710,"2,565","3,134","7,343","1,758","2,189","5,304",669
2020년01월_계_40~49세,"111,005","58,493","4,793","4,246","6,074","5,808","3,136","7,308","4,910","3,483","3,894","6,610","4,001","2,781","1,449","52,512","7,347","3,492","3,984","8,041","1,148","3,052","4,219","8,694","1,816","3,281","6,508",930
2020년01월_계_50~59세,"126,198","66,997","4,655","4,660","6,361","6,310","3,541","7,368","5,495","4,311","4,655","8,352","5,930","3,475","1,884","59,201","7,600","4,184","4,754","9,417","1,726","3,778","4,283","8,271","2,201","4,013","7,045","1,929"
2020년01월_계_60~69세,"64,375","33,907","2,416","2,491","2,667","3,081","1,767","3,435","2,639","2,101","2,173","3,849","3,060","2,798","1,430","30,468","3,529","2,220","2,622","3,822",989,"2,245","2,422","4,039","1,431","1,914","3,282","1,953"
2020년01월_계_70~79세,"28,611","16,232","1,405","1,285","1,549","1,203",549,"1,813","1,392","1,083","1,097","1,614","1,083","1,525",634,"12,379","1,667","1,027",814,"1,186",603,807,919,"1,717",591,822,"1,193","1,033"
2020년01월_계_80~89세,"13,730","7,875",593,560,"1,086",595,225,814,681,551,533,868,576,534,259,"5,855",728,515,373,606,243,286,424,875,324,381,590,510
2020년01월_계_90~99세,"1,971","1,149",86,90,194,74,43,92,80,72,57,118,111,83,49,822,105,49,79,102,30,32,57,135,37,54,60,82
2020년01월_계_100세 이상,105,53,3,6,12,5,1,1,2,0,3,4,7,4,5,52,3,4,4,3,6,7,3,7,1,3,4,7
