카테고리,전라남도 고흥군,전라남도 고흥군 고흥읍,전라남도 고흥군 도양읍,전라남도 고흥군 도양읍소록출장소,전라남도 고흥군 도양읍시산출장소,전라남도 고흥군 풍양면,전라남도 고흥군 도덕면,전라남도 고흥군 금산면,전라남도 고흥군 도화면,전라남도 고흥군 포두면,전라남도 고흥군 봉래면,전라남도 고흥군 점암면,전라남도 고흥군 과역면,전라남도 고흥군 남양면,전라남도 고흥군 동강면,전라남도 고흥군 대서면,전라남도 고흥군 두원면,전라남도 고흥군 영남면,전라남도 고흥군 동일면
2020년03월_계_총인구수,"64,581","12,457","9,956",623,228,"3,214","2,966","4,434","3,945","5,004","1,910","2,657","3,402","2,359","3,146","2,332","3,122","1,310","1,516"
2020년03월_계_연령구간인구수,"64,581","12,457","9,956",623,228,"3,214","2,966","4,434","3,945","5,004","1,910","2,657","3,402","2,359","3,146","2,332","3,122","1,310","1,516"
2020년03월_계_0~9세,"2,685","1,042",548,18,4,71,72,129,92,117,58,45,85,76,108,69,78,27,46
2020년03월_계_10~19세,"4,065","1,500",796,20,14,100,140,200,179,233,95,98,157,101,127,73,105,57,70
2020년03월_계_20~29세,"4,400","1,224",833,12,9,161,142,262,220,286,88,126,236,142,220,134,145,71,89
2020년03월_계_30~39세,"3,873","1,221",773,20,15,140,150,206,157,220,75,102,146,127,169,110,120,48,74
2020년03월_계_40~49세,"6,556","1,915","1,239",28,36,237,230,386,352,447,160,190,287,165,264,151,229,100,140
2020년03월_계_50~59세,"10,564","1,927","1,710",50,46,501,503,715,669,846,307,443,631,386,505,419,450,196,260
2020년03월_계_60~69세,"12,378","1,699","1,829",101,28,720,619,912,818,"1,031",414,560,704,549,673,489,628,270,334
2020년03월_계_70~79세,"11,450","1,183","1,441",187,44,722,567,951,827,"1,057",409,587,617,450,570,482,747,312,297
2020년03월_계_80~89세,"7,357",613,677,161,31,473,466,610,541,671,258,404,450,314,435,350,526,191,186
2020년03월_계_90~99세,"1,208",128,106,26,1,89,75,61,83,89,44,102,85,47,72,53,90,37,20
2020년03월_계_100세 이상,45,5,4,0,0,0,2,2,7,7,2,0,4,2,3,2,4,1,0
2020년03월_남_총인구수,"31,295","6,121","4,851",317,119,"1,596","1,408","2,165","1,895","2,398",928,"1,242","1,618","1,108","1,533","1,127","1,463",632,774
2020년03월_남_연령구간인구수,"31,295","6,121","4,851",317,119,"1,596","1,408","2,165","1,895","2,398",928,"1,242","1,618","1,108","1,533","1,127","1,463",632,774
2020년03월_남_0~9세,"1,337",515,273,9,0,34,37,65,37,59,29,17,43,35,62,34,44,14,30
2020년03월_남_10~19세,"2,153",799,417,10,5,59,70,109,78,121,44,59,88,62,68,46,52,32,34
2020년03월_남_20~29세,"2,528",693,444,4,8,107,72,155,136,162,51,79,130,84,128,86,81,49,59
2020년03월_남_30~39세,"2,116",579,413,7,12,92,93,121,99,124,41,62,88,62,97,74,78,32,42
2020년03월_남_40~49세,"3,839",976,656,16,30,167,140,239,221,286,106,131,183,101,170,103,150,69,95
2020년03월_남_50~59세,"5,788","1,008",905,26,24,308,300,384,358,472,189,246,331,208,293,227,257,105,147
2020년03월_남_60~69세,"6,085",794,866,58,16,363,325,449,393,481,205,284,361,277,324,256,302,149,182
2020년03월_남_70~79세,"4,904",539,632,101,14,297,227,410,395,443,175,251,242,181,240,195,313,116,133
2020년03월_남_80~89세,"2,283",198,227,78,10,149,127,217,162,227,76,96,128,92,124,99,169,57,47
2020년03월_남_90~99세,255,18,17,8,0,20,17,15,16,22,11,17,24,6,27,6,17,9,5
2020년03월_남_100세 이상,7,2,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
2020년03월_여_총인구수,"33,286","6,336","5,105",306,109,"1,618","1,558","2,269","2,050","2,606",982,"1,415","1,784","1,251","1,613","1,205","1,659",678,742
2020년03월_여_연령구간인구수,"33,286","6,336","5,105",306,109,"1,618","1,558","2,269","2,050","2,606",982,"1,415","1,784","1,251","1,613","1,205","1,659",678,742
2020년03월_여_0~9세,"1,348",527,275,9,4,37,35,64,55,58,29,28,42,41,46,35,34,13,16
2020년03월_여_10~19세,"1,912",701,379,10,9,41,70,91,101,112,51,39,69,39,59,27,53,25,36
