카테고리,경상북도 김천시,경상북도 김천시 아포읍,경상북도 김천시 농소면,경상북도 김천시 남면,경상북도 김천시 개령면,경상북도 김천시 감문면,경상북도 김천시 어모면,경상북도 김천시 봉산면,경상북도 김천시 대항면,경상북도 김천시 감천면,경상북도 김천시 조마면,경상북도 김천시 구성면,경상북도 김천시 지례면,경상북도 김천시 부항면,경상북도 김천시 대덕면,경상북도 김천시 증산면,경상북도 김천시 자산동,경상북도 김천시 평화남산동,경상북도 김천시 양금동,경상북도 김천시 대신동,경상북도 김천시 대곡동,경상북도 김천시 지좌동,경상북도 김천시 율곡동
2020년03월_계_총인구수,"140,609","7,232","3,009","3,197","2,525","3,380","4,190","3,247","3,546","1,987","2,284","2,873","1,611","1,304","2,161","1,070","6,928","7,887","4,069","24,701","20,529","10,920","21,959"
2020년03월_계_연령구간인구수,"140,609","7,232","3,009","3,197","2,525","3,380","4,190","3,247","3,546","1,987","2,284","2,873","1,611","1,304","2,161","1,070","6,928","7,887","4,069","24,701","20,529","10,920","21,959"
2020년03월_계_0~9세,"10,788",400,96,88,64,85,155,106,100,62,63,52,36,30,57,14,248,249,157,"2,219","1,483",914,"4,110"
2020년03월_계_10~19세,"12,043",449,139,156,113,112,214,151,194,87,105,107,59,50,128,42,399,459,253,"3,028","2,193","1,135","2,470"
2020년03월_계_20~29세,"14,906",594,252,267,220,209,334,281,330,148,153,182,103,73,129,47,668,858,356,"3,547","2,456","1,374","2,325"
2020년03월_계_30~39세,"15,730",627,222,206,152,192,240,217,224,134,131,134,74,52,124,31,600,758,281,"2,862","2,197","1,329","4,943"
2020년03월_계_40~49세,"19,541",877,311,317,225,271,451,295,339,191,218,217,123,120,165,98,872,901,440,"4,057","3,050","1,864","4,139"
2020년03월_계_50~59세,"24,044","1,466",552,616,489,605,772,672,758,396,448,542,280,233,393,244,"1,181","1,418",704,"4,182","3,769","1,906","2,418"
2020년03월_계_60~69세,"21,087","1,367",644,679,585,775,873,704,768,406,509,666,351,306,467,263,"1,488","1,582",839,"2,577","2,879","1,366",993
2020년03월_계_70~79세,"13,403",828,438,480,398,598,670,507,473,298,350,524,320,241,381,156,993,"1,053",666,"1,371","1,597",697,364
