카테고리,전라남도 순천시,전라남도 순천시 승주읍,전라남도 순천시 해룡면,전라남도 순천시 해룡면상삼출장소,전라남도 순천시 해룡면신대출장소,전라남도 순천시 서면,전라남도 순천시 황전면,전라남도 순천시 월등면,전라남도 순천시 주암면,전라남도 순천시 송광면,전라남도 순천시 외서면,전라남도 순천시 낙안면,전라남도 순천시 별량면,전라남도 순천시 상사면,전라남도 순천시 향동,전라남도 순천시 매곡동,전라남도 순천시 삼산동,전라남도 순천시 조곡동,전라남도 순천시 덕연동,전라남도 순천시 풍덕동,전라남도 순천시 남제동,전라남도 순천시 저전동,전라남도 순천시 장천동,전라남도 순천시 중앙동,전라남도 순천시 도사동,전라남도 순천시 왕조1동,전라남도 순천시 왕조2동
2020년03월_여_50~59세,"24,374",232,385,"1,635","1,452","1,069",195,156,252,126,67,267,434,251,295,391,"2,366",574,"4,570",727,880,267,242,255,"1,517","3,853","1,916"
2020년03월_여_60~69세,"16,048",240,429,565,556,906,306,189,328,114,89,364,513,268,416,389,"1,588",555,"2,422",707,832,272,278,287,"1,013","1,753",669
2020년03월_여_70~79세,"10,374",300,401,291,225,647,356,197,363,198,102,347,534,254,304,326,768,308,"1,041",519,556,251,167,243,594,810,272
2020년03월_여_80~89세,"6,690",266,345,193,114,462,314,163,313,167,103,277,511,177,183,179,439,164,521,198,245,90,86,110,392,521,157
2020년03월_여_90~99세,"1,239",40,57,24,28,81,48,32,53,30,27,46,79,45,28,29,84,33,106,51,51,26,22,9,83,100,27
2020년03월_여_100세 이상,50,0,1,2,0,2,1,1,0,4,0,2,3,4,4,1,5,3,5,1,0,0,2,5,3,1,0
2020년04월_계_총인구수,"281,349","2,742","4,682","18,527","31,699","12,258","2,988","1,837","3,261","1,543",926,"3,284","5,607","2,824","3,848","4,732","24,260","6,462","45,130","7,820","9,137","2,922","2,518","3,209","18,479","40,751","19,903"
2020년04월_계_연령구간인구수,"281,349","2,742","4,682","18,527","31,699","12,258","2,988","1,837","3,261","1,543",926,"3,284","5,607","2,824","3,848","4,732","24,260","6,462","45,130","7,820","9,137","2,922","2,518","3,209","18,479","40,751","19,903"
2020년04월_계_0~9세,"24,009",61,144,"1,644","5,900",861,60,36,69,17,27,79,151,62,153,149,"1,756",371,"3,600",395,397,128,63,111,"2,174","3,692","1,909"
2020년04월_계_10~19세,"30,937",134,224,"2,695","4,729","1,048",104,72,150,39,43,158,291,173,278,375,"2,711",599,"5,687",607,725,194,112,209,"1,726","5,071","2,783"
2020년04월_계_20~29세,"37,230",184,428,"3,160","3,077","1,317",172,133,204,88,62,247,430,262,379,819,"3,800",773,"6,750",932,"1,185",347,298,402,"2,180","6,356","3,245"
2020년04월_계_30~39세,"33,433",122,280,"2,234","6,646","1,188",149,103,164,66,34,146,291,158,338,426,"2,618",650,"5,201",809,811,259,219,286,"2,719","5,038","2,478"
2020년04월_계_40~49세,"43,946",247,516,"3,520","6,522","1,787",221,139,236,124,59,248,565,298,446,528,"3,600",950,"7,277",984,"1,171",326,305,455,"2,871","7,030","3,521"
2020년04월_계_50~59세,"49,278",563,933,"3,365","3,157","2,252",492,337,598,312,162,579,"1,001",546,600,782,"4,438","1,176","8,784","1,363","1,774",496,511,560,"3,025","7,656","3,816"
2020년04월_계_60~69세,"32,348",511,863,"1,134","1,133","1,870",628,411,654,291,193,728,"1,083",561,782,731,"3,126","1,040","4,963","1,361","1,567",519,528,551,"2,028","3,644","1,448"
2020년04월_계_70~79세,"18,641",488,706,477,356,"1,173",631,329,653,330,179,632,950,439,567,607,"1,458",593,"1,943",945,"1,051",441,307,434,"1,078","1,412",462
