카테고리,충청북도 제천시,충청북도 제천시 봉양읍,충청북도 제천시 금성면,충청북도 제천시 청풍면,충청북도 제천시 수산면,충청북도 제천시 덕산면,충청북도 제천시 한수면,충청북도 제천시 백운면,충청북도 제천시 송학면,충청북도 제천시 교동,충청북도 제천시 의림지동,충청북도 제천시 중앙동,충청북도 제천시 남현동,충청북도 제천시 영서동,충청북도 제천시 용두동,충청북도 제천시 신백동,충청북도 제천시 청전동,충청북도 제천시 화산동
2020년03월_계_총인구수,"133,839","6,809","1,977","1,278","2,044","2,234",711,"3,286","4,644","19,019","9,946","6,057","4,996","10,351","17,960","11,291","15,856","15,380"
2020년03월_계_연령구간인구수,"133,839","6,809","1,977","1,278","2,044","2,234",711,"3,286","4,644","19,019","9,946","6,057","4,996","10,351","17,960","11,291","15,856","15,380"
2020년03월_계_0~9세,"9,210",291,56,33,46,65,16,98,99,"1,679",847,282,219,832,"1,388",808,743,"1,708"
2020년03월_계_10~19세,"12,100",368,94,45,78,206,38,142,230,"2,473","1,163",448,327,906,"1,875","1,209","1,196","1,302"
2020년03월_계_20~29세,"14,993",494,126,66,86,91,30,183,381,"2,235","1,285",661,577,"1,094","2,733","1,380","1,975","1,596"
2020년03월_계_30~39세,"13,500",457,113,65,81,84,40,138,238,"2,135","1,089",520,426,"1,157","2,147","1,127","1,421","2,262"
2020년03월_계_40~49세,"18,830",717,143,94,144,188,77,254,422,"3,413","1,640",775,575,"1,510","2,715","1,762","1,998","2,403"
2020년03월_계_50~59세,"24,278","1,292",416,281,424,416,147,634,960,"3,360","1,768","1,081",929,"1,800","3,167","2,135","3,065","2,403"
2020년03월_계_60~69세,"21,730","1,594",521,312,545,556,181,913,"1,157","2,169","1,266","1,211","1,053","1,531","2,176","1,507","3,100","1,938"
2020년03월_계_70~79세,"12,314",970,285,229,383,396,95,551,702,"1,065",547,726,626,"1,015","1,076",896,"1,591","1,161"
2020년03월_계_80~89세,"6,019",540,190,134,229,203,71,319,392,440,292,298,238,443,615,407,662,546
2020년03월_계_90~99세,793,84,28,15,22,29,15,49,60,45,47,50,24,45,67,56,100,57
2020년03월_계_100세 이상,72,2,5,4,6,0,1,5,3,5,2,5,2,18,1,4,5,4
2020년03월_남_총인구수,"67,085","3,449","1,061",653,"1,055","1,137",359,"1,675","2,443","9,346","4,922","3,046","2,481","5,172","8,979","5,648","7,906","7,753"
2020년03월_남_연령구간인구수,"67,085","3,449","1,061",653,"1,055","1,137",359,"1,675","2,443","9,346","4,922","3,046","2,481","5,172","8,979","5,648","7,906","7,753"
2020년03월_남_0~9세,"4,682",153,32,19,23,37,5,53,52,825,446,148,110,444,701,410,361,863
2020년03월_남_10~19세,"6,274",189,57,20,43,111,21,87,134,"1,246",594,237,169,467,959,631,651,658
2020년03월_남_20~29세,"8,327",278,86,34,63,56,21,106,245,"1,225",673,357,332,605,"1,503",782,"1,107",854
