카테고리,충청남도 부여군,충청남도 부여군 부여읍,충청남도 부여군 규암면,충청남도 부여군 은산면,충청남도 부여군 외산면,충청남도 부여군 내산면,충청남도 부여군 구룡면,충청남도 부여군 홍산면,충청남도 부여군 옥산면,충청남도 부여군 남면,충청남도 부여군 충화면,충청남도 부여군 양화면,충청남도 부여군 임천면,충청남도 부여군 장암면,충청남도 부여군 세도면,충청남도 부여군 석성면,충청남도 부여군 초촌면
2020년04월_여_연령구간인구수,"33,388","10,417","6,096","1,912","1,222",780,"1,254","1,493",752,971,574,918,"1,499","1,404","1,574","1,443","1,079"
2020년04월_여_0~9세,"1,438",517,467,55,25,24,27,40,12,18,10,15,59,36,55,50,28
2020년04월_여_10~19세,"2,317",939,599,111,41,23,76,83,31,38,12,22,64,54,62,117,45
2020년04월_여_20~29세,"2,362",945,617,89,44,23,63,84,22,41,19,38,68,76,84,98,51
2020년04월_여_30~39세,"2,109",812,620,80,45,34,49,60,19,31,22,29,62,60,72,63,51
2020년04월_여_40~49세,"3,401","1,382",826,154,85,48,99,115,49,55,24,55,107,77,109,145,71
2020년04월_여_50~59세,"5,374","1,859",931,303,205,132,203,215,105,121,82,121,186,221,263,257,170
2020년04월_여_60~69세,"6,339","1,811",833,457,295,166,231,340,174,205,153,210,320,263,362,274,245
2020년04월_여_70~79세,"5,200","1,218",627,314,263,162,245,308,166,235,117,202,328,296,295,213,211
2020년04월_여_80~89세,"4,078",767,492,297,182,146,223,203,144,194,116,184,242,276,241,197,174
2020년04월_여_90~99세,721,152,80,43,33,22,35,40,29,33,19,41,62,44,30,27,31
2020년04월_여_100세 이상,49,15,4,9,4,0,3,5,1,0,0,1,1,1,1,2,2
2020년05월_계_총인구수,"66,086","20,657","12,042","3,816","2,377","1,568","2,437","2,889","1,434","1,886","1,155","1,739","2,944","2,780","3,210","2,982","2,170"
2020년05월_계_연령구간인구수,"66,086","20,657","12,042","3,816","2,377","1,568","2,437","2,889","1,434","1,886","1,155","1,739","2,944","2,780","3,210","2,982","2,170"
2020년05월_계_0~9세,"3,075","1,122",991,104,50,54,63,88,26,49,22,29,106,85,109,114,63
2020년05월_계_10~19세,"4,845","1,983","1,201",211,122,54,156,175,56,80,34,49,146,122,133,239,84
2020년05월_계_20~29세,"5,549","2,263","1,323",245,116,67,147,191,73,105,54,78,167,158,194,234,134
2020년05월_계_30~39세,"4,584","1,665","1,233",196,98,87,126,136,54,87,56,78,144,148,184,163,129
2020년05월_계_40~49세,"7,438","2,803","1,743",364,207,110,237,252,111,139,67,111,260,233,284,335,182
2020년05월_계_50~59세,"11,160","3,753","1,937",658,405,269,402,458,210,261,185,252,425,441,568,573,363
2020년05월_계_60~69세,"12,681","3,469","1,667",911,560,362,461,634,354,416,291,424,651,591,739,607,544
2020년05월_계_70~79세,"9,439","2,219","1,099",598,483,311,460,569,289,401,234,370,581,512,566,393,354
2020년05월_계_80~89세,"6,296","1,169",736,459,287,222,338,325,218,300,191,292,386,425,387,285,276
