카테고리,서울특별시 중랑구,서울특별시 중랑구 면목제2동,서울특별시 중랑구 면목제4동,서울특별시 중랑구 면목제5동,서울특별시 중랑구 면목본동,서울특별시 중랑구 면목제7동,서울특별시 중랑구 면목제3.8동,서울특별시 중랑구 상봉제1동,서울특별시 중랑구 상봉제2동,서울특별시 중랑구 중화제1동,서울특별시 중랑구 중화제2동,서울특별시 중랑구 묵제1동,서울특별시 중랑구 묵제2동,서울특별시 중랑구 망우본동,서울특별시 중랑구 망우제3동,서울특별시 중랑구 신내1동,서울특별시 중랑구 신내2동
2020년01월_계_총인구수,"396,755","25,561","19,739","9,664","35,294","22,121","26,142","25,314","19,578","20,699","26,512","35,745","19,662","30,774","17,541","40,649","21,760"
2020년01월_계_연령구간인구수,"396,755","25,561","19,739","9,664","35,294","22,121","26,142","25,314","19,578","20,699","26,512","35,745","19,662","30,774","17,541","40,649","21,760"
2020년01월_계_0~9세,"24,518","1,437","1,178",526,"1,833","1,266","1,281","1,983",849,"1,399","1,167","2,663","1,201","1,597",896,"3,719","1,523"
2020년01월_계_10~19세,"28,368","1,757","1,342",668,"2,167","1,336","1,655","2,135",883,"1,465","1,352","3,239","1,316","2,034","1,282","3,864","1,873"
2020년01월_계_20~29세,"56,209","3,499","2,632","1,291","5,322","3,029","3,851","3,763","3,783","3,026","3,839","4,866","2,784","4,263","2,394","5,169","2,698"
2020년01월_계_30~39세,"59,297","3,543","2,908","1,429","5,619","3,388","3,805","3,728","4,040","3,346","3,894","5,270","3,214","4,197","2,298","5,503","3,115"
2020년01월_계_40~49세,"59,286","3,962","3,126","1,462","5,282","3,220","3,749","3,731","2,672","2,906","3,749","6,023","2,973","4,343","2,561","6,163","3,364"
2020년01월_계_50~59세,"70,742","5,036","3,373","1,829","6,550","3,963","4,784","4,550","3,132","3,545","5,281","5,644","3,253","5,919","3,437","6,766","3,680"
2020년01월_계_60~69세,"55,258","3,540","2,825","1,382","4,727","3,355","3,882","3,123","2,371","2,935","4,021","4,436","2,867","4,801","2,610","5,275","3,108"
2020년01월_계_70~79세,"30,438","1,967","1,783",784,"2,755","1,835","2,259","1,598","1,333","1,462","2,276","2,535","1,499","2,517","1,443","2,798","1,594"
2020년01월_계_80~89세,"10,930",709,482,261,907,638,760,617,439,542,819,937,482,939,525,"1,170",703
2020년01월_계_90~99세,"1,521",100,81,29,107,79,106,85,65,68,99,112,62,145,80,207,96
2020년01월_계_100세 이상,188,11,9,3,25,12,10,1,11,5,15,20,11,19,15,15,6
2020년01월_남_총인구수,"196,803","12,806","9,854","4,938","17,538","11,066","13,047","12,380","9,568","10,201","13,658","17,397","9,697","15,554","8,840","19,871","10,388"
2020년01월_남_연령구간인구수,"196,803","12,806","9,854","4,938","17,538","11,066","13,047","12,380","9,568","10,201","13,658","17,397","9,697","15,554","8,840","19,871","10,388"
2020년01월_남_0~9세,"12,631",723,631,247,939,668,640,"1,047",435,730,623,"1,368",621,813,471,"1,907",768
2020년01월_남_10~19세,"14,506",874,721,346,"1,076",695,858,"1,120",461,741,712,"1,629",682,"1,014",607,"2,009",961
2020년01월_남_20~29세,"28,122","1,764","1,318",690,"2,709","1,564","1,980","1,858","1,655","1,519","1,907","2,377","1,347","2,217","1,223","2,614","1,380"
2020년01월_남_30~39세,"30,695","1,904","1,515",764,"2,989","1,720","2,007","1,889","2,057","1,730","2,096","2,621","1,721","2,205","1,235","2,706","1,536"
2020년01월_남_40~49세,"30,516","2,081","1,661",787,"2,719","1,724","1,978","1,806","1,392","1,506","2,004","2,984","1,495","2,339","1,300","3,115","1,625"
2020년01월_남_50~59세,"34,985","2,582","1,699",948,"3,237","1,898","2,342","2,205","1,573","1,682","2,816","2,727","1,589","2,980","1,779","3,202","1,726"
2020년01월_남_60~69세,"26,864","1,705","1,327",685,"2,260","1,662","1,871","1,507","1,134","1,415","2,084","2,087","1,347","2,427","1,324","2,566","1,463"
2020년01월_남_70~79세,"13,866",874,778,353,"1,232",877,"1,035",705,655,648,"1,040","1,192",683,"1,167",675,"1,282",670
2020년01월_남_80~89세,"4,223",271,179,113,347,239,302,226,187,216,337,383,193,354,208,430,238
2020년01월_남_90~99세,353,27,24,5,23,17,31,17,17,13,34,23,15,34,15,38,20
2020년01월_남_100세 이상,42,1,1,0,7,2,3,0,2,1,5,6,4,4,3,2,1
2020년01월_여_총인구수,"199,952","12,755","9,885","4,726","17,756","11,055","13,095","12,934","10,010","10,498","12,854","18,348","9,965","15,220","8,701","20,778","11,372"
2020년01월_여_연령구간인구수,"199,952","12,755","9,885","4,726","17,756","11,055","13,095","12,934","10,010","10,498","12,854","18,348","9,965","15,220","8,701","20,778","11,372"
2020년01월_여_0~9세,"11,887",714,547,279,894,598,641,936,414,669,544,"1,295",580,784,425,"1,812",755
2020년01월_여_10~19세,"13,862",883,621,322,"1,091",641,797,"1,015",422,724,640,"1,610",634,"1,020",675,"1,855",912
2020년01월_여_20~29세,"28,087","1,735","1,314",601,"2,613","1,465","1,871","1,905","2,128","1,507","1,932","2,489","1,437","2,046","1,171","2,555","1,318"
2020년01월_여_30~39세,"28,602","1,639","1,393",665,"2,630","1,668","1,798","1,839","1,983","1,616","1,798","2,649","1,493","1,992","1,063","2,797","1,579"
2020년01월_여_40~49세,"28,770","1,881","1,465",675,"2,563","1,496","1,771","1,925","1,280","1,400","1,745","3,039","1,478","2,004","1,261","3,048","1,739"
2020년01월_여_50~59세,"35,757","2,454","1,674",881,"3,313","2,065","2,442","2,345","1,559","1,863","2,465","2,917","1,664","2,939","1,658","3,564","1,954"
2020년01월_여_60~69세,"28,394","1,835","1,498",697,"2,467","1,693","2,011","1,616","1,237","1,520","1,937","2,349","1,520","2,374","1,286","2,709","1,645"
2020년01월_여_70~79세,"16,572","1,093","1,005",431,"1,523",958,"1,224",893,678,814,"1,236","1,343",816,"1,350",768,"1,516",924
2020년01월_여_80~89세,"6,707",438,303,148,560,399,458,391,252,326,482,554,289,585,317,740,465
2020년01월_여_90~99세,"1,168",73,57,24,84,62,75,68,48,55,65,89,47,111,65,169,76
2020년01월_여_100세 이상,146,10,8,3,18,10,7,1,9,4,10,14,7,15,12,13,5
2020년02월_계_총인구수,"396,314","25,509","19,657","9,610","35,255","22,333","26,085","25,221","19,636","20,655","26,440","35,756","19,621","30,722","17,528","40,584","21,702"
2020년02월_계_연령구간인구수,"396,314","25,509","19,657","9,610","35,255","22,333","26,085","25,221","19,636","20,655","26,440","35,756","19,621","30,722","17,528","40,584","21,702"
2020년02월_계_0~9세,"24,271","1,432","1,166",521,"1,796","1,280","1,271","1,962",844,"1,358","1,157","2,670","1,179","1,568",892,"3,685","1,490"
2020년02월_계_10~19세,"28,144","1,741","1,326",662,"2,160","1,339","1,623","2,110",884,"1,455","1,328","3,213","1,307","2,013","1,279","3,855","1,849"
2020년02월_계_20~29세,"56,093","3,474","2,615","1,275","5,299","3,048","3,845","3,721","3,807","3,015","3,868","4,877","2,768","4,251","2,399","5,127","2,704"
2020년02월_계_30~39세,"59,121","3,532","2,872","1,423","5,606","3,464","3,796","3,707","4,065","3,325","3,866","5,259","3,185","4,187","2,278","5,470","3,086"
2020년02월_계_40~49세,"59,204","3,937","3,122","1,459","5,281","3,239","3,736","3,728","2,663","2,910","3,733","6,027","2,990","4,316","2,556","6,146","3,361"
2020년02월_계_50~59세,"70,626","5,029","3,357","1,810","6,550","3,985","4,767","4,543","3,127","3,532","5,249","5,641","3,247","5,899","3,436","6,779","3,675"
2020년02월_계_60~69세,"55,554","3,565","2,838","1,388","4,730","3,392","3,888","3,140","2,387","2,961","4,029","4,457","2,883","4,832","2,628","5,311","3,125"
2020년02월_계_70~79세,"30,507","1,970","1,788",776,"2,777","1,847","2,270","1,597","1,345","1,469","2,266","2,532","1,490","2,539","1,435","2,807","1,599"
2020년02월_계_80~89세,"11,056",715,484,264,921,646,771,628,436,555,830,941,501,953,528,"1,173",710
2020년02월_계_90~99세,"1,545",102,80,28,109,81,107,83,67,70,99,118,60,146,82,216,97
2020년02월_계_100세 이상,193,12,9,4,26,12,11,2,11,5,15,21,11,18,15,15,6
2020년02월_남_총인구수,"196,483","12,774","9,804","4,905","17,529","11,161","13,009","12,344","9,584","10,163","13,627","17,367","9,672","15,521","8,830","19,826","10,367"
2020년02월_남_연령구간인구수,"196,483","12,774","9,804","4,905","17,529","11,161","13,009","12,344","9,584","10,163","13,627","17,367","9,672","15,521","8,830","19,826","10,367"
2020년02월_남_0~9세,"12,498",719,619,245,924,682,631,"1,039",427,706,619,"1,368",608,800,469,"1,890",752
2020년02월_남_10~19세,"14,387",865,709,340,"1,068",697,851,"1,105",457,732,700,"1,623",679,"1,004",607,"1,999",951
2020년02월_남_20~29세,"28,038","1,755","1,321",684,"2,709","1,566","1,964","1,844","1,655","1,510","1,915","2,369","1,335","2,205","1,223","2,598","1,385"
2020년02월_남_30~39세,"30,604","1,900","1,489",758,"2,969","1,759","1,999","1,877","2,080","1,721","2,095","2,614","1,702","2,201","1,230","2,691","1,519"
2020년02월_남_40~49세,"30,476","2,071","1,663",785,"2,725","1,718","1,983","1,803","1,380","1,511","1,998","2,978","1,499","2,338","1,291","3,104","1,629"
2020년02월_남_50~59세,"34,913","2,568","1,683",938,"3,239","1,915","2,333","2,207","1,573","1,673","2,791","2,717","1,595","2,969","1,780","3,207","1,725"
2020년02월_남_60~69세,"26,988","1,720","1,331",687,"2,268","1,678","1,872","1,513","1,147","1,422","2,098","2,093","1,353","2,432","1,333","2,574","1,467"
2020년02월_남_70~79세,"13,914",875,782,349,"1,242",880,"1,037",708,661,652,"1,035","1,189",683,"1,175",674,"1,293",679
2020년02월_남_80~89세,"4,270",273,182,114,355,247,305,231,185,221,337,386,200,360,206,430,238
2020년02월_남_90~99세,352,27,24,4,23,17,31,17,17,14,34,24,14,33,14,38,21
2020년02월_남_100세 이상,43,1,1,1,7,2,3,0,2,1,5,6,4,4,3,2,1
2020년02월_여_총인구수,"199,831","12,735","9,853","4,705","17,726","11,172","13,076","12,877","10,052","10,492","12,813","18,389","9,949","15,201","8,698","20,758","11,335"
2020년02월_여_연령구간인구수,"199,831","12,735","9,853","4,705","17,726","11,172","13,076","12,877","10,052","10,492","12,813","18,389","9,949","15,201","8,698","20,758","11,335"
2020년02월_여_0~9세,"11,773",713,547,276,872,598,640,923,417,652,538,"1,302",571,768,423,"1,795",738
2020년02월_여_10~19세,"13,757",876,617,322,"1,092",642,772,"1,005",427,723,628,"1,590",628,"1,009",672,"1,856",898
2020년02월_여_20~29세,"28,055","1,719","1,294",591,"2,590","1,482","1,881","1,877","2,152","1,505","1,953","2,508","1,433","2,046","1,176","2,529","1,319"
2020년02월_여_30~39세,"28,517","1,632","1,383",665,"2,637","1,705","1,797","1,830","1,985","1,604","1,771","2,645","1,483","1,986","1,048","2,779","1,567"
2020년02월_여_40~49세,"28,728","1,866","1,459",674,"2,556","1,521","1,753","1,925","1,283","1,399","1,735","3,049","1,491","1,978","1,265","3,042","1,732"
2020년02월_여_50~59세,"35,713","2,461","1,674",872,"3,311","2,070","2,434","2,336","1,554","1,859","2,458","2,924","1,652","2,930","1,656","3,572","1,950"
2020년02월_여_60~69세,"28,566","1,845","1,507",701,"2,462","1,714","2,016","1,627","1,240","1,539","1,931","2,364","1,530","2,400","1,295","2,737","1,658"
2020년02월_여_70~79세,"16,593","1,095","1,006",427,"1,535",967,"1,233",889,684,817,"1,231","1,343",807,"1,364",761,"1,514",920
2020년02월_여_80~89세,"6,786",442,302,150,566,399,466,397,251,334,493,555,301,593,322,743,472
2020년02월_여_90~99세,"1,193",75,56,24,86,64,76,66,50,56,65,94,46,113,68,178,76
2020년02월_여_100세 이상,150,11,8,3,19,10,8,2,9,4,10,15,7,14,12,13,5
2020년03월_계_총인구수,"395,619","25,434","19,583","9,546","35,222","22,422","26,028","25,157","19,723","20,639","26,294","35,784","19,580","30,598","17,449","40,529","21,631"
2020년03월_계_연령구간인구수,"395,619","25,434","19,583","9,546","35,222","22,422","26,028","25,157","19,723","20,639","26,294","35,784","19,580","30,598","17,449","40,529","21,631"
2020년03월_계_0~9세,"24,045","1,399","1,151",516,"1,790","1,282","1,252","1,954",834,"1,360","1,135","2,645","1,182","1,552",874,"3,644","1,475"
2020년03월_계_10~19세,"27,948","1,708","1,314",656,"2,142","1,323","1,617","2,089",893,"1,426","1,308","3,214","1,297","1,983","1,266","3,875","1,837"
2020년03월_계_20~29세,"56,113","3,473","2,589","1,263","5,295","3,075","3,827","3,708","3,861","3,026","3,859","4,939","2,772","4,248","2,386","5,100","2,692"
2020년03월_계_30~39세,"58,815","3,518","2,850","1,412","5,577","3,496","3,777","3,720","4,060","3,317","3,827","5,205","3,170","4,143","2,253","5,438","3,052"
2020년03월_계_40~49세,"58,866","3,909","3,119","1,450","5,263","3,236","3,694","3,687","2,670","2,900","3,699","6,015","2,959","4,270","2,533","6,134","3,328"
2020년03월_계_50~59세,"70,407","5,019","3,347","1,781","6,526","3,991","4,785","4,535","3,126","3,511","5,216","5,638","3,230","5,849","3,418","6,760","3,675"
2020년03월_계_60~69세,"55,873","3,579","2,843","1,392","4,763","3,415","3,910","3,148","2,415","2,979","4,040","4,496","2,889","4,869","2,648","5,353","3,134"
