카테고리,경상북도 의성군,경상북도 의성군 의성읍,경상북도 의성군 단촌면,경상북도 의성군 점곡면,경상북도 의성군 옥산면,경상북도 의성군 사곡면,경상북도 의성군 춘산면,경상북도 의성군 가음면,경상북도 의성군 금성면,경상북도 의성군 봉양면,경상북도 의성군 비안면,경상북도 의성군 구천면,경상북도 의성군 단밀면,경상북도 의성군 단북면,경상북도 의성군 안계면,경상북도 의성군 다인면,경상북도 의성군 신평면,경상북도 의성군 안평면,경상북도 의성군 안사면
2020년03월_계_총인구수,"52,333","13,626","1,979","1,641","1,851","1,581","1,499","1,471","4,381","3,964","2,574","1,837","1,800","1,837","4,591","3,876",801,"2,181",843
2020년03월_계_연령구간인구수,"52,333","13,626","1,979","1,641","1,851","1,581","1,499","1,471","4,381","3,964","2,574","1,837","1,800","1,837","4,591","3,876",801,"2,181",843
2020년03월_계_0~9세,"1,994",846,30,42,42,31,32,32,136,152,88,49,45,43,242,97,20,53,14
2020년03월_계_10~19세,"2,430","1,058",61,43,53,35,61,42,167,146,59,48,62,61,289,136,12,72,25
2020년03월_계_20~29세,"3,329","1,165",91,77,102,73,66,69,242,287,133,97,117,104,352,210,25,92,27
2020년03월_계_30~39세,"3,407","1,253",102,77,74,53,80,81,245,300,124,99,96,96,339,216,31,95,46
2020년03월_계_40~49세,"4,844","1,789",158,104,161,116,81,97,360,352,191,138,128,129,499,288,49,153,51
2020년03월_계_50~59세,"9,039","2,334",326,269,354,300,295,257,716,713,437,325,310,324,780,653,153,357,136
2020년03월_계_60~69세,"11,402","2,490",505,404,459,396,410,398,"1,009",893,630,445,372,411,822,878,161,533,186
2020년03월_계_70~79세,"9,049","1,685",391,355,356,294,262,265,864,645,500,342,351,365,734,805,196,451,188
2020년03월_계_80~89세,"6,024",859,284,251,225,245,178,204,548,413,367,264,290,277,475,529,135,326,154
2020년03월_계_90~99세,773,136,29,19,24,38,31,25,88,60,42,28,28,25,58,63,19,45,15
2020년03월_계_100세 이상,42,11,2,0,1,0,3,1,6,3,3,2,1,2,1,1,0,4,1
2020년03월_남_총인구수,"25,651","6,715",976,815,896,758,756,742,"2,183","1,928","1,237",935,882,875,"2,175","1,918",379,"1,086",395
2020년03월_남_연령구간인구수,"25,651","6,715",976,815,896,758,756,742,"2,183","1,928","1,237",935,882,875,"2,175","1,918",379,"1,086",395
2020년03월_남_0~9세,"1,041",454,18,25,26,13,13,19,79,73,35,20,24,28,119,54,8,25,8
2020년03월_남_10~19세,"1,274",564,37,19,20,19,34,20,88,79,31,29,32,31,137,72,6,40,16
2020년03월_남_20~29세,"1,937",652,57,50,53,45,48,40,147,164,77,56,71,63,202,130,16,51,15
2020년03월_남_30~39세,"1,888",646,64,55,48,31,48,50,143,159,72,61,55,52,178,130,14,54,28
2020년03월_남_40~49세,"2,843",959,112,69,97,80,44,60,218,206,122,98,79,78,269,192,26,103,31
2020년03월_남_50~59세,"4,895","1,203",182,148,189,160,152,146,393,407,241,185,173,189,411,346,88,200,82
2020년03월_남_60~69세,"5,682","1,194",252,202,233,198,229,217,514,412,317,234,180,202,391,443,90,284,90
2020년03월_남_70~79세,"3,925",737,150,164,149,135,118,111,389,283,223,154,154,138,315,355,76,201,73
2020년03월_남_80~89세,"1,984",274,99,82,76,72,60,74,189,132,110,92,108,87,143,171,48,117,50
2020년03월_남_90~99세,174,30,5,1,4,5,9,4,22,13,9,6,6,7,10,24,7,10,2
2020년03월_남_100세 이상,8,2,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0
2020년03월_여_총인구수,"26,682","6,911","1,003",826,955,823,743,729,"2,198","2,036","1,337",902,918,962,"2,416","1,958",422,"1,095",448
2020년03월_여_연령구간인구수,"26,682","6,911","1,003",826,955,823,743,729,"2,198","2,036","1,337",902,918,962,"2,416","1,958",422,"1,095",448
2020년03월_여_0~9세,953,392,12,17,16,18,19,13,57,79,53,29,21,15,123,43,12,28,6
2020년03월_여_10~19세,"1,156",494,24,24,33,16,27,22,79,67,28,19,30,30,152,64,6,32,9
2020년03월_여_20~29세,"1,392",513,34,27,49,28,18,29,95,123,56,41,46,41,150,80,9,41,12
2020년03월_여_30~39세,"1,519",607,38,22,26,22,32,31,102,141,52,38,41,44,161,86,17,41,18
2020년03월_여_40~49세,"2,001",830,46,35,64,36,37,37,142,146,69,40,49,51,230,96,23,50,20
2020년03월_여_50~59세,"4,144","1,131",144,121,165,140,143,111,323,306,196,140,137,135,369,307,65,157,54
2020년03월_여_60~69세,"5,720","1,296",253,202,226,198,181,181,495,481,313,211,192,209,431,435,71,249,96
2020년03월_여_70~79세,"5,124",948,241,191,207,159,144,154,475,362,277,188,197,227,419,450,120,250,115
2020년03월_여_80~89세,"4,040",585,185,169,149,173,118,130,359,281,257,172,182,190,332,358,87,209,104
2020년03월_여_90~99세,599,106,24,18,20,33,22,21,66,47,33,22,22,18,48,39,12,35,13
2020년03월_여_100세 이상,34,9,2,0,0,0,2,0,5,3,3,2,1,2,1,0,0,3,1
2020년04월_계_총인구수,"52,236","13,601","1,977","1,634","1,835","1,582","1,492","1,470","4,376","3,958","2,562","1,829","1,800","1,825","4,604","3,869",797,"2,184",841
2020년04월_계_연령구간인구수,"52,236","13,601","1,977","1,634","1,835","1,582","1,492","1,470","4,376","3,958","2,562","1,829","1,800","1,825","4,604","3,869",797,"2,184",841
2020년04월_계_0~9세,"1,996",850,29,43,40,31,33,30,134,151,90,49,46,42,243,95,20,55,15
2020년04월_계_10~19세,"2,413","1,058",61,41,53,35,60,43,165,143,59,48,61,55,287,136,12,71,25
2020년04월_계_20~29세,"3,285","1,156",89,73,97,71,64,69,243,285,125,89,116,107,357,203,24,91,26
2020년04월_계_30~39세,"3,402","1,242",101,79,73,55,80,79,242,296,128,103,98,92,343,222,29,94,46
2020년04월_계_40~49세,"4,810","1,776",157,104,157,112,82,94,357,356,192,136,128,128,498,287,46,150,50
2020년04월_계_50~59세,"8,967","2,324",320,265,352,301,289,254,709,711,431,317,307,322,779,643,152,356,135
2020년04월_계_60~69세,"11,450","2,507",512,407,462,399,408,402,"1,012",895,627,449,370,412,823,881,163,533,188
2020년04월_계_70~79세,"9,056","1,676",392,355,355,293,265,266,869,641,503,341,353,366,738,805,196,455,187
2020년04월_계_80~89세,"6,038",867,285,248,220,246,179,206,549,417,363,267,292,276,476,529,135,330,153
2020년04월_계_90~99세,776,134,29,19,25,39,29,26,90,60,41,28,28,23,59,66,20,45,15
2020년04월_계_100세 이상,43,11,2,0,1,0,3,1,6,3,3,2,1,2,1,2,0,4,1
2020년04월_남_총인구수,"25,606","6,700",974,808,887,760,754,742,"2,177","1,926","1,234",925,882,871,"2,188","1,920",378,"1,085",395
2020년04월_남_연령구간인구수,"25,606","6,700",974,808,887,760,754,742,"2,177","1,926","1,234",925,882,871,"2,188","1,920",378,"1,085",395
2020년04월_남_0~9세,"1,047",459,18,25,25,13,13,18,78,72,37,20,24,27,119,55,9,26,9
2020년04월_남_10~19세,"1,267",565,37,18,19,20,34,20,86,77,32,29,31,29,138,71,6,39,16
2020년04월_남_20~29세,"1,915",649,56,47,51,44,45,40,149,163,74,52,72,63,207,124,15,50,14
2020년04월_남_30~39세,"1,886",635,63,55,47,32,49,49,139,159,75,62,56,54,181,134,13,55,28
2020년04월_남_40~49세,"2,821",952,111,68,96,77,45,57,216,209,122,96,79,76,269,193,25,100,30
2020년04월_남_50~59세,"4,855","1,197",178,145,189,161,149,145,389,404,236,180,171,189,412,339,89,200,82
2020년04월_남_60~69세,"5,710","1,204",255,204,233,200,230,223,514,413,315,235,178,204,392,446,90,282,92
2020년04월_남_70~79세,"3,934",731,151,165,148,134,119,111,393,282,225,153,157,139,315,357,76,205,73
2020년04월_남_80~89세,"1,990",277,100,80,73,73,61,74,190,134,110,92,108,84,145,176,47,117,49
2020년04월_남_90~99세,173,29,5,1,5,6,8,4,22,13,8,6,6,6,10,24,8,10,2
2020년04월_남_100세 이상,8,2,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0
2020년04월_여_총인구수,"26,630","6,901","1,003",826,948,822,738,728,"2,199","2,032","1,328",904,918,954,"2,416","1,949",419,"1,099",446
2020년04월_여_연령구간인구수,"26,630","6,901","1,003",826,948,822,738,728,"2,199","2,032","1,328",904,918,954,"2,416","1,949",419,"1,099",446
2020년04월_여_0~9세,949,391,11,18,15,18,20,12,56,79,53,29,22,15,124,40,11,29,6
2020년04월_여_10~19세,"1,146",493,24,23,34,15,26,23,79,66,27,19,30,26,149,65,6,32,9
2020년04월_여_20~29세,"1,370",507,33,26,46,27,19,29,94,122,51,37,44,44,150,79,9,41,12
2020년04월_여_30~39세,"1,516",607,38,24,26,23,31,30,103,137,53,41,42,38,162,88,16,39,18
2020년04월_여_40~49세,"1,989",824,46,36,61,35,37,37,141,147,70,40,49,52,229,94,21,50,20
2020년04월_여_50~59세,"4,112","1,127",142,120,163,140,140,109,320,307,195,137,136,133,367,304,63,156,53
2020년04월_여_60~69세,"5,740","1,303",257,203,229,199,178,179,498,482,312,214,192,208,431,435,73,251,96
2020년04월_여_70~79세,"5,122",945,241,190,207,159,146,155,476,359,278,188,196,227,423,448,120,250,114
2020년04월_여_80~89세,"4,048",590,185,168,147,173,118,132,359,283,253,175,184,192,331,353,88,213,104
2020년04월_여_90~99세,603,105,24,18,20,33,21,22,68,47,33,22,22,17,49,42,12,35,13
2020년04월_여_100세 이상,35,9,2,0,0,0,2,0,5,3,3,2,1,2,1,1,0,3,1
2020년05월_계_총인구수,"52,148","13,556","1,968","1,637","1,830","1,588","1,489","1,479","4,358","3,950","2,555","1,823","1,798","1,816","4,608","3,872",799,"2,182",840
2020년05월_계_연령구간인구수,"52,148","13,556","1,968","1,637","1,830","1,588","1,489","1,479","4,358","3,950","2,555","1,823","1,798","1,816","4,608","3,872",799,"2,182",840
2020년05월_계_0~9세,"1,990",847,31,43,41,31,34,32,128,153,91,47,47,41,238,95,21,55,15
