카테고리,서울특별시 영등포구,서울특별시 영등포구 영등포본동,서울특별시 영등포구 영등포동,서울특별시 영등포구 여의동,서울특별시 영등포구 당산제1동,서울특별시 영등포구 당산제2동,서울특별시 영등포구 도림동,서울특별시 영등포구 문래동,서울특별시 영등포구 양평제1동,서울특별시 영등포구 양평제2동,서울특별시 영등포구 신길제1동,서울특별시 영등포구 신길제3동,서울특별시 영등포구 신길제4동,서울특별시 영등포구 신길제5동,서울특별시 영등포구 신길제6동,서울특별시 영등포구 신길제7동,서울특별시 영등포구 대림제1동,서울특별시 영등포구 대림제2동,서울특별시 영등포구 대림제3동
2020년03월_계_총인구수,"371,903","21,811","26,964","34,359","20,978","35,982","18,536","31,750","17,809","22,474","17,646","17,215","8,886","10,388","18,080","20,196","12,825","12,554","23,450"
2020년03월_계_연령구간인구수,"371,903","21,811","26,964","34,359","20,978","35,982","18,536","31,750","17,809","22,474","17,646","17,215","8,886","10,388","18,080","20,196","12,825","12,554","23,450"
2020년03월_계_0~9세,"25,632","1,540","1,230","3,080","1,230","2,670","1,082","3,225","1,328","1,765",669,"1,241",313,742,"1,055","2,145",511,509,"1,297"
2020년03월_계_10~19세,"24,714","1,391",911,"2,900","1,074","2,265",991,"2,935","1,040","1,697",944,"1,210",619,722,"1,165","1,797",826,636,"1,591"
2020년03월_계_20~29세,"57,774","2,825","6,146","4,006","3,606","7,234","2,716","3,600","2,753","3,655","3,383","2,211","1,295","1,317","3,046","2,819","2,017","1,926","3,219"
2020년03월_계_30~39세,"66,863","3,391","6,456","5,418","4,249","7,785","3,369","5,758","4,334","5,039","2,989","2,558","1,070","1,445","2,932","3,487","1,483","1,707","3,393"
2020년03월_계_40~49세,"55,923","3,246","3,475","5,524","2,985","4,987","2,866","5,754","2,863","3,450","2,489","2,605","1,241","1,567","2,542","3,353","1,821","1,738","3,417"
2020년03월_계_50~59세,"56,524","3,727","3,620","5,110","3,112","4,611","3,026","4,071","2,110","3,095","2,643","2,998","1,663","1,824","2,816","3,093","2,347","2,274","4,384"
2020년03월_계_60~69세,"45,258","3,120","2,925","4,056","2,576","3,546","2,248","3,457","1,754","2,145","2,255","2,415","1,438","1,550","2,503","2,019","1,956","1,855","3,440"
2020년03월_계_70~79세,"26,596","1,797","1,532","2,658","1,442","1,872","1,516","2,003","1,102","1,083","1,532","1,387",837,851,"1,376","1,000","1,331","1,365","1,912"
2020년03월_계_80~89세,"10,847",651,557,"1,387",613,849,634,798,444,477,637,512,343,313,553,418,460,488,713
2020년03월_계_90~99세,"1,501",109,88,198,76,133,71,124,72,62,83,70,53,42,78,54,58,50,80
2020년03월_계_100세 이상,271,14,24,22,15,30,17,25,9,6,22,8,14,15,14,11,15,6,4
2020년03월_남_총인구수,"184,316","11,153","14,643","16,143","10,288","16,868","9,345","15,656","8,844","11,193","8,946","8,518","4,463","5,036","8,864","10,056","6,408","6,119","11,773"
2020년03월_남_연령구간인구수,"184,316","11,153","14,643","16,143","10,288","16,868","9,345","15,656","8,844","11,193","8,946","8,518","4,463","5,036","8,864","10,056","6,408","6,119","11,773"
2020년03월_남_0~9세,"13,009",762,602,"1,538",618,"1,348",578,"1,651",704,896,330,651,146,362,526,"1,147",269,258,623
2020년03월_남_10~19세,"12,952",742,497,"1,444",542,"1,145",516,"1,523",526,897,497,632,343,354,659,952,475,322,886
2020년03월_남_20~29세,"27,319","1,503","2,739","1,874","1,619","2,990","1,321","1,729","1,249","1,665","1,657","1,087",696,675,"1,465","1,414","1,016",967,"1,653"
2020년03월_남_30~39세,"34,496","1,789","3,634","2,449","2,218","3,751","1,777","2,784","2,275","2,619","1,712","1,337",586,765,"1,501","1,724",825,913,"1,837"
2020년03월_남_40~49세,"28,712","1,700","2,081","2,609","1,551","2,452","1,533","2,933","1,523","1,737","1,340","1,347",647,779,"1,284","1,681",931,868,"1,716"
2020년03월_남_50~59세,"28,728","1,919","2,263","2,472","1,564","2,203","1,579","2,062","1,074","1,604","1,387","1,501",833,880,"1,370","1,532","1,177","1,120","2,188"
2020년03월_남_60~69세,"21,961","1,585","1,779","1,890","1,224","1,711","1,078","1,635",796,"1,090","1,083","1,136",714,705,"1,177",961,910,831,"1,656"
2020년03월_남_70~79세,"12,282",849,782,"1,193",668,879,694,948,511,479,660,623,348,396,637,478,608,617,912
2020년03월_남_80~89세,"4,372",265,233,603,261,337,242,337,166,186,256,186,132,109,224,151,183,215,286
2020년03월_남_90~99세,418,37,29,68,20,44,20,44,19,18,20,15,13,7,16,15,11,6,16
2020년03월_남_100세 이상,67,2,4,3,3,8,7,10,1,2,4,3,5,4,5,1,3,2,0
2020년03월_여_총인구수,"187,587","10,658","12,321","18,216","10,690","19,114","9,191","16,094","8,965","11,281","8,700","8,697","4,423","5,352","9,216","10,140","6,417","6,435","11,677"
2020년03월_여_연령구간인구수,"187,587","10,658","12,321","18,216","10,690","19,114","9,191","16,094","8,965","11,281","8,700","8,697","4,423","5,352","9,216","10,140","6,417","6,435","11,677"
2020년03월_여_0~9세,"12,623",778,628,"1,542",612,"1,322",504,"1,574",624,869,339,590,167,380,529,998,242,251,674
2020년03월_여_10~19세,"11,762",649,414,"1,456",532,"1,120",475,"1,412",514,800,447,578,276,368,506,845,351,314,705
2020년03월_여_20~29세,"30,455","1,322","3,407","2,132","1,987","4,244","1,395","1,871","1,504","1,990","1,726","1,124",599,642,"1,581","1,405","1,001",959,"1,566"
2020년03월_여_30~39세,"32,367","1,602","2,822","2,969","2,031","4,034","1,592","2,974","2,059","2,420","1,277","1,221",484,680,"1,431","1,763",658,794,"1,556"
2020년03월_여_40~49세,"27,211","1,546","1,394","2,915","1,434","2,535","1,333","2,821","1,340","1,713","1,149","1,258",594,788,"1,258","1,672",890,870,"1,701"
2020년03월_여_50~59세,"27,796","1,808","1,357","2,638","1,548","2,408","1,447","2,009","1,036","1,491","1,256","1,497",830,944,"1,446","1,561","1,170","1,154","2,196"
2020년03월_여_60~69세,"23,297","1,535","1,146","2,166","1,352","1,835","1,170","1,822",958,"1,055","1,172","1,279",724,845,"1,326","1,058","1,046","1,024","1,784"
2020년03월_여_70~79세,"14,314",948,750,"1,465",774,993,822,"1,055",591,604,872,764,489,455,739,522,723,748,"1,000"
2020년03월_여_80~89세,"6,475",386,324,784,352,512,392,461,278,291,381,326,211,204,329,267,277,273,427
2020년03월_여_90~99세,"1,083",72,59,130,56,89,51,80,53,44,63,55,40,35,62,39,47,44,64
