카테고리,경기도 안양시,경기도 안양시 만안구,경기도 안양시 만안구 안양1동,경기도 안양시 만안구 안양2동,경기도 안양시 만안구 안양3동,경기도 안양시 만안구 안양4동,경기도 안양시 만안구 안양5동,경기도 안양시 만안구 안양6동,경기도 안양시 만안구 안양7동,경기도 안양시 만안구 안양8동,경기도 안양시 만안구 안양9동,경기도 안양시 만안구 석수1동,경기도 안양시 만안구 석수2동,경기도 안양시 만안구 석수3동,경기도 안양시 만안구 박달1동,경기도 안양시 만안구 박달2동,경기도 안양시 동안구,경기도 안양시 동안구 비산1동,경기도 안양시 동안구 비산2동,경기도 안양시 동안구 비산3동,경기도 안양시 동안구 부흥동,경기도 안양시 동안구 달안동,경기도 안양시 동안구 관양1동,경기도 안양시 동안구 관양2동,경기도 안양시 동안구 부림동,경기도 안양시 동안구 평촌동,경기도 안양시 동안구 평안동,경기도 안양시 동안구 귀인동,경기도 안양시 동안구 호계1동,경기도 안양시 동안구 호계2동,경기도 안양시 동안구 호계3동,경기도 안양시 동안구 범계동,경기도 안양시 동안구 신촌동,경기도 안양시 동안구 갈산동
2020년03월_계_총인구수,"561,966","241,916","12,892","21,648","16,814","7,282","13,201","19,893","16,045","11,161","17,635","20,090","32,393","13,963","15,577","23,322","320,050","22,080","11,225","23,050","17,869","11,357","37,450","19,458","27,548","15,514","24,380","17,064","8,149","22,081","22,239","15,734","13,438","11,414"
2020년03월_계_연령구간인구수,"561,966","241,916","12,892","21,648","16,814","7,282","13,201","19,893","16,045","11,161","17,635","20,090","32,393","13,963","15,577","23,322","320,050","22,080","11,225","23,050","17,869","11,357","37,450","19,458","27,548","15,514","24,380","17,064","8,149","22,081","22,239","15,734","13,438","11,414"
2020년03월_계_0~9세,"41,750","16,344","1,005","1,235",950,305,597,"1,098","1,795",528,"1,052","1,521","2,256",997,780,"2,225","25,406","1,925",837,"1,275","1,573",828,"2,361","1,315","2,520","1,443","2,606","1,507",977,"1,534","1,676","1,230",988,811
2020년03월_계_10~19세,"54,677","19,641","1,156","1,571","1,363",511,968,"1,274","1,359",749,"1,356","1,615","2,696","1,440","1,234","2,349","35,036","2,338","1,145","1,905","2,315",788,"3,083","1,498","2,529","1,794","3,803","3,439",753,"1,891","2,152","2,368","1,679","1,556"
2020년03월_계_20~29세,"80,181","35,055","1,939","3,391","2,483","1,066","1,818","2,949","2,086","1,704","2,603","2,658","4,657","2,019","2,186","3,496","45,126","3,011","1,618","3,649","2,177","1,478","6,061","3,022","3,680","2,277","2,665","1,948",973,"3,590","3,336","2,065","2,012","1,564"
2020년03월_계_30~39세,"79,380","33,920","2,019","3,091","2,293",962,"1,657","3,282","2,829","1,590","2,172","2,795","4,298","1,661","1,743","3,528","45,460","2,868","1,433","2,932","2,305","2,469","5,025","3,127","5,945","1,904","3,392","1,290","1,603","3,368","3,080","1,918","1,629","1,172"
2020년03월_계_40~49세,"90,930","36,023","2,059","3,073","2,376","1,062","1,877","2,947","2,643","1,541","2,351","3,099","4,864","2,191","2,357","3,583","54,907","3,653","1,772","3,124","3,437","1,913","5,348","3,023","5,189","2,703","5,403","4,097","1,443","3,064","3,360","3,119","2,253","2,006"
2020년03월_계_50~59세,"100,011","44,355","2,204","4,004","3,126","1,331","2,459","3,493","2,692","2,079","3,402","3,571","6,193","2,613","3,189","3,999","55,656","4,017","2,141","4,721","2,737","1,710","7,147","3,538","3,945","3,001","3,433","2,641","1,198","4,138","4,286","2,530","2,507","1,966"
2020년03월_계_60~69세,"67,916","32,821","1,498","3,042","2,515","1,045","2,081","2,845","1,654","1,780","2,713","2,793","4,217","1,787","2,246","2,605","35,095","2,687","1,381","3,281","1,955","1,200","4,904","2,250","2,209","1,444","1,790","1,195",770,"2,911","2,891","1,350","1,522","1,355"
2020년03월_계_70~79세,"31,063","15,997",686,"1,554","1,183",642,"1,126","1,343",686,821,"1,334","1,359","2,178",824,"1,247","1,014","15,066","1,051",615,"1,347",878,580,"2,338","1,116","1,001",575,778,597,281,"1,060",969,694,574,612
2020년03월_계_80~89세,"13,837","6,747",276,593,465,311,548,590,237,316,571,570,903,392,522,453,"7,090",438,228,687,434,341,"1,022",501,473,333,438,298,122,443,407,378,237,310
2020년03월_계_90~99세,"2,052",932,49,84,52,47,65,58,57,49,72,103,124,38,66,68,"1,120",74,45,123,56,49,153,64,53,36,69,51,24,75,75,80,37,56
2020년03월_계_100세 이상,169,81,1,10,8,0,5,14,7,4,9,6,7,1,7,2,88,18,10,6,2,1,8,4,4,4,3,1,5,7,7,2,0,6
2020년03월_남_총인구수,"278,194","121,227","6,430","10,873","8,375","3,636","6,575","10,261","7,949","5,754","8,704","9,840","16,231","7,025","7,865","11,709","156,967","10,743","5,439","11,445","8,618","5,191","18,344","9,893","13,386","7,655","11,930","8,418","4,146","10,894","11,164","7,543","6,606","5,552"
2020년03월_남_연령구간인구수,"278,194","121,227","6,430","10,873","8,375","3,636","6,575","10,261","7,949","5,754","8,704","9,840","16,231","7,025","7,865","11,709","156,967","10,743","5,439","11,445","8,618","5,191","18,344","9,893","13,386","7,655","11,930","8,418","4,146","10,894","11,164","7,543","6,606","5,552"
2020년03월_남_0~9세,"21,305","8,319",501,613,502,152,316,566,908,267,530,807,"1,140",489,379,"1,149","12,986","1,010",421,661,836,428,"1,241",666,"1,247",741,"1,324",816,491,780,854,607,479,384
2020년03월_남_10~19세,"28,270","10,204",587,827,721,255,510,628,700,384,692,857,"1,437",769,636,"1,201","18,066","1,215",566,"1,023","1,216",407,"1,601",742,"1,300",914,"1,982","1,801",390,973,"1,059","1,252",851,774
2020년03월_남_20~29세,"41,699","18,346",980,"1,726","1,303",526,941,"1,586","1,033",927,"1,371","1,374","2,414","1,114","1,154","1,897","23,353","1,498",832,"1,961","1,120",691,"3,213","1,624","1,824","1,208","1,391",973,485,"1,835","1,768","1,031","1,066",833
2020년03월_남_30~39세,"40,715","17,862","1,039","1,666","1,219",535,919,"1,835","1,384",932,"1,175","1,350","2,186",853,969,"1,800","22,853","1,384",720,"1,570","1,067","1,238","2,635","1,728","3,028",885,"1,575",556,813,"1,748","1,604",888,826,588
2020년03월_남_40~49세,"44,468","18,369","1,015","1,559","1,234",559,951,"1,563","1,349",839,"1,175","1,518","2,504","1,101","1,219","1,783","26,099","1,743",820,"1,526","1,603",877,"2,581","1,519","2,510","1,266","2,560","1,870",764,"1,493","1,634","1,406",996,931
2020년03월_남_50~59세,"48,673","21,859","1,127","1,988","1,468",693,"1,241","1,786","1,342","1,025","1,619","1,656","3,081","1,314","1,649","1,870","26,814","1,900","1,008","2,201","1,349",734,"3,350","1,764","1,847","1,493","1,732","1,397",618,"1,962","2,063","1,232","1,224",940
2020년03월_남_60~69세,"33,706","16,228",744,"1,530","1,213",513,"1,001","1,391",815,857,"1,313","1,384","2,109",899,"1,103","1,356","17,478","1,328",700,"1,653",909,513,"2,338","1,134","1,088",747,902,616,403,"1,426","1,535",691,805,690
2020년03월_남_70~79세,"14,093","7,396",317,721,547,265,491,653,314,397,605,670,"1,005",366,569,476,"6,697",480,293,611,383,206,"1,016",509,375,267,311,256,145,512,496,285,273,279
2020년03월_남_80~89세,"4,727","2,402",106,225,155,119,186,226,90,120,206,197,326,115,171,160,"2,325",158,67,203,123,88,327,189,157,123,132,116,36,151,132,130,76,117
2020년03월_남_90~99세,487,217,14,14,11,19,18,22,11,6,15,24,28,5,13,17,270,26,8,33,11,9,40,18,9,10,18,17,0,12,15,21,10,13
2020년03월_남_100세 이상,51,25,0,4,2,0,1,5,3,0,3,3,1,0,3,0,26,1,4,3,1,0,2,0,1,1,3,0,1,2,4,0,0,3
2020년03월_여_총인구수,"283,772","120,689","6,462","10,775","8,439","3,646","6,626","9,632","8,096","5,407","8,931","10,250","16,162","6,938","7,712","11,613","163,083","11,337","5,786","11,605","9,251","6,166","19,106","9,565","14,162","7,859","12,450","8,646","4,003","11,187","11,075","8,191","6,832","5,862"
2020년03월_여_연령구간인구수,"283,772","120,689","6,462","10,775","8,439","3,646","6,626","9,632","8,096","5,407","8,931","10,250","16,162","6,938","7,712","11,613","163,083","11,337","5,786","11,605","9,251","6,166","19,106","9,565","14,162","7,859","12,450","8,646","4,003","11,187","11,075","8,191","6,832","5,862"
2020년03월_여_0~9세,"20,445","8,025",504,622,448,153,281,532,887,261,522,714,"1,116",508,401,"1,076","12,420",915,416,614,737,400,"1,120",649,"1,273",702,"1,282",691,486,754,822,623,509,427
2020년03월_여_10~19세,"26,407","9,437",569,744,642,256,458,646,659,365,664,758,"1,259",671,598,"1,148","16,970","1,123",579,882,"1,099",381,"1,482",756,"1,229",880,"1,821","1,638",363,918,"1,093","1,116",828,782
2020년03월_여_20~29세,"38,482","16,709",959,"1,665","1,180",540,877,"1,363","1,053",777,"1,232","1,284","2,243",905,"1,032","1,599","21,773","1,513",786,"1,688","1,057",787,"2,848","1,398","1,856","1,069","1,274",975,488,"1,755","1,568","1,034",946,731
2020년03월_여_30~39세,"38,665","16,058",980,"1,425","1,074",427,738,"1,447","1,445",658,997,"1,445","2,112",808,774,"1,728","22,607","1,484",713,"1,362","1,238","1,231","2,390","1,399","2,917","1,019","1,817",734,790,"1,620","1,476","1,030",803,584
2020년03월_여_40~49세,"46,462","17,654","1,044","1,514","1,142",503,926,"1,384","1,294",702,"1,176","1,581","2,360","1,090","1,138","1,800","28,808","1,910",952,"1,598","1,834","1,036","2,767","1,504","2,679","1,437","2,843","2,227",679,"1,571","1,726","1,713","1,257","1,075"
2020년03월_여_50~59세,"51,338","22,496","1,077","2,016","1,658",638,"1,218","1,707","1,350","1,054","1,783","1,915","3,112","1,299","1,540","2,129","28,842","2,117","1,133","2,520","1,388",976,"3,797","1,774","2,098","1,508","1,701","1,244",580,"2,176","2,223","1,298","1,283","1,026"
2020년03월_여_60~69세,"34,210","16,593",754,"1,512","1,302",532,"1,080","1,454",839,923,"1,400","1,409","2,108",888,"1,143","1,249","17,617","1,359",681,"1,628","1,046",687,"2,566","1,116","1,121",697,888,579,367,"1,485","1,356",659,717,665
2020년03월_여_70~79세,"16,970","8,601",369,833,636,377,635,690,372,424,729,689,"1,173",458,678,538,"8,369",571,322,736,495,374,"1,322",607,626,308,467,341,136,548,473,409,301,333
