카테고리,서울특별시 용산구,서울특별시 용산구 후암동,서울특별시 용산구 용산2가동,서울특별시 용산구 남영동,서울특별시 용산구 청파동,서울특별시 용산구 원효로제1동,서울특별시 용산구 원효로제2동,서울특별시 용산구 효창동,서울특별시 용산구 용문동,서울특별시 용산구 한강로동,서울특별시 용산구 이촌제1동,서울특별시 용산구 이촌제2동,서울특별시 용산구 이태원제1동,서울특별시 용산구 이태원제2동,서울특별시 용산구 한남동,서울특별시 용산구 서빙고동,서울특별시 용산구 보광동
2020년03월_계_총인구수,"229,579","17,820","10,362","7,779","19,905","16,098","14,422","10,236","12,413","18,219","28,563","8,823","6,844","9,287","21,137","13,386","14,285"
2020년03월_계_연령구간인구수,"229,579","17,820","10,362","7,779","19,905","16,098","14,422","10,236","12,413","18,219","28,563","8,823","6,844","9,287","21,137","13,386","14,285"
2020년03월_계_0~9세,"14,054","1,032",437,234,732,"1,399",989,781,811,933,"2,894",573,263,460,"1,197",833,486
2020년03월_계_10~19세,"16,219","1,341",623,273,"1,263",887,"1,330",803,887,911,"3,009",528,305,509,"1,181","1,540",829
2020년03월_계_20~29세,"33,128","2,602","1,586",957,"4,106","2,431","1,899","1,587","1,865","2,820","3,037","1,027",983,"1,344","2,822","1,831","2,231"
2020년03월_계_30~39세,"38,146","2,830","1,816","1,053","3,187","3,668","2,117","1,868","2,033","3,625","3,842","1,512","1,107","1,714","4,057","1,542","2,175"
2020년03월_계_40~49세,"36,126","2,819","1,472","1,171","2,832","2,661","2,387","1,581","1,897","2,564","5,104","1,252",916,"1,392","3,396","2,548","2,134"
2020년03월_계_50~59세,"36,659","2,926","1,524","1,698","3,107","2,160","2,342","1,559","2,001","3,041","4,452","1,408","1,130","1,296","3,278","2,216","2,521"
2020년03월_계_60~69세,"27,808","2,197","1,442","1,329","2,332","1,582","1,689","1,021","1,518","2,203","2,924","1,299","1,048","1,189","2,689","1,371","1,975"
2020년03월_계_70~79세,"17,196","1,325",924,691,"1,557",845,"1,055",640,946,"1,338","1,882",776,631,875,"1,640",810,"1,261"
2020년03월_계_80~89세,"8,309",586,437,277,650,370,526,328,373,609,"1,151",373,369,416,688,604,552
2020년03월_계_90~99세,"1,571",133,79,63,105,77,75,55,69,133,233,61,70,78,156,85,99
2020년03월_계_100세 이상,363,29,22,33,34,18,13,13,13,42,35,14,22,14,33,6,22
2020년03월_남_총인구수,"110,667","8,675","4,997","4,759","9,402","7,766","6,785","4,872","5,947","8,802","13,364","4,150","3,237","4,280","10,164","6,440","7,027"
2020년03월_남_연령구간인구수,"110,667","8,675","4,997","4,759","9,402","7,766","6,785","4,872","5,947","8,802","13,364","4,150","3,237","4,280","10,164","6,440","7,027"
2020년03월_남_0~9세,"7,269",537,231,117,359,715,495,397,422,485,"1,496",308,133,237,643,424,270
2020년03월_남_10~19세,"8,257",742,319,146,663,452,530,422,462,477,"1,528",271,150,238,608,789,460
2020년03월_남_20~29세,"15,859","1,326",828,463,"1,698","1,035",892,746,883,"1,277","1,481",496,519,673,"1,384",920,"1,238"
2020년03월_남_30~39세,"19,013","1,458",935,556,"1,698","1,792","1,080",917,"1,012","1,717","1,704",763,584,864,"2,010",729,"1,194"
2020년03월_남_40~49세,"17,790","1,381",747,766,"1,438","1,387","1,168",757,930,"1,274","2,307",615,448,649,"1,661","1,209","1,053"
2020년03월_남_50~59세,"18,148","1,410",701,"1,217","1,547","1,062","1,159",741,989,"1,520","2,146",650,531,578,"1,576","1,115","1,206"
2020년03월_남_60~69세,"13,208","1,027",652,913,"1,070",751,788,479,694,"1,118","1,384",591,465,500,"1,248",673,855
2020년03월_남_70~79세,"7,453",571,418,401,646,385,468,268,397,623,777,330,247,362,713,326,521
2020년03월_남_80~89세,"3,071",181,141,135,245,158,181,123,140,245,440,114,134,155,265,222,192
2020년03월_남_90~99세,495,37,18,28,28,25,20,20,13,52,94,10,20,21,48,30,31
2020년03월_남_100세 이상,104,5,7,17,10,4,4,2,5,14,7,2,6,3,8,3,7
2020년03월_여_총인구수,"118,912","9,145","5,365","3,020","10,503","8,332","7,637","5,364","6,466","9,417","15,199","4,673","3,607","5,007","10,973","6,946","7,258"
2020년03월_여_연령구간인구수,"118,912","9,145","5,365","3,020","10,503","8,332","7,637","5,364","6,466","9,417","15,199","4,673","3,607","5,007","10,973","6,946","7,258"
2020년03월_여_0~9세,"6,785",495,206,117,373,684,494,384,389,448,"1,398",265,130,223,554,409,216
2020년03월_여_10~19세,"7,962",599,304,127,600,435,800,381,425,434,"1,481",257,155,271,573,751,369
2020년03월_여_20~29세,"17,269","1,276",758,494,"2,408","1,396","1,007",841,982,"1,543","1,556",531,464,671,"1,438",911,993
2020년03월_여_30~39세,"19,133","1,372",881,497,"1,489","1,876","1,037",951,"1,021","1,908","2,138",749,523,850,"2,047",813,981
2020년03월_여_40~49세,"18,336","1,438",725,405,"1,394","1,274","1,219",824,967,"1,290","2,797",637,468,743,"1,735","1,339","1,081"
2020년03월_여_50~59세,"18,511","1,516",823,481,"1,560","1,098","1,183",818,"1,012","1,521","2,306",758,599,718,"1,702","1,101","1,315"
2020년03월_여_60~69세,"14,600","1,170",790,416,"1,262",831,901,542,824,"1,085","1,540",708,583,689,"1,441",698,"1,120"
2020년03월_여_70~79세,"9,743",754,506,290,911,460,587,372,549,715,"1,105",446,384,513,927,484,740
2020년03월_여_80~89세,"5,238",405,296,142,405,212,345,205,233,364,711,259,235,261,423,382,360
2020년03월_여_90~99세,"1,076",96,61,35,77,52,55,35,56,81,139,51,50,57,108,55,68
2020년03월_여_100세 이상,259,24,15,16,24,14,9,11,8,28,28,12,16,11,25,3,15
2020년04월_계_총인구수,"229,369","17,831","10,311","7,770","19,881","16,071","14,365","10,270","12,404","18,243","28,539","8,814","6,849","9,254","21,120","13,348","14,299"
2020년04월_계_연령구간인구수,"229,369","17,831","10,311","7,770","19,881","16,071","14,365","10,270","12,404","18,243","28,539","8,814","6,849","9,254","21,120","13,348","14,299"
