카테고리,서울특별시 구로구,서울특별시 구로구 신도림동,서울특별시 구로구 구로제1동,서울특별시 구로구 구로제2동,서울특별시 구로구 구로제3동,서울특별시 구로구 구로제4동,서울특별시 구로구 구로제5동,서울특별시 구로구 가리봉동,서울특별시 구로구 고척제1동,서울특별시 구로구 고척제2동,서울특별시 구로구 개봉제1동,서울특별시 구로구 개봉제2동,서울특별시 구로구 개봉제3동,서울특별시 구로구 오류제1동,서울특별시 구로구 오류제2동,서울특별시 구로구 수궁동,서울특별시 구로구 항동
2020년01월_계_총인구수,"406,751","36,860","21,596","25,229","24,235","20,864","29,816","9,337","23,677","28,243","32,602","32,447","21,473","22,577","39,947","24,483","13,365"
2020년01월_계_연령구간인구수,"406,751","36,860","21,596","25,229","24,235","20,864","29,816","9,337","23,677","28,243","32,602","32,447","21,473","22,577","39,947","24,483","13,365"
2020년01월_계_0~9세,"30,392","3,785","2,058","1,045","1,531",964,"2,047",283,"1,455","2,006","2,182","2,547","1,417","1,319","3,881","1,654","2,218"
2020년01월_계_10~19세,"31,384","3,621","2,040","1,527","1,494","1,256","1,751",331,"2,104","2,444","2,498","2,495","1,555","1,288","3,886","2,156",938
2020년01월_계_20~29세,"55,667","4,483","2,918","3,327","4,246","2,883","5,091","1,325","3,335","3,746","4,254","3,878","2,756","3,931","4,803","3,138","1,553"
2020년01월_계_30~39세,"64,547","6,455","3,967","3,040","5,193","3,091","5,639","1,199","2,996","3,553","4,568","4,929","3,134","4,398","5,585","3,490","3,310"
2020년01월_계_40~49세,"64,514","6,616","3,730","3,790","4,107","3,159","4,278","1,311","3,697","4,594","4,930","5,040","3,303","3,176","6,837","3,979","1,967"
2020년01월_계_50~59세,"63,860","5,251","3,060","4,852","3,013","3,604","4,604","1,994","4,075","4,938","5,610","4,960","3,555","3,094","5,777","4,043","1,430"
2020년01월_계_60~69세,"53,617","3,974","2,464","3,910","2,517","3,025","3,571","1,589","3,432","3,787","4,781","4,904","3,331","2,885","4,815","3,440","1,192"
2020년01월_계_70~79세,"30,643","1,902",954,"2,678","1,504","2,037","2,049",862,"1,892","2,244","2,751","2,737","1,710","1,768","3,126","1,903",526
2020년01월_계_80~89세,"10,564",668,341,920,553,745,697,369,596,824,908,815,629,635,"1,084",589,191
2020년01월_계_90~99세,"1,403",97,62,112,56,83,89,52,91,102,113,131,74,77,145,80,39
2020년01월_계_100세 이상,160,8,2,28,21,17,0,22,4,5,7,11,9,6,8,11,1
2020년01월_남_총인구수,"201,065","18,007","10,617","12,741","12,297","10,181","14,425","5,078","11,856","14,002","16,328","15,881","10,505","11,068","19,353","12,134","6,592"
2020년01월_남_연령구간인구수,"201,065","18,007","10,617","12,741","12,297","10,181","14,425","5,078","11,856","14,002","16,328","15,881","10,505","11,068","19,353","12,134","6,592"
2020년01월_남_0~9세,"15,524","1,904","1,072",536,808,499,"1,048",153,756,986,"1,072","1,325",703,674,"1,981",844,"1,163"
2020년01월_남_10~19세,"16,184","1,864","1,089",803,758,631,894,170,"1,097","1,279","1,254","1,237",800,661,"1,982","1,202",463
2020년01월_남_20~29세,"27,373","2,180","1,392","1,716","2,039","1,396","2,226",711,"1,744","1,926","2,218","1,971","1,420","1,764","2,331","1,614",725
2020년01월_남_30~39세,"32,879","3,050","1,993","1,680","2,815","1,584","2,774",696,"1,567","1,803","2,379","2,476","1,607","2,275","2,751","1,807","1,622"
2020년01월_남_40~49세,"33,193","3,247","1,853","2,016","2,277","1,630","2,204",737,"1,874","2,319","2,591","2,594","1,688","1,669","3,458","1,988","1,048"
