카테고리,서울특별시 성동구,서울특별시 성동구 왕십리제2동,서울특별시 성동구 왕십리도선동,서울특별시 성동구 마장동,서울특별시 성동구 사근동,서울특별시 성동구 행당제1동,서울특별시 성동구 행당제2동,서울특별시 성동구 응봉동,서울특별시 성동구 금호1가동,서울특별시 성동구 금호2.3가동,서울특별시 성동구 금호4가동,서울특별시 성동구 옥수동,서울특별시 성동구 성수1가제1동,서울특별시 성동구 성수1가제2동,서울특별시 성동구 성수2가제1동,서울특별시 성동구 성수2가제3동,서울특별시 성동구 송정동,서울특별시 성동구 용답동
2020년02월_계_60~69세,"35,466","2,027","2,880","2,886",942,"1,880","2,663","1,688","1,974","2,904","1,734","3,073","2,032","1,700","2,500","1,454","1,537","1,592"
2020년02월_계_70~79세,"20,466","1,166","1,595","1,705",757,"1,116","1,691","1,176","1,073","1,774","1,059","1,699",929,882,"1,236",819,749,"1,040"
2020년02월_계_80~89세,"8,150",431,676,679,265,416,669,485,463,713,419,728,371,355,457,338,278,407
2020년02월_계_90~99세,"1,120",65,100,84,32,66,98,64,47,104,52,130,49,46,70,36,41,36
2020년02월_계_100세 이상,235,19,24,17,10,8,20,6,12,26,9,26,8,14,14,10,8,4
2020년02월_남_총인구수,"146,688","8,450","13,013","11,449","5,977","7,679","11,465","7,579","7,604","11,347","7,164","12,574","8,383","7,030","8,924","5,809","5,753","6,488"
2020년02월_남_연령구간인구수,"146,688","8,450","13,013","11,449","5,977","7,679","11,465","7,579","7,604","11,347","7,164","12,574","8,383","7,030","8,924","5,809","5,753","6,488"
2020년02월_남_0~9세,"11,015",652,"1,230",655,238,529,956,633,688,920,745,"1,382",590,453,479,320,295,250
2020년02월_남_10~19세,"10,594",648,839,914,364,543,"1,023",846,603,787,508,874,615,504,520,283,368,355
2020년02월_남_20~29세,"22,678","1,236","2,075","2,205","2,374","1,263","1,438",891,944,"1,506",814,"1,398","1,320","1,112","1,300",961,873,968
2020년02월_남_30~39세,"24,905","1,527","2,295","1,694",889,"1,261","1,824","1,106","1,345","2,086","1,344","2,374","1,471","1,278","1,441","1,095",922,953
2020년02월_남_40~49세,"23,512","1,363","2,043","1,588",606,"1,203","2,051","1,448","1,328","1,911","1,307","2,222","1,238","1,130","1,306",795,890,"1,083"
2020년02월_남_50~59세,"24,268","1,346","2,131","1,924",632,"1,253","1,940","1,191","1,153","1,766","1,052","1,862","1,540","1,137","1,802","1,029","1,135","1,375"
2020년02월_남_60~69세,"17,180",968,"1,442","1,396",428,948,"1,213",749,894,"1,324",781,"1,394","1,032",860,"1,308",786,806,851
2020년02월_남_70~79세,"9,113",519,690,779,332,500,728,510,457,768,452,741,414,421,579,385,345,493
2020년02월_남_80~89세,"3,045",167,235,270,100,159,258,185,172,239,142,286,139,117,177,138,108,153
2020년02월_남_90~99세,313,18,27,21,9,18,27,18,18,33,15,33,21,14,11,14,10,6
2020년02월_남_100세 이상,65,6,6,3,5,2,7,2,2,7,4,8,3,4,1,3,1,1
2020년02월_여_총인구수,"153,109","8,894","14,271","11,767","5,683","8,164","12,917","8,425","8,249","12,498","7,803","14,354","8,390","7,110","8,141","5,567","5,162","5,714"
2020년02월_여_연령구간인구수,"153,109","8,894","14,271","11,767","5,683","8,164","12,917","8,425","8,249","12,498","7,803","14,354","8,390","7,110","8,141","5,567","5,162","5,714"
2020년02월_여_0~9세,"10,526",586,"1,241",628,213,524,"1,000",615,672,893,699,"1,304",502,394,423,298,293,241
2020년02월_여_10~19세,"10,629",640,830,873,473,570,"1,202",910,552,801,474,852,584,498,471,281,282,336
2020년02월_여_20~29세,"23,045","1,321","2,380","2,250","1,902","1,326","1,627",884,926,"1,488",788,"1,680","1,264","1,124","1,144","1,099",813,"1,029"
2020년02월_여_30~39세,"25,612","1,495","2,563","1,589",743,"1,286","1,980","1,196","1,527","2,260","1,508","2,951","1,470","1,332","1,233",954,759,766
2020년02월_여_40~49세,"23,414","1,391","2,057","1,589",563,"1,250","2,217","1,615","1,294","1,951","1,337","2,247","1,295","1,135","1,167",738,756,812
2020년02월_여_50~59세,"24,162","1,431","2,325","1,936",657,"1,349","1,983","1,250","1,252","1,955","1,118","2,126","1,495","1,046","1,502",866,916,955
2020년02월_여_60~69세,"18,286","1,059","1,438","1,490",514,932,"1,450",939,"1,080","1,580",953,"1,679","1,000",840,"1,192",668,731,741
2020년02월_여_70~79세,"11,353",647,905,926,425,616,963,666,616,"1,006",607,958,515,461,657,434,404,547
2020년02월_여_80~89세,"5,105",264,441,409,165,257,411,300,291,474,277,442,232,238,280,200,170,254
2020년02월_여_90~99세,807,47,73,63,23,48,71,46,29,71,37,97,28,32,59,22,31,30
2020년02월_여_100세 이상,170,13,18,14,5,6,13,4,10,19,5,18,5,10,13,7,7,3
2020년03월_계_총인구수,"299,042","17,340","27,247","23,211","11,726","15,422","24,453","15,996","15,787","23,826","14,903","26,860","16,756","14,049","17,044","11,340","10,936","12,146"
2020년03월_계_연령구간인구수,"299,042","17,340","27,247","23,211","11,726","15,422","24,453","15,996","15,787","23,826","14,903","26,860","16,756","14,049","17,044","11,340","10,936","12,146"
2020년03월_계_0~9세,"21,364","1,237","2,453","1,278",444,"1,035","1,949","1,240","1,334","1,797","1,420","2,678","1,073",840,898,615,584,489
2020년03월_계_10~19세,"21,142","1,270","1,666","1,783",872,"1,090","2,234","1,747","1,135","1,582",980,"1,707","1,201",990,990,555,651,689
2020년03월_계_20~29세,"45,724","2,560","4,437","4,459","4,319","2,511","3,072","1,791","1,880","3,012","1,594","3,073","2,589","2,227","2,447","2,064","1,706","1,983"
2020년03월_계_30~39세,"50,243","3,005","4,874","3,273","1,621","2,491","3,817","2,293","2,853","4,308","2,836","5,295","2,940","2,596","2,659","2,029","1,668","1,685"
2020년03월_계_40~49세,"46,647","2,732","4,084","3,160","1,171","2,364","4,266","3,052","2,601","3,851","2,632","4,459","2,515","2,226","2,475","1,525","1,655","1,879"
2020년03월_계_50~59세,"48,272","2,805","4,435","3,838","1,288","2,523","3,926","2,446","2,404","3,734","2,154","3,971","3,047","2,169","3,286","1,882","2,039","2,325"
2020년03월_계_60~69세,"35,585","2,049","2,912","2,912",937,"1,835","2,687","1,686","1,973","2,917","1,741","3,072","2,034","1,703","2,510","1,460","1,550","1,607"
2020년03월_계_70~79세,"20,493","1,160","1,588","1,723",763,"1,087","1,710","1,178","1,081","1,776","1,069","1,707",926,886,"1,229",824,748,"1,038"
2020년03월_계_80~89세,"8,199",438,672,682,267,412,674,491,464,718,414,740,373,352,466,339,284,413
2020년03월_계_90~99세,"1,135",64,103,86,34,66,99,64,50,104,54,131,50,46,70,37,43,34
2020년03월_계_100세 이상,238,20,23,17,10,8,19,8,12,27,9,27,8,14,14,10,8,4
2020년03월_남_총인구수,"146,300","8,449","13,009","11,441","6,010","7,467","11,516","7,574","7,568","11,339","7,125","12,545","8,381","6,971","8,907","5,790","5,752","6,456"
2020년03월_남_연령구간인구수,"146,300","8,449","13,009","11,441","6,010","7,467","11,516","7,574","7,568","11,339","7,125","12,545","8,381","6,971","8,907","5,790","5,752","6,456"
2020년03월_남_0~9세,"10,910",653,"1,221",650,230,521,962,623,674,914,728,"1,368",583,449,476,318,290,250
2020년03월_남_10~19세,"10,591",641,843,904,383,536,"1,033",854,592,789,512,875,617,496,521,276,364,355
2020년03월_남_20~29세,"22,683","1,235","2,081","2,216","2,399","1,217","1,445",895,947,"1,521",800,"1,388","1,328","1,108","1,302",961,886,954
2020년03월_남_30~39세,"24,738","1,509","2,294","1,698",887,"1,230","1,822","1,106","1,340","2,055","1,335","2,369","1,468","1,268","1,432","1,086",911,928
