카테고리,경기도 김포시,경기도 김포시 통진읍,경기도 김포시 고촌읍,경기도 김포시 양촌읍,경기도 김포시 대곶면,경기도 김포시 월곶면,경기도 김포시 하성면,경기도 김포시 김포본동,경기도 김포시 장기본동,경기도 김포시 사우동,경기도 김포시 풍무동,경기도 김포시 장기동,경기도 김포시 구래동,경기도 김포시 마산동,경기도 김포시 운양동
2020년03월_계_총인구수,"443,071","26,605","29,824","26,825","9,769","5,536","8,275","50,789","39,100","23,116","61,935","41,443","39,909","30,519","49,426"
2020년03월_계_연령구간인구수,"443,071","26,605","29,824","26,825","9,769","5,536","8,275","50,789","39,100","23,116","61,935","41,443","39,909","30,519","49,426"
2020년03월_계_0~9세,"52,248","1,791","3,276","2,145",332,147,273,"3,928","5,358","1,737","7,312","6,266","6,642","5,053","7,988"
2020년03월_계_10~19세,"45,404","2,352","2,954","2,311",570,271,485,"5,864","5,457","2,193","7,097","4,969","3,410","2,434","5,037"
2020년03월_계_20~29세,"48,060","3,208","2,992","2,788",916,505,846,"6,959","3,772","3,252","7,261","3,781","4,616","2,653","4,511"
2020년03월_계_30~39세,"71,019","2,951","4,470","3,559",876,425,667,"5,606","5,978","3,073","9,470","7,093","9,822","7,280","9,749"
2020년03월_계_40~49세,"82,072","4,143","5,282","4,525","1,313",614,954,"8,708","8,401","3,935","11,732","8,984","7,434","5,563","10,484"
2020년03월_계_50~59세,"63,562","5,189","4,395","4,628","2,251","1,220","1,762","9,456","4,779","4,223","8,848","4,751","3,624","2,943","5,493"
2020년03월_계_60~69세,"45,041","3,868","3,779","3,830","1,900","1,232","1,637","5,532","2,961","2,606","5,680","3,192","2,637","2,563","3,624"
2020년03월_계_70~79세,"24,397","1,967","1,842","2,058","1,045",690,"1,034","3,128","1,671","1,430","3,191","1,732","1,257","1,526","1,826"
2020년03월_계_80~89세,"9,798","1,013",703,824,489,359,543,"1,399",641,586,"1,193",597,410,434,607
2020년03월_계_90~99세,"1,403",119,118,149,75,68,68,194,81,77,145,77,57,68,107
2020년03월_계_100세 이상,67,4,13,8,2,5,6,15,1,4,6,1,0,2,0
2020년03월_남_총인구수,"222,353","14,161","14,967","14,263","5,696","3,041","4,518","25,154","19,123","11,616","30,412","20,335","19,690","15,133","24,244"
2020년03월_남_연령구간인구수,"222,353","14,161","14,967","14,263","5,696","3,041","4,518","25,154","19,123","11,616","30,412","20,335","19,690","15,133","24,244"
2020년03월_남_0~9세,"26,741",937,"1,728","1,083",173,73,158,"1,957","2,701",925,"3,754","3,223","3,362","2,598","4,069"
2020년03월_남_10~19세,"23,163","1,262","1,517","1,214",315,134,265,"3,043","2,788","1,138","3,628","2,408","1,664","1,218","2,569"
2020년03월_남_20~29세,"25,009","1,879","1,536","1,567",579,304,514,"3,745","1,873","1,757","3,631","1,965","2,172","1,281","2,206"
2020년03월_남_30~39세,"34,809","1,655","2,188","2,010",543,246,387,"2,726","2,748","1,545","4,501","3,272","4,873","3,640","4,475"
2020년03월_남_40~49세,"42,710","2,303","2,715","2,566",852,383,585,"4,195","4,187","1,990","5,805","4,640","4,003","3,019","5,467"
2020년03월_남_50~59세,"32,533","2,806","2,197","2,531","1,414",703,"1,002","4,765","2,431","2,126","4,409","2,388","1,695","1,379","2,687"
