카테고리,서울특별시 서대문구,서울특별시 서대문구 천연동,서울특별시 서대문구 북아현동,서울특별시 서대문구 충현동,서울특별시 서대문구 신촌동,서울특별시 서대문구 연희동,서울특별시 서대문구 홍제제1동,서울특별시 서대문구 홍제제3동,서울특별시 서대문구 홍제제2동,서울특별시 서대문구 홍은제1동,서울특별시 서대문구 홍은제2동,서울특별시 서대문구 남가좌제1동,서울특별시 서대문구 남가좌제2동,서울특별시 서대문구 북가좌제1동,서울특별시 서대문구 북가좌제2동
2020년01월_계_총인구수,"310,353","18,349","17,061","17,655","18,696","38,000","24,666","16,183","14,434","22,832","27,546","16,530","26,052","18,928","33,421"
2020년01월_계_연령구간인구수,"310,353","18,349","17,061","17,655","18,696","38,000","24,666","16,183","14,434","22,832","27,546","16,530","26,052","18,928","33,421"
2020년01월_계_0~9세,"20,473","1,365","1,507",800,824,"1,884","1,705",844,898,"1,435","1,474","2,251","2,067","1,567","1,852"
2020년01월_계_10~19세,"24,592","1,602","1,143","1,228",971,"2,693","1,980","1,237","1,170","1,890","2,366","1,481","2,170","2,005","2,656"
2020년01월_계_20~29세,"48,918","2,312","2,465","2,854","6,685","7,627","3,202","2,187","1,882","2,954","4,142","1,668","3,838","2,218","4,884"
2020년01월_계_30~39세,"44,937","2,521","3,034","2,552","3,207","5,964","3,578","2,037","1,942","2,849","3,614","2,655","3,843","2,599","4,542"
2020년01월_계_40~49세,"48,172","3,017","2,771","2,577","1,998","5,579","3,905","2,340","2,197","3,466","4,284","3,161","4,190","3,407","5,280"
2020년01월_계_50~59세,"49,573","3,057","2,843","3,059","2,025","5,538","4,129","2,770","2,611","4,028","4,690","2,239","3,948","3,032","5,604"
2020년01월_계_60~69세,"36,955","2,112","1,720","2,354","1,375","4,207","3,183","2,272","1,869","3,167","3,572","1,604","2,972","2,093","4,455"
2020년01월_계_70~79세,"24,239","1,472","1,036","1,393","1,029","2,957","1,987","1,602","1,247","1,994","2,233",982,"2,012","1,370","2,925"
2020년01월_계_80~89세,"10,666",761,445,673,471,"1,335",862,781,536,892,"1,005",422,846,551,"1,086"
2020년01월_계_90~99세,"1,551",100,70,132,86,188,122,93,77,138,146,52,144,75,128
2020년01월_계_100세 이상,277,30,27,33,25,28,13,20,5,19,20,15,22,11,9
2020년01월_남_총인구수,"149,114","8,732","8,153","8,571","8,431","18,396","11,605","7,886","6,870","11,072","13,427","8,008","12,560","9,168","16,235"
