카테고리,경기도 광주시,경기도 광주시 오포읍,경기도 광주시 초월읍,경기도 광주시 곤지암읍,경기도 광주시 도척면,경기도 광주시 퇴촌면,경기도 광주시 남종면,경기도 광주시 남한산성면,경기도 광주시 경안동,경기도 광주시 송정동,경기도 광주시 광남동,경기도 광주시 쌍령동,경기도 광주시 탄벌동,경기도 광주시 광남1동,경기도 광주시 광남2동
2020년01월_남_10~19세,"17,181","4,458","2,328",998,319,624,41,113,"2,083","2,886","3,331",,,,
2020년01월_남_20~29세,"23,137","6,720","2,701","1,584",574,632,57,96,"2,959","4,165","3,649",,,,
2020년01월_남_30~39세,"31,096","10,854","3,143","1,562",576,761,44,133,"3,460","4,585","5,978",,,,
2020년01월_남_40~49세,"34,435","10,055","4,211","1,997",778,"1,293",93,235,"3,871","5,471","6,431",,,,
2020년01월_남_50~59세,"31,377","8,075","3,996","2,517","1,013","1,243",145,284,"3,778","5,416","4,910",,,,
2020년01월_남_60~69세,"22,119","5,652","2,718","1,725",888,"1,299",195,275,"2,430","3,665","3,272",,,,
2020년01월_남_70~79세,"10,101","2,670","1,211",768,415,739,116,151,"1,046","1,506","1,479",,,,
2020년01월_남_80~89세,"2,843",699,371,291,151,202,46,63,285,392,343,,,,
2020년01월_남_90~99세,244,67,20,25,14,19,8,6,19,34,32,,,,
2020년01월_남_100세 이상,20,4,0,5,1,1,0,0,6,3,0,,,,
2020년01월_여_총인구수,"182,147","53,407","20,835","10,644","4,067","7,065",719,"1,258","21,352","30,033","32,767",,,,
2020년01월_여_연령구간인구수,"182,147","53,407","20,835","10,644","4,067","7,065",719,"1,258","21,352","30,033","32,767",,,,
2020년01월_여_0~9세,"17,563","5,536","1,861",718,247,513,21,79,"1,994","2,570","4,024",,,,
2020년01월_여_10~19세,"16,352","4,179","2,271",907,285,546,28,104,"2,020","2,882","3,130",,,,
2020년01월_여_20~29세,"20,771","6,192","2,366","1,254",401,509,56,102,"2,723","3,681","3,487",,,,
2020년01월_여_30~39세,"28,404","9,835","2,785","1,242",409,721,43,107,"3,307","4,066","5,889",,,,
2020년01월_여_40~49세,"30,387","8,773","3,641","1,656",535,"1,027",72,163,"3,548","5,106","5,866",,,,
2020년01월_여_50~59세,"30,322","8,513","3,409","2,017",772,"1,245",125,222,"3,622","5,592","4,805",,,,
2020년01월_여_60~69세,"21,819","6,010","2,454","1,472",724,"1,368",167,215,"2,359","3,631","3,419",,,,
2020년01월_여_70~79세,"10,767","2,916","1,314",810,405,724,124,154,"1,185","1,692","1,443",,,,
2020년01월_여_80~89세,"4,799","1,211",619,473,239,335,72,89,494,684,583,,,,
2020년01월_여_90~99세,887,230,112,81,44,72,11,20,91,110,116,,,,
2020년01월_여_100세 이상,76,12,3,14,6,5,0,3,9,19,5,,,,
2020년02월_계_총인구수,"373,867","109,002","43,567","22,832","9,082","14,413","1,503","2,704","43,468","60,687","66,609",,,,
2020년02월_계_연령구간인구수,"373,867","109,002","43,567","22,832","9,082","14,413","1,503","2,704","43,468","60,687","66,609",,,,
2020년02월_계_0~9세,"36,052","11,382","3,837","1,449",517,"1,057",46,163,"4,197","5,124","8,280",,,,
2020년02월_계_10~19세,"33,454","8,631","4,601","1,897",603,"1,167",70,222,"4,082","5,730","6,451",,,,
2020년02월_계_20~29세,"43,878","12,949","5,049","2,838",971,"1,123",115,194,"5,654","7,838","7,147",,,,
2020년02월_계_30~39세,"59,138","20,609","5,883","2,757",993,"1,451",92,237,"6,728","8,566","11,822",,,,
2020년02월_계_40~49세,"65,157","19,024","7,862","3,661","1,316","2,338",166,401,"7,408","10,595","12,386",,,,
2020년02월_계_50~59세,"61,893","16,714","7,453","4,547","1,778","2,475",265,510,"7,413","10,999","9,739",,,,
2020년02월_계_60~69세,"44,308","11,801","5,205","3,204","1,624","2,690",367,494,"4,831","7,346","6,746",,,,
2020년02월_계_70~79세,"20,990","5,621","2,530","1,586",821,"1,466",238,299,"2,241","3,243","2,945",,,,
2020년02월_계_80~89세,"7,741","1,953","1,006",767,392,546,125,155,789,"1,077",931,,,,
2020년02월_계_90~99세,"1,160",304,137,107,60,94,19,27,110,147,155,,,,
2020년02월_계_100세 이상,96,14,4,19,7,6,0,2,15,22,7,,,,
2020년02월_남_총인구수,"191,421","55,350","22,674","12,200","5,016","7,361",777,"1,447","22,137","30,725","33,734",,,,
2020년02월_남_연령구간인구수,"191,421","55,350","22,674","12,200","5,016","7,361",777,"1,447","22,137","30,725","33,734",,,,
2020년02월_남_0~9세,"18,513","5,850","1,958",736,280,540,24,82,"2,215","2,588","4,240",,,,
2020년02월_남_10~19세,"17,154","4,456","2,333","1,002",314,630,42,117,"2,063","2,876","3,321",,,,
2020년02월_남_20~29세,"23,144","6,753","2,691","1,583",576,617,59,94,"2,946","4,163","3,662",,,,
2020년02월_남_30~39세,"30,936","10,826","3,116","1,531",583,747,47,130,"3,446","4,561","5,949",,,,
2020년02월_남_40~49세,"34,554","10,139","4,206","1,996",777,"1,297",92,234,"3,865","5,467","6,481",,,,
2020년02월_남_50~59세,"31,497","8,132","4,027","2,528","1,010","1,254",143,292,"3,781","5,418","4,912",,,,
2020년02월_남_60~69세,"22,297","5,723","2,730","1,729",893,"1,306",198,278,"2,451","3,681","3,308",,,,
2020년02월_남_70~79세,"10,163","2,678","1,217",774,417,745,111,148,"1,054","1,536","1,483",,,,
2020년02월_남_80~89세,"2,893",719,373,290,150,203,53,66,292,400,347,,,,
2020년02월_남_90~99세,249,70,22,26,15,21,8,6,18,32,31,,,,
2020년02월_남_100세 이상,21,4,1,5,1,1,0,0,6,3,0,,,,
2020년02월_여_총인구수,"182,446","53,652","20,893","10,632","4,066","7,052",726,"1,257","21,331","29,962","32,875",,,,
