카테고리,경기도 광주시,경기도 광주시 오포읍,경기도 광주시 초월읍,경기도 광주시 곤지암읍,경기도 광주시 도척면,경기도 광주시 퇴촌면,경기도 광주시 남종면,경기도 광주시 남한산성면,경기도 광주시 경안동,경기도 광주시 송정동,경기도 광주시 광남동,경기도 광주시 쌍령동,경기도 광주시 탄벌동,경기도 광주시 광남1동,경기도 광주시 광남2동
2020년06월_여_70~79세,"11,100","3,024","1,342",823,412,742,125,151,"1,219","1,747","1,515",,,,
2020년06월_여_80~89세,"4,976","1,266",653,485,247,356,76,91,505,706,591,,,,
2020년06월_여_90~99세,937,248,117,79,46,74,9,21,94,122,127,,,,
2020년06월_여_100세 이상,74,11,3,14,7,5,0,2,10,18,4,,,,
2020년07월_계_총인구수,"378,723","111,278","44,522","22,920","9,206","14,732","1,495","2,652","43,379","61,205","67,334",,,,
2020년07월_계_연령구간인구수,"378,723","111,278","44,522","22,920","9,206","14,732","1,495","2,652","43,379","61,205","67,334",,,,
2020년07월_계_0~9세,"35,731","11,419","3,736","1,423",492,"1,065",42,151,"4,089","5,057","8,257",,,,
2020년07월_계_10~19세,"33,847","8,777","4,935","1,849",623,"1,207",69,214,"3,983","5,696","6,494",,,,
2020년07월_계_20~29세,"44,710","13,377","5,281","2,862",970,"1,121",114,174,"5,720","7,813","7,278",,,,
2020년07월_계_30~39세,"58,584","20,452","5,810","2,774",964,"1,450",92,238,"6,610","8,578","11,616",,,,
2020년07월_계_40~49세,"65,855","19,589","7,895","3,595","1,349","2,363",158,391,"7,364","10,566","12,585",,,,
2020년07월_계_50~59세,"62,740","17,048","7,623","4,561","1,797","2,518",260,494,"7,364","11,176","9,899",,,,
2020년07월_계_60~69세,"46,302","12,442","5,470","3,330","1,710","2,803",376,502,"5,015","7,637","7,017",,,,
2020년07월_계_70~79세,"21,636","5,787","2,575","1,620",829,"1,546",236,300,"2,304","3,366","3,073",,,,
2020년07월_계_80~89세,"8,002","2,042","1,046",780,398,558,130,158,803,"1,131",956,,,,
2020년07월_계_90~99세,"1,218",329,146,107,65,95,18,28,111,164,155,,,,
2020년07월_계_100세 이상,98,16,5,19,9,6,0,2,16,21,4,,,,
2020년07월_남_총인구수,"193,796","56,489","23,158","12,230","5,074","7,504",776,"1,418","22,048","31,006","34,093",,,,
2020년07월_남_연령구간인구수,"193,796","56,489","23,158","12,230","5,074","7,504",776,"1,418","22,048","31,006","34,093",,,,
2020년07월_남_0~9세,"18,364","5,888","1,937",723,260,544,20,74,"2,159","2,536","4,223",,,,
2020년07월_남_10~19세,"17,348","4,525","2,506",968,331,642,41,115,"2,011","2,858","3,351",,,,
2020년07월_남_20~29세,"23,613","7,020","2,807","1,590",561,620,60,86,"2,979","4,134","3,756",,,,
2020년07월_남_30~39세,"30,599","10,677","3,078","1,556",557,735,46,134,"3,392","4,599","5,825",,,,
2020년07월_남_40~49세,"34,884","10,456","4,203","1,953",814,"1,301",90,223,"3,822","5,451","6,571",,,,
2020년07월_남_50~59세,"31,983","8,304","4,122","2,539","1,013","1,283",142,281,"3,755","5,549","4,995",,,,
2020년07월_남_60~69세,"23,210","6,020","2,853","1,782",950,"1,355",203,283,"2,525","3,802","3,437",,,,
2020년07월_남_70~79세,"10,499","2,756","1,233",795,416,796,113,147,"1,085","1,614","1,544",,,,
2020년07월_남_80~89세,"3,003",761,389,292,153,205,54,70,299,419,361,,,,
2020년07월_남_90~99세,270,78,29,26,17,22,7,5,15,41,30,,,,
2020년07월_남_100세 이상,23,4,1,6,2,1,0,0,6,3,0,,,,
2020년07월_여_총인구수,"184,927","54,789","21,364","10,690","4,132","7,228",719,"1,234","21,331","30,199","33,241",,,,
2020년07월_여_연령구간인구수,"184,927","54,789","21,364","10,690","4,132","7,228",719,"1,234","21,331","30,199","33,241",,,,
2020년07월_여_0~9세,"17,367","5,531","1,799",700,232,521,22,77,"1,930","2,521","4,034",,,,
2020년07월_여_10~19세,"16,499","4,252","2,429",881,292,565,28,99,"1,972","2,838","3,143",,,,
2020년07월_여_20~29세,"21,097","6,357","2,474","1,272",409,501,54,88,"2,741","3,679","3,522",,,,
2020년07월_여_30~39세,"27,985","9,775","2,732","1,218",407,715,46,104,"3,218","3,979","5,791",,,,
2020년07월_여_40~49세,"30,971","9,133","3,692","1,642",535,"1,062",68,168,"3,542","5,115","6,014",,,,
2020년07월_여_50~59세,"30,757","8,744","3,501","2,022",784,"1,235",118,213,"3,609","5,627","4,904",,,,
2020년07월_여_60~69세,"23,092","6,422","2,617","1,548",760,"1,448",173,219,"2,490","3,835","3,580",,,,
2020년07월_여_70~79세,"11,137","3,031","1,342",825,413,750,123,153,"1,219","1,752","1,529",,,,
2020년07월_여_80~89세,"4,999","1,281",657,488,245,353,76,88,504,712,595,,,,
2020년07월_여_90~99세,948,251,117,81,48,73,11,23,96,123,125,,,,
2020년07월_여_100세 이상,75,12,4,13,7,5,0,2,10,18,4,,,,
2020년08월_계_총인구수,"379,480","111,484","45,212","22,835","9,198","14,758","1,497","2,666","43,334","61,095","67,401",,,,
2020년08월_계_연령구간인구수,"379,480","111,484","45,212","22,835","9,198","14,758","1,497","2,666","43,334","61,095","67,401",,,,
2020년08월_계_0~9세,"35,633","11,401","3,801","1,392",483,"1,061",42,148,"4,065","5,007","8,233",,,,
2020년08월_계_10~19세,"33,854","8,806","4,988","1,834",630,"1,207",69,216,"3,943","5,653","6,508",,,,
2020년08월_계_20~29세,"44,828","13,410","5,391","2,843",957,"1,119",113,179,"5,711","7,800","7,305",,,,
2020년08월_계_30~39세,"58,456","20,354","5,966","2,751",963,"1,435",93,238,"6,605","8,519","11,532",,,,
2020년08월_계_40~49세,"66,101","19,698","8,019","3,588","1,340","2,372",160,390,"7,332","10,557","12,645",,,,
2020년08월_계_50~59세,"62,852","17,060","7,704","4,557","1,793","2,509",259,498,"7,390","11,175","9,907",,,,
2020년08월_계_60~69세,"46,646","12,532","5,549","3,335","1,731","2,837",375,505,"5,026","7,697","7,059",,,,
2020년08월_계_70~79세,"21,703","5,811","2,592","1,627",826,"1,550",236,305,"2,314","3,368","3,074",,,,
2020년08월_계_80~89세,"8,074","2,067","1,048",781,398,565,131,156,819,"1,135",974,,,,
2020년08월_계_90~99세,"1,232",328,149,108,68,97,19,29,112,163,159,,,,
2020년08월_계_100세 이상,101,17,5,19,9,6,0,2,17,21,5,,,,
2020년08월_남_총인구수,"194,146","56,582","23,505","12,178","5,071","7,514",777,"1,424","22,028","30,959","34,108",,,,
2020년08월_남_연령구간인구수,"194,146","56,582","23,505","12,178","5,071","7,514",777,"1,424","22,028","30,959","34,108",,,,
2020년08월_남_0~9세,"18,310","5,894","1,978",704,254,537,20,73,"2,142","2,511","4,197",,,,
2020년08월_남_10~19세,"17,334","4,547","2,520",956,337,640,41,116,"1,987","2,832","3,358",,,,
2020년08월_남_20~29세,"23,681","7,017","2,860","1,575",553,622,60,90,"2,990","4,133","3,781",,,,
2020년08월_남_30~39세,"30,550","10,632","3,173","1,539",559,735,46,133,"3,389","4,562","5,782",,,,
2020년08월_남_40~49세,"34,970","10,514","4,246","1,943",807,"1,303",91,224,"3,801","5,452","6,589",,,,
2020년08월_남_50~59세,"32,052","8,290","4,171","2,548","1,010","1,273",141,282,"3,778","5,554","5,005",,,,
2020년08월_남_60~69세,"23,377","6,059","2,891","1,783",963,"1,373",203,283,"2,522","3,836","3,464",,,,
2020년08월_남_70~79세,"10,528","2,769","1,246",801,417,797,112,149,"1,098","1,610","1,529",,,,
2020년08월_남_80~89세,"3,044",776,390,296,150,210,56,69,299,426,372,,,,
2020년08월_남_90~99세,276,79,29,27,19,23,7,5,16,40,31,,,,
2020년08월_남_100세 이상,24,5,1,6,2,1,0,0,6,3,0,,,,
2020년08월_여_총인구수,"185,334","54,902","21,707","10,657","4,127","7,244",720,"1,242","21,306","30,136","33,293",,,,
2020년08월_여_연령구간인구수,"185,334","54,902","21,707","10,657","4,127","7,244",720,"1,242","21,306","30,136","33,293",,,,
2020년08월_여_0~9세,"17,323","5,507","1,823",688,229,524,22,75,"1,923","2,496","4,036",,,,
2020년08월_여_10~19세,"16,520","4,259","2,468",878,293,567,28,100,"1,956","2,821","3,150",,,,
2020년08월_여_20~29세,"21,147","6,393","2,531","1,268",404,497,53,89,"2,721","3,667","3,524",,,,
2020년08월_여_30~39세,"27,906","9,722","2,793","1,212",404,700,47,105,"3,216","3,957","5,750",,,,
2020년08월_여_40~49세,"31,131","9,184","3,773","1,645",533,"1,069",69,166,"3,531","5,105","6,056",,,,
2020년08월_여_50~59세,"30,800","8,770","3,533","2,009",783,"1,236",118,216,"3,612","5,621","4,902",,,,
2020년08월_여_60~69세,"23,269","6,473","2,658","1,552",768,"1,464",172,222,"2,504","3,861","3,595",,,,
2020년08월_여_70~79세,"11,175","3,042","1,346",826,409,753,124,156,"1,216","1,758","1,545",,,,
2020년08월_여_80~89세,"5,030","1,291",658,485,248,355,75,87,520,709,602,,,,
2020년08월_여_90~99세,956,249,120,81,49,74,12,24,96,123,128,,,,
2020년08월_여_100세 이상,77,12,4,13,7,5,0,2,11,18,5,,,,
2020년09월_계_총인구수,"380,291","111,688","45,663","22,819","9,208","14,842","1,497","2,639","43,296","61,141","67,498",,,,
2020년09월_계_연령구간인구수,"380,291","111,688","45,663","22,819","9,208","14,842","1,497","2,639","43,296","61,141","67,498",,,,
2020년09월_계_0~9세,"35,541","11,359","3,819","1,392",474,"1,062",43,145,"4,054","4,957","8,236",,,,
2020년09월_계_10~19세,"33,820","8,811","4,980","1,835",630,"1,192",67,213,"3,924","5,648","6,520",,,,
2020년09월_계_20~29세,"44,886","13,453","5,445","2,820",947,"1,130",113,176,"5,716","7,785","7,301",,,,
2020년09월_계_30~39세,"58,406","20,295","6,096","2,745",959,"1,440",96,231,"6,549","8,519","11,476",,,,
2020년09월_계_40~49세,"66,303","19,772","8,093","3,576","1,349","2,392",156,382,"7,338","10,549","12,696",,,,
2020년09월_계_50~59세,"63,075","17,114","7,780","4,553","1,805","2,528",261,496,"7,409","11,206","9,923",,,,
2020년09월_계_60~69세,"47,032","12,632","5,639","3,360","1,738","2,863",376,505,"5,030","7,766","7,123",,,,
2020년09월_계_70~79세,"21,745","5,824","2,601","1,620",827,"1,559",234,305,"2,318","3,380","3,077",,,,
2020년09월_계_80~89세,"8,133","2,078","1,056",792,401,572,132,155,824,"1,143",980,,,,
2020년09월_계_90~99세,"1,249",332,149,106,69,98,19,29,117,167,163,,,,
2020년09월_계_100세 이상,101,18,5,20,9,6,0,2,17,21,3,,,,
2020년09월_남_총인구수,"194,524","56,653","23,755","12,145","5,071","7,556",775,"1,410","22,018","30,996","34,145",,,,
2020년09월_남_연령구간인구수,"194,524","56,653","23,755","12,145","5,071","7,556",775,"1,410","22,018","30,996","34,145",,,,
2020년09월_남_0~9세,"18,282","5,878","1,998",702,249,539,21,71,"2,128","2,498","4,198",,,,
2020년09월_남_10~19세,"17,311","4,550","2,516",951,339,634,39,113,"1,982","2,822","3,365",,,,
2020년09월_남_20~29세,"23,737","7,043","2,884","1,563",550,626,61,92,"3,001","4,135","3,782",,,,
2020년09월_남_30~39세,"30,490","10,587","3,252","1,535",549,740,46,128,"3,372","4,548","5,733",,,,
2020년09월_남_40~49세,"35,045","10,542","4,283","1,925",815,"1,311",88,218,"3,797","5,449","6,617",,,,
2020년09월_남_50~59세,"32,188","8,322","4,207","2,545","1,008","1,285",142,285,"3,792","5,582","5,020",,,,
2020년09월_남_60~69세,"23,561","6,102","2,940","1,796",968,"1,388",204,282,"2,521","3,871","3,489",,,,
2020년09월_남_70~79세,"10,545","2,766","1,252",797,422,794,111,148,"1,103","1,618","1,534",,,,
2020년09월_남_80~89세,"3,061",779,394,298,149,215,56,68,298,428,376,,,,
2020년09월_남_90~99세,278,78,28,26,20,23,7,5,18,42,31,,,,
2020년09월_남_100세 이상,26,6,1,7,2,1,0,0,6,3,0,,,,
2020년09월_여_총인구수,"185,767","55,035","21,908","10,674","4,137","7,286",722,"1,229","21,278","30,145","33,353",,,,
2020년09월_여_연령구간인구수,"185,767","55,035","21,908","10,674","4,137","7,286",722,"1,229","21,278","30,145","33,353",,,,
2020년09월_여_0~9세,"17,259","5,481","1,821",690,225,523,22,74,"1,926","2,459","4,038",,,,
2020년09월_여_10~19세,"16,509","4,261","2,464",884,291,558,28,100,"1,942","2,826","3,155",,,,
2020년09월_여_20~29세,"21,149","6,410","2,561","1,257",397,504,52,84,"2,715","3,650","3,519",,,,
2020년09월_여_30~39세,"27,916","9,708","2,844","1,210",410,700,50,103,"3,177","3,971","5,743",,,,
2020년09월_여_40~49세,"31,258","9,230","3,810","1,651",534,"1,081",68,164,"3,541","5,100","6,079",,,,
2020년09월_여_50~59세,"30,887","8,792","3,573","2,008",797,"1,243",119,211,"3,617","5,624","4,903",,,,
2020년09월_여_60~69세,"23,471","6,530","2,699","1,564",770,"1,475",172,223,"2,509","3,895","3,634",,,,
2020년09월_여_70~79세,"11,200","3,058","1,349",823,405,765,123,157,"1,215","1,762","1,543",,,,
2020년09월_여_80~89세,"5,072","1,299",662,494,252,357,76,87,526,715,604,,,,
2020년09월_여_90~99세,971,254,121,80,49,75,12,24,99,125,132,,,,
2020년09월_여_100세 이상,75,12,4,13,7,5,0,2,11,18,3,,,,
2020년10월_계_총인구수,"380,821","111,738","46,014","22,846","9,281","14,900","1,502","2,612","43,332","61,144","67,452",,,,
2020년10월_계_연령구간인구수,"380,821","111,738","46,014","22,846","9,281","14,900","1,502","2,612","43,332","61,144","67,452",,,,
2020년10월_계_0~9세,"35,404","11,311","3,842","1,388",474,"1,062",43,139,"4,048","4,895","8,202",,,,
2020년10월_계_10~19세,"33,799","8,799","4,956","1,836",631,"1,202",65,207,"3,910","5,653","6,540",,,,
2020년10월_계_20~29세,"45,060","13,473","5,496","2,815",976,"1,130",115,183,"5,749","7,810","7,313",,,,
2020년10월_계_30~39세,"58,094","20,179","6,157","2,730",962,"1,447",91,224,"6,525","8,444","11,335",,,,
2020년10월_계_40~49세,"66,426","19,810","8,160","3,584","1,355","2,391",156,373,"7,326","10,544","12,727",,,,
2020년10월_계_50~59세,"63,295","17,166","7,849","4,558","1,826","2,540",264,499,"7,398","11,243","9,952",,,,
2020년10월_계_60~69세,"47,366","12,710","5,695","3,386","1,742","2,881",380,501,"5,089","7,835","7,147",,,,
2020년10월_계_70~79세,"21,830","5,857","2,631","1,622",831,"1,554",235,299,"2,329","3,389","3,083",,,,
2020년10월_계_80~89세,"8,197","2,084","1,074",800,406,590,133,156,821,"1,147",986,,,,
2020년10월_계_90~99세,"1,248",331,149,107,69,96,20,29,120,163,164,,,,
2020년10월_계_100세 이상,102,18,5,20,9,7,0,2,17,21,3,,,,
2020년10월_남_총인구수,"194,783","56,660","23,919","12,169","5,108","7,585",776,"1,397","22,047","30,993","34,129",,,,
2020년10월_남_연령구간인구수,"194,783","56,660","23,919","12,169","5,108","7,585",776,"1,397","22,047","30,993","34,129",,,,
2020년10월_남_0~9세,"18,213","5,869","2,017",699,245,534,21,68,"2,118","2,459","4,183",,,,
2020년10월_남_10~19세,"17,294","4,542","2,496",958,339,642,37,109,"1,973","2,821","3,377",,,,
2020년10월_남_20~29세,"23,846","7,053","2,913","1,561",568,622,62,98,"3,033","4,144","3,792",,,,
2020년10월_남_30~39세,"30,290","10,513","3,270","1,531",549,738,45,125,"3,359","4,513","5,647",,,,
2020년10월_남_40~49세,"35,114","10,550","4,318","1,928",818,"1,315",87,211,"3,791","5,451","6,645",,,,
2020년10월_남_50~59세,"32,286","8,340","4,233","2,548","1,025","1,300",142,286,"3,784","5,601","5,027",,,,
2020년10월_남_60~69세,"23,759","6,147","2,979","1,812",965,"1,399",206,281,"2,556","3,903","3,511",,,,
2020년10월_남_70~79세,"10,581","2,777","1,263",800,427,786,112,145,"1,106","1,626","1,539",,,,
2020년10월_남_80~89세,"3,093",784,401,299,150,225,56,69,301,430,378,,,,
2020년10월_남_90~99세,280,79,28,26,20,22,8,5,20,42,30,,,,
2020년10월_남_100세 이상,27,6,1,7,2,2,0,0,6,3,0,,,,
2020년10월_여_총인구수,"186,038","55,078","22,095","10,677","4,173","7,315",726,"1,215","21,285","30,151","33,323",,,,
2020년10월_여_연령구간인구수,"186,038","55,078","22,095","10,677","4,173","7,315",726,"1,215","21,285","30,151","33,323",,,,
2020년10월_여_0~9세,"17,191","5,442","1,825",689,229,528,22,71,"1,930","2,436","4,019",,,,
2020년10월_여_10~19세,"16,505","4,257","2,460",878,292,560,28,98,"1,937","2,832","3,163",,,,
2020년10월_여_20~29세,"21,214","6,420","2,583","1,254",408,508,53,85,"2,716","3,666","3,521",,,,
2020년10월_여_30~39세,"27,804","9,666","2,887","1,199",413,709,46,99,"3,166","3,931","5,688",,,,
2020년10월_여_40~49세,"31,312","9,260","3,842","1,656",537,"1,076",69,162,"3,535","5,093","6,082",,,,
2020년10월_여_50~59세,"31,009","8,826","3,616","2,010",801,"1,240",122,213,"3,614","5,642","4,925",,,,
2020년10월_여_60~69세,"23,607","6,563","2,716","1,574",777,"1,482",174,220,"2,533","3,932","3,636",,,,
2020년10월_여_70~79세,"11,249","3,080","1,368",822,404,768,123,154,"1,223","1,763","1,544",,,,
2020년10월_여_80~89세,"5,104","1,300",673,501,256,365,77,87,520,717,608,,,,
2020년10월_여_90~99세,968,252,121,81,49,74,12,24,100,121,134,,,,
2020년10월_여_100세 이상,75,12,4,13,7,5,0,2,11,18,3,,,,
2020년11월_계_총인구수,"381,324","111,865","46,126","22,914","9,340","14,968","1,499","2,610","43,344","61,123","67,535",,,,
2020년11월_계_연령구간인구수,"381,324","111,865","46,126","22,914","9,340","14,968","1,499","2,610","43,344","61,123","67,535",,,,
2020년11월_계_0~9세,"35,233","11,266","3,828","1,393",477,"1,058",42,142,"3,997","4,856","8,174",,,,
2020년11월_계_10~19세,"33,738","8,783","4,885","1,829",631,"1,200",62,206,"3,917","5,642","6,583",,,,
2020년11월_계_20~29세,"45,157","13,481","5,515","2,826",982,"1,145",116,184,"5,757","7,838","7,313",,,,
2020년11월_계_30~39세,"57,911","20,105","6,185","2,749",989,"1,452",91,222,"6,483","8,364","11,271",,,,
2020년11월_계_40~49세,"66,620","19,883","8,221","3,573","1,359","2,409",154,366,"7,338","10,544","12,773",,,,
2020년11월_계_50~59세,"63,411","17,204","7,883","4,577","1,823","2,544",269,495,"7,411","11,236","9,969",,,,
2020년11월_계_60~69세,"47,763","12,821","5,724","3,415","1,764","2,901",376,506,"5,140","7,911","7,205",,,,
2020년11월_계_70~79세,"21,870","5,870","2,647","1,622",822,"1,559",234,302,"2,334","3,395","3,085",,,,
2020년11월_계_80~89세,"8,276","2,108","1,081",804,415,600,136,156,829,"1,154",993,,,,
2020년11월_계_90~99세,"1,242",326,152,105,69,93,19,29,121,162,166,,,,
2020년11월_계_100세 이상,103,18,5,21,9,7,0,2,17,21,3,,,,
2020년11월_남_총인구수,"194,991","56,675","23,976","12,218","5,150","7,632",774,"1,393","22,029","30,969","34,175",,,,
2020년11월_남_연령구간인구수,"194,991","56,675","23,976","12,218","5,150","7,632",774,"1,393","22,029","30,969","34,175",,,,
2020년11월_남_0~9세,"18,107","5,832","2,011",703,245,534,21,69,"2,091","2,435","4,166",,,,
2020년11월_남_10~19세,"17,233","4,520","2,450",961,334,644,35,109,"1,971","2,813","3,396",,,,
2020년11월_남_20~29세,"23,927","7,063","2,929","1,568",578,633,63,99,"3,033","4,156","3,805",,,,
2020년11월_남_30~39세,"30,178","10,458","3,277","1,544",570,744,46,123,"3,325","4,469","5,622",,,,
2020년11월_남_40~49세,"35,233","10,591","4,351","1,925",826,"1,329",83,208,"3,802","5,453","6,665",,,,
2020년11월_남_50~59세,"32,348","8,358","4,250","2,555","1,022","1,309",146,283,"3,791","5,597","5,037",,,,
2020년11월_남_60~69세,"23,928","6,194","2,996","1,828",976,"1,399",204,282,"2,578","3,941","3,530",,,,
2020년11월_남_70~79세,"10,590","2,773","1,273",800,424,788,112,145,"1,109","1,630","1,536",,,,
2020년11월_남_80~89세,"3,141",801,408,302,154,227,57,70,304,431,387,,,,
2020년11월_남_90~99세,278,79,30,24,19,23,7,5,19,41,31,,,,
2020년11월_남_100세 이상,28,6,1,8,2,2,0,0,6,3,0,,,,
2020년11월_여_총인구수,"186,333","55,190","22,150","10,696","4,190","7,336",725,"1,217","21,315","30,154","33,360",,,,
2020년11월_여_연령구간인구수,"186,333","55,190","22,150","10,696","4,190","7,336",725,"1,217","21,315","30,154","33,360",,,,
2020년11월_여_0~9세,"17,126","5,434","1,817",690,232,524,21,73,"1,906","2,421","4,008",,,,
2020년11월_여_10~19세,"16,505","4,263","2,435",868,297,556,27,97,"1,946","2,829","3,187",,,,
2020년11월_여_20~29세,"21,230","6,418","2,586","1,258",404,512,53,85,"2,724","3,682","3,508",,,,
2020년11월_여_30~39세,"27,733","9,647","2,908","1,205",419,708,45,99,"3,158","3,895","5,649",,,,
2020년11월_여_40~49세,"31,387","9,292","3,870","1,648",533,"1,080",71,158,"3,536","5,091","6,108",,,,
2020년11월_여_50~59세,"31,063","8,846","3,633","2,022",801,"1,235",123,212,"3,620","5,639","4,932",,,,
2020년11월_여_60~69세,"23,835","6,627","2,728","1,587",788,"1,502",172,224,"2,562","3,970","3,675",,,,
2020년11월_여_70~79세,"11,280","3,097","1,374",822,398,771,122,157,"1,225","1,765","1,549",,,,
2020년11월_여_80~89세,"5,135","1,307",673,502,261,373,79,86,525,723,606,,,,
2020년11월_여_90~99세,964,247,122,81,50,70,12,24,102,121,135,,,,
2020년11월_여_100세 이상,75,12,4,13,7,5,0,2,11,18,3,,,,
2020년12월_계_총인구수,"382,054","112,080","46,155","22,967","9,384","15,086","1,496","2,613","25,020","22,144",0,"18,350","39,093","33,606","34,060"
2020년12월_계_연령구간인구수,"382,054","112,080","46,155","22,967","9,384","15,086","1,496","2,613","25,020","22,144",0,"18,350","39,093","33,606","34,060"
2020년12월_계_0~9세,"35,190","11,254","3,808","1,398",482,"1,082",41,146,"2,011","1,689",0,"1,949","3,140","2,741","5,449"
2020년12월_계_10~19세,"33,619","8,740","4,762","1,819",637,"1,208",63,202,"2,267","2,024",0,"1,657","3,641","2,677","3,922"
2020년12월_계_20~29세,"45,220","13,541","5,535","2,818",987,"1,158",114,189,"3,363","2,838",0,"2,374","4,999","4,233","3,071"
2020년12월_계_30~39세,"57,844","20,055","6,213","2,762",996,"1,465",90,221,"3,544","2,985",0,"2,938","5,349","4,934","6,292"
2020년12월_계_40~49세,"66,823","19,945","8,245","3,582","1,364","2,422",154,368,"4,132","3,774",0,"3,215","6,800","5,719","7,103"
2020년12월_계_50~59세,"63,534","17,228","7,930","4,572","1,824","2,549",266,489,"4,391","3,974",0,"3,024","7,311","5,974","4,002"
2020년12월_계_60~69세,"48,147","12,917","5,770","3,456","1,770","2,931",382,511,"3,115","2,964",0,"2,057","5,010","4,654","2,610"
2020년12월_계_70~79세,"21,969","5,915","2,645","1,629",825,"1,566",230,301,"1,513","1,357",0,831,"2,037","1,940","1,180"
2020년12월_계_80~89세,"8,339","2,129","1,084",806,419,602,137,154,586,461,0,261,701,628,371
2020년12월_계_90~99세,"1,264",337,158,105,71,96,19,30,83,74,0,40,88,104,59
2020년12월_계_100세 이상,105,19,5,20,9,7,0,2,15,4,0,4,17,2,1
2020년12월_남_총인구수,"195,298","56,783","23,982","12,254","5,170","7,683",775,"1,396","12,890","11,141",0,"9,135","19,889","17,283","16,917"
2020년12월_남_연령구간인구수,"195,298","56,783","23,982","12,254","5,170","7,683",775,"1,396","12,890","11,141",0,"9,135","19,889","17,283","16,917"
2020년12월_남_0~9세,"18,074","5,835","1,984",708,251,540,22,72,"1,064",824,0,"1,008","1,608","1,401","2,757"
2020년12월_남_10~19세,"17,191","4,483","2,396",968,336,650,35,108,"1,170",986,0,801,"1,841","1,384","2,033"
2020년12월_남_20~29세,"23,933","7,096","2,945","1,560",585,638,60,101,"1,819","1,491",0,"1,212","2,645","2,248","1,533"
2020년12월_남_30~39세,"30,130","10,426","3,276","1,548",575,754,49,122,"1,852","1,590",0,"1,466","2,876","2,615","2,981"
2020년12월_남_40~49세,"35,343","10,621","4,381","1,934",820,"1,328",82,209,"2,162","1,969",0,"1,651","3,497","3,068","3,621"
2020년12월_남_50~59세,"32,411","8,376","4,257","2,552","1,023","1,318",146,277,"2,342","1,992",0,"1,443","3,638","3,023","2,024"
2020년12월_남_60~69세,"24,118","6,250","3,025","1,852",976,"1,415",208,285,"1,559","1,476",0,"1,035","2,491","2,318","1,228"
2020년12월_남_70~79세,"10,613","2,795","1,280",799,425,783,106,147,704,637,0,401,992,968,576
2020년12월_남_80~89세,"3,177",812,407,302,158,231,60,70,197,159,0,114,274,239,154
2020년12월_남_90~99세,281,83,30,24,19,24,7,5,15,17,0,4,24,19,10
2020년12월_남_100세 이상,27,6,1,7,2,2,0,0,6,0,0,0,3,0,0
2020년12월_여_총인구수,"186,756","55,297","22,173","10,713","4,214","7,403",721,"1,217","12,130","11,003",0,"9,215","19,204","16,323","17,143"
2020년12월_여_연령구간인구수,"186,756","55,297","22,173","10,713","4,214","7,403",721,"1,217","12,130","11,003",0,"9,215","19,204","16,323","17,143"
2020년12월_여_0~9세,"17,116","5,419","1,824",690,231,542,19,74,947,865,0,941,"1,532","1,340","2,692"
2020년12월_여_10~19세,"16,428","4,257","2,366",851,301,558,28,94,"1,097","1,038",0,856,"1,800","1,293","1,889"
2020년12월_여_20~29세,"21,287","6,445","2,590","1,258",402,520,54,88,"1,544","1,347",0,"1,162","2,354","1,985","1,538"
2020년12월_여_30~39세,"27,714","9,629","2,937","1,214",421,711,41,99,"1,692","1,395",0,"1,472","2,473","2,319","3,311"
2020년12월_여_40~49세,"31,480","9,324","3,864","1,648",544,"1,094",72,159,"1,970","1,805",0,"1,564","3,303","2,651","3,482"
2020년12월_여_50~59세,"31,123","8,852","3,673","2,020",801,"1,231",120,212,"2,049","1,982",0,"1,581","3,673","2,951","1,978"
2020년12월_여_60~69세,"24,029","6,667","2,745","1,604",794,"1,516",174,226,"1,556","1,488",0,"1,022","2,519","2,336","1,382"
2020년12월_여_70~79세,"11,356","3,120","1,365",830,400,783,124,154,809,720,0,430,"1,045",972,604
2020년12월_여_80~89세,"5,162","1,317",677,504,261,371,77,84,389,302,0,147,427,389,217
2020년12월_여_90~99세,983,254,128,81,52,72,12,25,68,57,0,36,64,85,49
2020년12월_여_100세 이상,78,13,4,13,7,5,0,2,9,4,0,4,14,2,1
2021년01월_계_총인구수,"382,578","112,327","46,215","23,007","9,407","15,133","1,507","2,605","25,043","22,162",,"18,391","39,139","33,648","33,994"
2021년01월_계_연령구간인구수,"382,578","112,327","46,215","23,007","9,407","15,133","1,507","2,605","25,043","22,162",,"18,391","39,139","33,648","33,994"
2021년01월_계_0~9세,"34,957","11,232","3,764","1,394",467,"1,079",43,145,"1,995","1,694",,"1,951","3,104","2,711","5,378"
2021년01월_계_10~19세,"33,621","8,730","4,716","1,814",641,"1,219",63,203,"2,270","2,026",,"1,653","3,646","2,680","3,960"
2021년01월_계_20~29세,"45,203","13,533","5,551","2,824",999,"1,164",111,185,"3,356","2,815",,"2,371","4,999","4,255","3,040"
2021년01월_계_30~39세,"57,679","19,993","6,226","2,777",995,"1,456",92,222,"3,549","2,980",,"2,929","5,316","4,918","6,226"
2021년01월_계_40~49세,"66,904","20,017","8,243","3,565","1,357","2,424",156,360,"4,125","3,768",,"3,218","6,812","5,729","7,130"
2021년01월_계_50~59세,"63,681","17,274","7,951","4,563","1,831","2,549",270,494,"4,406","3,968",,"3,039","7,335","5,986","4,015"
2021년01월_계_60~69세,"48,609","13,068","5,833","3,494","1,781","2,951",385,510,"3,137","3,000",,"2,082","5,061","4,679","2,628"
