카테고리,전라남도 해남군,전라남도 해남군 해남읍,전라남도 해남군 삼산면,전라남도 해남군 화산면,전라남도 해남군 현산면,전라남도 해남군 송지면,전라남도 해남군 북평면,전라남도 해남군 북일면,전라남도 해남군 옥천면,전라남도 해남군 계곡면,전라남도 해남군 마산면,전라남도 해남군 황산면,전라남도 해남군 산이면,전라남도 해남군 문내면,전라남도 해남군 화원면
2020년03월_계_총인구수,"69,804","24,813","3,020","3,347","2,912","6,310","2,881","2,054","3,069","2,206","2,482","4,979","3,917","4,139","3,675"
2020년03월_계_연령구간인구수,"69,804","24,813","3,020","3,347","2,912","6,310","2,881","2,054","3,069","2,206","2,482","4,979","3,917","4,139","3,675"
2020년03월_계_0~9세,"4,269","2,378",103,153,82,319,110,48,103,84,93,213,222,213,148
2020년03월_계_10~19세,"5,468","3,006",160,157,155,392,184,114,174,91,124,269,202,241,199
2020년03월_계_20~29세,"5,675","2,688",228,215,163,494,182,116,200,97,152,301,271,278,290
2020년03월_계_30~39세,"5,403","2,698",193,231,139,435,155,91,137,116,122,313,277,253,243
2020년03월_계_40~49세,"8,316","3,845",297,328,283,680,260,190,337,220,238,411,412,411,404
2020년03월_계_50~59세,"11,935","4,089",564,551,512,"1,131",479,339,532,333,444,922,666,743,630
2020년03월_계_60~69세,"11,984","3,070",613,666,624,"1,170",576,404,553,445,465,"1,110",718,828,742
2020년03월_계_70~79세,"10,074","1,988",509,639,568,"1,040",569,425,575,416,481,835,705,732,592
2020년03월_계_80~89세,"5,855",913,313,370,338,588,328,288,378,354,315,533,388,385,364
2020년03월_계_90~99세,784,136,38,36,44,59,37,38,75,45,43,67,54,53,59
2020년03월_계_100세 이상,41,2,2,1,4,2,1,1,5,5,5,5,2,2,4
2020년03월_남_총인구수,"34,459","12,227","1,505","1,672","1,453","3,095","1,385",971,"1,520","1,041","1,249","2,444","1,957","2,059","1,881"
2020년03월_남_연령구간인구수,"34,459","12,227","1,505","1,672","1,453","3,095","1,385",971,"1,520","1,041","1,249","2,444","1,957","2,059","1,881"
2020년03월_남_0~9세,"2,159","1,196",52,80,41,161,51,28,53,40,55,105,112,109,76
2020년03월_남_10~19세,"2,846","1,547",86,81,83,205,101,56,95,53,73,143,96,131,96
2020년03월_남_20~29세,"3,163","1,454",126,110,98,294,99,64,112,59,91,188,146,167,155
2020년03월_남_30~39세,"2,792","1,282",108,144,90,244,81,50,72,58,64,178,155,127,139
2020년03월_남_40~49세,"4,732","1,934",186,208,173,398,151,119,208,140,159,244,282,246,284
