카테고리,서울특별시 광진구,서울특별시 광진구 화양동,서울특별시 광진구 군자동,서울특별시 광진구 중곡제1동,서울특별시 광진구 중곡제2동,서울특별시 광진구 중곡제3동,서울특별시 광진구 중곡제4동,서울특별시 광진구 능동,서울특별시 광진구 광장동,서울특별시 광진구 자양제1동,서울특별시 광진구 자양제2동,서울특별시 광진구 자양제3동,서울특별시 광진구 자양제4동,서울특별시 광진구 구의제1동,서울특별시 광진구 구의제2동,서울특별시 광진구 구의제3동
2020년01월_계_총인구수,"351,263","22,095","19,902","15,812","22,264","17,043","30,116","11,589","35,876","23,021","26,428","29,131","18,443","22,343","27,391","29,809"
2020년01월_계_연령구간인구수,"351,263","22,095","19,902","15,812","22,264","17,043","30,116","11,589","35,876","23,021","26,428","29,131","18,443","22,343","27,391","29,809"
2020년01월_계_0~9세,"21,484",488,987,850,"1,331",841,"1,715",613,"3,488","1,148","1,786","2,508",794,985,"1,917","2,033"
2020년01월_계_10~19세,"27,382",756,"1,102",798,"1,491","1,085","2,129",567,"5,678","1,601","2,044","2,752",944,"1,294","2,461","2,680"
2020년01월_계_20~29세,"61,836","9,065","4,258","2,683","3,900","2,678","4,544","2,350","4,133","4,248","3,941","4,036","2,752","4,700","3,729","4,819"
2020년01월_계_30~39세,"58,135","4,298","3,704","3,033","4,055","2,828","4,610","2,719","4,057","3,960","4,241","4,468","2,810","4,404","4,111","4,837"
2020년01월_계_40~49세,"54,418","2,221","2,651","2,289","3,146","2,478","4,419","1,608","7,923","3,501","4,232","4,746","2,633","3,291","4,535","4,745"
2020년01월_계_50~59세,"55,590","2,111","3,007","2,569","3,645","3,056","5,494","1,457","5,337","3,696","4,395","4,712","3,346","3,291","4,572","4,902"
2020년01월_계_60~69세,"40,640","1,639","2,265","2,027","2,686","2,302","4,111","1,189","2,876","2,741","3,461","3,412","2,895","2,336","3,381","3,319"
2020년01월_계_70~79세,"22,020","1,037","1,371","1,141","1,451","1,266","2,253",749,"1,458","1,502","1,642","1,586","1,603","1,423","1,876","1,662"
2020년01월_계_80~89세,"8,338",396,488,357,472,432,717,290,785,536,587,793,575,538,692,680
2020년01월_계_90~99세,"1,217",63,58,57,78,62,96,45,131,75,88,106,78,67,91,122
2020년01월_계_100세 이상,203,21,11,8,9,15,28,2,10,13,11,12,13,14,26,10
2020년01월_남_총인구수,"170,164","10,486","9,843","7,731","10,664","8,470","14,838","5,339","17,343","11,104","12,960","14,022","9,258","10,674","13,208","14,224"
2020년01월_남_연령구간인구수,"170,164","10,486","9,843","7,731","10,664","8,470","14,838","5,339","17,343","11,104","12,960","14,022","9,258","10,674","13,208","14,224"
2020년01월_남_0~9세,"11,018",240,526,452,687,430,903,311,"1,826",571,940,"1,257",396,509,971,999
2020년01월_남_10~19세,"13,981",357,561,406,759,557,"1,132",302,"2,911",861,"1,087","1,363",461,647,"1,231","1,346"
2020년01월_남_20~29세,"29,351","3,869","2,071","1,257","1,803","1,370","2,307",962,"2,019","2,008","1,987","1,984","1,368","2,158","1,857","2,331"
2020년01월_남_30~39세,"28,769","2,244","1,889","1,527","2,010","1,495","2,319","1,268","1,761","1,982","2,096","2,110","1,510","2,193","2,055","2,310"
2020년01월_남_40~49세,"26,840","1,226","1,368","1,180","1,539","1,227","2,235",815,"3,666","1,757","2,090","2,276","1,388","1,656","2,201","2,216"
2020년01월_남_50~59세,"27,110","1,127","1,519","1,245","1,737","1,530","2,647",659,"2,740","1,760","2,070","2,256","1,755","1,577","2,164","2,324"
2020년01월_남_60~69세,"19,356",755,"1,080",966,"1,252","1,101","1,911",540,"1,403","1,290","1,684","1,709","1,406","1,058","1,583","1,618"
2020년01월_남_70~79세,"10,153",481,632,525,671,586,"1,066",346,655,648,767,732,737,642,873,792
2020년01월_남_80~89세,"3,210",164,184,161,188,156,286,123,317,201,214,295,213,210,250,248
2020년01월_남_90~99세,333,18,12,9,16,16,24,13,44,23,24,38,20,22,18,36
2020년01월_남_100세 이상,43,5,1,3,2,2,8,0,1,3,1,2,4,2,5,4
2020년01월_여_총인구수,"181,099","11,609","10,059","8,081","11,600","8,573","15,278","6,250","18,533","11,917","13,468","15,109","9,185","11,669","14,183","15,585"
2020년01월_여_연령구간인구수,"181,099","11,609","10,059","8,081","11,600","8,573","15,278","6,250","18,533","11,917","13,468","15,109","9,185","11,669","14,183","15,585"
2020년01월_여_0~9세,"10,466",248,461,398,644,411,812,302,"1,662",577,846,"1,251",398,476,946,"1,034"
2020년01월_여_10~19세,"13,401",399,541,392,732,528,997,265,"2,767",740,957,"1,389",483,647,"1,230","1,334"
2020년01월_여_20~29세,"32,485","5,196","2,187","1,426","2,097","1,308","2,237","1,388","2,114","2,240","1,954","2,052","1,384","2,542","1,872","2,488"
2020년01월_여_30~39세,"29,366","2,054","1,815","1,506","2,045","1,333","2,291","1,451","2,296","1,978","2,145","2,358","1,300","2,211","2,056","2,527"
2020년01월_여_40~49세,"27,578",995,"1,283","1,109","1,607","1,251","2,184",793,"4,257","1,744","2,142","2,470","1,245","1,635","2,334","2,529"
2020년01월_여_50~59세,"28,480",984,"1,488","1,324","1,908","1,526","2,847",798,"2,597","1,936","2,325","2,456","1,591","1,714","2,408","2,578"
2020년01월_여_60~69세,"21,284",884,"1,185","1,061","1,434","1,201","2,200",649,"1,473","1,451","1,777","1,703","1,489","1,278","1,798","1,701"
2020년01월_여_70~79세,"11,867",556,739,616,780,680,"1,187",403,803,854,875,854,866,781,"1,003",870
2020년01월_여_80~89세,"5,128",232,304,196,284,276,431,167,468,335,373,498,362,328,442,432
2020년01월_여_90~99세,884,45,46,48,62,46,72,32,87,52,64,68,58,45,73,86
2020년01월_여_100세 이상,160,16,10,5,7,13,20,2,9,10,10,10,9,12,21,6
2020년02월_계_총인구수,"351,032","22,180","19,897","15,819","22,250","16,969","30,071","11,634","35,981","22,975","26,413","29,050","18,416","22,346","27,342","29,689"
2020년02월_계_연령구간인구수,"351,032","22,180","19,897","15,819","22,250","16,969","30,071","11,634","35,981","22,975","26,413","29,050","18,416","22,346","27,342","29,689"
2020년02월_계_0~9세,"21,314",468,974,840,"1,317",817,"1,693",604,"3,565","1,123","1,781","2,473",783,951,"1,911","2,014"
2020년02월_계_10~19세,"27,246",788,"1,105",784,"1,482","1,070","2,112",566,"5,659","1,580","2,052","2,727",943,"1,272","2,442","2,664"
2020년02월_계_20~29세,"61,890","9,137","4,243","2,703","3,906","2,697","4,527","2,371","4,107","4,259","3,926","4,024","2,733","4,732","3,738","4,787"
2020년02월_계_30~39세,"57,843","4,290","3,697","3,001","4,051","2,774","4,615","2,723","4,095","3,929","4,197","4,423","2,813","4,386","4,072","4,777"
2020년02월_계_40~49세,"54,467","2,211","2,665","2,302","3,143","2,478","4,377","1,617","7,960","3,503","4,272","4,733","2,633","3,313","4,519","4,741"
2020년02월_계_50~59세,"55,523","2,126","2,995","2,576","3,646","3,048","5,499","1,461","5,327","3,694","4,379","4,723","3,319","3,280","4,575","4,875"
2020년02월_계_60~69세,"40,854","1,651","2,284","2,041","2,698","2,315","4,145","1,192","2,872","2,752","3,480","3,430","2,894","2,367","3,392","3,341"
2020년02월_계_70~79세,"22,062","1,031","1,375","1,144","1,449","1,262","2,256",750,"1,462","1,502","1,643","1,596","1,621","1,418","1,887","1,666"
2020년02월_계_80~89세,"8,408",396,489,364,471,434,722,302,794,544,583,801,581,546,689,692
2020년02월_계_90~99세,"1,222",61,60,56,78,60,97,46,130,75,88,108,83,67,91,122
2020년02월_계_100세 이상,203,21,10,8,9,14,28,2,10,14,12,12,13,14,26,10
2020년02월_남_총인구수,"170,000","10,535","9,864","7,741","10,643","8,439","14,806","5,352","17,381","11,055","12,958","13,983","9,245","10,664","13,172","14,162"
2020년02월_남_연령구간인구수,"170,000","10,535","9,864","7,741","10,643","8,439","14,806","5,352","17,381","11,055","12,958","13,983","9,245","10,664","13,172","14,162"
2020년02월_남_0~9세,"10,913",230,522,446,687,418,881,306,"1,854",550,938,"1,247",384,494,962,994
2020년02월_남_10~19세,"13,889",361,560,399,750,547,"1,130",300,"2,894",843,"1,090","1,348",460,641,"1,223","1,343"
2020년02월_남_20~29세,"29,367","3,901","2,077","1,274","1,805","1,378","2,298",975,"2,017","2,009","1,979","1,974","1,362","2,157","1,852","2,309"
2020년02월_남_30~39세,"28,591","2,259","1,886","1,511","1,993","1,463","2,319","1,261","1,772","1,957","2,071","2,084","1,526","2,182","2,033","2,274"
2020년02월_남_40~49세,"26,919","1,220","1,382","1,187","1,542","1,241","2,217",822,"3,693","1,758","2,125","2,268","1,378","1,669","2,198","2,219"
2020년02월_남_50~59세,"27,087","1,135","1,513","1,249","1,738","1,522","2,651",660,"2,728","1,760","2,067","2,261","1,754","1,575","2,167","2,307"
2020년02월_남_60~69세,"19,442",765,"1,088",975,"1,251","1,109","1,922",542,"1,408","1,301","1,686","1,722","1,393","1,072","1,584","1,624"
2020년02월_남_70~79세,"10,166",478,636,524,671,586,"1,069",343,654,650,764,739,742,637,879,794
2020년02월_남_80~89세,"3,251",162,187,165,188,157,288,130,318,200,212,300,222,214,250,258
2020년02월_남_90~99세,331,19,12,8,16,16,23,13,42,23,25,38,20,21,19,36
2020년02월_남_100세 이상,44,5,1,3,2,2,8,0,1,4,1,2,4,2,5,4
2020년02월_여_총인구수,"181,032","11,645","10,033","8,078","11,607","8,530","15,265","6,282","18,600","11,920","13,455","15,067","9,171","11,682","14,170","15,527"
2020년02월_여_연령구간인구수,"181,032","11,645","10,033","8,078","11,607","8,530","15,265","6,282","18,600","11,920","13,455","15,067","9,171","11,682","14,170","15,527"
2020년02월_여_0~9세,"10,401",238,452,394,630,399,812,298,"1,711",573,843,"1,226",399,457,949,"1,020"
2020년02월_여_10~19세,"13,357",427,545,385,732,523,982,266,"2,765",737,962,"1,379",483,631,"1,219","1,321"
2020년02월_여_20~29세,"32,523","5,236","2,166","1,429","2,101","1,319","2,229","1,396","2,090","2,250","1,947","2,050","1,371","2,575","1,886","2,478"
2020년02월_여_30~39세,"29,252","2,031","1,811","1,490","2,058","1,311","2,296","1,462","2,323","1,972","2,126","2,339","1,287","2,204","2,039","2,503"
2020년02월_여_40~49세,"27,548",991,"1,283","1,115","1,601","1,237","2,160",795,"4,267","1,745","2,147","2,465","1,255","1,644","2,321","2,522"
2020년02월_여_50~59세,"28,436",991,"1,482","1,327","1,908","1,526","2,848",801,"2,599","1,934","2,312","2,462","1,565","1,705","2,408","2,568"
2020년02월_여_60~69세,"21,412",886,"1,196","1,066","1,447","1,206","2,223",650,"1,464","1,451","1,794","1,708","1,501","1,295","1,808","1,717"
2020년02월_여_70~79세,"11,896",553,739,620,778,676,"1,187",407,808,852,879,857,879,781,"1,008",872
2020년02월_여_80~89세,"5,157",234,302,199,283,277,434,172,476,344,371,501,359,332,439,434
2020년02월_여_90~99세,891,42,48,48,62,44,74,33,88,52,63,70,63,46,72,86
2020년02월_여_100세 이상,159,16,9,5,7,12,20,2,9,10,11,10,9,12,21,6
2020년03월_계_총인구수,"350,417","22,186","19,888","15,808","22,278","16,936","30,014","11,600","35,872","22,946","26,265","28,980","18,336","22,405","27,301","29,602"
2020년03월_계_연령구간인구수,"350,417","22,186","19,888","15,808","22,278","16,936","30,014","11,600","35,872","22,946","26,265","28,980","18,336","22,405","27,301","29,602"
2020년03월_계_0~9세,"21,056",454,949,824,"1,303",807,"1,671",596,"3,531","1,108","1,771","2,439",775,946,"1,899","1,983"
2020년03월_계_10~19세,"27,146",817,"1,111",777,"1,488","1,058","2,093",566,"5,630","1,576","2,026","2,697",936,"1,264","2,437","2,670"
2020년03월_계_20~29세,"62,144","9,147","4,281","2,744","3,927","2,708","4,524","2,367","4,096","4,287","3,921","4,051","2,746","4,812","3,756","4,777"
2020년03월_계_30~39세,"57,503","4,281","3,671","2,987","4,034","2,753","4,612","2,683","4,077","3,895","4,155","4,415","2,773","4,387","4,031","4,749"
2020년03월_계_40~49세,"54,137","2,202","2,653","2,289","3,142","2,465","4,351","1,617","7,931","3,479","4,229","4,702","2,591","3,285","4,509","4,692"
2020년03월_계_50~59세,"55,342","2,105","2,975","2,565","3,649","3,035","5,464","1,462","5,313","3,700","4,352","4,711","3,296","3,280","4,551","4,884"
2020년03월_계_60~69세,"41,004","1,658","2,296","2,051","2,706","2,326","4,172","1,207","2,883","2,748","3,471","3,442","2,904","2,371","3,415","3,354"
2020년03월_계_70~79세,"22,163","1,041","1,379","1,142","1,464","1,264","2,274",752,"1,473","1,509","1,657","1,591","1,630","1,431","1,888","1,668"
2020년03월_계_80~89세,"8,482",398,499,367,476,447,726,299,797,552,583,808,589,550,695,696
2020년03월_계_90~99세,"1,235",62,64,54,80,59,98,48,132,78,88,112,82,65,94,119
2020년03월_계_100세 이상,205,21,10,8,9,14,29,3,9,14,12,12,14,14,26,10
2020년03월_남_총인구수,"169,568","10,505","9,824","7,746","10,630","8,426","14,774","5,343","17,325","11,049","12,860","13,956","9,197","10,676","13,151","14,106"
2020년03월_남_연령구간인구수,"169,568","10,505","9,824","7,746","10,630","8,426","14,774","5,343","17,325","11,049","12,860","13,956","9,197","10,676","13,151","14,106"
2020년03월_남_0~9세,"10,738",219,503,437,669,415,870,300,"1,821",544,932,"1,236",377,486,954,975
2020년03월_남_10~19세,"13,829",364,569,397,746,541,"1,130",299,"2,891",839,"1,072","1,333",459,628,"1,220","1,341"
2020년03월_남_20~29세,"29,427","3,886","2,079","1,308","1,798","1,384","2,290",979,"2,018","2,026","1,963","1,988","1,360","2,187","1,862","2,299"
2020년03월_남_30~39세,"28,430","2,261","1,861","1,504","1,990","1,449","2,301","1,247","1,766","1,948","2,045","2,083","1,501","2,189","2,011","2,274"
2020년03월_남_40~49세,"26,757","1,219","1,370","1,184","1,548","1,233","2,215",827,"3,678","1,745","2,103","2,247","1,355","1,653","2,191","2,189"
2020년03월_남_50~59세,"27,045","1,121","1,503","1,242","1,737","1,524","2,642",659,"2,719","1,769","2,054","2,267","1,751","1,581","2,166","2,310"
2020년03월_남_60~69세,"19,483",769,"1,097",977,"1,254","1,115","1,931",549,"1,417","1,293","1,679","1,726","1,390","1,072","1,587","1,627"
2020년03월_남_70~79세,"10,200",477,638,518,680,590,"1,071",340,652,653,770,736,752,645,883,795
2020년03월_남_80~89세,"3,279",165,190,168,190,158,293,129,318,203,216,299,228,213,253,256
2020년03월_남_90~99세,335,19,13,8,16,15,23,14,44,25,25,39,19,20,19,36
2020년03월_남_100세 이상,45,5,1,3,2,2,8,0,1,4,1,2,5,2,5,4
2020년03월_여_총인구수,"180,849","11,681","10,064","8,062","11,648","8,510","15,240","6,257","18,547","11,897","13,405","15,024","9,139","11,729","14,150","15,496"
2020년03월_여_연령구간인구수,"180,849","11,681","10,064","8,062","11,648","8,510","15,240","6,257","18,547","11,897","13,405","15,024","9,139","11,729","14,150","15,496"
2020년03월_여_0~9세,"10,318",235,446,387,634,392,801,296,"1,710",564,839,"1,203",398,460,945,"1,008"
2020년03월_여_10~19세,"13,317",453,542,380,742,517,963,267,"2,739",737,954,"1,364",477,636,"1,217","1,329"
2020년03월_여_20~29세,"32,717","5,261","2,202","1,436","2,129","1,324","2,234","1,388","2,078","2,261","1,958","2,063","1,386","2,625","1,894","2,478"
2020년03월_여_30~39세,"29,073","2,020","1,810","1,483","2,044","1,304","2,311","1,436","2,311","1,947","2,110","2,332","1,272","2,198","2,020","2,475"
2020년03월_여_40~49세,"27,380",983,"1,283","1,105","1,594","1,232","2,136",790,"4,253","1,734","2,126","2,455","1,236","1,632","2,318","2,503"
2020년03월_여_50~59세,"28,297",984,"1,472","1,323","1,912","1,511","2,822",803,"2,594","1,931","2,298","2,444","1,545","1,699","2,385","2,574"
2020년03월_여_60~69세,"21,521",889,"1,199","1,074","1,452","1,211","2,241",658,"1,466","1,455","1,792","1,716","1,514","1,299","1,828","1,727"
2020년03월_여_70~79세,"11,963",564,741,624,784,674,"1,203",412,821,856,887,855,878,786,"1,005",873
2020년03월_여_80~89세,"5,203",233,309,199,286,289,433,170,479,349,367,509,361,337,442,440
2020년03월_여_90~99세,900,43,51,46,64,44,75,34,88,53,63,73,63,45,75,83
