카테고리,경상북도 상주시,경상북도 상주시 함창읍,경상북도 상주시 중동면,경상북도 상주시 사벌면,경상북도 상주시 사벌국면,경상북도 상주시 낙동면,경상북도 상주시 낙동면동부출장소,경상북도 상주시 청리면,경상북도 상주시 공성면,경상북도 상주시 외남면,경상북도 상주시 내서면,경상북도 상주시 모동면,경상북도 상주시 모서면,경상북도 상주시 모서면서부출장소,경상북도 상주시 화동면,경상북도 상주시 화서면,경상북도 상주시 화북면,경상북도 상주시 화북면서부출장소,경상북도 상주시 외서면,경상북도 상주시 은척면,경상북도 상주시 은척면북부출장소,경상북도 상주시 공검면,경상북도 상주시 이안면,경상북도 상주시 화남면,경상북도 상주시 남원동,경상북도 상주시 북문동,경상북도 상주시 계림동,경상북도 상주시 동문동,경상북도 상주시 동성동,경상북도 상주시 신흥동
2020년01월_계_총인구수,"99,814","6,794","1,480",0.0,"3,938","3,127","1,032","2,743","4,071","1,701","2,065","2,640","1,772",758,"2,052","2,900","1,271",352,"2,864","1,209",399,"2,235","2,133",859,"12,757","9,593","7,492","8,327","3,824","9,426"
2020년01월_계_연령구간인구수,"99,814","6,794","1,480",0.0,"3,938","3,127","1,032","2,743","4,071","1,701","2,065","2,640","1,772",758,"2,052","2,900","1,271",352,"2,864","1,209",399,"2,235","2,133",859,"12,757","9,593","7,492","8,327","3,824","9,426"
2020년01월_계_0~9세,"5,420",301,44,0.0,113,106,29,85,80,52,61,102,55,21,73,135,40,7,107,20,13,36,57,31,"1,017",803,495,527,221,789
2020년01월_계_10~19세,"8,121",534,66,0.0,171,171,54,135,230,76,108,162,78,36,108,172,65,12,164,51,19,101,115,37,"1,409",898,746,834,372,"1,197"
2020년01월_계_20~29세,"8,892",474,94,0.0,216,177,62,162,239,90,129,195,115,47,117,203,84,20,126,60,15,132,111,56,"1,436","1,087",775,912,337,"1,421"
2020년01월_계_30~39세,"7,979",491,80,0.0,245,140,43,165,209,90,121,128,83,38,124,188,73,16,180,36,9,114,77,35,"1,392","1,231",654,773,326,918
2020년01월_계_40~49세,"12,104",797,117,0.0,348,286,80,232,319,126,183,259,177,67,188,292,135,28,331,111,33,178,192,75,"1,865","1,427","1,088","1,225",531,"1,414"
2020년01월_계_50~59세,"17,488","1,146",245,0.0,695,548,211,458,698,329,418,538,352,170,388,560,276,72,531,193,73,352,343,166,"2,145","1,630","1,337","1,511",647,"1,456"
2020년01월_계_60~69세,"17,683","1,297",326,0.0,836,639,210,599,980,368,451,614,408,171,453,581,267,92,575,285,67,502,428,186,"1,801","1,391","1,133","1,230",624,"1,169"
2020년01월_계_70~79세,"12,738","1,001",294,0.0,698,570,165,488,753,295,332,375,276,113,340,430,190,62,464,268,89,449,434,145,"1,092",705,767,825,479,639
2020년01월_계_80~89세,"8,147",656,188,0.0,536,416,160,356,492,235,230,233,205,84,216,296,122,37,330,162,70,322,319,107,511,372,440,436,249,367
2020년01월_계_90~99세,"1,189",90,26,0.0,79,69,16,61,69,40,32,31,22,11,45,42,17,6,51,21,11,47,55,20,84,49,55,50,35,55
2020년01월_계_100세 이상,53,7,0,0.0,1,5,2,2,2,0,0,3,1,0,0,1,2,0,5,2,0,2,2,1,5,0,2,4,3,1
2020년01월_남_총인구수,"48,984","3,309",716,0.0,"1,904","1,509",501,"1,345","2,000",850,"1,058","1,322",898,359,"1,026","1,394",649,180,"1,352",568,203,"1,049","1,013",416,"6,259","4,827","3,557","4,072","1,900","4,748"
2020년01월_남_연령구간인구수,"48,984","3,309",716,0.0,"1,904","1,509",501,"1,345","2,000",850,"1,058","1,322",898,359,"1,026","1,394",649,180,"1,352",568,203,"1,049","1,013",416,"6,259","4,827","3,557","4,072","1,900","4,748"
2020년01월_남_0~9세,"2,811",159,28,0.0,57,59,15,51,37,23,28,47,29,10,36,70,21,3,51,8,7,15,34,15,530,416,259,282,123,398
2020년01월_남_10~19세,"4,352",271,30,0.0,98,80,28,95,153,48,64,86,40,19,51,82,36,6,83,29,14,52,52,19,793,473,365,434,204,647
2020년01월_남_20~29세,"5,104",270,59,0.0,146,107,35,100,136,50,81,113,75,24,75,109,41,14,75,34,9,83,64,24,792,617,429,498,198,846
2020년01월_남_30~39세,"4,338",276,49,0.0,140,83,21,94,126,50,68,72,48,16,73,105,48,8,101,19,5,72,44,16,751,658,350,407,173,465
2020년01월_남_40~49세,"6,428",438,76,0.0,234,155,52,143,193,88,105,150,107,45,115,149,74,17,178,71,18,115,114,50,889,731,540,589,297,695
2020년01월_남_50~59세,"9,138",611,145,0.0,383,315,120,235,375,192,234,285,197,78,217,285,153,43,280,102,45,175,194,96,"1,052",826,659,804,342,695
2020년01월_남_60~69세,"8,590",638,143,0.0,415,323,104,303,471,188,243,310,216,98,224,294,139,50,279,141,35,249,218,93,819,686,513,554,263,581
2020년01월_남_70~79세,"5,395",419,125,0.0,276,247,65,194,330,126,156,166,108,47,153,184,83,27,195,104,40,190,179,67,459,292,304,354,217,288
2020년01월_남_80~89세,"2,584",209,56,0.0,147,124,55,118,162,75,74,85,69,22,70,103,51,12,99,58,27,91,101,32,162,121,128,137,76,120
2020년01월_남_90~99세,236,17,5,0.0,8,15,6,12,16,10,5,7,8,0,12,13,3,0,10,2,3,7,13,4,12,7,10,12,7,12
2020년01월_남_100세 이상,8,1,0,0.0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2020년01월_여_총인구수,"50,830","3,485",764,0.0,"2,034","1,618",531,"1,398","2,071",851,"1,007","1,318",874,399,"1,026","1,506",622,172,"1,512",641,196,"1,186","1,120",443,"6,498","4,766","3,935","4,255","1,924","4,678"
2020년01월_여_연령구간인구수,"50,830","3,485",764,0.0,"2,034","1,618",531,"1,398","2,071",851,"1,007","1,318",874,399,"1,026","1,506",622,172,"1,512",641,196,"1,186","1,120",443,"6,498","4,766","3,935","4,255","1,924","4,678"
2020년01월_여_0~9세,"2,609",142,16,0.0,56,47,14,34,43,29,33,55,26,11,37,65,19,4,56,12,6,21,23,16,487,387,236,245,98,391
2020년01월_여_10~19세,"3,769",263,36,0.0,73,91,26,40,77,28,44,76,38,17,57,90,29,6,81,22,5,49,63,18,616,425,381,400,168,550
2020년01월_여_20~29세,"3,788",204,35,0.0,70,70,27,62,103,40,48,82,40,23,42,94,43,6,51,26,6,49,47,32,644,470,346,414,139,575
2020년01월_여_30~39세,"3,641",215,31,0.0,105,57,22,71,83,40,53,56,35,22,51,83,25,8,79,17,4,42,33,19,641,573,304,366,153,453
2020년01월_여_40~49세,"5,676",359,41,0.0,114,131,28,89,126,38,78,109,70,22,73,143,61,11,153,40,15,63,78,25,976,696,548,636,234,719
2020년01월_여_50~59세,"8,350",535,100,0.0,312,233,91,223,323,137,184,253,155,92,171,275,123,29,251,91,28,177,149,70,"1,093",804,678,707,305,761
2020년01월_여_60~69세,"9,093",659,183,0.0,421,316,106,296,509,180,208,304,192,73,229,287,128,42,296,144,32,253,210,93,982,705,620,676,361,588
2020년01월_여_70~79세,"7,343",582,169,0.0,422,323,100,294,423,169,176,209,168,66,187,246,107,35,269,164,49,259,255,78,633,413,463,471,262,351
2020년01월_여_80~89세,"5,563",447,132,0.0,389,292,105,238,330,160,156,148,136,62,146,193,71,25,231,104,43,231,218,75,349,251,312,299,173,247
2020년01월_여_90~99세,953,73,21,0.0,71,54,10,49,53,30,27,24,14,11,33,29,14,6,41,19,8,40,42,16,72,42,45,38,28,43
2020년01월_여_100세 이상,45,6,0,0.0,1,4,2,2,1,0,0,2,0,0,0,1,2,0,4,2,0,2,2,1,5,0,2,3,3,0
2020년02월_계_총인구수,"99,438","6,754","1,468",,"3,917","3,113","1,032","2,730","4,076","1,697","2,064","2,643","1,769",753,"2,049","2,861","1,265",355,"2,855","1,206",390,"2,223","2,125",855,"12,636","9,500","7,681","8,260","3,815","9,346"
2020년02월_계_연령구간인구수,"99,438","6,754","1,468",,"3,917","3,113","1,032","2,730","4,076","1,697","2,064","2,643","1,769",753,"2,049","2,861","1,265",355,"2,855","1,206",390,"2,223","2,125",855,"12,636","9,500","7,681","8,260","3,815","9,346"
2020년02월_계_0~9세,"5,417",297,42,,112,104,31,90,79,54,63,104,55,19,73,131,37,9,105,20,12,35,59,34,997,788,541,520,218,788
2020년02월_계_10~19세,"8,010",519,67,,168,164,52,130,232,74,106,161,79,37,106,163,65,13,160,50,19,101,110,39,"1,384",888,779,821,369,"1,154"
2020년02월_계_20~29세,"8,788",467,90,,217,178,58,159,237,88,124,189,108,43,117,199,85,18,128,60,14,129,110,53,"1,418","1,067",779,901,335,"1,417"
2020년02월_계_30~39세,"7,900",487,79,,242,143,42,161,212,87,121,123,81,38,123,186,74,15,176,37,9,115,73,36,"1,376","1,196",692,750,327,899
2020년02월_계_40~49세,"12,034",785,114,,339,280,81,228,315,128,181,264,178,67,185,283,130,31,329,107,31,179,198,75,"1,832","1,414","1,131","1,218",526,"1,405"
2020년02월_계_50~59세,"17,406","1,140",241,,682,553,212,452,693,327,419,539,351,170,385,551,272,70,527,193,72,343,336,162,"2,131","1,624","1,345","1,517",646,"1,453"
2020년02월_계_60~69세,"17,720","1,303",322,,847,629,213,603,990,366,453,611,410,171,453,578,270,94,575,287,67,501,429,184,"1,804","1,386","1,148","1,222",632,"1,172"
2020년02월_계_70~79세,"12,720",996,298,,696,566,163,485,753,298,336,383,279,114,343,429,190,61,466,268,83,452,433,145,"1,096",708,757,813,471,638
2020년02월_계_80~89세,"8,189",664,187,,537,418,161,361,493,234,229,233,206,83,217,299,122,38,333,160,72,316,317,106,513,379,450,445,251,365
2020년02월_계_90~99세,"1,201",89,28,,75,73,17,59,70,41,32,33,21,11,47,41,18,6,52,22,11,50,58,20,80,50,57,49,37,54
2020년02월_계_100세 이상,53,7,0,,2,5,2,2,2,0,0,3,1,0,0,1,2,0,4,2,0,2,2,1,5,0,2,4,3,1
2020년02월_남_총인구수,"48,785","3,281",710,,"1,897","1,506",501,"1,340","2,011",848,"1,063","1,322",899,359,"1,023","1,377",645,182,"1,351",565,201,"1,045","1,009",413,"6,182","4,765","3,657","4,032","1,896","4,705"
2020년02월_남_연령구간인구수,"48,785","3,281",710,,"1,897","1,506",501,"1,340","2,011",848,"1,063","1,322",899,359,"1,023","1,377",645,182,"1,351",565,201,"1,045","1,009",413,"6,182","4,765","3,657","4,032","1,896","4,705"
2020년02월_남_0~9세,"2,801",158,26,,56,59,15,53,36,24,29,48,29,9,36,72,20,5,50,8,6,15,34,16,515,405,280,273,123,401
2020년02월_남_10~19세,"4,284",256,31,,97,76,27,90,156,47,63,85,41,19,50,76,36,6,80,28,14,52,52,19,777,473,381,429,203,620
2020년02월_남_20~29세,"5,019",262,57,,145,108,32,99,135,48,78,112,70,23,72,107,41,13,77,34,9,81,62,21,774,596,435,490,198,840
