카테고리,대구광역시 수성구,대구광역시 수성구 범어1동,대구광역시 수성구 범어2동,대구광역시 수성구 범어3동,대구광역시 수성구 범어4동,대구광역시 수성구 만촌1동,대구광역시 수성구 만촌2동,대구광역시 수성구 만촌3동,대구광역시 수성구 수성1가동,대구광역시 수성구 수성2.3가동,대구광역시 수성구 수성4가동,대구광역시 수성구 황금1동,대구광역시 수성구 황금2동,대구광역시 수성구 중동,대구광역시 수성구 상동,대구광역시 수성구 파동,대구광역시 수성구 두산동,대구광역시 수성구 지산1동,대구광역시 수성구 지산2동,대구광역시 수성구 범물1동,대구광역시 수성구 범물2동,대구광역시 수성구 고산1동,대구광역시 수성구 고산2동,대구광역시 수성구 고산3동
2020년03월_계_총인구수,"428,777","16,731","15,590","16,559","18,919","23,700","11,759","20,644","19,064","12,418","15,609","24,709","11,439","11,282","16,979","13,372","14,308","23,074","19,682","11,962","15,924","32,081","28,176","34,796"
2020년03월_계_연령구간인구수,"428,777","16,731","15,590","16,559","18,919","23,700","11,759","20,644","19,064","12,418","15,609","24,709","11,439","11,282","16,979","13,372","14,308","23,074","19,682","11,962","15,924","32,081","28,176","34,796"
2020년03월_계_0~9세,"31,162","1,443","1,031","2,018","1,556","1,965",552,"1,441","1,392","1,216",935,"2,144",598,653,"1,103","1,102",962,"1,113","1,187",407,"1,151","2,411","2,099","2,683"
2020년03월_계_10~19세,"53,247","2,221","1,818","2,050","4,271","2,632","1,258","4,097","2,256","1,801","1,530","4,348",941,776,"1,380","1,027","1,218","2,065","1,964",772,"1,866","4,924","3,504","4,528"
2020년03월_계_20~29세,"55,981","2,059","2,373","2,111","1,831","3,048","1,939","2,447","2,304","1,242","2,176","2,744","1,784","1,424","2,111","1,324","2,233","3,372","2,636","1,462","1,979","4,514","3,869","4,999"
2020년03월_계_30~39세,"44,204","1,629","2,002","2,226","1,318","2,485","1,223","1,526","1,731","1,252","1,600","2,095","1,428","1,456","2,114","1,699","1,891","2,381","2,051",996,"1,588","2,905","2,981","3,627"
2020년03월_계_40~49세,"74,741","3,040","2,597","3,273","4,694","3,862","1,802","4,661","3,295","2,530","2,350","5,017","1,824","1,823","2,561","1,987","2,374","3,394","2,979","1,430","2,677","5,861","4,765","5,945"
2020년03월_계_50~59세,"75,337","2,910","2,633","2,560","2,695","4,138","2,172","3,322","3,201","1,801","2,978","4,192","1,971","1,952","2,923","2,129","2,705","4,310","3,722","2,301","2,905","5,936","5,142","6,739"
2020년03월_계_60~69세,"50,414","1,711","1,721","1,229","1,310","2,928","1,505","1,646","2,287","1,352","2,083","2,352","1,501","1,654","2,519","2,145","1,757","3,356","2,861","2,345","2,331","3,147","3,256","3,418"
2020년03월_계_70~79세,"28,302","1,131",963,717,826,"1,709",840,"1,001","1,649",837,"1,247","1,160",960,"1,005","1,483","1,326",791,"2,020","1,409","1,436",948,"1,496","1,598","1,750"
2020년03월_계_80~89세,"13,555",520,407,326,371,830,421,450,844,349,626,560,379,478,674,550,329,930,774,713,417,776,838,993
2020년03월_계_90~99세,"1,737",62,43,41,46,100,45,51,101,32,77,91,53,58,104,76,45,128,97,96,59,106,119,107
2020년03월_계_100세 이상,97,5,2,8,1,3,2,2,4,6,7,6,0,3,7,7,3,5,2,4,3,5,5,7
2020년03월_남_총인구수,"208,075","7,994","7,585","7,925","9,266","11,571","5,934","10,818","8,875","6,029","7,341","11,902","5,507","5,600","8,221","6,490","6,973","11,008","9,354","5,466","7,738","15,566","14,029","16,883"
2020년03월_남_연령구간인구수,"208,075","7,994","7,585","7,925","9,266","11,571","5,934","10,818","8,875","6,029","7,341","11,902","5,507","5,600","8,221","6,490","6,973","11,008","9,354","5,466","7,738","15,566","14,029","16,883"
2020년03월_남_0~9세,"16,022",724,523,994,830,"1,012",295,834,679,645,473,"1,080",299,344,581,558,488,574,621,192,588,"1,225","1,054","1,409"
2020년03월_남_10~19세,"28,284","1,084",964,"1,025","2,233","1,371",716,"2,690","1,074",906,764,"2,239",466,410,711,567,620,"1,176","1,015",395,988,"2,539","1,928","2,403"
2020년03월_남_20~29세,"30,271","1,094","1,210","1,078","1,005","1,680","1,102","1,453","1,233",658,"1,120","1,495",885,765,"1,118",748,"1,201","1,817","1,401",780,"1,098","2,415","2,205","2,710"
2020년03월_남_30~39세,"21,358",733,956,987,569,"1,185",655,659,826,567,795,944,711,757,"1,074",844,932,"1,219","1,004",524,779,"1,399","1,492","1,747"
2020년03월_남_40~49세,"34,171","1,397","1,193","1,541","2,114","1,785",840,"2,028","1,517","1,232","1,008","2,216",889,927,"1,224",999,"1,118","1,538","1,353",688,"1,227","2,559","2,161","2,617"
2020년03월_남_50~59세,"36,633","1,446","1,285","1,275","1,425","2,026","1,064","1,775","1,541",907,"1,415","2,097",967,989,"1,411",967,"1,286","2,011","1,699","1,048","1,345","2,878","2,519","3,257"
2020년03월_남_60~69세,"23,708",788,834,574,610,"1,388",715,779,982,618,951,"1,114",693,762,"1,188",953,828,"1,509","1,340","1,066","1,106","1,595","1,609","1,706"
2020년03월_남_70~79세,"12,304",482,446,310,328,768,384,424,679,362,539,511,429,442,667,636,368,834,620,571,464,647,715,678
2020년03월_남_80~89세,"4,897",225,164,127,137,330,152,165,317,126,249,185,157,189,232,202,123,303,271,180,130,280,318,335
2020년03월_남_90~99세,400,20,10,11,14,26,10,10,26,7,26,18,11,15,15,15,8,27,29,21,12,26,26,17
2020년03월_남_100세 이상,27,1,0,3,1,0,1,1,1,1,1,3,0,0,0,1,1,0,1,1,1,3,2,4
2020년03월_여_총인구수,"220,702","8,737","8,005","8,634","9,653","12,129","5,825","9,826","10,189","6,389","8,268","12,807","5,932","5,682","8,758","6,882","7,335","12,066","10,328","6,496","8,186","16,515","14,147","17,913"
2020년03월_여_연령구간인구수,"220,702","8,737","8,005","8,634","9,653","12,129","5,825","9,826","10,189","6,389","8,268","12,807","5,932","5,682","8,758","6,882","7,335","12,066","10,328","6,496","8,186","16,515","14,147","17,913"
2020년03월_여_0~9세,"15,140",719,508,"1,024",726,953,257,607,713,571,462,"1,064",299,309,522,544,474,539,566,215,563,"1,186","1,045","1,274"
