카테고리,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 완산구 중앙동,전라북도 전주시 완산구 풍남동,전라북도 전주시 완산구 노송동,전라북도 전주시 완산구 완산동,전라북도 전주시 완산구 동서학동,전라북도 전주시 완산구 서서학동,전라북도 전주시 완산구 중화산1동,전라북도 전주시 완산구 중화산2동,전라북도 전주시 완산구 서신동,전라북도 전주시 완산구 평화1동,전라북도 전주시 완산구 평화2동,전라북도 전주시 완산구 삼천1동,전라북도 전주시 완산구 삼천2동,전라북도 전주시 완산구 삼천3동,전라북도 전주시 완산구 효자1동,전라북도 전주시 완산구 효자2동,전라북도 전주시 완산구 효자3동,전라북도 전주시 완산구 효자4동,전라북도 전주시 완산구 효자5동,전라북도 전주시 덕진구,전라북도 전주시 덕진구 진북동,전라북도 전주시 덕진구 인후1동,전라북도 전주시 덕진구 인후2동,전라북도 전주시 덕진구 인후3동,전라북도 전주시 덕진구 덕진동,전라북도 전주시 덕진구 금암1동,전라북도 전주시 덕진구 금암2동,전라북도 전주시 덕진구 팔복동,전라북도 전주시 덕진구 우아1동,전라북도 전주시 덕진구 우아2동,전라북도 전주시 덕진구 호성동,전라북도 전주시 덕진구 송천1동,전라북도 전주시 덕진구 송천2동,전라북도 전주시 덕진구 조촌동,전라북도 전주시 덕진구 여의동,전라북도 전주시 덕진구 혁신동,전라북도 전주시효자출장소
2020년03월_계_총인구수,"655,519","339,291","7,826","4,401","12,983","5,050","6,642","9,007","15,035","19,841","39,874","13,118","45,838","12,347","14,139","22,896","11,496","10,707","15,284","35,521","37,286","316,228","14,810","18,959","11,698","32,147","20,232","7,640","10,215","7,993","9,952","14,887","20,996","59,358","26,754","12,321","30,328","17,938",0
2020년03월_계_연령구간인구수,"655,519","339,291","7,826","4,401","12,983","5,050","6,642","9,007","15,035","19,841","39,874","13,118","45,838","12,347","14,139","22,896","11,496","10,707","15,284","35,521","37,286","316,228","14,810","18,959","11,698","32,147","20,232","7,640","10,215","7,993","9,952","14,887","20,996","59,358","26,754","12,321","30,328","17,938",0
2020년03월_계_0~9세,"55,721","25,471",349,112,669,196,339,372,"1,051","1,509","3,223",666,"4,185",806,750,"1,713",711,564,"1,091","3,832","3,333","30,250",729,"1,582",613,"2,863","2,153",216,495,360,700,941,"1,648","8,074","2,260",876,"3,720","3,020",0
2020년03월_계_10~19세,"73,458","37,480",501,210,873,377,484,715,"1,361","2,753","5,084",931,"5,512","1,229","1,373","2,773",991,"1,018","1,666","4,677","4,952","35,978","1,156","2,475",796,"4,245","1,650",423,691,576,824,"1,381","2,680","8,447","3,257","1,033","3,117","3,227",0
2020년03월_계_20~29세,"92,176","49,050",964,413,"1,488",525,729,"1,041","2,388","3,203","6,085","1,406","5,851","1,763","2,195","3,212","1,536","1,571","2,163","5,601","6,916","43,126","1,780","2,436","1,611","4,635","3,104","2,100","1,571",889,"1,374","2,075","2,824","7,655","3,974","1,554","3,942","1,602",0
2020년03월_계_30~39세,"82,511","40,201",789,428,"1,428",436,610,821,"1,743","2,385","4,873","1,407","5,368","1,304","1,405","2,251","1,226","1,124","1,763","4,699","6,141","42,310","1,368","2,010","1,376","4,064","3,443",947,"1,118",788,"1,304","2,066","2,186","9,236","3,039","1,697","5,221","2,447",0
2020년03월_계_40~49세,"108,230","54,570",961,556,"1,757",734,830,"1,262","2,029","3,629","7,034","1,818","7,603","1,806","1,872","3,742","1,628","1,500","2,240","6,310","7,259","53,660","1,947","3,215","1,549","6,170","3,094",889,"1,313","1,166","1,482","2,583","3,304","11,476","4,282","1,841","5,130","4,219",0
2020년03월_계_50~59세,"105,664","56,997","1,368",732,"2,133",820,"1,113","1,613","2,648","3,266","6,797","2,393","7,541","2,339","2,749","4,301","1,886","1,902","2,617","5,467","5,312","48,667","2,468","2,879","1,938","4,953","2,789","1,132","1,658","1,536","1,707","2,641","3,677","8,013","4,658","2,163","4,400","2,055",0
2020년03월_계_60~69세,"73,555","40,599","1,400",886,"2,171",879,"1,253","1,591","2,111","1,814","3,674","2,158","5,583","1,721","2,241","2,648","1,794","1,637","2,036","3,020","1,982","32,956","2,325","2,220","1,861","2,672","2,052",935,"1,644","1,375","1,442","1,748","2,674","3,830","2,958","1,613","2,762",845,0
2020년03월_계_70~79세,"42,376","22,906",975,679,"1,550",699,827,"1,093","1,111",845,"2,013","1,513","2,782",943,"1,081","1,385","1,182",982,"1,101","1,232",913,"19,470","1,965","1,493","1,358","1,723","1,316",660,"1,215",912,730,930,"1,289","1,718","1,538",945,"1,339",339,0
2020년03월_계_80~89세,"19,041","10,426",455,319,786,336,396,443,526,376,972,715,"1,240",372,418,747,468,350,521,569,417,"8,615",946,569,535,727,539,300,462,348,341,464,630,775,690,530,607,152,0
2020년03월_계_90~99세,"2,624","1,507",55,61,113,47,56,50,64,58,115,109,166,61,54,122,70,56,85,110,55,"1,117",118,70,55,90,74,37,47,38,46,57,81,132,97,61,82,32,0
2020년03월_계_100세 이상,163,84,9,5,15,1,5,6,3,3,4,2,7,3,1,2,4,3,1,4,6,79,8,10,6,5,18,1,1,5,2,1,3,2,1,8,8,0,0
2020년03월_남_총인구수,"322,755","165,361","3,946","2,196","6,306","2,515","3,305","4,376","7,254","9,867","19,506","6,305","22,189","6,008","6,813","11,135","5,531","5,103","7,254","17,223","18,529","157,394","7,283","9,145","5,861","15,725","10,242","4,078","5,054","4,337","5,003","7,678","10,134","29,440","13,084","6,313","15,291","8,726",0
2020년03월_남_연령구간인구수,"322,755","165,361","3,946","2,196","6,306","2,515","3,305","4,376","7,254","9,867","19,506","6,305","22,189","6,008","6,813","11,135","5,531","5,103","7,254","17,223","18,529","157,394","7,283","9,145","5,861","15,725","10,242","4,078","5,054","4,337","5,003","7,678","10,134","29,440","13,084","6,313","15,291","8,726",0
2020년03월_남_0~9세,"28,517","13,138",191,62,344,107,175,201,560,756,"1,651",375,"2,151",412,369,858,378,290,571,"2,001","1,686","15,379",375,757,311,"1,429","1,106",106,260,190,340,466,825,"4,145","1,147",437,"1,961","1,524",0
2020년03월_남_10~19세,"37,982","19,444",246,115,467,205,266,355,733,"1,424","2,590",485,"2,841",643,673,"1,480",533,518,842,"2,448","2,580","18,538",632,"1,294",408,"2,157",872,208,355,303,415,696,"1,335","4,346","1,689",555,"1,608","1,665",0
2020년03월_남_20~29세,"48,494","25,525",531,210,778,272,371,556,"1,184","1,665","3,185",753,"3,070",946,"1,197","1,769",825,816,"1,136","2,803","3,458","22,969",942,"1,292",847,"2,404","1,688","1,194",826,520,721,"1,090","1,562","4,046","2,056",862,"2,064",855,0
2020년03월_남_30~39세,"41,642","20,380",431,254,731,248,336,453,890,"1,220","2,425",767,"2,642",676,736,"1,102",618,578,881,"2,275","3,117","21,262",742,953,767,"1,995","1,764",559,622,486,714,"1,133","1,059","4,397","1,515",918,"2,657",981,0
2020년03월_남_40~49세,"52,995","26,081",520,337,929,406,445,685,922,"1,692","3,274",956,"3,583",845,863,"1,700",813,719,"1,050","2,922","3,420","26,914","1,029","1,527",836,"2,946","1,683",540,715,735,782,"1,350","1,539","5,556","2,011",995,"2,626","2,044",0
2020년03월_남_50~59세,"51,779","27,392",695,373,"1,031",439,565,795,"1,220","1,649","3,330","1,141","3,575","1,105","1,225","2,059",854,865,"1,125","2,584","2,762","24,387","1,213","1,382",978,"2,509","1,357",591,808,843,836,"1,451","1,758","4,039","2,254","1,139","2,177","1,052",0
2020년03월_남_60~69세,"35,073","19,204",653,415,993,420,617,689,"1,005",904,"1,771",999,"2,646",820,"1,085","1,304",819,725,926,"1,461",952,"15,869","1,088","1,007",850,"1,269",944,446,716,713,700,886,"1,288","1,888","1,462",823,"1,380",409,0
2020년03월_남_70~79세,"18,843","10,190",479,291,697,297,379,486,510,407,869,593,"1,235",423,520,598,502,453,505,541,405,"8,653",821,690,614,751,601,292,543,417,353,424,539,752,701,410,595,150,0
2020년03월_남_80~89세,"6,802","3,663",184,125,305,111,140,148,209,137,377,212,411,127,137,231,175,125,200,166,143,"3,139",399,230,236,245,203,130,195,120,129,169,212,241,227,161,205,37,0
2020년03월_남_90~99세,599,328,15,11,29,10,10,6,20,13,34,23,35,9,8,34,13,14,18,21,5,271,40,13,14,19,20,11,14,9,12,13,16,29,22,13,17,9,0
2020년03월_남_100세 이상,29,16,1,3,2,0,1,2,1,0,0,1,0,2,0,0,1,0,0,1,1,13,2,0,0,1,4,1,0,1,1,0,1,1,0,0,1,0,0
2020년03월_여_총인구수,"332,764","173,930","3,880","2,205","6,677","2,535","3,337","4,631","7,781","9,974","20,368","6,813","23,649","6,339","7,326","11,761","5,965","5,604","8,030","18,298","18,757","158,834","7,527","9,814","5,837","16,422","9,990","3,562","5,161","3,656","4,949","7,209","10,862","29,918","13,670","6,008","15,037","9,212",0
2020년03월_여_연령구간인구수,"332,764","173,930","3,880","2,205","6,677","2,535","3,337","4,631","7,781","9,974","20,368","6,813","23,649","6,339","7,326","11,761","5,965","5,604","8,030","18,298","18,757","158,834","7,527","9,814","5,837","16,422","9,990","3,562","5,161","3,656","4,949","7,209","10,862","29,918","13,670","6,008","15,037","9,212",0
