카테고리,부산광역시 해운대구,부산광역시 해운대구 우제1동,부산광역시 해운대구 우제2동,부산광역시 해운대구 우제3동,부산광역시 해운대구 중제1동,부산광역시 해운대구 중제2동,부산광역시 해운대구 좌제1동,부산광역시 해운대구 좌제2동,부산광역시 해운대구 좌제3동,부산광역시 해운대구 좌제4동,부산광역시 해운대구 송정동,부산광역시 해운대구 반여제1동,부산광역시 해운대구 반여제2동,부산광역시 해운대구 반여제3동,부산광역시 해운대구 반여제4동,부산광역시 해운대구 반송제1동,부산광역시 해운대구 반송제2동,부산광역시 해운대구 재송제1동,부산광역시 해운대구 재송제2동
2020년03월_계_총인구수,"405,155","23,469","31,243","28,473","24,203","15,897","18,474","32,622","16,879","23,935","10,219","35,504","13,691","9,391","16,585","14,944","24,900","38,277","26,449"
2020년03월_계_연령구간인구수,"405,155","23,469","31,243","28,473","24,203","15,897","18,474","32,622","16,879","23,935","10,219","35,504","13,691","9,391","16,585","14,944","24,900","38,277","26,449"
2020년03월_계_0~9세,"29,522","1,361","2,899","2,803","1,759","1,261","1,333","2,245","1,225","1,838",569,"2,729",548,316,"1,352",432,"1,044","4,277","1,531"
2020년03월_계_10~19세,"39,311","1,663","3,213","3,154","2,252","1,141","2,184","3,043","1,903","3,187",553,"4,386",771,593,"1,613",893,"1,666","4,934","2,162"
2020년03월_계_20~29세,"49,937","3,110","3,591","3,000","3,077","1,785","2,815","5,152","2,057","3,124","1,261","4,226","1,617","1,074","2,238","1,766","2,606","4,082","3,356"
2020년03월_계_30~39세,"48,091","3,082","3,965","3,424","2,908","2,280","2,156","4,592","1,844","2,423","1,361","3,718","1,636",891,"2,118","1,257","2,185","5,054","3,197"
2020년03월_계_40~49세,"67,128","3,588","5,390","4,937","4,174","2,698","3,381","5,216","2,659","4,311","1,368","6,477","1,891","1,241","2,651","1,933","3,411","7,752","4,050"
2020년03월_계_50~59세,"71,115","4,001","5,369","4,854","4,256","2,804","3,139","5,786","3,102","4,376","1,814","6,290","2,570","1,854","3,073","2,860","4,542","5,445","4,980"
2020년03월_계_60~69세,"55,690","3,580","3,771","3,624","3,155","2,366","1,753","3,557","2,113","2,530","1,840","4,501","2,486","1,828","2,265","2,808","4,997","4,075","4,441"
2020년03월_계_70~79세,"30,204","2,174","2,054","1,831","1,776","1,104","1,031","1,924","1,198","1,352",961,"2,167","1,544","1,121",943,"2,079","3,080","1,932","1,933"
2020년03월_계_80~89세,"12,357",776,845,732,747,397,596,996,690,703,430,877,555,414,288,788,"1,187",632,704
2020년03월_계_90~99세,"1,644",107,139,113,84,53,84,110,88,91,58,130,58,54,42,101,156,88,88
2020년03월_계_100세 이상,156,27,7,1,15,8,2,1,0,0,4,3,15,5,2,27,26,6,7
2020년03월_남_총인구수,"195,405","11,239","14,959","13,414","11,693","7,583","8,659","15,069","7,983","11,441","4,939","17,644","6,669","4,587","8,193","7,514","12,138","18,807","12,874"
2020년03월_남_연령구간인구수,"195,405","11,239","14,959","13,414","11,693","7,583","8,659","15,069","7,983","11,441","4,939","17,644","6,669","4,587","8,193","7,514","12,138","18,807","12,874"
2020년03월_남_0~9세,"15,378",669,"1,521","1,451",927,646,680,"1,145",626,985,309,"1,431",281,170,699,221,544,"2,272",801
2020년03월_남_10~19세,"20,276",852,"1,645","1,570","1,168",577,"1,160","1,582",990,"1,612",294,"2,303",392,311,821,482,852,"2,564","1,101"
2020년03월_남_20~29세,"26,118","1,552","1,898","1,574","1,585",918,"1,341","2,411","1,102","1,664",686,"2,306",885,576,"1,225",984,"1,456","2,117","1,838"
2020년03월_남_30~39세,"23,421","1,529","1,802","1,454","1,420","1,123",969,"2,139",885,"1,139",722,"1,792",912,510,"1,061",722,"1,226","2,345","1,671"
2020년03월_남_40~49세,"31,889","1,737","2,488","2,211","1,945","1,301","1,470","2,283","1,173","1,894",722,"3,043",995,667,"1,276","1,101","1,860","3,720","2,003"
2020년03월_남_50~59세,"33,845","1,880","2,546","2,248","2,056","1,257","1,545","2,623","1,454","2,074",800,"3,164","1,244",900,"1,443","1,473","2,212","2,670","2,256"
2020년03월_남_60~69세,"26,423","1,657","1,762","1,727","1,503","1,121",849,"1,697",994,"1,240",856,"2,249","1,121",807,"1,131","1,374","2,328","1,925","2,082"
2020년03월_남_70~79세,"13,287","1,014",941,856,767,484,391,797,491,566,404,"1,011",649,493,454,849,"1,279",950,891
2020년03월_남_80~89세,"4,354",316,323,292,294,138,220,367,238,246,138,312,175,139,75,282,348,230,221
2020년03월_남_90~99세,372,25,31,31,25,16,33,25,30,21,8,30,13,13,7,16,27,12,9
2020년03월_남_100세 이상,42,8,2,0,3,2,1,0,0,0,0,3,2,1,1,10,6,2,1
2020년03월_여_총인구수,"209,750","12,230","16,284","15,059","12,510","8,314","9,815","17,553","8,896","12,494","5,280","17,860","7,022","4,804","8,392","7,430","12,762","19,470","13,575"
2020년03월_여_연령구간인구수,"209,750","12,230","16,284","15,059","12,510","8,314","9,815","17,553","8,896","12,494","5,280","17,860","7,022","4,804","8,392","7,430","12,762","19,470","13,575"
2020년03월_여_0~9세,"14,144",692,"1,378","1,352",832,615,653,"1,100",599,853,260,"1,298",267,146,653,211,500,"2,005",730
2020년03월_여_10~19세,"19,035",811,"1,568","1,584","1,084",564,"1,024","1,461",913,"1,575",259,"2,083",379,282,792,411,814,"2,370","1,061"
2020년03월_여_20~29세,"23,819","1,558","1,693","1,426","1,492",867,"1,474","2,741",955,"1,460",575,"1,920",732,498,"1,013",782,"1,150","1,965","1,518"
2020년03월_여_30~39세,"24,670","1,553","2,163","1,970","1,488","1,157","1,187","2,453",959,"1,284",639,"1,926",724,381,"1,057",535,959,"2,709","1,526"
2020년03월_여_40~49세,"35,239","1,851","2,902","2,726","2,229","1,397","1,911","2,933","1,486","2,417",646,"3,434",896,574,"1,375",832,"1,551","4,032","2,047"
2020년03월_여_50~59세,"37,270","2,121","2,823","2,606","2,200","1,547","1,594","3,163","1,648","2,302","1,014","3,126","1,326",954,"1,630","1,387","2,330","2,775","2,724"
2020년03월_여_60~69세,"29,267","1,923","2,009","1,897","1,652","1,245",904,"1,860","1,119","1,290",984,"2,252","1,365","1,021","1,134","1,434","2,669","2,150","2,359"
2020년03월_여_70~79세,"16,917","1,160","1,113",975,"1,009",620,640,"1,127",707,786,557,"1,156",895,628,489,"1,230","1,801",982,"1,042"
2020년03월_여_80~89세,"8,003",460,522,440,453,259,376,629,452,457,292,565,380,275,213,506,839,402,483
2020년03월_여_90~99세,"1,272",82,108,82,59,37,51,85,58,70,50,100,45,41,35,85,129,76,79
2020년03월_여_100세 이상,114,19,5,1,12,6,1,1,0,0,4,0,13,4,1,17,20,4,6
2020년04월_계_총인구수,"405,268","23,462","31,288","28,539","24,414","15,921","18,456","32,572","16,825","23,903","10,181","35,655","13,666","9,335","16,602","14,908","24,861","38,312","26,368"
