카테고리,서울특별시 마포구,서울특별시 마포구 아현동,서울특별시 마포구 공덕동,서울특별시 마포구 도화동,서울특별시 마포구 용강동,서울특별시 마포구 대흥동,서울특별시 마포구 염리동,서울특별시 마포구 신수동,서울특별시 마포구 서강동,서울특별시 마포구 서교동,서울특별시 마포구 합정동,서울특별시 마포구 망원제1동,서울특별시 마포구 망원제2동,서울특별시 마포구 연남동,서울특별시 마포구 성산제1동,서울특별시 마포구 성산제2동,서울특별시 마포구 상암동
2020년04월_계_0~9세,"26,103","2,645","2,395","1,573","2,354",652,942,"1,723","1,969",899,"1,252","1,157","1,275",686,"1,060","2,757","2,764"
2020년04월_계_10~19세,"29,337","1,588","2,544","1,693","1,981",924,"1,146","1,980","1,800","1,301","1,024","1,384","1,675",860,"1,514","3,628","4,295"
2020년04월_계_20~29세,"61,227","3,103","6,704","3,084","2,321","3,141","1,806","3,557","4,691","5,329","3,610","3,548","2,834","3,137","3,216","6,792","4,354"
2020년04월_계_30~39세,"65,335","5,158","6,655","3,737","3,816","2,222","1,934","3,839","4,230","5,035","3,841","4,040","3,051","3,186","3,509","6,964","4,118"
2020년04월_계_40~49세,"62,253","3,994","5,934","3,347","4,378","2,041","2,200","3,993","4,149","3,742","2,689","3,357","3,317","2,396","3,460","6,867","6,389"
2020년04월_계_50~59세,"54,393","3,752","6,728","3,533","2,926","1,942","1,811","3,532","3,677","3,110","2,413","3,050","2,794","2,055","2,879","5,730","4,461"
2020년04월_계_60~69세,"38,648","2,533","4,470","2,660","2,096","1,392","1,159","2,388","2,349","2,225","1,934","2,409","2,145","1,701","2,139","4,127","2,921"
2020년04월_계_70~79세,"24,444","1,212","2,732","1,568","1,283",897,848,"1,541","1,410","1,554","1,222","1,618","1,455","1,115","1,361","2,888","1,740"
2020년04월_계_80~89세,"10,772",631,"1,243",834,629,426,369,661,663,734,521,624,520,506,517,"1,106",788
2020년04월_계_90~99세,"1,590",100,170,144,77,77,46,96,96,127,80,79,70,83,62,180,103
2020년04월_계_100세 이상,324,51,40,27,10,23,12,17,15,24,17,6,16,18,16,14,18
2020년04월_남_총인구수,"176,856","11,604","18,766","10,616","10,333","6,695","5,952","11,376","11,921","11,068","8,615","10,000","9,087","7,395","9,293","18,843","15,292"
2020년04월_남_연령구간인구수,"176,856","11,604","18,766","10,616","10,333","6,695","5,952","11,376","11,921","11,068","8,615","10,000","9,087","7,395","9,293","18,843","15,292"
2020년04월_남_0~9세,"13,247","1,260","1,242",836,"1,127",349,479,888,"1,015",461,661,589,655,329,541,"1,378","1,437"
2020년04월_남_10~19세,"14,818",750,"1,262",895,978,482,563,"1,076",904,642,476,673,814,459,770,"1,893","2,181"
2020년04월_남_20~29세,"27,901","1,383","2,975","1,479","1,091","1,427",895,"1,826","2,243","2,323","1,611","1,646","1,338","1,431","1,497","2,765","1,971"
2020년04월_남_30~39세,"30,929","2,413","3,259","1,794","1,769","1,132",938,"1,853","1,971","2,289","1,813","1,913","1,461","1,547","1,672","3,220","1,885"
2020년04월_남_40~49세,"30,315","2,014","2,946","1,606","2,117","1,043","1,130","1,855","1,990","1,818","1,300","1,643","1,631","1,197","1,644","3,302","3,079"
2020년04월_남_50~59세,"26,773","1,802","3,283","1,706","1,446","1,042",903,"1,795","1,765","1,504","1,137","1,525","1,384",964,"1,381","2,827","2,309"
2020년04월_남_60~69세,"17,864","1,195","2,163","1,259","1,006",663,543,"1,142","1,143",995,867,"1,059",931,774,964,"1,851","1,309"
2020년04월_남_70~79세,"10,343",501,"1,155",690,537,364,340,626,598,679,529,700,636,467,578,"1,164",779
2020년04월_남_80~89세,"4,146",242,428,308,240,169,147,277,266,314,194,229,209,188,223,402,310
2020년04월_남_90~99세,441,30,44,37,19,20,12,33,25,34,24,23,23,33,18,36,30
2020년04월_남_100세 이상,79,14,9,6,3,4,2,5,1,9,3,0,5,6,5,5,2
2020년04월_여_총인구수,"197,570","13,163","20,849","11,584","11,538","7,042","6,321","11,951","13,128","13,012","9,988","11,272","10,065","8,348","10,440","22,210","16,659"
