카테고리,경기도 시흥시,경기도 시흥시 대야동,경기도 시흥시 신천동,경기도 시흥시 신현동,경기도 시흥시 은행동,경기도 시흥시 매화동,경기도 시흥시 목감동,경기도 시흥시 군자동,경기도 시흥시 월곶동,경기도 시흥시 정왕본동,경기도 시흥시 정왕1동,경기도 시흥시 정왕2동,경기도 시흥시 정왕3동,경기도 시흥시 정왕4동,경기도 시흥시 배곧동,경기도 시흥시 과림동,경기도 시흥시 연성동,경기도 시흥시 장곡동,경기도 시흥시 능곡동,경기도 시흥시 배곧1동,경기도 시흥시 배곧2동
2020년01월_계_총인구수,"475,396","34,479","37,527","10,354","48,288","12,496","43,182","22,993","15,294","20,713","22,790","32,010","23,092","21,712","69,189","1,992","24,420","17,490","17,375",,
2020년01월_계_연령구간인구수,"475,396","34,479","37,527","10,354","48,288","12,496","43,182","22,993","15,294","20,713","22,790","32,010","23,092","21,712","69,189","1,992","24,420","17,490","17,375",,
2020년01월_계_0~9세,"46,857","2,390","1,960",527,"5,809",787,"6,533","1,816","1,513","1,272","1,534","2,719","1,855","1,816","11,266",51,"1,950","1,662","1,397",,
2020년01월_계_10~19세,"49,923","3,153","3,737",836,"5,301","1,313","3,453","2,366","1,469","1,151","2,060","3,807","2,241","2,897","7,441",64,"3,267","2,977","2,390",,
2020년01월_계_20~29세,"66,247","5,387","6,041","1,492","6,422","1,745","4,266","3,016","1,643","3,202","3,340","5,157","3,134","3,597","8,954",158,"3,682","2,489","2,522",,
2020년01월_계_30~39세,"73,951","4,715","4,041","1,089","7,993","1,190","9,120","3,024","2,342","4,451","3,743","4,395","3,393","2,570","15,317",188,"2,659","1,766","1,955",,
2020년01월_계_40~49세,"86,826","5,026","5,872","1,461","8,157","2,136","7,330","4,041","3,078","4,316","4,741","6,342","4,672","4,050","13,595",199,"4,721","3,791","3,298",,
2020년01월_계_50~59세,"83,257","7,075","8,349","2,328","8,151","2,515","5,847","4,211","2,504","3,801","4,366","5,884","4,484","4,247","8,122",483,"4,652","3,152","3,086",,
2020년01월_계_60~69세,"40,752","4,015","4,529","1,482","3,998","1,503","4,063","2,591","1,594","1,594","1,909","2,164","2,029","1,376","3,187",516,"1,842",890,"1,470",,
2020년01월_계_70~79세,"18,151","1,719","2,019",733,"1,599",837,"1,732","1,266",781,651,758,991,839,722,939,229,"1,060",482,794,,
2020년01월_계_80~89세,"8,178",861,841,355,746,419,719,575,321,238,296,501,371,391,320,82,509,241,392,,
2020년01월_계_90~99세,"1,164",130,119,42,107,47,105,77,47,35,40,49,73,44,47,20,73,38,71,,
2020년01월_계_100세 이상,90,8,19,9,5,4,14,10,2,2,3,1,1,2,1,2,5,2,0,,
2020년01월_남_총인구수,"248,693","17,552","19,364","5,451","24,233","6,518","21,840","12,039","7,983","13,005","13,328","17,089","12,939","10,771","35,539","1,214","12,438","8,737","8,653",,
2020년01월_남_연령구간인구수,"248,693","17,552","19,364","5,451","24,233","6,518","21,840","12,039","7,983","13,005","13,328","17,089","12,939","10,771","35,539","1,214","12,438","8,737","8,653",,
2020년01월_남_0~9세,"23,947","1,238","1,042",270,"3,004",385,"3,286",938,774,643,768,"1,382",930,925,"5,709",31,"1,007",872,743,,
2020년01월_남_10~19세,"25,701","1,657","1,949",435,"2,708",691,"1,778","1,235",771,596,"1,062","1,956","1,192","1,489","3,735",35,"1,705","1,520","1,187",,
2020년01월_남_20~29세,"35,932","2,817","3,262",830,"3,311",979,"2,147","1,672",875,"2,083","2,063","2,927","1,792","1,833","4,751",99,"1,931","1,272","1,288",,
2020년01월_남_30~39세,"39,654","2,499","2,205",606,"3,944",633,"4,527","1,692","1,229","3,024","2,349","2,504","2,020","1,301","7,822",127,"1,359",801,"1,012",,
2020년01월_남_40~49세,"46,452","2,525","3,022",761,"4,104","1,130","4,028","2,221","1,702","2,898","2,922","3,396","2,768","1,900","7,258",140,"2,304","1,795","1,578",,
2020년01월_남_50~59세,"44,417","3,620","4,335","1,250","4,125","1,384","2,943","2,211","1,341","2,395","2,642","3,154","2,581","2,185","4,085",304,"2,504","1,736","1,622",,
2020년01월_남_60~69세,"21,567","2,133","2,405",812,"2,076",806,"2,059","1,299",788,939,"1,092","1,165","1,138",713,"1,652",306,973,457,754,,
2020년01월_남_70~79세,"8,105",764,881,346,724,365,828,559,380,332,325,423,377,283,414,131,446,185,342,,
2020년01월_남_80~89세,"2,646",274,230,122,216,130,221,196,112,88,97,170,132,127,103,34,191,86,117,,
2020년01월_남_90~99세,248,24,31,14,20,14,19,14,10,7,7,12,8,15,10,5,16,12,10,,
2020년01월_남_100세 이상,24,1,2,5,1,1,4,2,1,0,1,0,1,0,0,2,2,1,0,,
2020년01월_여_총인구수,"226,703","16,927","18,163","4,903","24,055","5,978","21,342","10,954","7,311","7,708","9,462","14,921","10,153","10,941","33,650",778,"11,982","8,753","8,722",,
2020년01월_여_연령구간인구수,"226,703","16,927","18,163","4,903","24,055","5,978","21,342","10,954","7,311","7,708","9,462","14,921","10,153","10,941","33,650",778,"11,982","8,753","8,722",,
2020년01월_여_0~9세,"22,910","1,152",918,257,"2,805",402,"3,247",878,739,629,766,"1,337",925,891,"5,557",20,943,790,654,,
2020년01월_여_10~19세,"24,222","1,496","1,788",401,"2,593",622,"1,675","1,131",698,555,998,"1,851","1,049","1,408","3,706",29,"1,562","1,457","1,203",,
2020년01월_여_20~29세,"30,315","2,570","2,779",662,"3,111",766,"2,119","1,344",768,"1,119","1,277","2,230","1,342","1,764","4,203",59,"1,751","1,217","1,234",,
2020년01월_여_30~39세,"34,297","2,216","1,836",483,"4,049",557,"4,593","1,332","1,113","1,427","1,394","1,891","1,373","1,269","7,495",61,"1,300",965,943,,
2020년01월_여_40~49세,"40,374","2,501","2,850",700,"4,053","1,006","3,302","1,820","1,376","1,418","1,819","2,946","1,904","2,150","6,337",59,"2,417","1,996","1,720",,
2020년01월_여_50~59세,"38,840","3,455","4,014","1,078","4,026","1,131","2,904","2,000","1,163","1,406","1,724","2,730","1,903","2,062","4,037",179,"2,148","1,416","1,464",,
2020년01월_여_60~69세,"19,185","1,882","2,124",670,"1,922",697,"2,004","1,292",806,655,817,999,891,663,"1,535",210,869,433,716,,
2020년01월_여_70~79세,"10,046",955,"1,138",387,875,472,904,707,401,319,433,568,462,439,525,98,614,297,452,,
2020년01월_여_80~89세,"5,532",587,611,233,530,289,498,379,209,150,199,331,239,264,217,48,318,155,275,,
2020년01월_여_90~99세,916,106,88,28,87,33,86,63,37,28,33,37,65,29,37,15,57,26,61,,
2020년01월_여_100세 이상,66,7,17,4,4,3,10,8,1,2,2,1,0,2,1,0,3,1,0,,
2020년02월_계_총인구수,"476,481","35,668","37,458","10,311","48,309","12,477","43,151","22,873","15,303","20,629","22,708","31,972","23,050","21,693","69,566","1,984","24,436","17,427","17,466",,
2020년02월_계_연령구간인구수,"476,481","35,668","37,458","10,311","48,309","12,477","43,151","22,873","15,303","20,629","22,708","31,972","23,050","21,693","69,566","1,984","24,436","17,427","17,466",,
2020년02월_계_0~9세,"46,874","2,657","1,926",527,"5,780",786,"6,488","1,791","1,510","1,249","1,490","2,683","1,838","1,804","11,283",50,"1,945","1,642","1,425",,
2020년02월_계_10~19세,"49,821","3,205","3,688",828,"5,301","1,306","3,444","2,346","1,470","1,146","2,053","3,792","2,220","2,871","7,520",62,"3,243","2,948","2,378",,
2020년02월_계_20~29세,"66,225","5,505","6,054","1,480","6,365","1,742","4,249","2,995","1,651","3,175","3,338","5,145","3,111","3,588","8,981",156,"3,689","2,482","2,519",,
2020년02월_계_30~39세,"73,929","5,071","4,037","1,064","7,953","1,184","9,072","2,981","2,322","4,411","3,694","4,350","3,372","2,555","15,303",193,"2,637","1,745","1,985",,
2020년02월_계_40~49세,"87,124","5,227","5,837","1,448","8,198","2,121","7,348","4,024","3,083","4,297","4,726","6,342","4,686","4,039","13,759",195,"4,705","3,787","3,302",,
2020년02월_계_50~59세,"83,506","7,126","8,351","2,327","8,167","2,510","5,860","4,194","2,528","3,805","4,378","5,921","4,479","4,284","8,151",481,"4,690","3,150","3,104",,
2020년02월_계_60~69세,"41,264","4,120","4,562","1,501","4,067","1,513","4,109","2,614","1,584","1,612","1,931","2,183","2,051","1,396","3,237",519,"1,874",901,"1,490",,
2020년02월_계_70~79세,"18,216","1,745","2,020",730,"1,612",841,"1,731","1,268",783,652,758,997,842,720,951,225,"1,057",483,801,,
2020년02월_계_80~89세,"8,261",875,846,357,756,421,725,572,322,245,296,509,379,391,332,81,513,249,392,,
2020년02월_계_90~99세,"1,172",129,118,41,105,49,111,78,48,34,42,49,71,43,48,20,78,39,69,,
2020년02월_계_100세 이상,89,8,19,8,5,4,14,10,2,3,2,1,1,2,1,2,5,1,1,,
