카테고리,광주광역시 서구,광주광역시 서구 양동,광주광역시 서구 양3동,광주광역시 서구 농성1동,광주광역시 서구 농성2동,광주광역시 서구 광천동,광주광역시 서구 유덕동,광주광역시 서구 치평동,광주광역시 서구 상무1동,광주광역시 서구 상무2동,광주광역시 서구 화정1동,광주광역시 서구 화정2동,광주광역시 서구 화정3동,광주광역시 서구 화정4동,광주광역시 서구 서창동,광주광역시 서구 금호1동,광주광역시 서구 금호2동,광주광역시 서구 풍암동,광주광역시 서구 동천동
2020년03월_계_총인구수,"300,292","4,159","4,855","11,204","5,267","8,946","10,850","30,930","25,092","24,353","15,841","21,301","10,622","16,118","5,238","21,081","29,527","38,155","16,753"
2020년03월_계_연령구간인구수,"300,292","4,159","4,855","11,204","5,267","8,946","10,850","30,930","25,092","24,353","15,841","21,301","10,622","16,118","5,238","21,081","29,527","38,155","16,753"
2020년03월_계_0~9세,"23,043",113,430,596,196,600,959,"2,293","1,732","1,264",940,"2,488",613,"1,147",310,"1,373","2,828","3,376","1,785"
2020년03월_계_10~19세,"33,126",171,364,725,298,668,"1,332","3,325","2,581","1,855","1,167","2,384","1,119","1,696",389,"2,281","4,650","5,564","2,557"
2020년03월_계_20~29세,"45,271",443,544,"1,698",904,"1,159","1,670","5,479","4,615","4,281","2,955","2,572","1,597","2,221",626,"3,167","4,086","5,374","1,880"
2020년03월_계_30~39세,"38,291",392,663,"1,590",670,"1,091","1,509","4,476","3,691","3,108","2,418","3,248","1,179","1,813",552,"2,204","3,275","4,491","1,921"
2020년03월_계_40~49세,"50,283",481,754,"1,606",691,"1,402","1,973","5,123","4,111","3,402","2,306","3,577","1,497","2,315",640,"3,148","5,950","7,805","3,502"
2020년03월_계_50~59세,"49,766",722,706,"1,765",940,"1,650","1,699","5,358","3,947","4,205","2,341","3,111","1,831","2,818","1,096","4,093","4,958","6,002","2,524"
2020년03월_계_60~69세,"32,889",763,747,"1,532",780,"1,246",898,"2,574","2,493","3,279","1,869","2,342","1,548","2,501",846,"2,757","2,164","2,996","1,554"
2020년03월_계_70~79세,"18,670",748,472,"1,157",530,759,519,"1,490","1,359","2,024","1,196","1,128",848,"1,088",474,"1,358","1,096","1,685",739
2020년03월_계_80~89세,"7,727",281,147,466,229,305,252,733,489,806,564,378,331,445,250,618,441,743,249
2020년03월_계_90~99세,"1,154",38,28,65,29,56,38,77,71,115,83,70,55,70,49,78,72,118,42
2020년03월_계_100세 이상,72,7,0,4,0,10,1,2,3,14,2,3,4,4,6,4,7,1,0
2020년03월_남_총인구수,"147,355","2,048","2,392","5,568","2,718","4,570","5,563","14,852","12,475","11,951","7,567","10,701","5,226","7,817","2,755","10,086","14,366","18,732","7,968"
2020년03월_남_연령구간인구수,"147,355","2,048","2,392","5,568","2,718","4,570","5,563","14,852","12,475","11,951","7,567","10,701","5,226","7,817","2,755","10,086","14,366","18,732","7,968"
2020년03월_남_0~9세,"11,955",58,233,305,108,334,520,"1,151",850,659,482,"1,332",331,602,158,741,"1,473","1,729",889
2020년03월_남_10~19세,"17,375",92,189,397,170,328,707,"1,727","1,266",944,614,"1,386",605,944,214,"1,222","2,347","2,926","1,297"
2020년03월_남_20~29세,"23,297",242,299,841,457,601,895,"2,678","2,350","2,150","1,326","1,403",900,"1,208",369,"1,671","2,157","2,739","1,011"
2020년03월_남_30~39세,"19,331",214,342,857,378,587,809,"2,201","1,960","1,683","1,225","1,561",615,914,301,"1,076","1,531","2,209",868
2020년03월_남_40~49세,"24,253",285,422,826,384,790,979,"2,305","2,062","1,743","1,209","1,778",715,"1,055",345,"1,409","2,670","3,622","1,654"
2020년03월_남_50~59세,"24,358",375,330,908,472,848,918,"2,616","1,969","2,030","1,109","1,488",835,"1,231",607,"1,866","2,503","3,039","1,214"
2020년03월_남_60~69세,"15,489",347,328,700,381,593,441,"1,260","1,173","1,583",810,"1,082",710,"1,189",447,"1,320","1,018","1,452",655
2020년03월_남_70~79세,"8,318",324,198,535,252,374,192,623,648,872,546,527,389,502,228,590,486,724,308
2020년03월_남_80~89세,"2,718",100,44,184,109,95,94,271,185,260,223,133,116,155,78,174,164,267,66
2020년03월_남_90~99세,252,9,7,14,7,18,8,19,12,26,23,11,10,17,8,17,16,24,6
2020년03월_남_100세 이상,9,2,0,1,0,2,0,1,0,1,0,0,0,0,0,0,1,1,0
2020년03월_여_총인구수,"152,937","2,111","2,463","5,636","2,549","4,376","5,287","16,078","12,617","12,402","8,274","10,600","5,396","8,301","2,483","10,995","15,161","19,423","8,785"
2020년03월_여_연령구간인구수,"152,937","2,111","2,463","5,636","2,549","4,376","5,287","16,078","12,617","12,402","8,274","10,600","5,396","8,301","2,483","10,995","15,161","19,423","8,785"
2020년03월_여_0~9세,"11,088",55,197,291,88,266,439,"1,142",882,605,458,"1,156",282,545,152,632,"1,355","1,647",896
2020년03월_여_10~19세,"15,751",79,175,328,128,340,625,"1,598","1,315",911,553,998,514,752,175,"1,059","2,303","2,638","1,260"
2020년03월_여_20~29세,"21,974",201,245,857,447,558,775,"2,801","2,265","2,131","1,629","1,169",697,"1,013",257,"1,496","1,929","2,635",869
2020년03월_여_30~39세,"18,960",178,321,733,292,504,700,"2,275","1,731","1,425","1,193","1,687",564,899,251,"1,128","1,744","2,282","1,053"
2020년03월_여_40~49세,"26,030",196,332,780,307,612,994,"2,818","2,049","1,659","1,097","1,799",782,"1,260",295,"1,739","3,280","4,183","1,848"
2020년03월_여_50~59세,"25,408",347,376,857,468,802,781,"2,742","1,978","2,175","1,232","1,623",996,"1,587",489,"2,227","2,455","2,963","1,310"
2020년03월_여_60~69세,"17,400",416,419,832,399,653,457,"1,314","1,320","1,696","1,059","1,260",838,"1,312",399,"1,437","1,146","1,544",899
2020년03월_여_70~79세,"10,352",424,274,622,278,385,327,867,711,"1,152",650,601,459,586,246,768,610,961,431
2020년03월_여_80~89세,"5,009",181,103,282,120,210,158,462,304,546,341,245,215,290,172,444,277,476,183
2020년03월_여_90~99세,902,29,21,51,22,38,30,58,59,89,60,59,45,53,41,61,56,94,36
2020년03월_여_100세 이상,63,5,0,3,0,8,1,1,3,13,2,3,4,4,6,4,6,0,0
2020년04월_계_총인구수,"300,093","4,158","4,854","11,223","5,232","8,947","10,859","30,786","25,055","24,319","15,864","21,291","10,594","16,113","5,554","21,017","29,448","38,078","16,701"
2020년04월_계_연령구간인구수,"300,093","4,158","4,854","11,223","5,232","8,947","10,859","30,786","25,055","24,319","15,864","21,291","10,594","16,113","5,554","21,017","29,448","38,078","16,701"
2020년04월_계_0~9세,"22,960",113,428,613,195,601,951,"2,268","1,726","1,245",929,"2,492",609,"1,157",351,"1,365","2,817","3,342","1,758"
2020년04월_계_10~19세,"32,923",173,368,714,286,668,"1,335","3,270","2,561","1,850","1,155","2,405","1,108","1,693",404,"2,252","4,619","5,512","2,550"
2020년04월_계_20~29세,"45,367",437,537,"1,718",892,"1,154","1,671","5,470","4,631","4,282","3,015","2,569","1,603","2,216",672,"3,145","4,058","5,418","1,879"
2020년04월_계_30~39세,"38,189",385,661,"1,598",658,"1,095","1,507","4,449","3,673","3,104","2,406","3,217","1,161","1,797",632,"2,203","3,277","4,457","1,909"
2020년04월_계_40~49세,"50,146",482,756,"1,590",692,"1,401","1,974","5,094","4,097","3,384","2,305","3,594","1,495","2,309",688,"3,137","5,909","7,750","3,489"
2020년04월_계_50~59세,"49,769",720,710,"1,759",938,"1,648","1,712","5,362","3,924","4,184","2,331","3,102","1,826","2,803","1,143","4,077","4,962","6,042","2,526"
2020년04월_계_60~69세,"33,009",767,748,"1,522",788,"1,246",896,"2,572","2,510","3,295","1,868","2,334","1,545","2,517",882,"2,784","2,179","2,995","1,561"
2020년04월_계_70~79세,"18,711",749,473,"1,164",526,767,520,"1,491","1,370","2,024","1,203","1,123",857,"1,089",474,"1,346","1,105","1,695",735
2020년04월_계_80~89세,"7,776",286,147,473,228,300,255,730,486,819,566,382,329,457,250,628,442,749,249
2020년04월_계_90~99세,"1,171",39,26,68,29,57,37,78,74,118,84,70,57,71,52,77,73,117,44
2020년04월_계_100세 이상,72,7,0,4,0,10,1,2,3,14,2,3,4,4,6,3,7,1,1
2020년04월_남_총인구수,"147,198","2,054","2,388","5,565","2,690","4,580","5,553","14,782","12,436","11,899","7,586","10,712","5,210","7,806","2,884","10,046","14,346","18,712","7,949"
2020년04월_남_연령구간인구수,"147,198","2,054","2,388","5,565","2,690","4,580","5,553","14,782","12,436","11,899","7,586","10,712","5,210","7,806","2,884","10,046","14,346","18,712","7,949"
2020년04월_남_0~9세,"11,911",59,232,314,106,329,519,"1,127",843,650,482,"1,336",326,616,178,735,"1,469","1,711",879
2020년04월_남_10~19세,"17,277",93,192,393,161,331,703,"1,697","1,257",944,609,"1,400",602,941,217,"1,205","2,331","2,906","1,295"
2020년04월_남_20~29세,"23,326",240,292,849,452,602,894,"2,676","2,355","2,140","1,344","1,413",901,"1,198",382,"1,664","2,143","2,767","1,014"
2020년04월_남_30~39세,"19,257",213,341,853,368,594,804,"2,187","1,935","1,677","1,218","1,550",608,904,341,"1,073","1,544","2,190",857
2020년04월_남_40~49세,"24,197",288,422,824,385,792,982,"2,298","2,061","1,720","1,218","1,782",713,"1,050",364,"1,404","2,657","3,592","1,645"
2020년04월_남_50~59세,"24,353",377,335,895,470,842,921,"2,615","1,954","2,028","1,111","1,480",833,"1,228",623,"1,855","2,505","3,070","1,211"
2020년04월_남_60~69세,"15,530",350,326,694,386,594,435,"1,262","1,180","1,576",806,"1,084",710,"1,191",467,"1,330","1,026","1,449",664
2020년04월_남_70~79세,"8,337",322,198,542,249,381,190,626,654,867,551,521,391,504,226,586,489,731,309
2020년04월_남_80~89세,"2,743",101,43,186,106,95,97,271,183,270,225,135,116,157,77,177,165,270,69
2020년04월_남_90~99세,258,9,7,14,7,18,8,22,14,26,22,11,10,17,9,17,16,25,6
2020년04월_남_100세 이상,9,2,0,1,0,2,0,1,0,1,0,0,0,0,0,0,1,1,0
2020년04월_여_총인구수,"152,895","2,104","2,466","5,658","2,542","4,367","5,306","16,004","12,619","12,420","8,278","10,579","5,384","8,307","2,670","10,971","15,102","19,366","8,752"
2020년04월_여_연령구간인구수,"152,895","2,104","2,466","5,658","2,542","4,367","5,306","16,004","12,619","12,420","8,278","10,579","5,384","8,307","2,670","10,971","15,102","19,366","8,752"
2020년04월_여_0~9세,"11,049",54,196,299,89,272,432,"1,141",883,595,447,"1,156",283,541,173,630,"1,348","1,631",879
2020년04월_여_10~19세,"15,646",80,176,321,125,337,632,"1,573","1,304",906,546,"1,005",506,752,187,"1,047","2,288","2,606","1,255"
2020년04월_여_20~29세,"22,041",197,245,869,440,552,777,"2,794","2,276","2,142","1,671","1,156",702,"1,018",290,"1,481","1,915","2,651",865
2020년04월_여_30~39세,"18,932",172,320,745,290,501,703,"2,262","1,738","1,427","1,188","1,667",553,893,291,"1,130","1,733","2,267","1,052"
2020년04월_여_40~49세,"25,949",194,334,766,307,609,992,"2,796","2,036","1,664","1,087","1,812",782,"1,259",324,"1,733","3,252","4,158","1,844"
2020년04월_여_50~59세,"25,416",343,375,864,468,806,791,"2,747","1,970","2,156","1,220","1,622",993,"1,575",520,"2,222","2,457","2,972","1,315"
2020년04월_여_60~69세,"17,479",417,422,828,402,652,461,"1,310","1,330","1,719","1,062","1,250",835,"1,326",415,"1,454","1,153","1,546",897
2020년04월_여_70~79세,"10,374",427,275,622,277,386,330,865,716,"1,157",652,602,466,585,248,760,616,964,426
2020년04월_여_80~89세,"5,033",185,104,287,122,205,158,459,303,549,341,247,213,300,173,451,277,479,180
2020년04월_여_90~99세,913,30,19,54,22,39,29,56,60,92,62,59,47,54,43,60,57,92,38
2020년04월_여_100세 이상,63,5,0,3,0,8,1,1,3,13,2,3,4,4,6,3,6,0,1
2020년05월_계_총인구수,"299,850","4,131","4,836","11,214","5,215","8,915","10,801","30,732","25,116","24,297","15,920","21,294","10,535","16,099","5,693","20,986","29,376","38,026","16,664"
2020년05월_계_연령구간인구수,"299,850","4,131","4,836","11,214","5,215","8,915","10,801","30,732","25,116","24,297","15,920","21,294","10,535","16,099","5,693","20,986","29,376","38,026","16,664"
