카테고리,전라북도 정읍시,전라북도 정읍시 신태인읍,전라북도 정읍시 북면,전라북도 정읍시 입암면,전라북도 정읍시 소성면,전라북도 정읍시 고부면,전라북도 정읍시 영원면,전라북도 정읍시 덕천면,전라북도 정읍시 이평면,전라북도 정읍시 정우면,전라북도 정읍시 태인면,전라북도 정읍시 감곡면,전라북도 정읍시 옹동면,전라북도 정읍시 칠보면,전라북도 정읍시 산내면,전라북도 정읍시 산외면,전라북도 정읍시 수성동,전라북도 정읍시 장명동,전라북도 정읍시 내장상동,전라북도 정읍시 시기동,전라북도 정읍시 초산동,전라북도 정읍시 연지동,전라북도 정읍시 농소동,전라북도 정읍시 상교동
2020년01월_계_총인구수,"110,310","5,805","4,369","2,964","2,109","2,885","1,866","1,882","2,113","2,657","3,568","2,831","1,734","2,377","1,283","2,173","18,061","3,116","20,770","3,599","10,300","5,755","4,313","3,780"
2020년01월_계_연령구간인구수,"110,310","5,805","4,369","2,964","2,109","2,885","1,866","1,882","2,113","2,657","3,568","2,831","1,734","2,377","1,283","2,173","18,061","3,116","20,770","3,599","10,300","5,755","4,313","3,780"
2020년01월_계_0~9세,"6,848",281,194,68,61,70,54,64,38,93,101,57,53,107,33,64,"1,603",170,"1,756",197,"1,002",430,198,154
2020년01월_계_10~19세,"10,170",422,295,166,70,116,96,111,90,121,161,78,72,155,53,104,"2,177",327,"2,824",303,"1,322",498,368,241
2020년01월_계_20~29세,"10,899",431,429,235,134,190,122,159,129,183,271,155,101,150,85,132,"2,262",363,"2,462",360,"1,181",575,452,338
2020년01월_계_30~39세,"9,415",443,319,151,116,213,94,102,108,157,168,169,116,120,56,99,"2,118",260,"2,032",295,"1,093",611,319,256
2020년01월_계_40~49세,"15,401",681,496,266,191,272,167,186,197,246,386,250,158,262,112,227,"3,298",489,"3,487",418,"1,739",860,552,461
2020년01월_계_50~59세,"18,901",988,876,587,387,484,293,382,355,470,636,476,302,405,251,382,"2,945",549,"3,350",595,"1,719",950,840,679
2020년01월_계_60~69세,"16,206",976,727,550,389,583,371,336,396,502,681,630,326,426,274,427,"1,831",396,"2,425",605,"1,117",874,720,644
2020년01월_계_70~79세,"13,306",924,585,509,425,547,374,309,416,498,618,575,326,430,256,420,"1,187",340,"1,576",518,743,656,507,567
2020년01월_계_80~89세,"7,953",577,392,377,294,358,251,201,342,344,482,387,242,289,139,284,541,199,732,237,337,253,316,379
2020년01월_계_90~99세,"1,106",74,52,55,42,47,41,31,41,40,62,50,37,29,24,33,84,20,110,55,41,44,38,56
2020년01월_계_100세 이상,105,8,4,0,0,5,3,1,1,3,2,4,1,4,0,1,15,3,16,16,6,4,3,5
2020년01월_남_총인구수,"54,624","2,837","2,215","1,457","1,069","1,449",918,946,"1,048","1,321","1,758","1,409",861,"1,204",652,"1,088","9,095","1,545","10,025","1,723","5,084","2,891","2,089","1,940"
2020년01월_남_연령구간인구수,"54,624","2,837","2,215","1,457","1,069","1,449",918,946,"1,048","1,321","1,758","1,409",861,"1,204",652,"1,088","9,095","1,545","10,025","1,723","5,084","2,891","2,089","1,940"
2020년01월_남_0~9세,"3,521",139,103,35,36,36,29,32,22,54,58,27,26,54,17,31,831,74,881,96,536,224,99,81
2020년01월_남_10~19세,"5,378",256,157,86,40,58,54,63,50,55,80,44,41,87,30,48,"1,121",176,"1,448",161,746,252,189,136
2020년01월_남_20~29세,"5,933",235,242,143,86,125,72,89,77,112,153,90,52,91,46,75,"1,230",188,"1,249",201,632,310,251,184
2020년01월_남_30~39세,"4,999",250,165,85,70,134,58,65,65,90,106,109,73,74,38,62,"1,109",127,"1,002",153,520,328,167,149
2020년01월_남_40~49세,"8,136",387,272,157,127,184,106,110,137,146,237,162,99,158,76,141,"1,690",257,"1,630",229,827,460,276,268
2020년01월_남_50~59세,"10,086",535,484,337,227,268,168,213,208,278,352,270,170,246,136,227,"1,525",299,"1,681",280,850,494,458,380
2020년01월_남_60~69세,"8,044",462,384,290,191,306,187,180,207,265,330,306,168,218,159,226,899,212,"1,158",279,527,412,339,339
2020년01월_남_70~79세,"5,684",380,263,202,192,227,170,132,169,202,253,266,139,173,101,176,506,145,703,213,318,302,202,250
2020년01월_남_80~89세,"2,573",171,134,112,92,100,68,56,104,106,162,126,83,97,45,93,161,62,248,96,118,99,98,142
2020년01월_남_90~99세,251,22,11,10,8,9,6,6,9,13,26,9,10,6,4,9,18,4,20,13,9,8,10,11
2020년01월_남_100세 이상,19,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,5,1,5,2,1,2,0,0
2020년01월_여_총인구수,"55,686","2,968","2,154","1,507","1,040","1,436",948,936,"1,065","1,336","1,810","1,422",873,"1,173",631,"1,085","8,966","1,571","10,745","1,876","5,216","2,864","2,224","1,840"
2020년01월_여_연령구간인구수,"55,686","2,968","2,154","1,507","1,040","1,436",948,936,"1,065","1,336","1,810","1,422",873,"1,173",631,"1,085","8,966","1,571","10,745","1,876","5,216","2,864","2,224","1,840"
2020년01월_여_0~9세,"3,327",142,91,33,25,34,25,32,16,39,43,30,27,53,16,33,772,96,875,101,466,206,99,73
2020년01월_여_10~19세,"4,792",166,138,80,30,58,42,48,40,66,81,34,31,68,23,56,"1,056",151,"1,376",142,576,246,179,105
2020년01월_여_20~29세,"4,966",196,187,92,48,65,50,70,52,71,118,65,49,59,39,57,"1,032",175,"1,213",159,549,265,201,154
2020년01월_여_30~39세,"4,416",193,154,66,46,79,36,37,43,67,62,60,43,46,18,37,"1,009",133,"1,030",142,573,283,152,107
2020년01월_여_40~49세,"7,265",294,224,109,64,88,61,76,60,100,149,88,59,104,36,86,"1,608",232,"1,857",189,912,400,276,193
2020년01월_여_50~59세,"8,815",453,392,250,160,216,125,169,147,192,284,206,132,159,115,155,"1,420",250,"1,669",315,869,456,382,299
2020년01월_여_60~69세,"8,162",514,343,260,198,277,184,156,189,237,351,324,158,208,115,201,932,184,"1,267",326,590,462,381,305
2020년01월_여_70~79세,"7,622",544,322,307,233,320,204,177,247,296,365,309,187,257,155,244,681,195,873,305,425,354,305,317
2020년01월_여_80~89세,"5,380",406,258,265,202,258,183,145,238,238,320,261,159,192,94,191,380,137,484,141,219,154,218,237
2020년01월_여_90~99세,855,52,41,45,34,38,35,25,32,27,36,41,27,23,20,24,66,16,90,42,32,36,28,45
2020년01월_여_100세 이상,86,8,4,0,0,3,3,1,1,3,1,4,1,4,0,1,10,2,11,14,5,2,3,5
2020년02월_계_총인구수,"110,120","5,773","4,367","2,966","2,107","2,873","1,849","1,881","2,134","2,662","3,558","2,829","1,722","2,385","1,280","2,176","17,923","3,092","20,642","3,579","10,390","5,823","4,308","3,801"
2020년02월_계_연령구간인구수,"110,120","5,773","4,367","2,966","2,107","2,873","1,849","1,881","2,134","2,662","3,558","2,829","1,722","2,385","1,280","2,176","17,923","3,092","20,642","3,579","10,390","5,823","4,308","3,801"
2020년02월_계_0~9세,"6,792",276,194,71,63,69,54,62,37,87,100,58,50,108,34,64,"1,583",165,"1,713",193,"1,011",448,202,150
2020년02월_계_10~19세,"10,119",421,292,167,73,119,89,113,93,124,160,80,68,156,53,102,"2,143",323,"2,804",300,"1,317",509,366,247
2020년02월_계_20~29세,"10,807",423,427,232,133,182,118,153,126,183,267,152,101,148,88,125,"2,224",354,"2,441",363,"1,197",582,447,341
2020년02월_계_30~39세,"9,358",438,324,155,116,212,97,101,113,159,167,167,111,123,56,105,"2,087",251,"1,992",290,"1,098",611,318,267
2020년02월_계_40~49세,"15,397",679,492,268,189,270,161,188,199,246,386,249,154,260,105,223,"3,297",492,"3,469",416,"1,757",886,552,459
2020년02월_계_50~59세,"18,847",972,873,582,384,478,293,380,362,462,629,475,304,405,248,384,"2,928",543,"3,349",599,"1,726",960,831,680
2020년02월_계_60~69세,"16,273",988,731,551,391,591,366,337,400,512,683,625,326,425,278,432,"1,836",401,"2,429",593,"1,144",867,726,641
2020년02월_계_70~79세,"13,292",916,584,512,418,542,377,308,418,496,613,577,328,434,254,422,"1,186",340,"1,572",514,753,653,505,570
2020년02월_계_80~89세,"8,019",581,393,372,298,360,250,207,343,347,487,390,240,293,140,285,541,201,748,240,341,258,319,385
2020년02월_계_90~99세,"1,111",71,52,56,42,45,42,31,42,43,64,52,39,30,24,33,81,19,109,56,40,45,39,56
2020년02월_계_100세 이상,105,8,5,0,0,5,2,1,1,3,2,4,1,3,0,1,17,3,16,15,6,4,3,5
2020년02월_남_총인구수,"54,541","2,823","2,208","1,465","1,064","1,441",911,948,"1,063","1,318","1,755","1,403",852,"1,210",647,"1,086","9,033","1,532","9,968","1,716","5,131","2,931","2,091","1,945"
2020년02월_남_연령구간인구수,"54,541","2,823","2,208","1,465","1,064","1,441",911,948,"1,063","1,318","1,755","1,403",852,"1,210",647,"1,086","9,033","1,532","9,968","1,716","5,131","2,931","2,091","1,945"
2020년02월_남_0~9세,"3,500",137,101,37,38,36,30,32,21,51,56,26,25,55,17,30,817,73,859,94,545,237,104,79
2020년02월_남_10~19세,"5,362",255,157,88,41,58,49,63,54,58,76,44,39,92,31,45,"1,107",174,"1,437",161,745,260,190,138
2020년02월_남_20~29세,"5,888",230,239,140,84,121,70,89,78,110,150,90,51,89,48,70,"1,214",183,"1,249",201,638,309,249,186
2020년02월_남_30~39세,"4,964",246,166,86,70,134,60,64,68,90,106,106,69,77,38,66,"1,094",122,978,151,527,326,168,152
2020년02월_남_40~49세,"8,134",389,269,161,123,183,103,110,136,145,237,161,96,156,70,139,"1,694",261,"1,620",226,834,479,276,266
2020년02월_남_50~59세,"10,063",523,484,335,226,267,169,212,212,275,354,270,171,245,134,225,"1,516",293,"1,688",286,849,499,452,378
2020년02월_남_60~69세,"8,069",470,383,294,190,308,184,180,210,268,333,301,168,215,162,231,903,214,"1,157",272,539,407,342,338
2020년02월_남_70~79세,"5,702",381,266,204,191,224,170,135,170,202,253,269,140,176,98,178,503,143,702,211,326,303,203,254
2020년02월_남_80~89세,"2,591",170,133,110,93,100,70,57,105,107,161,127,82,99,45,93,163,64,253,99,119,101,97,143
2020년02월_남_90~99세,248,22,10,10,8,8,6,6,9,12,28,9,11,6,4,9,16,4,20,13,8,8,10,11
2020년02월_남_100세 이상,20,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,6,1,5,2,1,2,0,0
2020년02월_여_총인구수,"55,579","2,950","2,159","1,501","1,043","1,432",938,933,"1,071","1,344","1,803","1,426",870,"1,175",633,"1,090","8,890","1,560","10,674","1,863","5,259","2,892","2,217","1,856"
