카테고리,부산광역시 남구,부산광역시 남구 대연제1동,부산광역시 남구 대연제3동,부산광역시 남구 대연제4동,부산광역시 남구 대연제5동,부산광역시 남구 대연제6동,부산광역시 남구 용호제1동,부산광역시 남구 용호제2동,부산광역시 남구 용호제3동,부산광역시 남구 용호제4동,부산광역시 남구 용당동,부산광역시 남구 감만제1동,부산광역시 남구 감만제2동,부산광역시 남구 우암동,부산광역시 남구 문현제1동,부산광역시 남구 문현제2동,부산광역시 남구 문현제3동,부산광역시 남구 문현제4동
2020년03월_계_총인구수,"272,381","16,283","33,394","12,902","17,225","15,964","45,651","17,739","12,768","8,907","8,098","14,452","7,289","13,768","14,789","9,003","14,562","9,587"
2020년03월_계_연령구간인구수,"272,381","16,283","33,394","12,902","17,225","15,964","45,651","17,739","12,768","8,907","8,098","14,452","7,289","13,768","14,789","9,003","14,562","9,587"
2020년03월_계_0~9세,"19,055",616,"2,961","1,068","1,183","1,872","3,652","1,541",566,594,505,781,354,698,901,382,956,425
2020년03월_계_10~19세,"24,019","1,037","3,293",872,"1,513","1,501","5,359","1,857",946,685,779,"1,052",526,964,"1,331",411,"1,261",632
2020년03월_계_20~29세,"35,500","3,535","6,159","1,326","2,591","1,841","5,137","1,748","1,495",962,984,"1,644",718,"1,389","1,778","1,302","1,803","1,088"
2020년03월_계_30~39세,"32,016","1,956","4,503","1,901","2,171","2,409","4,507","1,976","1,216","1,136",784,"1,556",741,"1,416","1,520","1,370","1,867",987
2020년03월_계_40~49세,"42,839","2,132","5,735","1,880","2,697","2,697","8,082","2,982","1,690","1,386","1,295","2,107","1,094","1,942","2,323","1,206","2,228","1,363"
2020년03월_계_50~59세,"43,919","2,320","4,725","1,962","2,490","2,303","7,898","2,805","2,285","1,366","1,442","2,468","1,232","2,321","2,639","1,424","2,532","1,707"
2020년03월_계_60~69세,"40,214","2,406","3,331","1,971","2,392","1,862","6,100","2,749","2,463","1,583","1,310","2,601","1,300","2,699","2,253","1,368","2,103","1,723"
2020년03월_계_70~79세,"24,540","1,619","1,839","1,359","1,550","1,051","3,410","1,474","1,534",865,735,"1,600",961,"1,645","1,450","1,018","1,279","1,151"
2020년03월_계_80~89세,"9,037",592,736,504,575,368,"1,300",526,509,278,231,569,335,584,536,459,481,454
2020년03월_계_90~99세,"1,109",60,97,49,57,53,198,72,57,43,31,59,26,100,53,53,50,51
2020년03월_계_100세 이상,133,10,15,10,6,7,8,9,7,9,2,15,2,10,5,10,2,6
2020년03월_남_총인구수,"133,353","8,131","16,232","6,302","8,307","7,652","21,983","8,731","6,215","4,309","4,129","7,369","3,633","6,850","7,224","4,494","7,067","4,725"
2020년03월_남_연령구간인구수,"133,353","8,131","16,232","6,302","8,307","7,652","21,983","8,731","6,215","4,309","4,129","7,369","3,633","6,850","7,224","4,494","7,067","4,725"
2020년03월_남_0~9세,"9,698",295,"1,533",545,616,884,"1,830",798,271,315,266,408,196,394,467,201,476,203
2020년03월_남_10~19세,"12,397",528,"1,668",457,764,783,"2,733",995,480,336,389,578,281,497,683,230,641,354
2020년03월_남_20~29세,"18,836","1,935","3,110",701,"1,308",940,"2,761",962,823,502,586,934,394,784,935,603,953,605
2020년03월_남_30~39세,"16,344","1,076","2,199",979,"1,079","1,147","2,088",987,676,593,415,845,416,759,786,752,992,555
2020년03월_남_40~49세,"21,447","1,124","2,790","1,002","1,326","1,308","3,762","1,481",843,703,670,"1,150",601,"1,041","1,171",680,"1,064",731
2020년03월_남_50~59세,"21,364","1,118","2,224",900,"1,212","1,103","3,851","1,326","1,105",637,739,"1,246",628,"1,151","1,304",753,"1,235",832
