카테고리,경기도 광명시,경기도 광명시 광명1동,경기도 광명시 광명2동,경기도 광명시 광명3동,경기도 광명시 광명4동,경기도 광명시 광명5동,경기도 광명시 광명6동,경기도 광명시 광명7동,경기도 광명시 철산1동,경기도 광명시 철산2동,경기도 광명시 철산3동,경기도 광명시 철산4동,경기도 광명시 하안1동,경기도 광명시 하안2동,경기도 광명시 하안3동,경기도 광명시 하안4동,경기도 광명시 소하1동,경기도 광명시 소하2동,경기도 광명시 학온동,경기도 광명시 일직동
2020년04월_계_90~99세,"1,127",30,36,44,65,56,42,63,45,51,101,27,86,73,112,32,117,129,18,
2020년04월_계_100세 이상,139,3,4,4,18,6,7,8,2,8,8,1,9,13,8,1,17,15,7,
2020년04월_남_총인구수,"155,900","3,324","4,221","4,777","6,945","7,282","5,457","8,488","6,331","6,895","16,239","6,851","13,348","6,834","10,008","6,274","15,800","25,531","1,295",
2020년04월_남_연령구간인구수,"155,900","3,324","4,221","4,777","6,945","7,282","5,457","8,488","6,331","6,895","16,239","6,851","13,348","6,834","10,008","6,274","15,800","25,531","1,295",
2020년04월_남_0~9세,"12,882",160,177,211,364,476,457,488,574,277,"1,571",566,"1,303",548,873,597,"1,631","2,568",41,
2020년04월_남_10~19세,"16,644",283,293,324,465,706,587,820,811,506,"2,184",667,"1,676",624,"1,038",815,"2,228","2,554",63,
2020년04월_남_20~29세,"21,421",501,626,714,"1,005","1,005",701,"1,284",873,"1,150","2,216",894,"1,759",868,"1,254",829,"1,928","3,696",118,
2020년04월_남_30~39세,"22,680",492,561,651,"1,087",993,698,"1,087",838,"1,028","1,899","1,239","1,525","1,391","1,551","1,096","1,972","4,427",145,
2020년04월_남_40~49세,"27,040",505,623,738,"1,009","1,245",923,"1,276","1,151","1,017","2,922","1,229","2,540","1,261","1,778","1,176","3,052","4,447",148,
2020년04월_남_50~59세,"26,060",623,821,912,"1,208","1,232",933,"1,500","1,077","1,431","2,728","1,094","2,276","1,014","1,587",947,"2,400","3,999",278,
2020년04월_남_60~69세,"18,120",465,636,695,"1,089",961,709,"1,251",649,998,"1,739",724,"1,488",649,"1,132",531,"1,668","2,450",286,
2020년04월_남_70~79세,"8,225",218,370,397,551,498,354,585,260,344,728,346,597,322,548,196,702,"1,068",141,
2020년04월_남_80~89세,"2,525",69,101,118,146,151,83,183,85,127,231,87,162,137,222,81,189,284,69,
2020년04월_남_90~99세,267,8,13,15,16,13,11,12,13,14,18,5,21,16,24,6,26,32,4,
2020년04월_남_100세 이상,36,0,0,2,5,2,1,2,0,3,3,0,1,4,1,0,4,6,2,
2020년04월_여_총인구수,"159,845","3,267","4,482","5,040","7,278","7,466","5,567","8,655","6,617","6,403","16,880","6,848","13,322","7,559","11,102","6,621","16,532","25,224",982,
2020년04월_여_연령구간인구수,"159,845","3,267","4,482","5,040","7,278","7,466","5,567","8,655","6,617","6,403","16,880","6,848","13,322","7,559","11,102","6,621","16,532","25,224",982,
2020년04월_여_0~9세,"12,344",152,182,209,359,461,483,492,550,265,"1,496",544,"1,241",548,777,549,"1,594","2,411",31,
2020년04월_여_10~19세,"15,689",226,313,280,497,634,560,796,773,458,"2,057",601,"1,606",582,975,737,"2,096","2,459",39,
2020년04월_여_20~29세,"19,560",414,585,629,889,862,631,"1,124",826,995,"2,036",826,"1,489",889,"1,273",825,"1,798","3,377",92,
2020년04월_여_30~39세,"22,086",375,457,580,944,892,683,974,889,801,"2,190","1,182","1,646","1,308","1,562","1,059","2,218","4,230",96,
2020년04월_여_40~49세,"27,570",457,626,695,"1,015","1,179",945,"1,321","1,299",923,"3,256","1,191","2,589","1,274","1,873","1,320","3,243","4,266",98,
2020년04월_여_50~59세,"26,424",639,844,973,"1,283","1,329",929,"1,619","1,080","1,326","2,770","1,092","2,196","1,146","1,708","1,001","2,431","3,884",174,
2020년04월_여_60~69세,"19,849",508,809,886,"1,258","1,141",741,"1,331",653,949,"1,805",806,"1,437",896,"1,355",604,"1,818","2,636",216,
2020년04월_여_70~79세,"10,192",315,440,537,692,628,375,643,362,425,762,406,679,497,941,311,810,"1,248",121,
2020년04월_여_80~89세,"5,168",156,199,220,279,293,183,298,151,219,420,177,366,353,543,188,420,607,96,
2020년04월_여_90~99세,860,22,23,29,49,43,31,51,32,37,83,22,65,57,88,26,91,97,14,
2020년04월_여_100세 이상,103,3,4,2,13,4,6,6,2,5,5,1,8,9,7,1,13,9,5,
2020년05월_계_총인구수,"314,413","6,023","8,031","9,807","14,251","14,727","10,997","17,118","12,899","13,154","33,088","13,671","26,686","14,351","21,069","12,896","32,368","51,011","2,266",
2020년05월_계_연령구간인구수,"314,413","6,023","8,031","9,807","14,251","14,727","10,997","17,118","12,899","13,154","33,088","13,671","26,686","14,351","21,069","12,896","32,368","51,011","2,266",
2020년05월_계_0~9세,"25,071",292,332,417,723,922,932,977,"1,117",527,"3,043","1,105","2,541","1,081","1,637","1,139","3,223","4,992",71,
2020년05월_계_10~19세,"32,134",449,544,593,962,"1,329","1,145","1,621","1,582",939,"4,225","1,259","3,275","1,183","2,003","1,553","4,322","5,049",101,
2020년05월_계_20~29세,"40,742",823,"1,109","1,334","1,893","1,871","1,327","2,407","1,684","2,124","4,239","1,719","3,266","1,764","2,528","1,652","3,732","7,061",209,
2020년05월_계_30~39세,"44,448",788,942,"1,217","2,036","1,869","1,373","2,051","1,728","1,782","4,069","2,413","3,151","2,667","3,090","2,155","4,178","8,701",238,
