카테고리,서울특별시 동대문구,서울특별시 동대문구 용신동,서울특별시 동대문구 제기동,서울특별시 동대문구 전농제1동,서울특별시 동대문구 전농제2동,서울특별시 동대문구 답십리제1동,서울특별시 동대문구 답십리제2동,서울특별시 동대문구 장안제1동,서울특별시 동대문구 장안제2동,서울특별시 동대문구 청량리동,서울특별시 동대문구 회기동,서울특별시 동대문구 휘경제1동,서울특별시 동대문구 휘경제2동,서울특별시 동대문구 이문제1동,서울특별시 동대문구 이문제2동
2020년03월_계_총인구수,"346,156","30,926","24,888","30,587","19,415","29,204","30,066","38,633","33,074","21,017","10,261","14,346","24,355","18,680","20,704"
2020년03월_계_연령구간인구수,"346,156","30,926","24,888","30,587","19,415","29,204","30,066","38,633","33,074","21,017","10,261","14,346","24,355","18,680","20,704"
2020년03월_계_0~9세,"21,750","1,366","1,076","1,985","1,310","2,785","1,919","2,647","2,968",918,505,804,"1,343",759,"1,365"
2020년03월_계_10~19세,"25,089","1,516","1,453","2,067","1,822","2,024","2,173","2,690","2,936","1,234",743,882,"2,186","1,432","1,931"
2020년03월_계_20~29세,"55,488","5,826","4,206","4,689","2,414","4,032","4,079","5,215","3,920","2,470","2,951","3,150","5,142","4,569","2,825"
2020년03월_계_30~39세,"51,236","5,280","3,368","4,497","2,351","5,512","4,518","6,446","5,224","2,475","1,452","2,231","3,067","2,207","2,608"
2020년03월_계_40~49세,"52,086","4,311","3,217","4,483","3,144","4,680","4,547","6,427","5,813","2,770","1,364","1,839","3,604","2,568","3,319"
2020년03월_계_50~59세,"54,332","4,767","3,891","4,999","3,346","4,341","5,124","6,125","5,006","3,752","1,191","2,201","3,550","2,640","3,399"
2020년03월_계_60~69세,"45,248","3,993","3,817","4,110","2,609","3,126","4,110","5,215","4,122","3,759",960,"1,640","2,898","2,187","2,702"
2020년03월_계_70~79세,"28,093","2,599","2,591","2,517","1,616","1,833","2,497","2,836","2,238","2,481",705,"1,073","1,801","1,523","1,783"
2020년03월_계_80~89세,"10,985","1,087","1,103","1,053",720,743,963,859,717,988,321,448,648,661,674
2020년03월_계_90~99세,"1,559",157,141,146,74,98,116,151,114,139,58,70,106,99,90
2020년03월_계_100세 이상,290,24,25,41,9,30,20,22,16,31,11,8,10,35,8
2020년03월_남_총인구수,"171,896","15,810","12,785","15,370","9,326","14,170","14,666","19,240","16,582","10,513","4,901","7,070","12,090","9,279","10,094"
2020년03월_남_연령구간인구수,"171,896","15,810","12,785","15,370","9,326","14,170","14,666","19,240","16,582","10,513","4,901","7,070","12,090","9,279","10,094"
2020년03월_남_0~9세,"11,126",696,560,"1,026",660,"1,418",987,"1,332","1,542",463,264,414,698,375,691
2020년03월_남_10~19세,"12,682",808,740,"1,024",893,"1,027","1,087","1,391","1,561",659,322,442,"1,040",699,989
