카테고리,강원도 춘천시,강원도 춘천시 신북읍,강원도 춘천시 동면,강원도 춘천시 동산면,강원도 춘천시 신동면,강원도 춘천시 남면,강원도 춘천시 서면,강원도 춘천시 사북면,강원도 춘천시 북산면,강원도 춘천시 동내면,강원도 춘천시 남산면,강원도 춘천시 교동,강원도 춘천시 조운동,강원도 춘천시 약사명동,강원도 춘천시 근화동,강원도 춘천시 소양동,강원도 춘천시 후평1동,강원도 춘천시 후평2동,강원도 춘천시 후평3동,강원도 춘천시 효자1동,강원도 춘천시 효자2동,강원도 춘천시 효자3동,강원도 춘천시 석사동,강원도 춘천시 퇴계동,강원도 춘천시 강남동,강원도 춘천시 신사우동
2020년03월_계_총인구수,"281,688","7,845","19,699","1,496","2,584","1,095","3,917","2,565",956,"17,301","3,549","3,624","2,957","2,383","8,967","10,051","12,038","15,204","21,456","4,673","11,955","4,658","35,920","49,381","16,943","20,471"
2020년03월_계_연령구간인구수,"281,688","7,845","19,699","1,496","2,584","1,095","3,917","2,565",956,"17,301","3,549","3,624","2,957","2,383","8,967","10,051","12,038","15,204","21,456","4,673","11,955","4,658","35,920","49,381","16,943","20,471"
2020년03월_계_0~9세,"22,161",374,"2,334",28,111,23,127,76,20,"1,563",88,117,84,99,981,812,571,"1,328","1,789",351,442,171,"2,774","4,533","1,305","2,060"
2020년03월_계_10~19세,"27,705",496,"2,407",68,143,36,200,151,22,"1,720",168,206,146,131,697,791,897,"1,535","2,114",415,735,254,"4,575","6,150","1,438","2,210"
2020년03월_계_20~29세,"37,000",860,"1,898",129,263,45,265,176,39,"2,165",263,836,414,275,"1,063","1,273","1,913","2,186","2,702",555,"2,622","1,062","5,115","6,210","2,242","2,429"
2020년03월_계_30~39세,"34,663",687,"2,578",99,211,70,242,118,39,"2,475",281,427,322,235,"1,482","1,313","1,397","2,191","2,941",522,"1,277",619,"3,947","6,352","2,200","2,638"
2020년03월_계_40~49세,"42,780",951,"3,560",121,269,90,359,226,67,"2,868",366,388,363,277,"1,177","1,425","1,591","2,272","3,185",726,"1,470",526,"6,192","8,569","2,439","3,303"
2020년03월_계_50~59세,"47,003","1,473","3,065",277,512,221,755,512,197,"2,781",706,530,532,437,"1,301","1,766","2,105","2,478","3,505",786,"1,841",713,"6,217","8,187","2,977","3,129"
2020년03월_계_60~69세,"36,172","1,368","2,247",380,557,263,914,621,281,"2,059",858,521,511,406,"1,060","1,318","1,815","1,613","2,764",629,"1,681",644,"3,724","5,173","2,407","2,358"
2020년03월_계_70~79세,"21,179",957,"1,020",225,282,192,574,422,194,"1,038",521,376,350,299,762,838,"1,120",991,"1,540",449,"1,171",415,"2,103","2,613","1,258","1,469"
2020년03월_계_80~89세,"11,103",592,490,154,212,131,391,220,85,542,252,196,195,177,373,431,533,513,795,205,629,224,"1,100","1,362",567,734
2020년03월_계_90~99세,"1,811",83,98,14,23,23,83,42,12,86,43,25,38,44,66,73,91,91,120,35,79,28,168,223,103,120
2020년03월_계_100세 이상,111,4,2,1,1,1,7,1,0,4,3,2,2,3,5,11,5,6,1,0,8,2,5,9,7,21
2020년03월_남_총인구수,"138,977","3,939","9,774",812,"1,335",592,"2,010","1,261",529,"8,634","1,880","1,837","1,425","1,156","4,527","4,867","5,949","7,275","10,172","2,353","6,294","2,326","17,579","23,839","8,329","10,283"
2020년03월_남_연령구간인구수,"138,977","3,939","9,774",812,"1,335",592,"2,010","1,261",529,"8,634","1,880","1,837","1,425","1,156","4,527","4,867","5,949","7,275","10,172","2,353","6,294","2,326","17,579","23,839","8,329","10,283"
2020년03월_남_0~9세,"11,377",185,"1,215",12,60,16,68,38,11,830,53,76,39,49,514,395,298,675,892,180,222,90,"1,369","2,333",686,"1,071"
2020년03월_남_10~19세,"14,415",259,"1,241",43,63,19,111,87,8,862,95,113,74,72,392,427,462,804,"1,049",233,386,122,"2,348","3,212",739,"1,194"
2020년03월_남_20~29세,"19,675",475,"1,043",72,165,32,139,109,21,"1,115",142,438,210,160,562,671,994,"1,139","1,355",312,"1,541",512,"2,665","3,254","1,188","1,361"
2020년03월_남_30~39세,"17,569",376,"1,209",59,116,41,133,65,28,"1,271",163,236,165,125,763,646,770,"1,081","1,492",270,754,348,"2,007","3,030","1,134","1,287"
2020년03월_남_40~49세,"21,228",511,"1,775",76,152,55,212,114,38,"1,491",218,215,203,139,611,727,821,"1,064","1,516",381,809,301,"2,941","3,986","1,192","1,680"
2020년03월_남_50~59세,"23,509",765,"1,538",157,284,139,410,242,115,"1,404",398,275,274,222,717,874,"1,048","1,159","1,662",385,"1,029",354,"3,116","3,922","1,413","1,607"
2020년03월_남_60~69세,"17,499",709,"1,095",223,276,134,503,321,171,"1,008",438,235,239,201,507,605,847,750,"1,285",302,806,310,"1,821","2,468","1,129","1,116"
2020년03월_남_70~79세,"9,242",436,466,107,139,93,282,192,98,450,273,173,155,118,302,344,491,408,639,189,490,181,863,"1,086",612,655
2020년03월_남_80~89세,"3,996",199,175,61,76,54,128,84,35,182,88,68,57,61,136,156,198,167,251,89,239,99,414,497,211,271
