카테고리,대전광역시 유성구,대전광역시 유성구 진잠동,대전광역시 유성구 온천1동,대전광역시 유성구 온천2동,대전광역시 유성구 노은1동,대전광역시 유성구 노은2동,대전광역시 유성구 노은3동,대전광역시 유성구 신성동,대전광역시 유성구 전민동,대전광역시 유성구 구즉동,대전광역시 유성구 관평동,대전광역시 유성구 원신흥동,대전광역시 유성구 학하동,대전광역시 유성구 상대동
2020년03월_계_총인구수,"350,055","35,537","33,972","40,030","22,327","25,189","36,367","25,412","27,427","28,229","29,002","46,563",,
2020년03월_계_연령구간인구수,"350,055","35,537","33,972","40,030","22,327","25,189","36,367","25,412","27,427","28,229","29,002","46,563",,
2020년03월_계_0~9세,"36,198","3,443","1,560","3,624","2,401","2,612","5,005","3,043","2,734","2,723","3,316","5,737",,
2020년03월_계_10~19세,"38,877","3,518","1,574","3,358","3,077","3,584","4,436","2,962","3,372","3,254","4,646","5,096",,
2020년03월_계_20~29세,"52,084","4,537","8,004","8,078","2,870","3,226","3,682","3,899","4,317","4,293","3,645","5,533",,
2020년03월_계_30~39세,"56,577","4,693","6,488","6,502","3,311","3,244","6,285","5,169","4,454","4,245","4,026","8,160",,
2020년03월_계_40~49세,"60,786","6,019","4,336","5,643","4,375","4,956","7,104","4,110","4,523","4,900","6,127","8,693",,
2020년03월_계_50~59세,"53,626","6,289","5,587","6,056","3,237","3,933","4,943","3,432","4,455","4,641","4,255","6,798",,
2020년03월_계_60~69세,"31,588","4,115","3,751","4,279","1,724","1,980","3,098","1,759","2,294","2,306","2,007","4,275",,
2020년03월_계_70~79세,"13,035","1,887","1,722","1,638",850,"1,050","1,225",630,711,"1,146",636,"1,540",,
2020년03월_계_80~89세,"6,212",897,791,732,411,521,506,358,465,626,291,614,,
2020년03월_계_90~99세,"1,017",129,136,114,70,82,80,49,99,91,52,115,,
2020년03월_계_100세 이상,55,10,23,6,1,1,3,1,3,4,1,2,,
2020년03월_남_총인구수,"176,785","18,095","17,548","20,775","11,015","12,393","17,919","13,319","14,007","14,455","14,851","22,408",,
2020년03월_남_연령구간인구수,"176,785","18,095","17,548","20,775","11,015","12,393","17,919","13,319","14,007","14,455","14,851","22,408",,
2020년03월_남_0~9세,"18,672","1,750",796,"1,823","1,231","1,340","2,544","1,585","1,471","1,405","1,750","2,977",,
2020년03월_남_10~19세,"20,214","1,873",814,"1,761","1,597","1,841","2,267","1,575","1,723","1,669","2,431","2,663",,
2020년03월_남_20~29세,"27,943","2,518","4,106","4,738","1,455","1,651","1,943","2,155","2,356","2,372","1,939","2,710",,
2020년03월_남_30~39세,"29,293","2,421","3,732","3,483","1,619","1,607","2,993","2,814","2,395","2,290","2,050","3,889",,
2020년03월_남_40~49세,"29,948","3,102","2,316","2,835","2,061","2,326","3,496","2,064","2,153","2,490","2,932","4,173",,
2020년03월_남_50~59세,"26,655","3,138","2,753","2,912","1,659","1,995","2,394","1,768","2,190","2,406","2,313","3,127",,
2020년03월_남_60~69세,"15,822","2,092","1,939","2,163",828,968,"1,499",927,"1,231","1,158","1,050","1,967",,
2020년03월_남_70~79세,"5,972",888,764,775,390,461,586,321,329,457,299,702,,
2020년03월_남_80~89세,"2,029",290,284,253,154,186,179,99,130,188,77,189,,
2020년03월_남_90~99세,224,20,41,31,20,17,17,11,27,19,10,11,,
2020년03월_남_100세 이상,13,3,3,1,1,1,1,0,2,1,0,0,,
2020년03월_여_총인구수,"173,270","17,442","16,424","19,255","11,312","12,796","18,448","12,093","13,420","13,774","14,151","24,155",,
2020년03월_여_연령구간인구수,"173,270","17,442","16,424","19,255","11,312","12,796","18,448","12,093","13,420","13,774","14,151","24,155",,
2020년03월_여_0~9세,"17,526","1,693",764,"1,801","1,170","1,272","2,461","1,458","1,263","1,318","1,566","2,760",,
2020년03월_여_10~19세,"18,663","1,645",760,"1,597","1,480","1,743","2,169","1,387","1,649","1,585","2,215","2,433",,
2020년03월_여_20~29세,"24,141","2,019","3,898","3,340","1,415","1,575","1,739","1,744","1,961","1,921","1,706","2,823",,
2020년03월_여_30~39세,"27,284","2,272","2,756","3,019","1,692","1,637","3,292","2,355","2,059","1,955","1,976","4,271",,
2020년03월_여_40~49세,"30,838","2,917","2,020","2,808","2,314","2,630","3,608","2,046","2,370","2,410","3,195","4,520",,
2020년03월_여_50~59세,"26,971","3,151","2,834","3,144","1,578","1,938","2,549","1,664","2,265","2,235","1,942","3,671",,
2020년03월_여_60~69세,"15,766","2,023","1,812","2,116",896,"1,012","1,599",832,"1,063","1,148",957,"2,308",,
2020년03월_여_70~79세,"7,063",999,958,863,460,589,639,309,382,689,337,838,,
2020년03월_여_80~89세,"4,183",607,507,479,257,335,327,259,335,438,214,425,,
2020년03월_여_90~99세,793,109,95,83,50,65,63,38,72,72,42,104,,
2020년03월_여_100세 이상,42,7,20,5,0,0,2,1,1,3,1,2,,
2020년04월_계_총인구수,"350,439","35,462","34,114","40,087","22,304","25,127","36,635","25,516","27,377","28,249","29,033","46,535",,
2020년04월_계_연령구간인구수,"350,439","35,462","34,114","40,087","22,304","25,127","36,635","25,516","27,377","28,249","29,033","46,535",,
2020년04월_계_0~9세,"36,106","3,422","1,561","3,619","2,375","2,623","5,021","3,059","2,722","2,710","3,302","5,692",,
2020년04월_계_10~19세,"38,820","3,494","1,570","3,327","3,078","3,552","4,478","2,962","3,356","3,227","4,635","5,141",,
2020년04월_계_20~29세,"52,212","4,518","8,055","8,160","2,870","3,202","3,719","3,906","4,304","4,313","3,677","5,488",,
2020년04월_계_30~39세,"56,692","4,664","6,515","6,512","3,303","3,242","6,336","5,195","4,479","4,251","4,039","8,156",,
2020년04월_계_40~49세,"60,730","6,008","4,331","5,634","4,367","4,947","7,140","4,126","4,483","4,895","6,101","8,698",,
2020년04월_계_50~59세,"53,712","6,292","5,601","6,049","3,245","3,923","4,977","3,433","4,461","4,647","4,291","6,793",,
2020년04월_계_60~69세,"31,780","4,134","3,806","4,280","1,719","1,981","3,137","1,790","2,299","2,328","2,015","4,291",,
2020년04월_계_70~79세,"13,072","1,886","1,721","1,644",862,"1,052","1,230",634,710,"1,148",637,"1,548",,
2020년04월_계_80~89세,"6,239",908,795,740,414,521,515,359,461,633,284,609,,
2020년04월_계_90~99세,"1,021",126,137,116,70,83,79,51,99,93,51,116,,
2020년04월_계_100세 이상,55,10,22,6,1,1,3,1,3,4,1,3,,
2020년04월_남_총인구수,"176,924","18,037","17,603","20,817","11,016","12,364","18,023","13,359","13,995","14,475","14,866","22,369",,
2020년04월_남_연령구간인구수,"176,924","18,037","17,603","20,817","11,016","12,364","18,023","13,359","13,995","14,475","14,866","22,369",,
2020년04월_남_0~9세,"18,597","1,740",795,"1,823","1,221","1,337","2,545","1,588","1,467","1,396","1,738","2,947",,
2020년04월_남_10~19세,"20,176","1,862",815,"1,742","1,592","1,828","2,298","1,572","1,706","1,659","2,428","2,674",,
2020년04월_남_20~29세,"28,028","2,499","4,124","4,795","1,467","1,640","1,949","2,158","2,368","2,390","1,952","2,686",,
2020년04월_남_30~39세,"29,317","2,402","3,736","3,477","1,614","1,610","3,010","2,822","2,403","2,301","2,064","3,878",,
2020년04월_남_40~49세,"29,924","3,092","2,312","2,845","2,059","2,322","3,517","2,075","2,140","2,481","2,910","4,171",,
2020년04월_남_50~59세,"26,681","3,139","2,771","2,903","1,661","1,990","2,397","1,766","2,191","2,404","2,332","3,127",,
2020년04월_남_60~69세,"15,931","2,096","1,960","2,163",838,966,"1,527",943,"1,232","1,172","1,055","1,979",,
2020년04월_남_70~79세,"5,998",892,764,780,388,468,580,324,330,460,304,708,,
2020년04월_남_80~89세,"2,037",293,283,257,155,186,182,99,129,192,73,188,,
2020년04월_남_90~99세,222,19,40,31,20,16,17,12,27,19,10,11,,
2020년04월_남_100세 이상,13,3,3,1,1,1,1,0,2,1,0,0,,
2020년04월_여_총인구수,"173,515","17,425","16,511","19,270","11,288","12,763","18,612","12,157","13,382","13,774","14,167","24,166",,
2020년04월_여_연령구간인구수,"173,515","17,425","16,511","19,270","11,288","12,763","18,612","12,157","13,382","13,774","14,167","24,166",,
2020년04월_여_0~9세,"17,509","1,682",766,"1,796","1,154","1,286","2,476","1,471","1,255","1,314","1,564","2,745",,
2020년04월_여_10~19세,"18,644","1,632",755,"1,585","1,486","1,724","2,180","1,390","1,650","1,568","2,207","2,467",,
2020년04월_여_20~29세,"24,184","2,019","3,931","3,365","1,403","1,562","1,770","1,748","1,936","1,923","1,725","2,802",,
2020년04월_여_30~39세,"27,375","2,262","2,779","3,035","1,689","1,632","3,326","2,373","2,076","1,950","1,975","4,278",,
2020년04월_여_40~49세,"30,806","2,916","2,019","2,789","2,308","2,625","3,623","2,051","2,343","2,414","3,191","4,527",,
2020년04월_여_50~59세,"27,031","3,153","2,830","3,146","1,584","1,933","2,580","1,667","2,270","2,243","1,959","3,666",,
2020년04월_여_60~69세,"15,849","2,038","1,846","2,117",881,"1,015","1,610",847,"1,067","1,156",960,"2,312",,
2020년04월_여_70~79세,"7,074",994,957,864,474,584,650,310,380,688,333,840,,
2020년04월_여_80~89세,"4,202",615,512,483,259,335,333,260,332,441,211,421,,
2020년04월_여_90~99세,799,107,97,85,50,67,62,39,72,74,41,105,,
2020년04월_여_100세 이상,42,7,19,5,0,0,2,1,1,3,1,3,,
2020년05월_계_총인구수,"351,532","35,434","34,348","40,224","22,247","25,110","37,334","25,637","27,359","28,234","29,090","46,515",,
2020년05월_계_연령구간인구수,"351,532","35,434","34,348","40,224","22,247","25,110","37,334","25,637","27,359","28,234","29,090","46,515",,
2020년05월_계_0~9세,"36,105","3,414","1,559","3,601","2,359","2,613","5,118","3,067","2,718","2,709","3,278","5,669",,
2020년05월_계_10~19세,"38,705","3,466","1,577","3,291","3,056","3,526","4,536","2,939","3,333","3,209","4,620","5,152",,
