카테고리,울산광역시 울주군,울산광역시 울주군 온산읍,울산광역시 울주군 언양읍,울산광역시 울주군 온양읍,울산광역시 울주군 범서읍,울산광역시 울주군 청량읍,울산광역시 울주군 서생면,울산광역시 울주군 웅촌면,울산광역시 울주군 두동면,울산광역시 울주군 두서면,울산광역시 울주군 상북면,울산광역시 울주군 삼남면,울산광역시 울주군 삼동면,울산광역시 울주군 삼남읍
2020년03월_남_10~19세,"12,103",873,"1,487","1,750","5,386",800,293,244,114,60,241,813,42,
2020년03월_남_20~29세,"15,026","1,609","2,024","1,830","5,058","1,239",468,521,181,114,427,"1,483",72,
2020년03월_남_30~39세,"14,154","1,807","1,705","1,987","3,876","1,616",522,373,168,116,341,"1,582",61,
2020년03월_남_40~49세,"19,480","2,291","2,309","2,841","6,598","1,562",743,464,265,165,489,"1,646",107,
2020년03월_남_50~59세,"21,956","2,345","2,633","2,721","6,634","1,815",936,916,504,308,888,"2,041",215,
2020년03월_남_60~69세,"14,382","1,271","1,817","1,594","3,214","1,303",776,804,529,413,869,"1,541",251,
2020년03월_남_70~79세,"6,101",469,795,637,"1,121",503,422,419,252,236,450,672,125,
2020년03월_남_80~89세,"1,951",141,257,189,305,168,137,137,88,100,154,217,58,
2020년03월_남_90~99세,163,10,17,15,22,14,9,17,12,10,13,22,2,
2020년03월_남_100세 이상,4,3,0,0,0,0,1,0,0,0,0,0,0,
2020년03월_여_총인구수,"107,800","8,798","14,202","13,784","35,365","9,396","3,923","3,756","2,015","1,588","3,898","10,221",854,
2020년03월_여_연령구간인구수,"107,800","8,798","14,202","13,784","35,365","9,396","3,923","3,756","2,015","1,588","3,898","10,221",854,
2020년03월_여_0~9세,"9,121",759,"1,258","1,363","3,443",910,266,152,65,31,128,723,23,
2020년03월_여_10~19세,"10,952",796,"1,395","1,586","4,835",806,239,191,90,63,187,740,24,
2020년03월_여_20~29세,"11,532",970,"1,555","1,476","4,113","1,083",317,346,124,66,310,"1,120",52,
2020년03월_여_30~39세,"12,632","1,100","1,617","1,768","4,238","1,325",426,293,130,94,264,"1,332",45,
2020년03월_여_40~49세,"18,504","1,452","2,357","2,575","7,556","1,466",437,369,189,108,444,"1,486",65,
2020년03월_여_50~59세,"19,501","1,614","2,620","2,331","6,050","1,639",714,804,398,261,841,"2,071",158,
2020년03월_여_60~69세,"13,456","1,148","1,821","1,381","2,983","1,177",777,772,487,373,848,"1,481",208,
2020년03월_여_70~79세,"7,070",584,908,760,"1,328",594,452,474,275,299,477,772,147,
2020년03월_여_80~89세,"4,226",313,564,478,702,322,253,303,208,235,328,413,107,
2020년03월_여_90~99세,777,55,101,65,115,71,41,52,46,58,69,80,24,
2020년03월_여_100세 이상,29,7,6,1,2,3,1,0,3,0,2,3,1,
2020년04월_계_총인구수,"223,056","20,450","28,486","28,773","71,347","19,417","8,527","7,812","4,211","3,158","7,941","21,132","1,802",
2020년04월_계_연령구간인구수,"223,056","20,450","28,486","28,773","71,347","19,417","8,527","7,812","4,211","3,158","7,941","21,132","1,802",
2020년04월_계_0~9세,"18,672","1,562","2,498","2,761","7,101","1,853",540,311,137,65,286,"1,522",36,
2020년04월_계_10~19세,"23,001","1,674","2,859","3,336","10,203","1,601",534,427,202,123,428,"1,546",68,
2020년04월_계_20~29세,"26,682","2,582","3,590","3,305","9,219","2,344",784,873,304,182,731,"2,644",124,
2020년04월_계_30~39세,"26,754","2,917","3,323","3,731","8,088","2,952",945,661,302,210,597,"2,921",107,
2020년04월_계_40~49세,"37,897","3,715","4,657","5,427","14,105","3,005","1,193",832,452,270,940,"3,130",171,
2020년04월_계_50~59세,"41,585","3,974","5,239","5,059","12,761","3,478","1,653","1,712",899,573,"1,739","4,127",371,
2020년04월_계_60~69세,"28,030","2,443","3,657","3,000","6,250","2,493","1,559","1,589","1,025",793,"1,718","3,044",459,
2020년04월_계_70~79세,"13,239","1,051","1,710","1,402","2,464","1,109",873,896,533,539,932,"1,458",272,
2020년04월_계_80~89세,"6,217",457,830,668,"1,017",493,394,442,296,337,483,633,167,
2020년04월_계_90~99세,947,65,117,83,137,86,50,69,59,66,85,104,26,
2020년04월_계_100세 이상,32,10,6,1,2,3,2,0,2,0,2,3,1,
2020년04월_남_총인구수,"115,105","11,654","14,275","14,995","35,944","9,992","4,585","4,054","2,191","1,566","4,040","10,865",944,
2020년04월_남_연령구간인구수,"115,105","11,654","14,275","14,995","35,944","9,992","4,585","4,054","2,191","1,566","4,040","10,865",944,
2020년04월_남_0~9세,"9,562",809,"1,239","1,409","3,660",936,271,157,71,34,158,804,14,
2020년04월_남_10~19세,"12,059",875,"1,476","1,751","5,367",795,295,240,113,58,239,808,42,
2020년04월_남_20~29세,"15,114","1,610","2,032","1,831","5,104","1,253",470,528,179,116,425,"1,496",70,
2020년04월_남_30~39세,"14,140","1,815","1,703","1,978","3,866","1,623",510,371,171,115,336,"1,590",62,
2020년04월_남_40~49세,"19,454","2,275","2,300","2,855","6,581","1,550",748,463,266,165,492,"1,652",107,
2020년04월_남_50~59세,"22,004","2,355","2,624","2,721","6,667","1,826",940,908,499,310,893,"2,049",212,
2020년04월_남_60~69세,"14,492","1,289","1,828","1,605","3,239","1,318",780,812,536,417,871,"1,548",249,
2020년04월_남_70~79세,"6,145",469,799,641,"1,129",507,422,419,255,239,458,679,128,
2020년04월_남_80~89세,"1,964",144,257,187,309,169,139,140,89,102,155,216,57,
2020년04월_남_90~99세,167,10,17,17,22,15,9,16,12,10,13,23,3,
2020년04월_남_100세 이상,4,3,0,0,0,0,1,0,0,0,0,0,0,
2020년04월_여_총인구수,"107,951","8,796","14,211","13,778","35,403","9,425","3,942","3,758","2,020","1,592","3,901","10,267",858,
2020년04월_여_연령구간인구수,"107,951","8,796","14,211","13,778","35,403","9,425","3,942","3,758","2,020","1,592","3,901","10,267",858,
2020년04월_여_0~9세,"9,110",753,"1,259","1,352","3,441",917,269,154,66,31,128,718,22,
2020년04월_여_10~19세,"10,942",799,"1,383","1,585","4,836",806,239,187,89,65,189,738,26,
2020년04월_여_20~29세,"11,568",972,"1,558","1,474","4,115","1,091",314,345,125,66,306,"1,148",54,
2020년04월_여_30~39세,"12,614","1,102","1,620","1,753","4,222","1,329",435,290,131,95,261,"1,331",45,
2020년04월_여_40~49세,"18,443","1,440","2,357","2,572","7,524","1,455",445,369,186,105,448,"1,478",64,
2020년04월_여_50~59세,"19,581","1,619","2,615","2,338","6,094","1,652",713,804,400,263,846,"2,078",159,
2020년04월_여_60~69세,"13,538","1,154","1,829","1,395","3,011","1,175",779,777,489,376,847,"1,496",210,
2020년04월_여_70~79세,"7,094",582,911,761,"1,335",602,451,477,278,300,474,779,144,
2020년04월_여_80~89세,"4,253",313,573,481,708,324,255,302,207,235,328,417,110,
2020년04월_여_90~99세,780,55,100,66,115,71,41,53,47,56,72,81,23,
2020년04월_여_100세 이상,28,7,6,1,2,3,1,0,2,0,2,3,1,
2020년05월_계_총인구수,"222,802","20,401","28,542","28,754","71,166","19,401","8,500","7,805","4,220","3,155","7,946","21,102","1,810",
2020년05월_계_연령구간인구수,"222,802","20,401","28,542","28,754","71,166","19,401","8,500","7,805","4,220","3,155","7,946","21,102","1,810",
2020년05월_계_0~9세,"18,581","1,548","2,511","2,750","7,030","1,858",525,306,144,64,283,"1,524",38,
2020년05월_계_10~19세,"22,871","1,662","2,841","3,325","10,153","1,578",535,423,200,125,427,"1,534",68,
2020년05월_계_20~29세,"26,593","2,567","3,574","3,306","9,192","2,346",777,866,306,179,736,"2,621",123,
2020년05월_계_30~39세,"26,630","2,886","3,337","3,715","8,025","2,946",941,654,299,205,589,"2,923",110,
2020년05월_계_40~49세,"37,789","3,723","4,652","5,421","14,066","2,994","1,186",829,449,272,925,"3,102",170,
2020년05월_계_50~59세,"41,648","3,976","5,266","5,060","12,783","3,484","1,652","1,720",898,570,"1,737","4,133",369,
2020년05월_계_60~69세,"28,150","2,444","3,676","3,011","6,283","2,503","1,559","1,593","1,033",794,"1,733","3,056",465,
2020년05월_계_70~79세,"13,326","1,059","1,725","1,410","2,479","1,108",880,903,535,541,940,"1,475",271,
2020년05월_계_80~89세,"6,227",462,833,672,"1,016",492,391,443,295,341,487,628,167,
2020년05월_계_90~99세,955,64,121,83,137,88,52,68,59,64,87,104,28,
2020년05월_계_100세 이상,32,10,6,1,2,4,2,0,2,0,2,2,1,
2020년05월_남_총인구수,"114,977","11,620","14,291","14,985","35,859","9,996","4,567","4,053","2,200","1,564","4,041","10,850",951,
2020년05월_남_연령구간인구수,"114,977","11,620","14,291","14,985","35,859","9,996","4,567","4,053","2,200","1,564","4,041","10,850",951,
2020년05월_남_0~9세,"9,510",801,"1,244","1,408","3,617",939,264,156,74,33,157,800,17,
2020년05월_남_10~19세,"11,974",868,"1,459","1,742","5,337",783,290,239,112,59,241,802,42,
2020년05월_남_20~29세,"15,067","1,593","2,015","1,829","5,102","1,258",470,519,181,113,426,"1,491",70,
2020년05월_남_30~39세,"14,078","1,802","1,717","1,960","3,840","1,620",507,370,170,115,329,"1,585",63,
2020년05월_남_40~49세,"19,387","2,275","2,302","2,854","6,554","1,550",742,458,265,161,485,"1,632",109,
2020년05월_남_50~59세,"22,034","2,355","2,630","2,723","6,669","1,829",936,918,497,311,892,"2,066",208,
2020년05월_남_60~69세,"14,577","1,295","1,838","1,612","3,265","1,323",789,815,543,418,879,"1,547",253,
2020년05월_남_70~79세,"6,200",472,809,651,"1,142",510,418,424,256,241,462,689,126,
2020년05월_남_80~89세,"1,975",146,258,189,311,168,140,138,90,103,157,216,59,
2020년05월_남_90~99세,171,10,19,17,22,16,10,16,12,10,13,22,4,
2020년05월_남_100세 이상,4,3,0,0,0,0,1,0,0,0,0,0,0,
2020년05월_여_총인구수,"107,825","8,781","14,251","13,769","35,307","9,405","3,933","3,752","2,020","1,591","3,905","10,252",859,
2020년05월_여_연령구간인구수,"107,825","8,781","14,251","13,769","35,307","9,405","3,933","3,752","2,020","1,591","3,905","10,252",859,
2020년05월_여_0~9세,"9,071",747,"1,267","1,342","3,413",919,261,150,70,31,126,724,21,
2020년05월_여_10~19세,"10,897",794,"1,382","1,583","4,816",795,245,184,88,66,186,732,26,
2020년05월_여_20~29세,"11,526",974,"1,559","1,477","4,090","1,088",307,347,125,66,310,"1,130",53,
2020년05월_여_30~39세,"12,552","1,084","1,620","1,755","4,185","1,326",434,284,129,90,260,"1,338",47,
2020년05월_여_40~49세,"18,402","1,448","2,350","2,567","7,512","1,444",444,371,184,111,440,"1,470",61,
2020년05월_여_50~59세,"19,614","1,621","2,636","2,337","6,114","1,655",716,802,401,259,845,"2,067",161,
2020년05월_여_60~69세,"13,573","1,149","1,838","1,399","3,018","1,180",770,778,490,376,854,"1,509",212,
2020년05월_여_70~79세,"7,126",587,916,759,"1,337",598,462,479,279,300,478,786,145,
2020년05월_여_80~89세,"4,252",316,575,483,705,324,251,305,205,238,330,412,108,
2020년05월_여_90~99세,784,54,102,66,115,72,42,52,47,54,74,82,24,
2020년05월_여_100세 이상,28,7,6,1,2,4,1,0,2,0,2,2,1,
2020년06월_계_총인구수,"222,633","20,360","28,520","28,678","71,120","19,393","8,476","7,794","4,207","3,163","7,968","21,143","1,811",
2020년06월_계_연령구간인구수,"222,633","20,360","28,520","28,678","71,120","19,393","8,476","7,794","4,207","3,163","7,968","21,143","1,811",
2020년06월_계_0~9세,"18,463","1,526","2,497","2,716","6,986","1,851",524,303,136,67,288,"1,527",42,
2020년06월_계_10~19세,"22,835","1,670","2,827","3,319","10,135","1,566",532,425,200,121,432,"1,541",67,
2020년06월_계_20~29세,"26,509","2,544","3,571","3,296","9,187","2,347",775,849,303,179,730,"2,607",121,
2020년06월_계_30~39세,"26,505","2,867","3,319","3,694","7,964","2,945",928,650,299,205,592,"2,931",111,
2020년06월_계_40~49세,"37,703","3,716","4,652","5,394","14,067","2,966","1,172",818,441,276,938,"3,095",168,
2020년06월_계_50~59세,"41,654","3,983","5,253","5,063","12,773","3,503","1,643","1,735",904,570,"1,724","4,136",367,
2020년06월_계_60~69세,"28,354","2,452","3,716","3,030","6,340","2,520","1,577","1,597","1,036",794,"1,745","3,079",468,
2020년06월_계_70~79세,"13,405","1,066","1,730","1,412","2,510","1,116",883,904,533,546,947,"1,488",270,
2020년06월_계_80~89세,"6,216",458,829,668,"1,019",488,388,445,296,341,486,631,167,
2020년06월_계_90~99세,957,68,120,85,137,87,52,68,57,64,84,106,29,
2020년06월_계_100세 이상,32,10,6,1,2,4,2,0,2,0,2,2,1,
2020년06월_남_총인구수,"114,869","11,592","14,296","14,961","35,826","9,984","4,553","4,047","2,190","1,565","4,039","10,869",947,
2020년06월_남_연령구간인구수,"114,869","11,592","14,296","14,961","35,826","9,984","4,553","4,047","2,190","1,565","4,039","10,869",947,
2020년06월_남_0~9세,"9,444",787,"1,241","1,392","3,588",935,265,155,67,34,160,802,18,
2020년06월_남_10~19세,"11,947",874,"1,450","1,732","5,329",773,287,238,112,58,241,812,41,
2020년06월_남_20~29세,"15,018","1,575","2,011","1,829","5,097","1,262",471,510,179,109,422,"1,483",70,
2020년06월_남_30~39세,"14,027","1,793","1,709","1,949","3,821","1,620",496,367,171,115,331,"1,592",63,
2020년06월_남_40~49세,"19,315","2,273","2,302","2,840","6,549","1,527",735,458,259,165,485,"1,615",107,
2020년06월_남_50~59세,"22,050","2,358","2,636","2,732","6,658","1,840",927,922,501,311,885,"2,074",206,
2020년06월_남_60~69세,"14,679","1,299","1,854","1,626","3,290","1,332",802,818,543,417,886,"1,558",254,
2020년06월_남_70~79세,"6,241",477,815,654,"1,156",512,418,426,257,242,464,695,125,
2020년06월_남_80~89세,"1,976",143,258,190,316,167,142,137,90,104,154,216,59,
2020년06월_남_90~99세,168,10,20,17,22,16,9,16,11,10,11,22,4,
2020년06월_남_100세 이상,4,3,0,0,0,0,1,0,0,0,0,0,0,
2020년06월_여_총인구수,"107,764","8,768","14,224","13,717","35,294","9,409","3,923","3,747","2,017","1,598","3,929","10,274",864,
2020년06월_여_연령구간인구수,"107,764","8,768","14,224","13,717","35,294","9,409","3,923","3,747","2,017","1,598","3,929","10,274",864,
2020년06월_여_0~9세,"9,019",739,"1,256","1,324","3,398",916,259,148,69,33,128,725,24,
2020년06월_여_10~19세,"10,888",796,"1,377","1,587","4,806",793,245,187,88,63,191,729,26,
2020년06월_여_20~29세,"11,491",969,"1,560","1,467","4,090","1,085",304,339,124,70,308,"1,124",51,
2020년06월_여_30~39세,"12,478","1,074","1,610","1,745","4,143","1,325",432,283,128,90,261,"1,339",48,
2020년06월_여_40~49세,"18,388","1,443","2,350","2,554","7,518","1,439",437,360,182,111,453,"1,480",61,
2020년06월_여_50~59세,"19,604","1,625","2,617","2,331","6,115","1,663",716,813,403,259,839,"2,062",161,
2020년06월_여_60~69세,"13,675","1,153","1,862","1,404","3,050","1,188",775,779,493,377,859,"1,521",214,
2020년06월_여_70~79세,"7,164",589,915,758,"1,354",604,465,478,276,304,483,793,145,
2020년06월_여_80~89세,"4,240",315,571,478,703,321,246,308,206,237,332,415,108,
2020년06월_여_90~99세,789,58,100,68,115,71,43,52,46,54,73,84,25,
2020년06월_여_100세 이상,28,7,6,1,2,4,1,0,2,0,2,2,1,
2020년07월_계_총인구수,"222,707","20,382","28,567","28,689","71,049","19,423","8,462","7,794","4,223","3,164","7,966","21,169","1,819",
2020년07월_계_연령구간인구수,"222,707","20,382","28,567","28,689","71,049","19,423","8,462","7,794","4,223","3,164","7,966","21,169","1,819",
2020년07월_계_0~9세,"18,378","1,521","2,493","2,706","6,942","1,847",521,297,137,67,286,"1,516",45,
2020년07월_계_10~19세,"22,767","1,677","2,818","3,300","10,104","1,579",526,421,197,121,423,"1,534",67,
2020년07월_계_20~29세,"26,524","2,529","3,589","3,300","9,188","2,341",766,852,306,182,733,"2,615",123,
2020년07월_계_30~39세,"26,458","2,864","3,327","3,718","7,949","2,932",916,641,297,203,577,"2,923",111,
2020년07월_계_40~49세,"37,664","3,725","4,655","5,354","14,039","2,978","1,171",819,441,277,937,"3,098",170,
2020년07월_계_50~59세,"41,651","3,978","5,241","5,072","12,787","3,496","1,640","1,735",911,562,"1,730","4,135",364,
2020년07월_계_60~69세,"28,539","2,470","3,754","3,065","6,356","2,542","1,591","1,605","1,041",797,"1,755","3,091",472,
2020년07월_계_70~79세,"13,474","1,076","1,733","1,413","2,520","1,124",882,910,538,544,955,"1,508",271,
2020년07월_계_80~89세,"6,255",464,830,671,"1,025",494,394,444,295,347,484,640,167,
2020년07월_계_90~99세,964,68,121,89,137,85,53,70,58,64,84,107,28,
2020년07월_계_100세 이상,33,10,6,1,2,5,2,0,2,0,2,2,1,
2020년07월_남_총인구수,"114,900","11,596","14,336","14,970","35,784","10,000","4,540","4,047","2,196","1,565","4,031","10,882",953,
2020년07월_남_연령구간인구수,"114,900","11,596","14,336","14,970","35,784","10,000","4,540","4,047","2,196","1,565","4,031","10,882",953,
2020년07월_남_0~9세,"9,394",783,"1,250","1,385","3,555",935,264,153,68,35,157,790,19,
2020년07월_남_10~19세,"11,904",880,"1,437","1,719","5,319",782,287,238,108,57,232,806,39,
2020년07월_남_20~29세,"15,028","1,562","2,029","1,825","5,100","1,254",468,510,181,111,424,"1,492",72,
2020년07월_남_30~39세,"14,000","1,783","1,715","1,970","3,809","1,616",484,362,171,113,326,"1,588",63,
2020년07월_남_40~49세,"19,293","2,282","2,307","2,815","6,537","1,528",735,458,258,166,485,"1,611",111,
2020년07월_남_50~59세,"22,047","2,357","2,625","2,743","6,661","1,838",927,921,499,305,885,"2,081",205,
2020년07월_남_60~69세,"14,779","1,305","1,879","1,647","3,300","1,344",804,820,549,421,891,"1,565",254,
2020년07월_남_70~79세,"6,293",487,815,654,"1,163",520,418,434,261,240,465,709,127,
2020년07월_남_80~89세,"1,987",144,259,194,318,167,142,134,90,107,155,218,59,
2020년07월_남_90~99세,170,10,20,18,22,15,10,17,11,10,11,22,4,
2020년07월_남_100세 이상,5,3,0,0,0,1,1,0,0,0,0,0,0,
2020년07월_여_총인구수,"107,807","8,786","14,231","13,719","35,265","9,423","3,922","3,747","2,027","1,599","3,935","10,287",866,
2020년07월_여_연령구간인구수,"107,807","8,786","14,231","13,719","35,265","9,423","3,922","3,747","2,027","1,599","3,935","10,287",866,
2020년07월_여_0~9세,"8,984",738,"1,243","1,321","3,387",912,257,144,69,32,129,726,26,
2020년07월_여_10~19세,"10,863",797,"1,381","1,581","4,785",797,239,183,89,64,191,728,28,
2020년07월_여_20~29세,"11,496",967,"1,560","1,475","4,088","1,087",298,342,125,71,309,"1,123",51,
2020년07월_여_30~39세,"12,458","1,081","1,612","1,748","4,140","1,316",432,279,126,90,251,"1,335",48,
2020년07월_여_40~49세,"18,371","1,443","2,348","2,539","7,502","1,450",436,361,183,111,452,"1,487",59,
2020년07월_여_50~59세,"19,604","1,621","2,616","2,329","6,126","1,658",713,814,412,257,845,"2,054",159,
2020년07월_여_60~69세,"13,760","1,165","1,875","1,418","3,056","1,198",787,785,492,376,864,"1,526",218,
2020년07월_여_70~79세,"7,181",589,918,759,"1,357",604,464,476,277,304,490,799,144,
2020년07월_여_80~89세,"4,268",320,571,477,707,327,252,310,205,240,329,422,108,
2020년07월_여_90~99세,794,58,101,71,115,70,43,53,47,54,73,85,24,
2020년07월_여_100세 이상,28,7,6,1,2,4,1,0,2,0,2,2,1,
2020년08월_계_총인구수,"222,752","20,395","28,590","28,737","70,980","19,441","8,446","7,769","4,218","3,160","7,970","21,230","1,816",
2020년08월_계_연령구간인구수,"222,752","20,395","28,590","28,737","70,980","19,441","8,446","7,769","4,218","3,160","7,970","21,230","1,816",
2020년08월_계_0~9세,"18,296","1,523","2,484","2,705","6,912","1,828",512,285,134,67,280,"1,519",47,
2020년08월_계_10~19세,"22,669","1,666","2,811","3,299","10,062","1,573",525,414,193,121,423,"1,516",66,
2020년08월_계_20~29세,"26,523","2,540","3,578","3,300","9,187","2,340",760,849,312,177,733,"2,625",122,
2020년08월_계_30~39세,"26,339","2,837","3,323","3,704","7,884","2,941",906,638,291,205,576,"2,924",110,
2020년08월_계_40~49세,"37,672","3,736","4,658","5,385","14,010","2,970","1,175",807,437,272,941,"3,110",171,
2020년08월_계_50~59세,"41,720","3,973","5,258","5,078","12,827","3,508","1,633","1,722",922,561,"1,727","4,150",361,
2020년08월_계_60~69세,"28,729","2,492","3,780","3,094","6,399","2,556","1,601","1,618","1,041",802,"1,761","3,116",469,
2020년08월_계_70~79세,"13,500","1,079","1,730","1,415","2,526","1,134",884,914,534,546,958,"1,508",272,
2020년08월_계_80~89세,"6,295",470,837,667,"1,034",499,394,451,294,345,484,651,169,
2020년08월_계_90~99세,975,69,124,89,137,87,54,71,58,64,85,109,28,
2020년08월_계_100세 이상,34,10,7,1,2,5,2,0,2,0,2,2,1,
2020년08월_남_총인구수,"114,943","11,614","14,339","15,009","35,735","10,023","4,527","4,032","2,195","1,561","4,042","10,918",948,
2020년08월_남_연령구간인구수,"114,943","11,614","14,339","15,009","35,735","10,023","4,527","4,032","2,195","1,561","4,042","10,918",948,
2020년08월_남_0~9세,"9,370",785,"1,243","1,390","3,545",926,261,149,68,34,155,795,19,
2020년08월_남_10~19세,"11,821",876,"1,425","1,706","5,286",786,283,234,106,57,230,794,38,
2020년08월_남_20~29세,"15,059","1,575","2,028","1,836","5,095","1,261",465,504,185,106,426,"1,506",72,
2020년08월_남_30~39세,"13,962","1,767","1,719","1,961","3,791","1,621",479,359,167,117,329,"1,589",63,
2020년08월_남_40~49세,"19,278","2,285","2,294","2,833","6,516","1,526",732,458,256,162,488,"1,618",110,
2020년08월_남_50~59세,"22,098","2,360","2,644","2,753","6,671","1,843",930,904,503,307,889,"2,091",203,
2020년08월_남_60~69세,"14,858","1,316","1,889","1,663","3,325","1,347",805,834,549,419,891,"1,569",251,
2020년08월_남_70~79세,"6,312",488,816,653,"1,164",527,418,438,261,243,468,708,128,
2020년08월_남_80~89세,"2,004",148,259,196,319,169,143,135,89,106,154,226,60,
2020년08월_남_90~99세,176,11,22,18,23,16,10,17,11,10,12,22,4,
2020년08월_남_100세 이상,5,3,0,0,0,1,1,0,0,0,0,0,0,
2020년08월_여_총인구수,"107,809","8,781","14,251","13,728","35,245","9,418","3,919","3,737","2,023","1,599","3,928","10,312",868,
2020년08월_여_연령구간인구수,"107,809","8,781","14,251","13,728","35,245","9,418","3,919","3,737","2,023","1,599","3,928","10,312",868,
2020년08월_여_0~9세,"8,926",738,"1,241","1,315","3,367",902,251,136,66,33,125,724,28,
2020년08월_여_10~19세,"10,848",790,"1,386","1,593","4,776",787,242,180,87,64,193,722,28,
2020년08월_여_20~29세,"11,464",965,"1,550","1,464","4,092","1,079",295,345,127,71,307,"1,119",50,
2020년08월_여_30~39세,"12,377","1,070","1,604","1,743","4,093","1,320",427,279,124,88,247,"1,335",47,
2020년08월_여_40~49세,"18,394","1,451","2,364","2,552","7,494","1,444",443,349,181,110,453,"1,492",61,
2020년08월_여_50~59세,"19,622","1,613","2,614","2,325","6,156","1,665",703,818,419,254,838,"2,059",158,
2020년08월_여_60~69세,"13,871","1,176","1,891","1,431","3,074","1,209",796,784,492,383,870,"1,547",218,
2020년08월_여_70~79세,"7,188",591,914,762,"1,362",607,466,476,273,303,490,800,144,
2020년08월_여_80~89세,"4,291",322,578,471,715,330,251,316,205,239,330,425,109,
2020년08월_여_90~99세,799,58,102,71,114,71,44,54,47,54,73,87,24,
2020년08월_여_100세 이상,29,7,7,1,2,4,1,0,2,0,2,2,1,
2020년09월_계_총인구수,"222,713","20,381","28,585","28,723","70,951","19,460","8,439","7,758","4,230","3,159","7,959","21,245","1,823",
2020년09월_계_연령구간인구수,"222,713","20,381","28,585","28,723","70,951","19,460","8,439","7,758","4,230","3,159","7,959","21,245","1,823",
2020년09월_계_0~9세,"18,170","1,512","2,475","2,686","6,852","1,818",508,282,135,66,274,"1,511",51,
2020년09월_계_10~19세,"22,610","1,652","2,806","3,302","10,050","1,571",520,407,198,118,418,"1,501",67,
2020년09월_계_20~29세,"26,557","2,528","3,578","3,302","9,230","2,351",750,851,308,174,731,"2,630",124,
2020년09월_계_30~39세,"26,209","2,841","3,317","3,671","7,833","2,916",904,633,290,208,573,"2,913",110,
2020년09월_계_40~49세,"37,566","3,721","4,620","5,381","13,967","2,969","1,188",805,444,266,930,"3,104",171,
2020년09월_계_50~59세,"41,763","3,969","5,270","5,075","12,860","3,517","1,628","1,715",915,565,"1,727","4,164",358,
2020년09월_계_60~69세,"28,949","2,521","3,822","3,124","6,439","2,583","1,599","1,627","1,053",808,"1,770","3,133",470,
2020년09월_계_70~79세,"13,538","1,085","1,721","1,418","2,541","1,139",888,915,532,543,961,"1,521",274,
2020년09월_계_80~89세,"6,340",473,841,675,"1,038",505,396,453,296,348,486,660,169,
2020년09월_계_90~99세,977,69,128,88,139,86,56,70,57,63,87,106,28,
2020년09월_계_100세 이상,34,10,7,1,2,5,2,0,2,0,2,2,1,
2020년09월_남_총인구수,"114,917","11,612","14,353","14,995","35,697","10,033","4,523","4,027","2,202","1,562","4,040","10,924",949,
2020년09월_남_연령구간인구수,"114,917","11,612","14,353","14,995","35,697","10,033","4,523","4,027","2,202","1,562","4,040","10,924",949,
2020년09월_남_0~9세,"9,294",777,"1,238","1,379","3,515",916,260,149,69,33,151,786,21,
2020년09월_남_10~19세,"11,780",869,"1,429","1,700","5,266",789,279,228,109,57,231,785,38,
