카테고리,전라북도 김제시,전라북도 김제시 만경읍,전라북도 김제시 죽산면,전라북도 김제시 백산면,전라북도 김제시 용지면,전라북도 김제시 백구면,전라북도 김제시 부량면,전라북도 김제시 공덕면,전라북도 김제시 청하면,전라북도 김제시 성덕면,전라북도 김제시 진봉면,전라북도 김제시 금구면,전라북도 김제시 봉남면,전라북도 김제시 황산면,전라북도 김제시 금산면,전라북도 김제시 광활면,전라북도 김제시 요촌동,전라북도 김제시 신풍동,전라북도 김제시 검산동,전라북도 김제시 교월동
2020년03월_계_총인구수,"83,570","2,726","2,559","2,577","3,734","3,907","1,366","2,610","1,794","1,873","2,714","5,005","2,236","1,931","4,705","1,373","11,326","12,886","11,639","6,609"
2020년03월_계_연령구간인구수,"83,570","2,726","2,559","2,577","3,734","3,907","1,366","2,610","1,794","1,873","2,714","5,005","2,236","1,931","4,705","1,373","11,326","12,886","11,639","6,609"
2020년03월_계_0~9세,"4,587",108,68,73,107,137,50,82,58,48,45,191,58,46,148,45,799,961,"1,095",468
2020년03월_계_10~19세,"6,418",128,114,130,166,230,65,137,80,82,110,315,93,79,226,66,"1,049","1,391","1,453",504
2020년03월_계_20~29세,"7,380",169,131,170,294,286,99,201,95,118,132,419,136,147,340,89,"1,312","1,378","1,274",590
2020년03월_계_30~39세,"6,976",189,151,169,237,275,92,171,111,113,162,343,139,100,297,81,"1,161","1,295","1,244",646
2020년03월_계_40~49세,"10,335",266,223,259,362,418,114,235,183,204,251,579,193,189,456,153,"1,612","1,911","1,945",782
2020년03월_계_50~59세,"14,170",454,393,452,639,718,208,462,267,295,418,957,360,369,908,216,"1,933","2,170","1,840","1,111"
2020년03월_계_60~69세,"14,218",638,587,537,787,744,283,559,381,386,590,963,452,384,937,264,"1,637","1,671","1,357","1,061"
2020년03월_계_70~79세,"11,119",412,479,461,635,626,248,399,336,354,559,751,431,349,791,279,"1,078","1,254",847,830
2020년03월_계_80~89세,"7,194",313,362,274,418,406,182,314,241,229,375,427,335,236,513,157,636,755,503,518
