카테고리,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 남구 구룡포읍,경상북도 포항시 남구 연일읍,경상북도 포항시 남구 오천읍,경상북도 포항시 남구 대송면,경상북도 포항시 남구 동해면,경상북도 포항시 남구 장기면,경상북도 포항시 남구 호미곶면,경상북도 포항시 남구 상대동,경상북도 포항시 남구 해도동,경상북도 포항시 남구 송도동,경상북도 포항시 남구 청림동,경상북도 포항시 남구 제철동,경상북도 포항시 남구 효곡동,경상북도 포항시 남구 대이동,경상북도 포항시 북구,경상북도 포항시 북구 흥해읍,경상북도 포항시 북구 신광면,경상북도 포항시 북구 청하면,경상북도 포항시 북구 송라면,경상북도 포항시 북구 기계면,경상북도 포항시 북구 죽장면,경상북도 포항시 북구 죽장면상옥출장소,경상북도 포항시 북구 기북면,경상북도 포항시 북구 중앙동,경상북도 포항시 북구 양학동,경상북도 포항시 북구 죽도동,경상북도 포항시 북구 용흥동,경상북도 포항시 북구 우창동,경상북도 포항시 북구 두호동,경상북도 포항시 북구 장량동,경상북도 포항시 북구 환여동
2020년01월_계_총인구수,"506,494","235,006","7,856","31,522","55,426","3,635","9,987","4,216","1,963","25,535","17,865","12,991","4,895","3,059","30,961","25,095","271,488","40,564","2,874","4,933","2,611","5,084","2,164",600,"1,297","16,360","17,672","20,152","23,040","32,267","21,422","70,607","9,841"
2020년01월_계_연령구간인구수,"506,494","235,006","7,856","31,522","55,426","3,635","9,987","4,216","1,963","25,535","17,865","12,991","4,895","3,059","30,961","25,095","271,488","40,564","2,874","4,933","2,611","5,084","2,164",600,"1,297","16,360","17,672","20,152","23,040","32,267","21,422","70,607","9,841"
2020년01월_계_0~9세,"41,645","18,829",180,"2,600","6,305",87,585,79,41,"1,311",675,483,267,196,"3,699","2,321","22,816","4,050",70,131,42,112,35,8,24,690,"1,332",865,"1,611","3,115","1,409","8,308","1,014"
2020년01월_계_10~19세,"48,279","22,022",275,"3,839","5,929",165,822,135,79,"1,629",889,768,280,214,"3,864","3,134","26,257","3,669",97,244,99,221,62,19,39,881,"2,026","1,066","2,228","3,186","2,441","8,773","1,206"
2020년01월_계_20~29세,"58,129","27,358",549,"3,866","6,273",309,"1,054",236,112,"3,345","1,853","1,150",618,727,"3,786","3,480","30,771","4,316",177,327,185,325,86,35,55,"1,740","2,244","2,408","2,588","4,074","2,775","8,500",936
2020년01월_계_30~39세,"61,767","28,757",511,"3,433","8,908",294,953,198,93,"3,160","1,789","1,171",563,378,"3,966","3,340","33,010","5,330",144,291,115,248,83,15,54,"1,895","1,956","2,517","2,464","4,486","2,039","10,064","1,309"
2020년01월_계_40~49세,"78,640","36,575",814,"5,411","10,122",359,"1,312",336,193,"3,542","2,340","1,529",554,366,"5,240","4,457","42,065","6,281",241,513,218,424,143,48,111,"2,099","2,854","2,627","3,442","5,006","3,211","13,119","1,728"
2020년01월_계_50~59세,"91,622","42,718","1,536","6,176","8,447",766,"1,901",739,364,"4,781","3,587","2,567",888,523,"5,693","4,750","48,904","7,042",505,950,501,935,419,120,209,"2,936","3,569","3,591","4,271","6,110","4,445","11,774","1,527"
2020년01월_계_60~69세,"74,095","34,862","1,883","3,892","5,821",875,"1,716",953,449,"4,903","4,062","3,082",951,386,"3,536","2,353","39,233","5,369",714,"1,061",610,"1,199",573,188,347,"3,269","2,416","4,062","3,932","4,006","3,259","6,876","1,352"
2020년01월_계_70~79세,"35,657","16,616","1,350","1,587","2,451",517,"1,100",855,384,"2,236","2,040","1,642",572,188,843,851,"19,041","2,885",499,856,475,905,423,99,254,"2,009",905,"2,223","1,783","1,594","1,304","2,262",565
2020년01월_계_80~89세,"14,541","6,368",667,633,"1,030",226,477,591,218,547,563,518,177,75,280,366,"8,173","1,404",380,484,309,622,294,53,178,729,317,703,629,605,480,806,180
2020년01월_계_90~99세,"2,021",851,86,78,127,36,64,89,29,81,62,76,23,6,52,42,"1,170",212,45,75,56,90,46,15,24,102,50,85,88,83,56,121,22
2020년01월_계_100세 이상,98,50,5,7,13,1,3,5,1,0,5,5,2,0,2,1,48,6,2,1,1,3,0,0,2,10,3,5,4,2,3,4,2
2020년01월_남_총인구수,"255,926","120,990","3,967","16,076","29,308","1,902","5,036","2,067",949,"13,131","9,178","6,540","2,607","1,804","15,734","12,691","134,936","20,300","1,439","2,415","1,274","2,440","1,083",310,629,"8,074","8,759","9,980","11,298","15,783","10,598","35,670","4,884"
2020년01월_남_연령구간인구수,"255,926","120,990","3,967","16,076","29,308","1,902","5,036","2,067",949,"13,131","9,178","6,540","2,607","1,804","15,734","12,691","134,936","20,300","1,439","2,415","1,274","2,440","1,083",310,629,"8,074","8,759","9,980","11,298","15,783","10,598","35,670","4,884"
2020년01월_남_0~9세,"21,558","9,729",89,"1,364","3,238",45,296,44,25,676,347,267,136,100,"1,903","1,199","11,829","2,128",34,72,17,48,15,4,10,362,665,444,804,"1,617",737,"4,361",511
2020년01월_남_10~19세,"25,396","11,619",156,"1,977","3,158",87,423,66,45,859,489,402,148,117,"2,040","1,652","13,777","1,899",61,131,47,95,37,9,24,454,"1,095",554,"1,199","1,713","1,267","4,564",628
2020년01월_남_20~29세,"33,084","15,892",324,"2,217","3,660",174,581,138,65,"1,869","1,088",658,384,565,"2,217","1,952","17,192","2,418",106,198,105,195,64,22,31,962,"1,266","1,329","1,450","2,226","1,609","4,691",520
2020년01월_남_30~39세,"32,455","15,457",296,"1,728","4,807",187,522,119,54,"1,809","1,055",674,338,231,"1,898","1,739","16,998","2,727",89,159,79,165,52,13,34,"1,074","1,020","1,413","1,258","2,275","1,025","4,958",657
2020년01월_남_40~49세,"39,466","18,871",505,"2,607","5,523",218,706,228,132,"1,937","1,308",845,325,199,"2,334","2,004","20,595","3,169",156,297,133,252,94,31,63,"1,122","1,287","1,408","1,628","2,291","1,476","6,339",849
2020년01월_남_50~59세,"45,924","22,119",877,"3,201","4,493",422,983,400,196,"2,320","1,802","1,288",474,273,"2,913","2,477","23,805","3,556",272,514,284,496,231,58,116,"1,438","1,681","1,665","2,029","2,852","2,058","5,824",731
2020년01월_남_60~69세,"36,499","17,297",927,"1,992","2,971",454,872,475,215,"2,301","1,869","1,461",455,203,"1,896","1,206","19,202","2,671",377,521,290,584,284,99,186,"1,505","1,207","1,813","1,851","1,982","1,622","3,557",653
2020년01월_남_70~79세,"16,491","7,834",559,777,"1,107",249,487,392,158,"1,156",996,751,273,89,454,386,"8,657","1,269",215,354,216,391,183,49,99,872,439,"1,056",831,670,625,"1,123",265
2020년01월_남_80~89세,"4,667","2,017",216,203,325,60,151,186,55,190,214,181,69,26,70,71,"2,650",424,123,156,93,196,109,20,61,263,90,280,225,144,166,233,67
2020년01월_남_90~99세,358,139,15,8,23,6,14,19,4,14,9,11,3,1,8,4,219,36,6,13,9,17,14,5,5,18,9,16,23,13,12,20,3
2020년01월_남_100세 이상,28,16,3,2,3,0,1,0,0,0,1,2,2,0,1,1,12,3,0,0,1,1,0,0,0,4,0,2,0,0,1,0,0
2020년01월_여_총인구수,"250,568","114,016","3,889","15,446","26,118","1,733","4,951","2,149","1,014","12,404","8,687","6,451","2,288","1,255","15,227","12,404","136,552","20,264","1,435","2,518","1,337","2,644","1,081",290,668,"8,286","8,913","10,172","11,742","16,484","10,824","34,937","4,957"
2020년01월_여_연령구간인구수,"250,568","114,016","3,889","15,446","26,118","1,733","4,951","2,149","1,014","12,404","8,687","6,451","2,288","1,255","15,227","12,404","136,552","20,264","1,435","2,518","1,337","2,644","1,081",290,668,"8,286","8,913","10,172","11,742","16,484","10,824","34,937","4,957"
2020년01월_여_0~9세,"20,087","9,100",91,"1,236","3,067",42,289,35,16,635,328,216,131,96,"1,796","1,122","10,987","1,922",36,59,25,64,20,4,14,328,667,421,807,"1,498",672,"3,947",503
2020년01월_여_10~19세,"22,883","10,403",119,"1,862","2,771",78,399,69,34,770,400,366,132,97,"1,824","1,482","12,480","1,770",36,113,52,126,25,10,15,427,931,512,"1,029","1,473","1,174","4,209",578
2020년01월_여_20~29세,"25,045","11,466",225,"1,649","2,613",135,473,98,47,"1,476",765,492,234,162,"1,569","1,528","13,579","1,898",71,129,80,130,22,13,24,778,978,"1,079","1,138","1,848","1,166","3,809",416
2020년01월_여_30~39세,"29,312","13,300",215,"1,705","4,101",107,431,79,39,"1,351",734,497,225,147,"2,068","1,601","16,012","2,603",55,132,36,83,31,2,20,821,936,"1,104","1,206","2,211","1,014","5,106",652
2020년01월_여_40~49세,"39,174","17,704",309,"2,804","4,599",141,606,108,61,"1,605","1,032",684,229,167,"2,906","2,453","21,470","3,112",85,216,85,172,49,17,48,977,"1,567","1,219","1,814","2,715","1,735","6,780",879
2020년01월_여_50~59세,"45,698","20,599",659,"2,975","3,954",344,918,339,168,"2,461","1,785","1,279",414,250,"2,780","2,273","25,099","3,486",233,436,217,439,188,62,93,"1,498","1,888","1,926","2,242","3,258","2,387","5,950",796
2020년01월_여_60~69세,"37,596","17,565",956,"1,900","2,850",421,844,478,234,"2,602","2,193","1,621",496,183,"1,640","1,147","20,031","2,698",337,540,320,615,289,89,161,"1,764","1,209","2,249","2,081","2,024","1,637","3,319",699
2020년01월_여_70~79세,"19,166","8,782",791,810,"1,344",268,613,463,226,"1,080","1,044",891,299,99,389,465,"10,384","1,616",284,502,259,514,240,50,155,"1,137",466,"1,167",952,924,679,"1,139",300
2020년01월_여_80~89세,"9,874","4,351",451,430,705,166,326,405,163,357,349,337,108,49,210,295,"5,523",980,257,328,216,426,185,33,117,466,227,423,404,461,314,573,113
2020년01월_여_90~99세,"1,663",712,71,70,104,30,50,70,25,67,53,65,20,5,44,38,951,176,39,62,47,73,32,10,19,84,41,69,65,70,44,101,19
2020년01월_여_100세 이상,70,34,2,5,10,1,2,5,1,0,4,3,0,0,1,0,36,3,2,1,0,2,0,0,2,6,3,3,4,2,2,4,2
2020년02월_계_총인구수,"506,162","233,846","7,823","31,393","54,972","3,618","9,957","4,202","1,953","25,471","17,777","12,905","4,877","3,019","30,856","25,023","272,316","40,585","2,878","4,938","2,590","5,068","2,159",595,"1,292","16,141","17,573","20,063","22,869","32,187","21,970","71,707","9,701"
2020년02월_계_연령구간인구수,"506,162","233,846","7,823","31,393","54,972","3,618","9,957","4,202","1,953","25,471","17,777","12,905","4,877","3,019","30,856","25,023","272,316","40,585","2,878","4,938","2,590","5,068","2,159",595,"1,292","16,141","17,573","20,063","22,869","32,187","21,970","71,707","9,701"
2020년02월_계_0~9세,"41,568","18,598",171,"2,592","6,152",86,586,80,38,"1,304",660,466,255,192,"3,697","2,319","22,970","4,040",76,128,41,111,36,7,23,646,"1,325",850,"1,582","3,097","1,504","8,512",992
2020년02월_계_10~19세,"48,046","21,841",278,"3,820","5,849",162,816,136,80,"1,614",867,755,274,214,"3,850","3,126","26,205","3,651",97,248,94,216,61,18,41,859,"1,998","1,062","2,200","3,165","2,474","8,840","1,181"
2020년02월_계_20~29세,"57,814","27,053",540,"3,837","6,239",307,"1,028",228,110,"3,315","1,842","1,144",619,700,"3,703","3,441","30,761","4,299",174,324,182,323,86,35,55,"1,709","2,215","2,385","2,545","4,042","2,837","8,633",917
2020년02월_계_30~39세,"61,629","28,468",505,"3,415","8,722",288,950,192,93,"3,143","1,767","1,146",567,371,"3,979","3,330","33,161","5,299",147,294,111,246,77,14,55,"1,835","1,956","2,475","2,413","4,446","2,147","10,379","1,267"
2020년02월_계_40~49세,"78,577","36,390",811,"5,367","10,076",353,"1,317",336,191,"3,525","2,311","1,508",544,365,"5,238","4,448","42,187","6,294",239,524,216,428,141,44,108,"2,065","2,832","2,616","3,409","4,984","3,308","13,276","1,703"
2020년02월_계_50~59세,"91,531","42,504","1,515","6,133","8,450",765,"1,887",734,362,"4,753","3,564","2,551",892,525,"5,634","4,739","49,027","7,047",501,940,498,924,419,121,209,"2,907","3,547","3,592","4,268","6,118","4,524","11,902","1,510"
2020년02월_계_60~69세,"74,450","35,035","1,896","3,920","5,872",875,"1,726",956,451,"4,921","4,083","3,085",951,385,"3,560","2,354","39,415","5,413",712,"1,065",611,"1,202",574,190,343,"3,260","2,417","4,049","3,925","4,024","3,324","6,950","1,356"
2020년02월_계_70~79세,"35,758","16,635","1,345","1,590","2,432",519,"1,107",848,380,"2,250","2,056","1,646",567,189,855,851,"19,123","2,896",499,851,476,897,422,99,253,"2,010",913,"2,236","1,802","1,616","1,311","2,270",572
2020년02월_계_80~89세,"14,658","6,419",669,634,"1,047",226,474,599,218,562,559,523,183,72,284,369,"8,239","1,426",382,490,307,625,296,52,178,738,316,703,632,613,486,818,177
2020년02월_계_90~99세,"2,028",851,88,78,119,36,63,88,29,84,63,76,23,6,54,44,"1,177",213,49,72,53,93,47,15,25,102,51,90,88,79,53,123,24
2020년02월_계_100세 이상,103,52,5,7,14,1,3,5,1,0,5,5,2,0,2,2,51,7,2,2,1,3,0,0,2,10,3,5,5,3,2,4,2
2020년02월_남_총인구수,"255,773","120,418","3,950","16,005","29,082","1,889","5,029","2,065",944,"13,108","9,134","6,495","2,603","1,775","15,674","12,665","135,355","20,308","1,442","2,425","1,264","2,433","1,078",306,627,"7,954","8,703","9,932","11,224","15,743","10,897","36,223","4,796"
2020년02월_남_연령구간인구수,"255,773","120,418","3,950","16,005","29,082","1,889","5,029","2,065",944,"13,108","9,134","6,495","2,603","1,775","15,674","12,665","135,355","20,308","1,442","2,425","1,264","2,433","1,078",306,627,"7,954","8,703","9,932","11,224","15,743","10,897","36,223","4,796"
2020년02월_남_0~9세,"21,509","9,616",83,"1,368","3,160",44,299,44,23,677,338,251,129,101,"1,902","1,197","11,893","2,117",37,69,16,49,16,4,10,336,664,434,790,"1,614",797,"4,443",497
2020년02월_남_10~19세,"25,312","11,537",159,"1,974","3,112",85,416,67,46,850,480,401,148,116,"2,035","1,648","13,775","1,893",63,131,48,94,36,8,25,437,"1,077",547,"1,191","1,700","1,291","4,626",608
2020년02월_남_20~29세,"32,926","15,743",320,"2,199","3,653",173,572,135,65,"1,860","1,082",650,382,540,"2,174","1,938","17,183","2,413",104,197,103,192,64,22,31,948,"1,248","1,321","1,424","2,205","1,637","4,765",509
2020년02월_남_30~39세,"32,379","15,293",289,"1,714","4,714",182,522,116,53,"1,798","1,039",666,338,231,"1,893","1,738","17,086","2,713",89,163,75,162,49,13,34,"1,039","1,026","1,393","1,236","2,263","1,091","5,110",630
2020년02월_남_40~49세,"39,451","18,783",506,"2,578","5,498",212,702,227,131,"1,931","1,298",831,323,198,"2,341","2,007","20,668","3,180",154,305,134,255,93,26,61,"1,109","1,275","1,406","1,616","2,282","1,522","6,411",839
2020년02월_남_50~59세,"45,883","22,012",868,"3,176","4,497",421,981,396,194,"2,307","1,792","1,283",477,273,"2,882","2,465","23,871","3,548",271,512,280,495,231,61,115,"1,421","1,669","1,662","2,036","2,843","2,104","5,902",721
2020년02월_남_60~69세,"36,643","17,371",930,"1,999","2,993",455,879,480,217,"2,310","1,874","1,466",459,200,"1,906","1,203","19,272","2,696",376,526,290,585,285,99,186,"1,503","1,204","1,804","1,840","1,995","1,645","3,586",652
